time,note,scale degree,length
0.917,64,0,0.08299999999999996
1.000,64,0,0.16700000000000004
1.167,64,0,0.16599999999999993
1.333,64,0,0.08400000000000007
1.417,59,7,0.08299999999999996
1.500,62,10,0.16700000000000004
1.667,64,0,0.16599999999999993
1.833,59,7,0.08400000000000007
1.917,59,7,0.08299999999999996
2.000,64,0,0.08300000000000018
2.083,64,0,0.08399999999999963
2.167,64,0,0.08300000000000018
2.250,64,0,0.16699999999999982
2.417,59,7,0.08300000000000018
2.500,62,10,0.3330000000000002
2.833,59,7,0.08399999999999963
2.917,59,7,0.08300000000000018
3.000,64,0,0.08300000000000018
3.083,64,0,0.08399999999999963
3.167,66,2,0.08300000000000018
3.250,67,3,0.08300000000000018
3.333,64,0,0.08399999999999963
3.417,66,2,0.08300000000000018
3.500,64,0,0.16699999999999982
3.667,62,10,0.08300000000000018
3.750,59,7,0.16699999999999982
3.917,61,9,0.25
4.167,62,10,0.08300000000000018
4.250,59,7,0.16699999999999982
4.417,57,5,0.08300000000000018
4.500,55,3,0.16699999999999982
4.667,52,0,0.08300000000000018
4.750,52,0,0.16699999999999982
4.917,52,0,0.25
5.167,52,0,0.08300000000000018
5.250,52,0,0.08300000000000018
5.333,52,0,0.08399999999999963
5.417,52,0,0.08300000000000018
5.500,56,4,0.16699999999999982
5.667,52,0,0.08300000000000018
5.750,49,9,0.16699999999999982
5.917,49,9,0.25
6.167,52,0,0.08300000000000018
6.250,52,0,0.08300000000000018
6.333,52,0,0.08399999999999963
6.417,52,0,0.08300000000000018
6.500,56,4,0.16699999999999982
6.667,52,0,0.5
7.167,54,2,0.08300000000000018
7.250,54,2,0.08300000000000018
7.333,54,2,0.08399999999999963
7.417,54,2,0.08300000000000018
7.500,56,4,0.16699999999999982
7.667,47,7,0.16600000000000037
7.833,49,9,0.08399999999999963
7.917,52,0,0.08300000000000018
8.000,52,0,0.6669999999999998
8.667,64,0,0.3330000000000002
9.000,64,0,0.08300000000000018
9.083,64,0,0.08399999999999963
9.167,64,0,0.25
9.417,59,7,0.08300000000000018
9.500,62,10,0.16699999999999982
9.667,64,0,0.16600000000000037
9.833,59,7,0.08399999999999963
9.917,59,7,0.08300000000000018
10.000,64,0,0.08300000000000018
10.083,64,0,0.08399999999999963
10.167,64,0,0.25
10.417,59,7,0.08300000000000018
10.500,62,10,0.4169999999999998
10.917,59,7,0.08300000000000018
11.000,64,0,0.16699999999999982
11.167,66,2,0.08300000000000018
11.250,67,3,0.08300000000000018
11.333,64,0,0.08399999999999963
11.417,66,2,0.08300000000000018
11.500,64,0,0.08300000000000018
11.583,62,10,0.08399999999999963
11.667,59,7,0.25
11.917,61,9,0.08300000000000018
12.000,62,10,0.16699999999999982
12.167,59,7,0.08300000000000018
12.250,52,0,0.08300000000000018
12.333,52,0,0.08399999999999963
12.417,55,3,0.08300000000000018
12.500,56,4,0.08300000000000018
12.583,52,0,0.16699999999999982
12.750,52,0,0.16699999999999982
12.917,52,0,0.25
13.167,52,0,0.08300000000000018
13.250,52,0,0.08300000000000018
13.333,52,0,0.08399999999999963
13.417,52,0,0.08300000000000018
13.500,55,3,0.08300000000000018
13.583,52,0,0.08399999999999963
13.667,52,0,0.08300000000000018
13.750,52,0,0.16699999999999982
13.917,52,0,0.25
14.167,52,0,0.08300000000000018
14.250,52,0,0.08300000000000018
14.333,52,0,0.08399999999999963
14.417,52,0,0.08300000000000018
14.500,55,3,0.16699999999999982
14.667,52,0,0.5
15.167,54,2,0.08300000000000018
15.250,54,2,0.16699999999999982
15.417,54,2,0.08300000000000018
15.500,56,4,0.16699999999999982
15.667,47,7,0.16600000000000037
15.833,49,9,0.08399999999999963
15.917,52,0,0.08300000000000018
16.000,52,0,0.6670000000000016
16.667,64,0,0.25
16.917,64,0,0.08299999999999841
17.000,64,0,0.08299999999999841
17.083,64,0,0.08400000000000318
17.167,64,0,0.25
17.417,59,7,0.08299999999999841
17.500,62,10,0.08299999999999841
17.583,59,7,0.08400000000000318
17.667,62,10,0.25
17.917,59,7,0.08299999999999841
18.000,64,0,0.1670000000000016
18.167,64,0,0.16599999999999682
18.333,64,0,0.08400000000000318
18.417,59,7,0.08299999999999841
18.500,62,10,0.3329999999999984
18.833,59,7,0.08400000000000318
18.917,59,7,0.08299999999999841
19.000,64,0,0.1670000000000016
19.167,66,2,0.08299999999999841
19.250,67,3,0.08299999999999841
19.333,64,0,0.08400000000000318
19.417,66,2,0.08299999999999841
19.500,64,0,0.1670000000000016
19.667,62,10,0.08299999999999841
19.750,59,7,0.08299999999999841
19.833,59,7,0.08400000000000318
19.917,59,7,0.08299999999999841
20.000,59,7,0.08299999999999841
20.083,52,0,0.08400000000000318
20.167,52,0,0.08299999999999841
20.250,52,0,0.08299999999999841
20.333,52,0,0.08400000000000318
20.417,52,0,0.08299999999999841
20.500,52,0,0.1670000000000016
20.667,52,0,0.08299999999999841
20.750,52,0,0.08299999999999841
20.833,52,0,0.08400000000000318
20.917,52,0,0.25
21.167,52,0,0.08299999999999841
21.250,52,0,0.08299999999999841
21.333,52,0,0.08400000000000318
21.417,52,0,0.08299999999999841
21.500,55,3,0.1670000000000016
21.667,52,0,0.08299999999999841
21.750,52,0,0.1670000000000016
21.917,52,0,0.25
22.167,52,0,0.08299999999999841
22.250,52,0,0.1670000000000016
22.417,52,0,0.08299999999999841
22.500,55,3,0.1670000000000016
22.667,52,0,0.5
23.167,54,2,0.08299999999999841
23.250,54,2,0.1670000000000016
23.417,54,2,0.08299999999999841
23.500,56,4,0.1670000000000016
23.667,47,7,0.16599999999999682
23.833,49,9,0.08400000000000318
23.917,52,0,0.08299999999999841
24.000,52,0,0.6670000000000016
24.667,64,0,0.25
24.917,61,9,0.08299999999999841
25.000,64,0,0.1670000000000016
25.167,64,0,0.16599999999999682
25.333,64,0,0.08400000000000318
25.417,59,7,0.08299999999999841
25.500,62,10,0.1670000000000016
25.667,64,0,0.16599999999999682
25.833,59,7,0.08400000000000318
25.917,59,7,0.08299999999999841
26.000,64,0,0.08299999999999841
26.083,64,0,0.08400000000000318
26.167,64,0,0.25
26.417,59,7,0.08299999999999841
26.500,62,10,0.3329999999999984
26.833,59,7,0.08400000000000318
26.917,59,7,0.08299999999999841
27.000,64,0,0.1670000000000016
27.167,66,2,0.08299999999999841
27.250,67,3,0.08299999999999841
27.333,64,0,0.08400000000000318
27.417,66,2,0.08299999999999841
27.500,64,0,0.1670000000000016
27.667,62,10,0.08299999999999841
27.750,59,7,0.1670000000000016
27.917,61,9,0.25
28.167,62,10,0.08299999999999841
28.250,59,7,0.1670000000000016
28.417,57,5,0.08299999999999841
28.500,55,3,0.1670000000000016
28.667,52,0,0.08299999999999841
28.750,52,0,0.08299999999999841
28.833,52,0,0.08400000000000318
28.917,52,0,0.08299999999999841
29.000,52,0,0.08299999999999841
29.083,52,0,0.08400000000000318
29.167,52,0,0.08299999999999841
29.250,52,0,0.08299999999999841
29.333,52,0,0.08400000000000318
29.417,52,0,0.08299999999999841
29.500,55,3,0.1670000000000016
29.667,52,0,0.08299999999999841
29.750,52,0,0.1670000000000016
