time,note,scale degree,length
0.000,66,9,0.875
0.875,64,7,0.125
1.000,65,8,0.25
1.250,64,7,0.125
1.375,64,7,0.375
1.750,62,5,0.25
2.000,67,10,0.625
2.625,59,2,0.25
2.875,62,5,0.125
3.000,65,8,0.125
3.125,64,7,0.25
3.375,64,7,0.25
3.625,62,5,0.25
3.875,59,2,0.125
4.000,68,11,0.625
4.625,59,2,0.125
4.750,62,5,0.125
4.875,59,2,0.125
5.000,66,9,0.25
5.250,64,7,0.125
5.375,64,7,0.625
6.000,73,4,0.375
6.375,71,2,0.125
6.500,69,0,1.75
8.250,61,4,0.125
8.375,61,4,0.375
8.750,61,4,0.25
9.000,61,4,0.25
9.250,61,4,0.125
9.375,61,4,0.25
9.625,61,4,0.375
10.000,61,4,0.25
10.250,61,4,0.125
10.375,61,4,0.25
10.625,64,7,0.25
10.875,61,4,0.625
11.500,59,2,0.125
11.625,57,0,0.5
12.125,60,3,0.125
12.250,61,4,0.125
12.375,60,3,0.125
12.500,61,4,0.25
12.750,60,3,0.25
13.000,61,4,0.125
13.125,60,3,0.25
13.375,61,4,0.125
13.500,61,4,0.5
14.000,62,5,0.25
14.250,62,5,0.25
14.500,62,5,0.125
14.625,62,5,0.25
14.875,61,4,1.375
16.250,61,4,0.25
16.500,61,4,0.25
16.750,61,4,0.25
17.000,61,4,0.25
17.250,61,4,0.125
17.375,61,4,0.25
17.625,61,4,0.375
18.000,61,4,0.25
18.250,61,4,0.25
18.500,61,4,0.25
18.750,64,7,0.25
19.000,61,4,0.5
19.500,59,2,0.125
19.625,57,0,0.625
20.250,61,4,0.125
20.375,60,3,0.125
20.500,61,4,0.375
20.875,60,3,0.125
21.000,61,4,0.125
21.125,60,3,0.125
21.250,61,4,0.625
21.875,57,0,0.125
22.000,62,5,0.25
22.250,62,5,0.25
22.500,62,5,0.25
22.750,62,5,0.125
22.875,61,4,1.125
24.000,64,7,0.25
24.250,64,7,0.25
24.500,64,7,0.125
24.625,64,7,0.25
24.875,64,7,0.125
25.000,62,5,0.25
25.250,62,5,0.25
25.500,61,4,0.25
25.750,59,2,0.25
26.000,62,5,0.5
