time,note,scale degree,length
7.875,54,4,1.625
9.500,54,4,0.125
9.625,52,2,0.125
9.750,50,0,0.125
9.875,50,0,1.875
11.750,52,2,0.125
11.875,54,4,1.625
13.500,54,4,0.125
13.625,54,4,0.125
13.750,50,0,0.125
13.875,50,0,2.0
15.875,52,2,0.125
16.000,55,5,0.125
16.125,55,5,1.25
17.375,55,5,0.125
17.500,55,5,0.125
17.625,57,7,0.125
17.750,59,9,0.125
17.875,57,7,1.875
19.750,54,4,0.125
19.875,47,9,0.125
20.000,55,5,0.125
20.125,52,2,1.375
21.500,50,0,0.125
21.625,45,7,0.125
21.750,50,0,0.125
21.875,47,9,0.125
22.000,45,7,1.5
23.500,54,4,0.125
23.625,50,0,0.125
23.750,45,7,0.125
23.875,60,10,0.125
24.000,57,7,1.5
25.500,47,9,0.125
25.625,50,0,0.125
25.750,50,0,0.125
25.875,47,9,0.125
26.000,45,7,1.875
27.875,45,7,0.125
28.000,54,4,1.375
29.375,45,7,0.125
29.500,54,4,0.125
29.625,50,0,0.125
29.750,47,9,0.125
29.875,52,2,0.125
30.000,50,0,1.875
31.875,45,7,0.125
32.000,54,4,0.125
32.125,54,4,1.375
33.500,50,0,0.125
33.625,53,3,0.125
33.750,54,4,0.1880000000000024
33.938,47,9,0.06199999999999761
34.000,50,0,1.625
35.625,57,7,0.125
35.750,57,7,0.125
35.875,57,7,0.125
36.000,54,4,1.375
37.375,45,7,0.125
37.500,50,0,0.125
37.625,50,0,0.125
37.750,50,0,0.125
37.875,50,0,1.75
39.625,59,9,0.125
39.750,57,7,0.125
39.875,59,9,0.125
40.000,57,7,1.375
41.375,42,4,0.125
41.500,50,0,0.125
41.625,50,0,0.125
41.750,43,5,2.125
43.875,52,2,0.125
44.000,55,5,0.125
44.125,55,5,1.25
45.375,55,5,0.125
45.500,55,5,0.125
45.625,57,7,0.125
45.750,59,9,0.125
45.875,57,7,0.125
46.000,54,4,1.5
47.500,54,4,0.125
47.625,47,9,0.125
47.750,50,0,0.125
47.875,50,0,1.625
49.500,50,0,0.125
49.625,50,0,0.125
49.750,50,0,0.125
49.875,47,9,0.125
50.000,45,7,1.5
51.500,54,4,0.125
51.625,50,0,0.125
51.750,54,4,0.125
51.875,60,10,0.125
52.000,52,2,1.375
53.375,43,5,0.125
53.500,50,0,0.125
53.625,50,0,0.125
53.750,50,0,0.125
53.875,47,9,0.125
54.000,45,7,1.125
55.125,50,0,0.125
55.250,50,0,0.125
55.375,47,9,0.125
55.500,45,7,8.5
64.000,54,4,1.375
65.375,54,4,0.125
65.500,54,4,0.125
65.625,52,2,0.125
65.750,50,0,0.125
65.875,50,0,1.875
67.750,50,0,0.125
67.875,50,0,0.06300000000000239
67.938,54,4,0.1869999999999976
68.125,54,4,1.25
69.375,54,4,0.125
69.500,54,4,0.125
69.625,50,0,0.125
69.750,50,0,0.125
69.875,50,0,2.0
71.875,52,2,0.125
72.000,55,5,0.125
72.125,55,5,0.875
73.000,55,5,0.125
73.125,55,5,0.25
73.375,55,5,0.125
73.500,55,5,0.125
73.625,55,5,0.125
73.750,55,5,0.125
73.875,55,5,0.125
74.000,54,4,1.75
75.750,55,5,0.125
75.875,54,4,0.125
76.000,54,4,0.125
76.125,52,2,1.25
77.375,52,2,0.125
77.500,55,5,0.125
77.625,55,5,0.125
77.750,55,5,0.125
77.875,55,5,0.125
78.000,54,4,1.375
79.375,57,7,0.125
79.500,59,9,0.125
79.625,55,5,0.125
79.750,54,4,0.125
79.875,58,8,0.125
80.000,55,5,1.5
81.500,57,7,0.125
81.625,55,5,0.125
81.750,55,5,0.125
81.875,55,5,0.125
82.000,54,4,10.0
92.000,66,4,1.5
93.500,66,4,0.125
93.625,64,2,0.125
93.750,62,0,0.125
93.875,64,2,2.0
95.875,57,7,0.125
96.000,66,4,1.5
97.500,66,4,0.125
97.625,66,4,0.125
97.750,64,2,0.125
97.875,64,2,0.25
98.125,62,0,1.75
99.875,62,0,0.125
100.000,67,5,0.125
100.125,67,5,1.25
101.375,67,5,0.125
101.500,67,5,0.125
101.625,69,7,0.125
101.750,71,9,0.125
101.875,71,9,0.25
102.125,66,4,1.375
103.500,67,5,0.125
103.625,66,4,0.125
103.750,62,0,0.125
103.875,66,4,0.125
104.000,62,0,1.5
105.500,62,0,0.125
105.625,62,0,0.125
105.750,62,0,0.125
105.875,59,9,0.125
106.000,57,7,1.75
107.750,66,4,0.125
107.875,62,0,0.125
108.000,64,2,0.125
108.125,66,4,1.375
109.500,62,0,0.125
109.625,62,0,0.125
109.750,62,0,0.125
109.875,62,0,0.25
110.125,60,10,1.875
112.000,66,4,1.5
113.500,66,4,0.1670000000000016
113.667,64,2,0.16599999999999682
113.833,64,2,0.1670000000000016
114.000,64,2,0.375
114.375,62,0,1.625
116.000,66,4,0.25
116.250,66,4,1.375
117.625,64,2,0.1869999999999976
117.812,62,0,0.06300000000000239
117.875,62,0,1.875
119.750,62,0,0.06199999999999761
119.812,62,0,0.06300000000000239
119.875,66,4,1.75
121.625,66,4,0.25
121.875,64,2,0.125
122.000,64,2,0.125
122.125,62,0,0.125
122.250,62,0,0.125
122.375,64,2,1.25
123.625,62,0,0.125
123.750,62,0,0.125
123.875,66,4,1.25
125.125,66,4,0.125
125.250,66,4,0.25
125.500,66,4,0.125
125.625,62,0,0.125
125.750,62,0,0.125
125.875,62,0,1.75
127.625,62,0,0.125
127.750,62,0,0.125
127.875,66,4,1.75
129.625,66,4,0.125
129.750,64,2,0.125
129.875,66,4,0.25
130.125,62,0,0.25
130.375,60,10,1.25
131.625,66,4,0.125
131.750,66,4,0.06200000000001182
131.812,64,2,0.06299999999998818
131.875,66,4,0.125
132.000,66,4,1.375
133.375,62,0,0.125
133.500,66,4,0.125
133.625,64,2,0.125
133.750,62,0,0.125
133.875,67,5,0.125
134.000,66,4,1.375
135.375,65,3,0.125
135.500,66,4,0.125
135.625,65,3,0.125
135.750,64,2,0.125
135.875,67,5,0.125
136.000,64,2,1.5
137.500,62,0,0.125
137.625,62,0,0.125
137.750,62,0,0.25
138.000,59,9,0.125
138.125,57,7,3.375
141.500,66,4,0.125
141.625,66,4,0.125
141.750,66,4,0.125
141.875,64,2,0.25
142.125,62,0,3.375
145.500,66,4,0.125
145.625,66,4,0.125
145.750,66,4,0.125
145.875,64,2,0.25
146.125,62,0,3.375
149.500,66,4,0.125
149.625,66,4,0.125
149.750,66,4,0.125
149.875,64,2,0.25
150.125,62,0,1.375
151.500,62,0,0.125
151.625,62,0,0.125
151.750,62,0,0.25
152.000,59,9,0.125
152.125,57,7,1.375
153.500,62,0,0.125
153.625,62,0,0.125
153.750,62,0,0.125
153.875,62,0,0.125
154.000,64,2,0.125
154.125,62,0,0.125
154.250,62,0,1.5
155.750,66,4,0.25
156.000,66,4,0.125
156.125,66,4,1.25
157.375,67,5,0.125
157.500,67,5,0.125
157.625,69,7,0.125
157.750,71,9,0.125
157.875,69,7,0.25
158.125,64,2,0.125
158.250,66,4,1.25
159.500,66,4,0.125
159.625,64,2,0.125
159.750,62,0,0.125
159.875,64,2,1.375
161.250,62,0,0.125
161.375,59,9,0.06299999999998818
161.438,62,0,0.06200000000001182
161.500,62,0,0.06200000000001182
161.562,62,0,0.25
161.812,62,0,1.5629999999999882
163.375,65,3,0.125
163.500,67,5,0.125
163.625,67,5,0.125
163.750,67,5,0.125
163.875,66,4,0.125
164.000,64,2,1.5
165.500,62,0,0.125
165.625,59,9,0.125
165.750,62,0,0.25
