time,note,scale degree,length
7.875,55,0,0.125
8.000,59,4,0.125
8.125,55,0,0.375
8.500,55,0,0.125
8.625,55,0,0.25
8.875,58,3,0.125
9.000,59,4,0.125
9.125,58,3,0.25
9.375,55,0,0.25
9.625,55,0,0.125
9.750,53,10,0.125
9.875,53,10,0.125
10.000,55,0,1.875
11.875,55,0,0.125
12.000,58,3,0.125
12.125,57,2,0.125
12.250,55,0,0.125
12.375,58,3,0.125
12.500,57,2,0.125
12.625,55,0,0.25
12.875,58,3,0.25
13.125,57,2,0.125
13.250,55,0,0.25
13.500,55,0,0.125
13.625,55,0,0.25
13.875,57,2,2.0
15.875,55,0,0.125
16.000,59,4,0.125
16.125,55,0,0.375
16.500,55,0,0.25
16.750,55,0,0.125
16.875,58,3,0.25
17.125,57,2,0.25
17.375,55,0,0.25
17.625,55,0,0.25
17.875,53,10,0.25
18.125,55,0,1.5
19.625,55,0,0.125
19.750,55,0,0.125
19.875,67,0,0.25
20.125,62,7,0.25
20.375,58,3,0.25
20.625,55,0,0.375
21.000,62,7,0.25
21.250,55,0,0.125
21.375,55,0,0.25
21.625,59,4,0.125
21.750,57,2,0.125
21.875,55,0,1.75
23.625,62,7,0.125
23.750,62,7,0.125
23.875,67,0,0.75
24.625,65,10,0.125
24.750,62,7,0.125
24.875,60,5,0.125
25.000,62,7,0.625
25.625,64,9,0.125
25.750,58,3,0.25
26.000,59,4,0.062000000000001165
26.062,55,0,1.9379999999999988
28.000,67,0,0.125
28.125,67,0,0.375
28.500,62,7,0.125
28.625,62,7,0.375
29.000,62,7,0.125
29.125,62,7,0.25
29.375,59,4,0.125
29.500,62,7,0.125
29.625,64,9,0.125
29.750,58,3,0.125
29.875,57,2,0.125
30.000,55,0,1.875
31.875,55,0,0.125
32.000,59,4,0.125
32.125,55,0,0.375
32.500,55,0,0.125
32.625,55,0,0.25
32.875,58,3,0.25
33.125,57,2,0.25
33.375,55,0,0.25
33.625,55,0,0.25
33.875,53,10,0.125
34.000,55,0,1.875
35.875,55,0,0.125
36.000,59,4,0.125
36.125,62,7,0.375
36.500,58,3,0.125
36.625,57,2,0.125
36.750,55,0,0.125
36.875,58,3,0.25
37.125,57,2,0.375
37.500,55,0,0.125
37.625,55,0,0.25
37.875,57,2,2.0
39.875,55,0,0.125
40.000,59,4,0.125
40.125,55,0,0.375
40.500,55,0,0.125
40.625,55,0,0.25
40.875,58,3,0.25
41.125,57,2,0.25
41.375,55,0,0.25
41.625,55,0,0.25
41.875,53,10,0.25
42.125,55,0,1.75
43.875,55,0,0.125
44.000,65,10,0.125
44.125,65,10,0.25
44.375,58,3,0.25
44.625,55,0,0.375
45.000,62,7,0.25
45.250,57,2,0.125
45.375,58,3,0.25
45.625,58,3,0.125
45.750,57,2,0.125
45.875,55,0,1.75
47.625,62,7,0.125
47.750,62,7,0.125
47.875,67,0,0.75
48.625,65,10,0.125
48.750,62,7,0.125
48.875,60,5,0.125
49.000,62,7,0.625
49.625,64,9,0.125
49.750,58,3,0.25
50.000,59,4,0.06199999999999761
50.062,55,0,1.9380000000000024
52.000,67,0,0.125
52.125,67,0,0.375
52.500,62,7,0.125
52.625,62,7,0.375
53.000,62,7,0.125
53.125,62,7,0.25
53.375,59,4,0.125
53.500,62,7,0.125
53.625,64,9,0.125
53.750,58,3,0.125
53.875,57,2,0.125
54.000,55,0,17.625
71.625,62,7,0.125
71.750,62,7,0.125
71.875,67,0,0.75
72.625,65,10,0.125
72.750,62,7,0.125
72.875,60,5,0.125
73.000,62,7,0.625
73.625,64,9,0.125
73.750,58,3,0.25
74.000,59,4,0.06199999999999761
74.062,55,0,1.9380000000000024
76.000,67,0,0.125
76.125,67,0,0.375
76.500,62,7,0.125
76.625,62,7,0.375
77.000,62,7,0.125
77.125,62,7,0.25
77.375,59,4,0.125
77.500,62,7,0.125
77.625,64,9,0.125
77.750,58,3,0.125
77.875,57,2,0.125
78.000,55,0,1.625
79.625,62,7,0.125
79.750,62,7,0.125
79.875,67,0,0.75
80.625,65,10,0.125
80.750,62,7,0.125
80.875,60,5,0.125
81.000,62,7,0.625
81.625,64,9,0.125
81.750,58,3,0.25
82.000,59,4,0.06199999999999761
82.062,55,0,1.9380000000000024
84.000,67,0,0.125
84.125,67,0,0.375
84.500,62,7,0.125
84.625,62,7,0.375
85.000,62,7,0.125
85.125,62,7,0.25
85.375,59,4,0.125
85.500,62,7,0.125
85.625,64,9,0.125
85.750,58,3,0.125
85.875,57,2,0.125
