time,note,scale degree,length
3.375,59,7,0.125
3.500,62,10,0.125
3.625,64,0,0.25
3.875,64,0,0.625
4.500,64,0,0.125
4.625,62,10,0.25
4.875,66,2,0.06299999999999972
4.938,64,0,0.6870000000000003
5.625,57,5,0.125
5.750,64,0,0.25
6.000,64,0,0.5
6.500,64,0,0.125
6.625,62,10,0.25
6.875,66,2,0.06299999999999972
6.938,64,0,0.8120000000000003
7.750,64,0,0.125
7.875,62,10,0.125
8.000,64,0,0.25
8.250,62,10,0.125
8.375,59,7,0.5
8.875,64,0,0.125
9.000,66,2,0.375
9.375,64,0,0.125
9.500,62,10,0.25
9.750,64,0,0.125
9.875,62,10,0.25
10.125,59,7,1.625
11.750,63,11,0.25
12.000,59,7,0.5
12.500,61,9,0.125
12.625,63,11,0.25
12.875,64,0,0.625
13.500,66,2,0.125
13.625,67,3,0.25
13.875,66,2,0.25
14.125,64,0,0.75
14.875,76,0,0.75
15.625,64,0,0.125
15.750,64,0,0.25
16.000,64,0,0.5
16.500,62,10,0.5
17.000,59,7,0.625
17.625,55,3,0.25
17.875,55,3,0.125
18.000,52,0,1.75
19.750,64,0,0.125
19.875,64,0,0.625
20.500,64,0,0.125
20.625,62,10,0.25
20.875,66,2,0.06299999999999883
20.938,64,0,0.8120000000000012
21.750,64,0,0.125
21.875,64,0,0.5
22.375,64,0,0.25
22.625,62,10,0.25
22.875,66,2,0.06299999999999883
22.938,64,0,0.8120000000000012
23.750,64,0,0.125
23.875,62,10,0.125
24.000,64,0,0.25
24.250,62,10,0.125
24.375,59,7,0.5
24.875,66,2,0.25
25.125,66,2,0.125
25.250,64,0,0.125
25.375,62,10,0.375
25.750,64,0,0.125
25.875,62,10,0.25
26.125,59,7,1.875
28.000,59,7,0.5
28.500,61,9,0.125
28.625,63,11,0.25
28.875,64,0,0.625
29.500,66,2,0.125
29.625,67,3,0.25
29.875,66,2,0.25
30.125,64,0,0.75
30.875,76,0,0.75
31.625,64,0,0.125
31.750,64,0,0.25
32.000,64,0,0.5
32.500,62,10,0.5
33.000,59,7,0.625
33.625,55,3,0.25
33.875,55,3,0.125
34.000,52,0,1.5
35.500,61,9,0.25
35.750,64,0,0.25
36.000,67,3,0.5
36.500,66,2,0.375
36.875,64,0,0.625
37.500,61,9,0.25
37.750,64,0,0.25
38.000,67,3,0.5
38.500,66,2,0.375
38.875,64,0,0.625
39.500,61,9,0.25
39.750,64,0,0.25
40.000,67,3,0.5
40.500,66,2,0.5
41.000,64,0,0.5
41.500,64,0,0.5
