time,note,scale degree,length
11.375,53,0,6.875
18.250,53,0,0.25
18.500,53,0,0.25
18.750,53,0,0.25
19.000,55,2,0.5
19.500,55,2,0.375
19.875,55,2,0.375
20.250,57,4,0.25
20.500,56,3,0.25
20.750,55,2,0.25
21.000,53,0,1.25
22.250,53,0,0.25
22.500,53,0,0.25
22.750,53,0,0.25
23.000,55,2,0.5
23.500,55,2,0.5
24.000,55,2,0.25
24.250,56,3,0.125
24.375,56,3,0.375
24.750,55,2,0.25
25.000,53,0,1.25
26.250,53,0,0.25
26.500,55,2,0.25
26.750,57,4,0.125
26.875,58,5,0.625
27.500,58,5,0.5
28.000,58,5,0.25
28.250,62,9,0.125
28.375,60,7,0.375
28.750,58,5,0.25
29.000,55,2,0.25
29.250,57,4,1.0
30.250,53,0,0.125
30.375,52,11,0.375
30.750,50,9,0.25
31.000,48,7,1.25
32.250,55,2,0.25
32.500,53,0,0.25
32.750,52,11,0.25
33.000,53,0,3.5
36.500,46,0,5.75
42.250,46,0,0.25
42.500,46,0,0.25
42.750,46,0,0.25
43.000,48,2,0.25
43.250,48,2,0.25
43.500,48,2,0.25
43.750,48,2,0.125
43.875,48,2,0.375
44.250,50,4,0.25
44.500,50,4,0.125
44.625,48,2,0.375
45.000,46,0,1.25
46.250,46,0,0.25
46.500,46,0,0.25
46.750,46,0,0.25
47.000,48,2,0.75
47.750,48,2,0.125
47.875,48,2,0.375
48.250,50,4,0.125
48.375,50,4,0.375
48.750,50,4,0.125
48.875,48,2,0.375
49.250,46,0,1.0
50.250,46,0,0.25
50.500,48,2,0.25
50.750,50,4,0.25
51.000,51,5,0.75
51.750,51,5,0.125
51.875,51,5,0.375
52.250,55,9,0.125
52.375,53,7,0.375
52.750,51,5,0.25
53.000,50,4,1.25
54.250,46,0,0.125
54.375,45,11,0.375
54.750,43,9,0.25
55.000,41,7,1.25
56.250,48,2,0.25
56.500,46,0,0.25
56.750,45,11,0.25
57.000,46,0,3.5
60.500,51,0,5.75
66.250,51,0,0.25
66.500,51,0,0.25
66.750,51,0,0.25
67.000,53,2,0.5
67.500,53,2,0.375
67.875,53,2,0.375
68.250,55,4,0.25
68.500,55,4,0.25
68.750,53,2,0.25
69.000,51,0,1.25
70.250,51,0,0.25
70.500,51,0,0.25
70.750,51,0,0.25
71.000,53,2,0.5
71.500,53,2,0.375
71.875,53,2,0.375
72.250,56,5,0.375
72.625,55,4,0.125
72.750,53,2,0.25
73.000,51,0,1.25
74.250,51,0,0.25
74.500,53,2,0.25
74.750,55,4,0.25
75.000,56,5,0.5
75.500,56,5,0.375
75.875,56,5,0.375
76.250,58,7,0.125
76.375,60,9,0.25
76.625,58,7,0.125
76.750,56,5,0.25
77.000,55,4,1.25
78.250,51,0,0.25
78.500,50,11,0.25
78.750,48,9,0.25
79.000,46,7,1.25
80.250,53,2,0.25
80.500,51,0,0.25
80.750,50,11,0.25
81.000,51,0,3.5
84.500,46,0,6.75
91.250,46,0,0.25
91.500,46,0,0.25
91.750,46,0,0.25
92.000,48,2,0.75
92.750,48,2,0.125
92.875,48,2,0.375
93.250,49,3,0.125
93.375,49,3,0.25
93.625,48,2,0.375
94.000,46,0,1.25
95.250,46,0,0.25
95.500,46,0,0.25
95.750,46,0,0.25
96.000,48,2,0.75
96.750,48,2,0.25
97.000,48,2,0.25
97.250,49,3,0.125
97.375,49,3,0.25
97.625,49,3,0.125
97.750,48,2,0.25
98.000,46,0,1.25
99.250,46,0,0.25
99.500,48,2,0.25
99.750,50,4,0.25
100.000,51,5,0.25
100.250,51,5,0.25
100.500,51,5,0.125
100.625,51,5,0.25
100.875,51,5,0.375
101.250,55,9,0.125
101.375,53,7,0.375
101.750,51,5,0.25
102.000,50,4,1.25
103.250,46,0,0.25
103.500,45,11,0.25
103.750,43,9,0.25
104.000,41,7,1.25
105.250,48,2,0.25
105.500,46,0,0.25
105.750,45,11,0.25
106.000,46,0,3.75
109.750,41,0,6.5
116.250,41,0,0.25
116.500,41,0,0.25
116.750,41,0,0.25
117.000,43,2,0.5
117.500,43,2,0.375
117.875,43,2,0.375
118.250,45,4,0.25
118.500,45,4,0.25
118.750,43,2,0.25
119.000,41,0,1.25
120.250,41,0,0.25
120.500,41,0,0.25
120.750,41,0,0.25
121.000,43,2,0.625
121.625,43,2,0.375
122.000,43,2,0.25
122.250,45,4,0.125
122.375,45,4,0.375
122.750,43,2,0.25
123.000,41,0,1.25
124.250,41,0,0.25
124.500,43,2,0.25
124.750,45,4,0.25
125.000,46,5,0.5
125.500,46,5,0.5
126.000,46,5,0.25
126.250,50,9,0.25
126.500,48,7,0.25
126.750,46,5,0.25
127.000,43,2,0.25
127.250,45,4,1.0
128.250,41,0,0.125
128.375,40,11,0.375
128.750,38,9,0.25
129.000,36,7,1.25
130.250,43,2,0.25
130.500,41,0,0.25
130.750,40,11,0.25
