time,note,scale degree,length
7.812,75,7,0.18799999999999972
8.000,72,4,0.375
8.375,70,2,0.375
8.750,72,4,0.125
8.875,70,2,0.06300000000000061
8.938,68,0,0.06199999999999939
9.000,70,2,0.125
9.125,68,0,0.5
9.625,68,0,0.06300000000000061
9.688,65,9,0.06199999999999939
9.750,70,2,0.06199999999999939
9.812,65,9,0.06300000000000061
9.875,65,9,0.4369999999999994
10.312,70,2,0.1880000000000006
10.500,68,0,1.5
12.000,63,7,0.06199999999999939
12.062,65,9,0.12600000000000122
12.188,68,0,0.12399999999999878
12.312,70,2,0.12600000000000122
12.438,70,2,0.12399999999999878
12.562,65,9,0.12600000000000122
12.688,65,9,0.25
12.938,65,9,0.06199999999999939
13.000,63,7,0.06199999999999939
13.062,63,7,0.06300000000000061
13.125,65,9,0.125
13.250,68,0,0.06199999999999939
13.312,70,2,0.12600000000000122
13.438,72,4,0.4369999999999994
13.875,72,4,0.125
14.000,75,7,0.06199999999999939
14.062,72,4,0.12600000000000122
14.188,72,4,0.12399999999999878
14.312,70,2,0.12600000000000122
14.438,72,4,0.12399999999999878
14.562,68,0,0.12600000000000122
14.688,68,0,0.12399999999999878
14.812,65,9,0.1880000000000006
15.000,68,0,0.125
15.125,65,9,0.125
15.250,68,0,0.06199999999999939
15.312,68,0,0.12600000000000122
15.438,65,9,0.12399999999999878
15.562,63,7,0.3130000000000006
15.875,63,7,0.125
16.000,63,7,0.125
16.125,65,9,0.125
16.250,68,0,0.125
16.375,70,2,0.06299999999999883
16.438,70,2,0.12400000000000233
16.562,65,9,0.12599999999999767
16.688,65,9,0.18700000000000117
16.875,63,7,0.125
17.000,63,7,0.125
17.125,65,9,0.125
17.250,68,0,0.062000000000001165
17.312,70,2,0.12599999999999767
17.438,72,4,0.5620000000000012
18.000,75,7,0.125
18.125,72,4,0.125
18.250,72,4,0.125
18.375,70,2,0.06299999999999883
18.438,72,4,0.12400000000000233
18.562,68,0,0.12599999999999767
18.688,70,2,0.25
18.938,63,7,0.062000000000001165
19.000,65,9,0.125
19.125,65,9,0.125
19.250,65,9,0.062000000000001165
19.312,65,9,0.12599999999999767
19.438,63,7,0.5620000000000012
20.000,75,7,0.25
20.250,72,4,0.062000000000001165
20.312,70,2,0.12599999999999767
20.438,68,0,0.12400000000000233
20.562,70,2,0.12599999999999767
20.688,72,4,0.12400000000000233
20.812,68,0,0.12599999999999767
20.938,70,2,1.0620000000000012
22.000,72,4,0.25
22.250,72,4,0.25
22.500,72,4,0.25
22.750,72,4,0.25
23.000,72,4,0.18799999999999883
23.188,70,2,0.062000000000001165
23.250,68,0,0.18799999999999883
23.438,72,4,0.12400000000000233
23.562,68,0,0.06299999999999883
23.625,70,2,0.125
23.750,68,0,0.25
24.000,75,7,0.25
24.250,72,4,0.062000000000001165
24.312,70,2,0.12599999999999767
24.438,68,0,0.12400000000000233
24.562,70,2,0.12599999999999767
24.688,72,4,0.25
24.938,68,0,0.062000000000001165
25.000,70,2,0.125
25.125,68,0,0.06299999999999883
25.188,65,9,0.6870000000000012
25.875,68,0,0.125
26.000,72,4,0.25
26.250,72,4,0.25
26.500,72,4,0.25
26.750,72,4,0.25
27.000,72,4,0.5
27.500,68,0,0.125
27.625,70,2,0.25
27.875,68,0,0.5629999999999988
28.438,65,9,0.12400000000000233
28.562,68,0,0.12599999999999767
28.688,70,2,0.12400000000000233
28.812,65,9,0.6259999999999977
29.438,73,5,0.12400000000000233
29.562,72,4,0.12599999999999767
29.688,70,2,0.12400000000000233
29.812,68,0,0.6259999999999977
30.438,65,9,0.12400000000000233
30.562,68,0,0.12599999999999767
30.688,70,2,0.12400000000000233
30.812,65,9,0.6259999999999977
31.438,73,5,0.12400000000000233
31.562,72,4,0.12599999999999767
31.688,70,2,0.12400000000000233
31.812,68,0,0.18799999999999883
32.000,75,7,0.1880000000000024
32.188,72,4,0.06199999999999761
32.250,72,4,0.125
32.375,70,2,0.06300000000000239
32.438,72,4,0.12399999999999523
32.562,68,0,0.12600000000000477
32.688,70,2,0.06199999999999761
32.750,65,9,0.125
32.875,65,9,0.125
33.000,68,0,0.125
33.125,68,0,0.125
33.250,68,0,0.06199999999999761
33.312,68,0,0.12600000000000477
33.438,72,4,0.5619999999999976
34.000,70,2,0.125
34.125,70,2,0.06300000000000239
34.188,72,4,0.12399999999999523
34.312,68,0,0.06300000000000239
34.375,68,0,0.125
34.500,65,9,0.375
34.875,63,7,0.125
35.000,68,0,0.125
35.125,65,9,0.125
35.250,68,0,0.125
35.375,68,0,0.06300000000000239
35.438,65,9,0.06199999999999761
35.500,63,7,0.5
36.000,75,7,0.125
36.125,72,4,0.125
36.250,72,4,0.125
36.375,70,2,0.06300000000000239
36.438,70,2,0.12399999999999523
36.562,68,0,0.06300000000000239
36.625,70,2,0.125
36.750,68,0,0.125
36.875,65,9,0.125
37.000,68,0,0.125
37.125,68,0,0.125
37.250,68,0,0.125
37.375,68,0,0.06300000000000239
37.438,72,4,0.5619999999999976
