time,note,scale degree,length
8.625,53,3,0.625
9.250,50,0,0.125
9.375,47,9,0.125
9.500,50,0,0.125
9.625,52,2,0.25
9.875,54,4,2.75
12.625,53,3,0.06300000000000061
12.688,53,3,0.12399999999999878
12.812,53,3,0.1880000000000006
13.000,53,3,0.125
13.125,47,9,0.5
13.625,48,10,0.125
13.750,50,0,0.125
13.875,54,4,2.375
16.250,54,4,0.125
16.375,54,4,0.125
16.500,54,4,0.125
16.625,52,2,0.125
16.750,50,0,0.375
17.125,54,4,0.125
17.250,54,4,0.125
17.375,54,4,0.75
18.125,55,5,0.125
18.250,55,5,0.125
18.375,55,5,0.125
18.500,55,5,0.125
18.625,55,5,0.125
18.750,55,5,0.25
19.000,53,3,0.125
19.125,53,3,0.125
19.250,53,3,0.125
19.375,50,0,0.25
19.625,52,2,1.0
20.625,53,3,0.625
21.250,50,0,0.125
21.375,47,9,0.125
21.500,50,0,0.125
21.625,50,0,0.25
21.875,50,0,4.25
26.125,53,3,0.125
26.250,53,3,0.125
26.375,53,3,0.875
27.250,52,2,0.125
27.375,50,0,0.125
27.500,52,2,0.125
27.625,50,0,0.125
27.750,52,2,0.125
27.875,54,4,2.25
30.125,53,3,0.125
30.250,53,3,0.125
30.375,53,3,0.75
31.125,47,9,0.125
31.250,53,3,0.125
31.375,53,3,0.06299999999999883
31.438,52,2,0.18700000000000117
31.625,52,2,0.125
31.750,50,0,0.062000000000001165
31.812,47,9,0.06299999999999883
31.875,54,4,2.25
34.125,54,4,0.125
34.250,54,4,0.06199999999999761
34.312,54,4,0.06300000000000239
34.375,54,4,0.125
34.500,54,4,0.375
34.875,49,11,0.125
35.000,54,4,0.06199999999999761
35.062,54,4,0.12600000000000477
35.188,54,4,0.12399999999999523
35.312,54,4,0.12600000000000477
35.438,54,4,0.6869999999999976
36.125,55,5,0.125
36.250,55,5,0.125
36.375,55,5,0.25
36.625,55,5,0.125
36.750,55,5,0.125
36.875,55,5,0.125
37.000,52,2,0.06199999999999761
37.062,52,2,0.06300000000000239
37.125,53,3,0.125
37.250,53,3,0.125
37.375,53,3,0.125
37.500,50,0,0.125
37.625,52,2,1.0
38.625,53,3,0.625
39.250,50,0,0.125
39.375,47,9,0.125
39.500,50,0,0.125
39.625,50,0,0.25
39.875,50,0,4.25
44.125,53,3,0.125
44.250,53,3,0.125
44.375,53,3,0.75
45.125,50,0,0.125
45.250,53,3,0.25
45.500,53,3,0.125
45.625,53,3,0.25
45.875,53,3,2.25
48.125,54,4,0.125
48.250,52,2,0.25
48.500,54,4,0.75
49.250,52,2,0.125
49.375,50,0,0.125
49.500,52,2,0.25
49.750,52,2,0.125
49.875,53,3,2.25
52.125,54,4,0.125
52.250,54,4,0.125
52.375,54,4,0.125
52.500,54,4,0.125
52.625,54,4,0.375
53.000,54,4,0.125
53.125,54,4,0.125
53.250,54,4,0.125
53.375,54,4,0.75
54.125,55,5,0.125
54.250,55,5,0.125
54.375,55,5,0.125
54.500,55,5,0.125
54.625,55,5,0.125
54.750,55,5,0.125
54.875,53,3,0.125
55.000,52,2,0.125
55.125,52,2,0.125
55.250,53,3,0.125
55.375,53,3,0.125
55.500,50,0,0.125
55.625,52,2,1.0
56.625,53,3,0.625
57.250,50,0,0.125
57.375,47,9,0.125
57.500,50,0,0.125
57.625,50,0,0.25
57.875,50,0,22.25
80.125,53,3,0.125
80.250,53,3,0.25
80.500,53,3,0.25
80.750,53,3,0.375
81.125,50,0,0.125
81.250,53,3,0.25
81.500,53,3,0.125
81.625,50,0,0.25
81.875,54,4,2.25
84.125,50,0,0.06300000000000239
84.188,50,0,0.06199999999999761
84.250,53,3,0.125
84.375,53,3,0.06300000000000239
84.438,53,3,0.12399999999999523
84.562,53,3,0.06300000000000239
84.625,53,3,0.125
84.750,53,3,0.625
85.375,50,0,0.125
85.500,53,3,0.125
85.625,50,0,0.125
85.750,50,0,0.125
85.875,54,4,2.25
88.125,54,4,0.125
88.250,54,4,0.125
88.375,54,4,0.125
88.500,53,3,0.5
89.000,54,4,0.125
89.125,54,4,0.125
89.250,54,4,0.125
89.375,54,4,0.5
89.875,54,4,0.125
90.000,55,5,0.125
90.125,55,5,0.125
90.250,55,5,0.125
90.375,55,5,0.125
90.500,55,5,0.125
90.625,55,5,0.125
90.750,55,5,0.125
90.875,52,2,0.125
91.000,52,2,0.125
91.125,52,2,0.125
91.250,52,2,0.1880000000000024
91.438,50,0,0.06199999999999761
91.500,50,0,0.125
91.625,52,2,1.0
92.625,53,3,0.625
93.250,50,0,0.125
93.375,47,9,0.125
93.500,50,0,0.125
93.625,50,0,0.25
93.875,50,0,6.375
100.250,53,3,0.06199999999999761
100.312,53,3,0.06300000000000239
100.375,53,3,0.06300000000000239
100.438,53,3,0.06199999999999761
100.500,53,3,0.125
100.625,53,3,0.25
100.875,53,3,0.25
101.125,53,3,0.125
101.250,53,3,0.125
101.375,53,3,0.125
101.500,53,3,0.25
101.750,50,0,0.25
102.000,53,3,2.125
104.125,50,0,0.125
104.250,53,3,0.125
104.375,53,3,0.125
104.500,53,3,0.625
105.125,50,0,0.06300000000000239
105.188,53,3,0.12399999999999523
105.312,53,3,0.06300000000000239
105.375,53,3,0.125
105.500,53,3,0.125
105.625,52,2,0.125
105.750,50,0,0.125
105.875,54,4,2.25
108.125,54,4,0.125
108.250,54,4,0.125
108.375,54,4,0.125
108.500,54,4,0.375
108.875,54,4,0.125
109.000,54,4,0.125
109.125,54,4,0.06300000000000239
109.188,54,4,0.12399999999999523
109.312,54,4,0.1880000000000024
109.500,54,4,0.625
110.125,55,5,0.125
110.250,55,5,0.125
110.375,55,5,0.125
110.500,55,5,0.125
110.625,55,5,0.125
110.750,55,5,0.125
110.875,52,2,0.125
111.000,52,2,0.125
111.125,52,2,0.125
111.250,53,3,0.125
111.375,53,3,0.125
111.500,50,0,0.125
111.625,52,2,1.0
112.625,53,3,0.625
113.250,50,0,0.125
113.375,47,9,0.25
113.625,50,0,0.125
113.750,50,0,0.25
114.000,50,0,1.375
115.375,53,3,0.125
115.500,53,3,0.125
