time,note,scale degree,length
5.625,61,9,0.125
5.750,64,0,0.125
5.875,64,0,0.125
6.000,68,4,0.25
6.250,64,0,0.125
6.375,64,0,0.125
6.500,66,2,0.125
6.625,64,0,0.25
6.875,61,9,0.06299999999999972
6.938,59,7,0.6870000000000003
7.625,61,9,0.125
7.750,64,0,0.125
7.875,64,0,0.125
8.000,68,4,0.25
8.250,68,4,0.25
8.500,64,0,0.06199999999999939
8.562,66,2,0.06300000000000061
8.625,64,0,0.1869999999999994
8.812,64,0,0.1880000000000006
9.000,61,9,0.625
9.625,61,9,0.125
9.750,64,0,0.125
9.875,64,0,0.125
10.000,68,4,0.25
10.250,68,4,0.125
10.375,68,4,0.125
10.500,66,2,0.125
10.625,64,0,0.25
10.875,61,9,0.06300000000000061
10.938,59,7,0.06199999999999939
11.000,61,9,0.625
11.625,61,9,0.125
11.750,64,0,0.25
12.000,68,4,0.25
12.250,68,4,0.25
12.500,66,2,0.06199999999999939
12.562,64,0,0.1880000000000006
12.750,64,0,0.06199999999999939
12.812,66,2,0.06300000000000061
12.875,64,0,0.375
13.250,61,9,0.375
13.625,61,9,0.125
13.750,64,0,0.125
13.875,64,0,0.125
14.000,66,2,0.125
14.125,66,2,0.375
14.500,66,2,0.125
14.625,64,0,0.125
14.750,64,0,0.125
14.875,68,4,0.06300000000000061
14.938,66,2,0.12399999999999878
15.062,64,0,0.06300000000000061
15.125,61,9,0.75
15.875,61,9,0.125
16.000,69,5,0.125
16.125,69,5,0.25
16.375,69,5,0.125
16.500,68,4,0.062000000000001165
16.562,66,2,0.06299999999999883
16.625,64,0,0.125
16.750,64,0,0.125
16.875,67,3,0.25
17.125,61,9,0.125
17.250,64,0,0.125
17.375,61,9,0.125
17.500,64,0,0.125
17.625,64,0,0.25
17.875,61,9,0.75
18.625,64,0,0.125
18.750,61,9,0.125
18.875,61,9,0.25
19.125,69,5,0.375
19.500,67,3,0.125
19.625,64,0,0.25
19.875,64,0,2.75
22.625,61,9,0.125
22.750,64,0,0.125
22.875,64,0,0.125
23.000,68,4,0.25
23.250,64,0,0.062000000000001165
23.312,64,0,0.18799999999999883
23.500,66,2,0.125
23.625,61,9,0.125
23.750,64,0,0.062000000000001165
23.812,68,4,0.8129999999999988
24.625,61,9,0.125
24.750,64,0,0.062000000000001165
24.812,64,0,0.18799999999999883
25.000,68,4,0.062000000000001165
25.062,68,4,0.43799999999999883
25.500,64,0,0.125
25.625,64,0,0.25
25.875,64,0,0.75
26.625,61,9,0.125
26.750,64,0,0.125
26.875,64,0,0.125
27.000,68,4,0.25
27.250,64,0,0.125
27.375,64,0,0.125
27.500,66,2,0.125
27.625,64,0,0.25
27.875,64,0,0.125
28.000,61,9,0.062000000000001165
28.062,59,7,0.5629999999999988
28.625,61,9,0.125
28.750,64,0,0.125
28.875,64,0,0.125
29.000,68,4,0.375
29.375,68,4,0.125
29.500,66,2,0.062000000000001165
29.562,64,0,0.18799999999999883
29.750,64,0,0.125
29.875,64,0,0.125
30.000,61,9,0.125
30.125,59,7,0.625
30.750,61,9,0.125
30.875,64,0,0.125
31.000,66,2,0.125
31.125,66,2,0.375
31.500,66,2,0.125
31.625,66,2,0.25
31.875,68,4,0.25
32.125,71,7,0.06300000000000239
32.188,73,9,0.6869999999999976
32.875,59,7,0.125
33.000,69,5,0.06199999999999761
33.062,69,5,0.4380000000000024
33.500,68,4,0.06199999999999761
33.562,66,2,0.06300000000000239
33.625,64,0,0.125
33.750,64,0,0.125
33.875,64,0,0.375
34.250,64,0,0.125
34.375,61,9,0.125
34.500,64,0,0.125
34.625,64,0,0.25
34.875,64,0,0.75
35.625,69,5,0.1869999999999976
35.812,68,4,0.4380000000000024
36.250,64,0,0.125
36.375,62,10,0.125
36.500,64,0,0.125
36.625,64,0,0.25
36.875,64,0,10.75
47.625,67,3,0.125
47.750,69,5,0.125
47.875,67,3,0.125
48.000,71,7,0.375
48.375,69,5,0.06300000000000239
48.438,67,3,0.06199999999999761
48.500,69,5,0.125
48.625,69,5,0.125
48.750,68,4,0.875
49.625,68,4,0.125
49.750,69,5,0.125
49.875,68,4,0.125
50.000,71,7,0.375
50.375,64,0,0.125
50.500,64,0,0.06199999999999761
50.562,64,0,0.06300000000000239
50.625,64,0,0.125
50.750,64,0,0.75
51.500,68,4,0.125
51.625,69,5,0.125
51.750,68,4,0.125
51.875,71,7,0.5630000000000024
52.438,67,3,0.12399999999999523
52.562,64,0,0.06300000000000239
52.625,64,0,0.125
52.750,64,0,0.125
52.875,64,0,0.625
53.500,61,9,0.125
53.625,64,0,0.125
53.750,64,0,0.125
53.875,68,4,0.5
54.375,64,0,0.125
54.500,64,0,0.25
54.750,64,0,0.125
54.875,64,0,0.375
55.250,64,0,0.25
55.500,64,0,0.06199999999999761
55.562,64,0,0.12600000000000477
55.688,64,0,0.6869999999999976
56.375,68,4,0.1869999999999976
56.562,68,4,0.1880000000000024
56.750,61,9,0.125
56.875,64,0,0.375
57.250,64,0,0.25
57.500,64,0,0.125
57.625,64,0,0.25
57.875,64,0,0.75
58.625,71,7,0.125
58.750,69,5,0.06199999999999761
58.812,67,3,0.06300000000000239
58.875,67,3,0.06300000000000239
58.938,69,5,0.1869999999999976
59.125,67,3,0.125
59.250,64,0,0.1880000000000024
59.438,64,0,0.1869999999999976
59.625,64,0,0.06300000000000239
59.688,64,0,0.12399999999999523
59.812,64,0,0.5630000000000024
60.375,64,0,0.25
60.625,61,9,0.4369999999999976
61.062,67,3,0.06300000000000239
61.125,67,3,0.06300000000000239
61.188,67,3,0.3119999999999976
61.500,67,3,0.125
61.625,69,5,0.125
61.750,67,3,0.125
61.875,69,5,0.125
62.000,67,3,0.125
62.125,69,5,0.5
62.625,64,0,0.125
62.750,64,0,0.125
62.875,64,0,0.375
63.250,64,0,0.25
63.500,64,0,0.125
63.625,64,0,0.25
63.875,64,0,0.5
64.375,68,4,0.5
64.875,66,2,0.125
65.000,64,0,0.06199999999999761
65.062,61,9,0.1880000000000024
65.250,64,0,0.125
65.375,61,9,0.125
65.500,64,0,0.125
65.625,64,0,0.25
65.875,61,9,0.06300000000000239
65.938,59,7,0.6869999999999976
66.625,69,5,0.25
66.875,69,5,0.125
67.000,71,7,0.25
67.250,64,0,0.125
67.375,61,9,0.125
67.500,64,0,0.125
67.625,64,0,0.125
67.750,61,9,0.125
