time,note,scale degree,length
3.833,58,4,0.08399999999999963
3.917,59,5,0.08300000000000018
4.000,61,7,0.8330000000000002
4.833,63,9,0.08399999999999963
4.917,65,11,0.08300000000000018
5.000,65,11,0.25
5.250,63,9,0.5
5.750,63,9,0.08300000000000018
5.833,61,7,0.08399999999999963
5.917,63,9,0.08300000000000018
6.000,59,5,0.08300000000000018
6.083,59,5,0.6669999999999998
6.750,63,9,0.08300000000000018
6.833,61,7,0.08399999999999963
6.917,63,9,0.08300000000000018
7.000,63,9,0.25
7.250,61,7,0.5830000000000002
7.833,58,4,0.08399999999999963
7.917,59,5,0.08300000000000018
8.000,61,7,0.75
8.750,65,11,0.08300000000000018
8.833,63,9,0.08399999999999963
8.917,65,11,0.08300000000000018
9.000,65,11,0.25
9.250,63,9,0.5
9.750,63,9,0.08300000000000018
9.833,61,7,0.08399999999999963
9.917,63,9,0.08300000000000018
10.000,59,5,0.08300000000000018
10.083,59,5,0.6669999999999998
10.750,63,9,0.08300000000000018
10.833,61,7,0.08399999999999963
10.917,63,9,0.08300000000000018
11.000,63,9,0.08300000000000018
11.083,61,7,0.25
11.333,58,4,0.08399999999999963
11.417,59,5,0.08300000000000018
11.500,61,7,0.3330000000000002
11.833,58,4,0.08399999999999963
11.917,56,2,0.08300000000000018
12.000,58,4,0.041999999999999815
12.042,56,2,0.04100000000000037
12.083,54,0,0.16699999999999982
12.250,61,7,0.16699999999999982
12.417,61,7,0.08300000000000018
12.500,63,9,0.25
12.750,65,11,0.16699999999999982
12.917,63,9,0.08300000000000018
13.000,63,9,0.16699999999999982
13.167,61,7,0.5830000000000002
13.750,61,7,0.16699999999999982
13.917,63,9,0.08300000000000018
14.000,66,0,0.25
14.250,63,9,0.4169999999999998
14.667,63,9,0.16600000000000037
14.833,62,8,0.08399999999999963
14.917,63,9,0.08300000000000018
15.000,66,0,0.25
15.250,63,9,0.5
15.750,63,9,0.25
16.000,61,7,0.3329999999999984
16.333,63,9,0.1670000000000016
16.500,61,7,0.3329999999999984
16.833,63,9,0.08400000000000318
16.917,61,7,0.08299999999999841
17.000,66,0,0.08299999999999841
17.083,61,7,0.08400000000000318
17.167,63,9,0.08299999999999841
17.250,61,7,0.5
17.750,61,7,0.08299999999999841
17.833,63,9,0.1670000000000016
18.000,66,0,0.25
18.250,63,9,0.5
18.750,62,8,0.1670000000000016
18.917,63,9,0.08299999999999841
19.000,66,0,0.25
19.250,63,9,0.6670000000000016
19.917,58,4,0.08299999999999841
20.000,56,2,0.4170000000000016
20.417,58,4,0.08299999999999841
20.500,56,2,0.4170000000000016
20.917,56,2,0.08299999999999841
21.000,61,7,0.1670000000000016
21.167,63,9,0.08299999999999841
21.250,65,11,0.08299999999999841
21.333,61,7,0.08400000000000318
21.417,63,9,0.08299999999999841
21.500,61,7,0.08299999999999841
21.583,63,9,0.08400000000000318
21.667,61,7,0.08299999999999841
21.750,66,0,0.08299999999999841
21.833,61,7,0.08400000000000318
21.917,63,9,0.08299999999999841
22.000,63,9,0.08299999999999841
22.083,61,7,0.75
22.833,63,9,0.08400000000000318
22.917,65,11,0.08299999999999841
23.000,65,11,0.25
23.250,63,9,0.5
23.750,63,9,0.08299999999999841
23.833,61,7,0.08400000000000318
23.917,63,9,0.08299999999999841
24.000,63,9,0.08299999999999841
24.083,59,5,0.5840000000000032
24.667,59,5,0.08299999999999841
24.750,63,9,0.08299999999999841
24.833,61,7,0.08400000000000318
24.917,63,9,0.08299999999999841
25.000,63,9,0.08299999999999841
25.083,61,7,0.25
25.333,58,4,0.08400000000000318
25.417,59,5,0.08299999999999841
25.500,61,7,0.3329999999999984
25.833,58,4,0.08400000000000318
25.917,56,2,0.08299999999999841
26.000,58,4,0.04200000000000159
26.042,56,2,0.04099999999999682
26.083,54,0,0.1670000000000016
26.250,61,7,0.1670000000000016
26.417,61,7,0.08299999999999841
26.500,63,9,0.25
26.750,65,11,0.1670000000000016
26.917,63,9,0.08299999999999841
27.000,63,9,0.1670000000000016
27.167,61,7,10.665999999999997
37.833,58,4,0.08400000000000318
37.917,59,5,0.08299999999999841
38.000,61,7,0.75
38.750,65,11,0.08299999999999841
38.833,63,9,0.08400000000000318
38.917,65,11,0.08299999999999841
39.000,65,11,0.25
39.250,63,9,0.5
39.750,63,9,0.08299999999999841
39.833,61,7,0.08400000000000318
39.917,63,9,0.08299999999999841
40.000,63,9,0.08299999999999841
40.083,59,5,0.5840000000000032
40.667,59,5,0.08299999999999841
40.750,63,9,0.08299999999999841
40.833,61,7,0.08400000000000318
40.917,63,9,0.08299999999999841
41.000,63,9,0.08299999999999841
41.083,61,7,0.25
41.333,58,4,0.08400000000000318
41.417,59,5,0.08299999999999841
41.500,61,7,0.3329999999999984
41.833,58,4,0.08400000000000318
41.917,56,2,0.08299999999999841
42.000,58,4,0.04200000000000159
42.042,56,2,0.04099999999999682
