time,note,scale degree,length
0.500,57,0,0.16700000000000004
0.667,59,2,0.08299999999999996
0.750,57,0,0.25
1.000,59,2,0.08299999999999996
1.083,61,4,0.08400000000000007
1.167,61,4,0.9160000000000001
2.083,59,2,0.08399999999999963
2.167,57,0,1.0
3.167,61,4,0.16600000000000037
3.333,59,2,0.08399999999999963
3.417,61,4,0.08300000000000018
3.500,59,2,0.4169999999999998
3.917,57,0,0.08300000000000018
4.000,56,11,1.1669999999999998
5.167,56,11,0.16600000000000037
5.333,59,2,0.25
5.583,59,2,0.08399999999999963
5.667,57,0,3.1110000000000007
8.778,64,7,0.054999999999999716
8.833,66,9,0.16699999999999982
9.000,69,0,1.2219999999999995
10.222,66,9,0.02800000000000047
10.250,64,7,0.6389999999999993
10.889,61,4,0.11100000000000065
11.000,64,7,0.11100000000000065
11.111,64,7,0.05599999999999916
11.167,66,9,0.11100000000000065
11.278,64,7,0.11099999999999888
11.389,64,7,0.05500000000000149
11.444,66,9,0.22299999999999898
11.667,61,4,1.277000000000001
12.944,66,9,0.11199999999999832
13.056,66,9,0.11100000000000065
13.167,64,7,0.11100000000000065
13.278,64,7,0.11099999999999888
13.389,64,7,0.05500000000000149
13.444,66,9,0.22299999999999898
13.667,59,2,0.054999999999999716
13.722,57,0,0.11100000000000065
13.833,57,0,1.0
14.833,54,9,0.08399999999999963
14.917,57,0,0.25
15.167,54,9,0.08300000000000018
15.250,57,0,0.08300000000000018
15.333,57,0,0.16699999999999982
15.500,60,3,0.08300000000000018
15.583,59,2,0.041999999999999815
15.625,57,0,0.2919999999999998
15.917,59,2,0.08300000000000018
16.000,57,0,0.1670000000000016
16.167,62,5,0.1109999999999971
16.278,60,3,0.6390000000000029
16.917,64,7,0.19399999999999906
17.111,61,4,0.05600000000000094
17.167,59,2,0.1109999999999971
17.278,61,4,0.054999999999999716
17.333,59,2,0.1670000000000016
17.500,61,4,0.3329999999999984
17.833,59,2,0.028000000000002245
17.861,61,4,0.13899999999999935
18.000,59,2,0.027999999999998693
18.028,61,4,0.08300000000000196
18.111,61,4,0.05600000000000094
18.167,59,2,0.02699999999999747
18.194,57,0,0.9170000000000016
19.111,64,7,0.16699999999999804
19.278,61,4,0.11100000000000065
19.389,59,2,0.44399999999999906
19.833,57,0,0.028000000000002245
19.861,56,11,1.056000000000001
20.917,52,7,0.08299999999999841
21.000,54,9,0.08299999999999841
21.083,57,0,0.08400000000000318
21.167,57,0,0.16599999999999682
21.333,59,2,0.22300000000000253
21.556,59,2,0.054999999999999716
21.611,57,0,1.166999999999998
22.778,60,3,0.054999999999999716
22.833,59,2,0.028000000000002245
22.861,57,0,1.6389999999999993
24.500,57,0,0.1670000000000016
24.667,57,0,0.16599999999999682
24.833,59,2,0.08400000000000318
24.917,57,0,0.08299999999999841
25.000,61,4,0.08299999999999841
25.083,59,2,0.04200000000000159
25.125,61,4,0.08299999999999841
25.208,59,2,0.04200000000000159
25.250,61,4,0.08299999999999841
25.333,59,2,0.04200000000000159
25.375,61,4,1.5420000000000016
26.917,61,4,0.08299999999999841
27.000,64,7,0.1670000000000016
27.167,59,2,0.08299999999999841
27.250,61,4,0.08299999999999841
27.333,59,2,0.1670000000000016
27.500,59,2,0.08299999999999841
27.583,59,2,0.2920000000000016
27.875,57,0,0.04200000000000159
27.917,56,11,1.0829999999999984
29.000,57,0,0.08299999999999841
29.083,61,4,0.25
29.333,59,2,0.08400000000000318
29.417,57,0,0.16599999999999682
29.583,59,2,0.08400000000000318
29.667,57,0,0.4579999999999984
30.125,54,9,0.04200000000000159
30.167,52,7,0.04099999999999682
30.208,50,5,0.04200000000000159
30.250,49,4,0.04200000000000159
30.292,47,2,0.04099999999999682
30.333,49,4,2.4450000000000003
32.778,64,7,0.054999999999999716
32.833,66,9,0.1670000000000016
33.000,69,0,1.25
34.250,64,7,0.5829999999999984
34.833,61,4,0.08400000000000318
34.917,64,7,0.08299999999999841
35.000,66,9,0.1670000000000016
35.167,64,7,0.08299999999999841
35.250,64,7,0.08299999999999841
35.333,66,9,0.25
35.583,61,4,0.3340000000000032
35.917,59,2,0.16599999999999682
36.083,57,0,0.04200000000000159
36.125,59,2,0.04200000000000159
36.167,61,4,0.6659999999999968
36.833,66,9,0.1110000000000042
36.944,64,7,0.055999999999997385
37.000,66,9,0.055999999999997385
37.056,64,7,0.1110000000000042
37.167,61,4,0.1109999999999971
37.278,64,7,0.054999999999999716
37.333,66,9,0.05600000000000449
37.389,64,7,0.054999999999999716
37.444,66,9,0.1669999999999945
37.611,59,2,0.05600000000000449
37.667,57,0,0.1109999999999971
37.778,57,0,1.0549999999999997
38.833,54,9,0.08400000000000318
38.917,57,0,0.25
39.167,57,0,0.08299999999999841
39.250,60,3,0.08299999999999841
39.333,59,2,0.04200000000000159
39.375,57,0,0.375
39.750,57,0,0.08299999999999841
39.833,60,3,0.08400000000000318
39.917,59,2,0.04099999999999682
39.958,57,0,0.1529999999999987
40.111,59,2,0.05600000000000449
40.167,57,0,0.1109999999999971
40.278,62,5,0.054999999999999716
40.333,60,3,0.8340000000000032
41.167,54,9,0.054999999999999716
41.222,57,0,0.1109999999999971
41.333,59,2,0.05600000000000449
41.389,61,4,0.1109999999999971
41.500,61,4,0.4720000000000013
41.972,59,2,0.027999999999998693
42.000,61,4,0.055999999999997385
42.056,59,2,0.027000000000001023
42.083,61,4,0.05600000000000449
42.139,59,2,0.027999999999998693
42.167,61,4,0.1389999999999958
42.306,59,2,0.027000000000001023
42.333,57,0,0.8340000000000032
43.167,64,7,0.16599999999999682
43.333,61,4,0.08400000000000318
43.417,59,2,0.08299999999999841
43.500,61,4,0.08299999999999841
43.583,59,2,0.4170000000000016
44.000,56,11,1.1670000000000016
45.167,56,11,0.16599999999999682
45.333,59,2,0.1670000000000016
45.500,57,0,0.08299999999999841
45.583,59,2,0.08400000000000318
45.667,57,0,1.1659999999999968
46.833,60,3,0.1670000000000016
47.000,59,2,0.08299999999999841
47.083,57,0,0.75
47.833,60,3,0.08400000000000318
47.917,59,2,0.08299999999999841
48.000,57,11,0.1670000000000016
48.167,59,1,0.08299999999999841
48.250,57,11,0.5829999999999984
48.833,58,0,0.1670000000000016
49.000,60,2,0.1670000000000016
49.167,60,2,0.08299999999999841
49.250,62,4,0.08299999999999841
49.333,62,4,0.5
49.833,60,2,0.04200000000000159
49.875,62,4,0.08299999999999841
49.958,60,2,0.04200000000000159
50.000,62,4,0.08299999999999841
50.083,62,4,0.04200000000000159
50.125,60,2,0.04200000000000159
50.167,58,0,0.7909999999999968
50.958,62,4,0.04200000000000159
51.000,65,7,0.1670000000000016
51.167,62,4,0.08299999999999841
51.250,60,2,0.08299999999999841
51.333,62,4,0.08400000000000318
51.417,60,2,0.375
51.792,58,0,0.04099999999999682
51.833,57,11,0.8340000000000032
52.667,62,4,0.08299999999999841
52.750,65,7,0.08299999999999841
52.833,65,7,0.08400000000000318
52.917,62,4,0.16599999999999682
53.083,62,4,0.08400000000000318
53.167,58,0,0.16599999999999682
53.333,60,2,0.08400000000000318
53.417,58,0,1.5829999999999984
55.000,61,3,0.125
55.125,60,2,0.04200000000000159
55.167,58,0,0.6659999999999968
55.833,61,3,0.08400000000000318
55.917,60,2,0.04099999999999682
55.958,58,0,0.6670000000000016
56.625,65,7,0.125
56.750,63,5,0.125
56.875,61,3,0.125
57.000,62,4,0.1670000000000016
57.167,62,4,0.04099999999999682
57.208,60,2,0.04200000000000159
57.250,62,4,0.04200000000000159
57.292,60,2,0.04099999999999682
57.333,62,4,1.5
58.833,61,3,0.04200000000000159
58.875,60,2,0.04200000000000159
58.917,58,0,0.25
59.167,61,3,0.1109999999999971
59.278,58,0,0.054999999999999716
59.333,58,0,1.5
60.833,65,7,0.08400000000000318
60.917,65,7,0.08299999999999841
61.000,63,5,0.1670000000000016
61.167,63,5,0.16599999999999682
61.333,62,4,0.04200000000000159
61.375,60,2,0.04200000000000159
61.417,62,4,0.04099999999999682
61.458,60,2,0.04200000000000159
61.500,62,4,1.1670000000000016
62.667,65,7,0.08299999999999841
62.750,68,10,0.1670000000000016
62.917,65,7,0.5829999999999984
63.500,65,7,0.08299999999999841
63.583,68,10,0.1670000000000016
63.750,65,7,0.3329999999999984
64.083,65,7,0.08400000000000318
64.167,68,10,2.5
66.667,62,4,0.1110000000000042
66.778,60,2,0.05499999999999261
66.833,58,0,0.3340000000000032
67.167,68,10,0.16599999999999682
67.333,66,8,0.3340000000000032
67.667,70,0,0.25
