time,note,scale degree,length
12.625,58,0,0.125
12.750,58,0,0.125
12.875,61,3,0.75
13.625,58,0,0.125
13.750,58,0,0.125
13.875,61,3,0.25
14.125,61,3,0.25
14.375,61,3,0.125
14.500,61,3,0.125
14.625,58,0,2.0
16.625,58,0,0.125
16.750,58,0,0.125
16.875,61,3,0.75
17.625,58,0,0.125
17.750,58,0,0.125
17.875,61,3,0.25
18.125,58,0,0.125
18.250,58,0,0.125
18.375,61,3,0.25
18.625,63,5,0.25
18.875,61,3,1.75
20.625,58,0,0.125
20.750,58,0,0.125
20.875,65,7,1.125
22.000,63,5,1.0
23.000,58,0,0.375
23.375,58,0,0.125
23.500,58,0,0.125
23.625,58,0,0.125
23.750,58,0,0.125
23.875,62,4,0.75
24.625,58,0,0.125
24.750,58,0,0.125
24.875,65,7,1.125
26.000,63,5,0.875
26.875,56,10,0.125
27.000,58,0,0.125
27.125,58,0,0.125
27.250,58,0,0.25
27.500,58,0,0.25
27.750,58,0,0.125
27.875,58,0,0.125
28.000,62,4,0.125
28.125,62,4,0.25
28.375,62,4,6.25
34.625,58,0,0.125
34.750,58,0,0.125
34.875,62,4,0.75
35.625,58,0,0.125
35.750,58,0,0.125
35.875,61,3,0.25
36.125,61,3,0.25
36.375,61,3,0.25
36.625,61,3,0.25
36.875,58,0,1.75
38.625,58,0,0.125
38.750,58,0,0.125
38.875,62,4,0.75
39.625,58,0,0.125
39.750,58,0,0.125
39.875,62,4,0.25
40.125,63,5,0.25
40.375,63,5,0.125
40.500,63,5,0.125
40.625,63,5,0.25
40.875,62,4,1.75
42.625,58,0,0.125
42.750,58,0,0.125
42.875,65,7,1.125
44.000,63,5,1.0
45.000,58,0,0.375
45.375,58,0,0.125
45.500,58,0,0.125
45.625,58,0,0.125
45.750,58,0,0.125
45.875,62,4,0.75
46.625,58,0,0.125
46.750,58,0,0.125
46.875,65,7,1.125
48.000,63,5,0.875
48.875,56,10,0.125
49.000,58,0,0.125
49.125,58,0,0.125
49.250,58,0,0.25
49.500,58,0,0.25
49.750,58,0,0.125
49.875,58,0,0.125
50.000,62,4,0.125
50.125,62,4,0.25
50.375,62,4,17.25
67.625,58,0,0.125
67.750,58,0,0.125
67.875,62,4,0.75
68.625,58,0,0.125
68.750,58,0,0.125
68.875,61,3,0.25
69.125,63,5,0.125
69.250,61,3,0.125
69.375,63,5,0.25
69.625,63,5,0.25
69.875,62,4,1.75
71.625,58,0,0.125
71.750,58,0,0.125
71.875,62,4,0.75
72.625,58,0,0.125
72.750,58,0,0.125
72.875,62,4,0.25
73.125,63,5,0.125
73.250,61,3,0.125
73.375,63,5,0.25
73.625,63,5,0.25
73.875,62,4,1.0
74.875,67,9,0.5
75.375,63,5,0.25
75.625,63,5,0.25
75.875,65,7,0.75
76.625,58,0,0.125
76.750,58,0,0.125
76.875,61,3,0.25
77.125,63,5,0.125
77.250,61,3,0.125
77.375,63,5,0.25
77.625,63,5,0.25
77.875,65,7,1.0
78.875,68,10,0.25
79.125,63,5,0.25
79.375,63,5,0.25
79.625,63,5,0.125
79.750,61,3,0.125
79.875,65,7,0.75
80.625,58,0,0.125
80.750,58,0,0.125
80.875,61,3,0.25
81.125,63,5,0.375
81.500,63,5,0.125
81.625,63,5,0.125
81.750,62,4,0.125
81.875,65,7,0.625
82.500,58,0,0.375
82.875,68,10,0.25
83.125,63,5,0.25
83.375,63,5,0.25
83.625,63,5,0.125
83.750,61,3,0.125
83.875,65,7,1.125
85.000,63,5,1.0
86.000,58,0,0.375
86.375,58,0,0.125
86.500,58,0,0.125
86.625,58,0,0.125
86.750,58,0,0.125
86.875,62,4,0.75
87.625,58,0,0.125
87.750,58,0,0.125
87.875,65,7,1.125
89.000,63,5,0.875
89.875,56,10,0.125
90.000,58,0,0.125
90.125,58,0,0.125
90.250,58,0,0.25
90.500,58,0,0.25
90.750,58,0,0.125
90.875,58,0,0.125
91.000,62,4,0.125
91.125,62,4,0.25
91.375,62,4,2.625
94.000,62,4,0.125
94.125,62,4,0.125
94.250,62,4,0.25
94.500,62,4,0.5
95.000,61,3,0.125
95.125,61,3,0.25
95.375,61,3,0.625
96.000,62,4,0.125
96.125,62,4,0.125
96.250,62,4,0.25
96.500,62,4,0.5
97.000,61,3,0.125
97.125,61,3,0.25
97.375,61,3,0.625
98.000,62,4,0.125
98.125,62,4,0.125
98.250,62,4,0.25
98.500,62,4,0.5
99.000,61,3,0.125
99.125,61,3,0.25
99.375,61,3,0.625
100.000,62,4,0.125
100.125,62,4,0.125
100.250,62,4,0.25
100.500,62,4,0.5
101.000,61,3,0.125
101.125,61,3,0.25
101.375,61,3,0.625
102.000,62,4,0.125
102.125,62,4,0.125
102.250,62,4,0.25
102.500,62,4,0.5
103.000,61,3,0.125
103.125,61,3,0.25
103.375,61,3,0.625
104.000,62,4,0.125
104.125,62,4,0.125
104.250,62,4,0.25
104.500,62,4,0.5
105.000,61,3,0.125
105.125,61,3,0.25
