time,note,scale degree,length
3.875,55,7,0.06300000000000017
3.938,55,7,0.06199999999999983
4.000,55,7,0.125
4.125,55,7,0.06299999999999972
4.188,57,9,0.12400000000000055
4.312,52,4,0.12599999999999945
4.438,55,7,0.18700000000000028
4.625,55,7,0.125
4.750,60,0,0.06200000000000028
4.812,62,2,0.18799999999999972
5.000,62,2,0.06200000000000028
5.062,64,4,0.06299999999999972
5.125,64,4,0.25
5.375,62,2,0.06299999999999972
5.438,62,2,0.12400000000000055
5.562,60,0,0.06299999999999972
5.625,60,0,0.375
6.000,64,4,0.06200000000000028
6.062,64,4,0.18799999999999972
6.250,65,5,0.125
6.375,64,4,0.06299999999999972
6.438,64,4,0.12400000000000055
6.562,62,2,0.25
6.812,64,4,0.06299999999999972
6.875,62,2,0.06299999999999972
6.938,62,2,0.12400000000000055
7.062,60,0,0.8759999999999994
7.938,55,7,0.06200000000000028
8.000,55,7,0.06199999999999939
8.062,55,7,0.1880000000000006
8.250,57,9,0.125
8.375,60,0,0.06300000000000061
8.438,55,7,0.12399999999999878
8.562,55,7,0.1880000000000006
8.750,60,0,0.06199999999999939
8.812,62,2,0.12600000000000122
8.938,62,2,0.12399999999999878
9.062,64,4,0.1880000000000006
9.250,64,4,0.1880000000000006
9.438,62,2,0.06199999999999939
9.500,62,2,0.06199999999999939
9.562,60,0,0.06300000000000061
9.625,60,0,0.375
10.000,64,4,0.06199999999999939
10.062,64,4,0.1880000000000006
10.250,65,5,0.125
10.375,64,4,0.06300000000000061
10.438,64,4,0.12399999999999878
10.562,62,2,0.25
10.812,64,4,0.06300000000000061
10.875,62,2,0.06300000000000061
10.938,62,2,0.12399999999999878
11.062,60,0,0.6880000000000006
11.750,64,4,0.06199999999999939
11.812,62,2,0.12600000000000122
11.938,60,0,0.3119999999999994
12.250,64,4,0.06199999999999939
12.312,67,7,0.06300000000000061
12.375,69,9,0.375
12.750,67,7,0.06199999999999939
12.812,67,7,0.06300000000000061
12.875,64,4,0.031000000000000583
12.906,62,2,0.03200000000000003
12.938,60,0,0.3119999999999994
13.250,57,9,0.06199999999999939
13.312,55,7,0.12600000000000122
13.438,64,4,0.6239999999999988
14.062,64,4,0.06300000000000061
14.125,64,4,0.125
14.250,65,5,0.125
14.375,64,4,0.06300000000000061
14.438,64,4,0.12399999999999878
14.562,62,2,0.25
14.812,64,4,0.06300000000000061
14.875,62,2,0.06300000000000061
14.938,62,2,0.12399999999999878
15.062,60,0,0.8760000000000012
15.938,52,4,0.06199999999999939
16.000,55,7,0.125
