time,note,scale degree,length
8.875,56,7,0.125
9.000,58,9,0.125
9.125,56,7,0.125
9.250,58,9,0.06199999999999939
9.312,56,7,0.06300000000000061
9.375,58,9,0.5
9.875,58,9,0.06300000000000061
9.938,58,9,0.06199999999999939
10.000,60,11,0.125
10.125,59,10,0.125
10.250,60,11,0.125
10.375,59,10,0.125
10.500,58,9,0.25
10.750,56,7,0.125
10.875,61,0,0.5
11.375,61,0,0.06300000000000061
11.438,61,0,0.06199999999999939
11.500,56,7,0.125
11.625,56,7,0.125
11.750,54,5,1.125
12.875,56,7,0.125
13.000,58,9,0.125
13.125,56,7,0.125
13.250,58,9,0.06199999999999939
13.312,56,7,0.06300000000000061
13.375,58,9,0.25
13.625,54,5,0.25
13.875,54,5,0.06300000000000061
13.938,54,5,0.06199999999999939
14.000,60,11,0.125
14.125,58,9,0.125
14.250,59,10,0.06199999999999939
14.312,58,9,0.06300000000000061
14.375,58,9,0.1869999999999994
14.562,56,7,0.06300000000000061
14.625,58,9,0.375
15.000,61,0,0.125
15.125,61,0,0.125
15.250,61,0,0.125
15.375,56,7,0.125
15.500,56,7,0.125
15.625,54,5,1.25
16.875,56,7,0.125
17.000,58,9,0.125
17.125,58,9,0.125
17.250,58,9,0.125
17.375,56,7,0.125
17.500,58,9,0.375
17.875,58,9,0.06299999999999883
17.938,58,9,0.062000000000001165
18.000,60,11,0.125
18.125,59,10,0.125
18.250,58,9,0.125
18.375,58,9,0.125
18.500,58,9,0.125
18.625,56,7,0.06299999999999883
18.688,58,9,0.31200000000000117
19.000,61,0,0.125
19.125,61,0,0.125
19.250,61,0,0.125
19.375,56,7,0.125
19.500,56,7,0.125
19.625,56,7,0.125
19.750,54,5,0.875
20.625,56,7,0.125
20.750,56,7,0.125
20.875,56,7,0.125
21.000,58,9,0.125
21.125,57,8,0.125
21.250,58,9,0.125
21.375,58,9,0.25
21.625,58,9,0.125
21.750,58,9,0.125
21.875,59,10,0.125
22.000,60,11,0.125
22.125,59,10,0.125
22.250,60,11,0.125
22.375,59,10,0.125
22.500,60,11,0.125
22.625,56,7,0.125
22.750,58,9,0.125
22.875,56,7,0.125
23.000,61,0,0.125
23.125,61,0,0.125
23.250,61,0,0.125
23.375,61,0,0.125
23.500,61,0,0.125
23.625,58,9,0.5
24.125,56,7,0.125
24.250,58,9,0.125
24.375,61,0,0.125
24.500,61,0,0.25
24.750,58,9,0.25
25.000,58,9,0.25
25.250,58,9,0.125
25.375,60,11,0.25
25.625,60,11,0.25
25.875,61,0,1.125
27.000,61,0,0.125
27.125,61,0,0.125
27.250,61,0,0.125
27.375,61,0,0.25
27.625,58,9,0.25
27.875,56,7,0.625
28.500,58,9,0.5
29.000,58,9,0.25
29.250,58,9,0.125
29.375,60,11,0.25
29.625,60,11,0.125
29.750,61,0,0.125
29.875,61,0,1.25
31.125,61,0,0.125
31.250,61,0,0.125
31.375,61,0,0.125
31.500,61,0,0.25
31.750,58,9,0.25
32.000,60,11,0.125
32.125,58,9,0.125
32.250,60,11,0.06199999999999761
32.312,58,9,0.06300000000000239
32.375,56,7,0.625
33.000,58,9,0.125
33.125,57,8,0.125
33.250,58,9,0.06199999999999761
33.312,57,8,0.06300000000000239
33.375,58,9,0.375
33.750,58,9,0.125
33.875,60,11,0.125
34.000,56,7,0.25
34.250,58,9,0.125
34.375,56,7,0.125
34.500,59,10,0.125
34.625,56,7,0.125
34.750,58,9,0.125
34.875,56,7,0.125
35.000,61,0,0.25
35.250,61,0,0.125
35.375,61,0,0.125
35.500,56,7,0.125
35.625,56,7,0.125
35.750,58,9,0.25
36.000,54,5,0.875
36.875,56,7,0.125
37.000,58,9,0.125
37.125,57,8,0.125
37.250,58,9,0.06199999999999761
37.312,57,8,0.06300000000000239
37.375,58,9,0.4369999999999976
37.812,58,9,0.06300000000000239
37.875,58,9,0.125
38.000,60,11,0.125
38.125,59,10,0.125
38.250,60,11,0.125
38.375,56,7,0.125
38.500,58,9,0.125
38.625,56,7,0.1869999999999976
38.812,56,7,0.06300000000000239
38.875,56,7,0.125
39.000,61,0,0.125
39.125,61,0,0.125
39.250,61,0,0.125
39.375,61,0,0.125
39.500,56,7,0.125
39.625,56,7,0.125
39.750,58,9,0.25
40.000,54,5,0.875
40.875,56,7,0.125
41.000,58,9,0.125
41.125,57,8,0.125
41.250,58,9,0.125
41.375,58,9,0.5
41.875,58,9,0.125
42.000,60,11,0.125
42.125,59,10,0.125
42.250,60,11,0.125
42.375,60,11,0.125
42.500,60,11,0.5
43.000,61,0,0.125
43.125,61,0,0.125
43.250,61,0,0.125
43.375,61,0,0.125
43.500,61,0,0.125
43.625,61,0,0.125
43.750,61,0,0.125
43.875,54,5,0.75
44.625,56,7,0.125
44.750,56,7,0.125
44.875,56,7,0.125
45.000,58,9,0.125
45.125,57,8,0.125
45.250,58,9,0.125
45.375,58,9,0.25
45.625,58,9,0.125
45.750,58,9,0.125
45.875,59,10,0.125
46.000,60,11,0.125
46.125,59,10,0.125
46.250,60,11,0.125
46.375,59,10,0.125
46.500,60,11,0.125
46.625,56,7,0.125
46.750,58,9,0.125
46.875,56,7,0.25
47.125,61,0,0.1869999999999976
47.312,61,0,0.1880000000000024
47.500,61,0,0.06199999999999761
47.562,58,9,0.12600000000000477
47.688,61,0,0.12399999999999523
47.812,58,9,0.06300000000000239
47.875,61,0,0.125
48.000,56,7,0.375
48.375,63,2,0.25
48.625,61,0,0.125
48.750,58,9,0.25
49.000,58,9,0.25
49.250,58,9,0.125
49.375,60,11,0.25
49.625,60,11,0.25
49.875,61,0,1.125
51.000,61,0,0.125
51.125,61,0,0.125
51.250,61,0,0.125
51.375,61,0,0.25
51.625,58,9,0.25
51.875,56,7,0.625
52.500,61,0,0.125
52.625,56,7,0.125
52.750,58,9,0.25
53.000,58,9,0.25
53.250,58,9,0.125
53.375,60,11,0.25
53.625,60,11,0.125
53.750,61,0,0.125
53.875,61,0,1.0
54.875,58,9,0.125
55.000,61,0,0.125
55.125,61,0,0.125
55.250,61,0,0.125
55.375,61,0,0.125
55.500,61,0,0.25
55.750,58,9,0.25
56.000,60,11,0.125
56.125,58,9,0.125
56.250,60,11,0.06199999999999761
56.312,58,9,0.06300000000000239
56.375,56,7,0.25
56.625,61,0,0.125
56.750,58,9,1.5
58.250,70,9,0.25
58.500,68,7,0.25
58.750,70,9,3.5
62.250,70,9,0.25
62.500,68,7,0.25
62.750,70,9,2.25
65.000,58,9,0.125
65.125,56,7,0.125
65.250,58,9,0.25
65.500,58,9,0.25
65.750,58,9,0.125
65.875,56,7,0.125
66.000,58,9,0.125
66.125,58,9,0.25
66.375,61,0,0.625
67.000,58,9,0.125
67.125,58,9,0.06300000000000239
67.188,58,9,0.12399999999999523
67.312,56,7,0.12600000000000477
67.438,61,0,0.25
67.688,56,7,0.06199999999999761
67.750,56,7,0.06199999999999761
67.812,56,7,0.06300000000000239
67.875,58,9,0.25
68.125,54,5,0.875
69.000,58,9,0.125
69.125,58,9,0.125
69.250,56,7,0.125
69.375,58,9,0.625
70.000,60,11,0.125
70.125,60,11,0.125
70.250,58,9,0.125
70.375,60,11,0.25
70.625,56,7,0.125
70.750,58,9,0.125
70.875,56,7,0.125
71.000,61,0,0.125
71.125,61,0,0.125
71.250,61,0,0.125
71.375,58,9,0.125
71.500,61,0,0.125
71.625,58,9,0.125
71.750,61,0,0.25
72.000,61,0,0.25
72.250,61,0,0.125
72.375,61,0,0.625
73.000,64,3,0.25
73.250,58,9,0.125
73.375,61,0,0.25
73.625,61,0,0.25
73.875,61,0,1.125
75.000,61,0,0.125
75.125,61,0,0.125
75.250,58,9,0.125
75.375,58,9,0.25
75.625,60,11,0.25
75.875,60,11,0.125
76.000,58,9,0.06199999999999761
76.062,56,7,0.12600000000000477
76.188,58,9,0.8119999999999976
77.000,58,9,0.25
77.250,58,9,0.125
77.375,60,11,0.25
77.625,60,11,0.25
77.875,61,0,1.125
79.000,61,0,0.125
79.125,61,0,0.125
79.250,61,0,0.125
79.375,61,0,0.125
79.500,61,0,0.125
79.625,61,0,0.25
79.875,61,0,0.125
80.000,63,2,0.125
80.125,63,2,0.125
80.250,63,2,0.125
80.375,61,0,0.125
80.500,65,4,0.25
80.750,65,4,0.25
81.000,63,2,0.25
81.250,63,2,0.125
81.375,63,2,0.25
81.625,61,0,0.25
81.875,58,9,0.5
82.375,61,0,0.625
83.000,61,0,0.125
83.125,61,0,0.125
83.250,61,0,0.125
83.375,61,0,0.125
83.500,58,9,0.125
83.625,58,9,0.125
83.750,56,7,0.125
83.875,56,7,0.125
84.000,65,4,0.125
84.125,66,5,0.125
84.250,65,4,0.125
84.375,66,5,0.125
84.500,63,2,0.125
84.625,61,0,0.375
85.000,58,9,0.25
85.250,58,9,0.125
85.375,60,11,0.25
85.625,60,11,0.125
85.750,61,0,0.125
85.875,61,0,0.25
86.125,61,0,0.125
86.250,61,0,0.125
86.375,70,9,0.125
86.500,68,7,0.25
86.750,61,0,0.25
87.000,61,0,0.25
87.250,68,7,0.25
87.500,61,0,0.125
87.625,73,0,0.125
87.750,68,7,0.25
88.000,61,0,0.125
88.125,61,0,0.125
88.250,61,0,0.125
88.375,61,0,0.125
88.500,61,0,0.25
88.750,61,0,0.25
89.000,61,0,0.25
89.250,61,0,0.125
89.375,63,2,0.25
89.625,63,2,0.25
89.875,65,4,0.375
90.250,65,4,0.25
90.500,65,4,0.25
90.750,61,0,0.25
91.000,58,9,0.125
91.125,56,7,0.125
91.250,61,0,0.125
91.375,68,7,0.125
91.500,68,7,0.125
91.625,65,4,0.25
91.875,63,2,0.125
92.000,61,0,0.125
92.125,61,0,0.125
92.250,61,0,0.125
92.375,61,0,0.125
92.500,61,0,0.125
92.625,61,0,0.125
92.750,61,0,0.25
93.000,61,0,0.25
93.250,61,0,0.125
93.375,63,2,0.25
93.625,63,2,0.25
93.875,65,4,0.25
94.125,58,9,0.125
94.250,61,0,0.125
94.375,58,9,0.125
94.500,61,0,0.25
94.750,61,0,0.25
95.000,58,9,0.25
95.250,61,0,0.25
95.500,58,9,0.5
96.000,65,4,0.125
96.125,65,4,0.125
96.250,63,2,0.125
96.375,61,0,0.125
96.500,65,4,0.25
96.750,65,4,0.25
97.000,61,0,0.125
97.125,63,2,0.125
97.250,61,0,0.125
97.375,63,2,0.125
97.500,61,0,1.75
99.250,77,4,0.125
99.375,73,0,0.125
99.500,73,0,3.5
103.000,65,4,0.125
103.125,61,0,0.06300000000000239
103.188,65,4,0.06199999999999761
103.250,63,2,0.06199999999999761
103.312,61,0,0.06300000000000239
103.375,58,9,0.25
103.625,58,9,0.125
103.750,56,7,0.06199999999999761
103.812,58,9,0.12600000000000477
103.938,56,7,0.06199999999999761
104.000,53,4,0.125
104.125,53,4,0.125
104.250,53,4,0.25
104.500,53,4,0.125
104.625,51,2,0.06300000000000239
104.688,49,0,0.06199999999999761
104.750,46,9,0.125
104.875,46,9,0.25
105.125,68,7,2.4369999999999976
107.562,58,9,0.12600000000000477
107.688,56,7,0.06199999999999761
107.750,61,0,1.875
109.625,56,7,0.1869999999999976
109.812,58,9,0.1880000000000024
110.000,56,7,0.125
110.125,61,0,0.375
110.500,61,0,0.25
110.750,61,0,0.25
111.000,75,2,0.25
111.250,77,4,0.625
111.875,73,0,0.25
112.125,73,0,0.1869999999999976
112.312,70,9,0.1880000000000024
112.500,68,7,0.125
112.625,73,0,0.1869999999999976
112.812,68,7,0.1880000000000024
113.000,68,7,2.0
115.000,61,0,0.125
115.125,61,0,0.125
115.250,61,0,0.125
115.375,61,0,0.25
115.625,58,9,0.25
115.875,60,11,0.125
116.000,58,9,0.06199999999999761
116.062,56,7,0.9380000000000024
117.000,61,0,0.25
117.250,58,9,0.125
117.375,61,0,0.25
117.625,61,0,0.25
117.875,58,9,0.25
118.125,61,0,0.125
118.250,61,0,0.125
118.375,70,9,0.125
118.500,68,7,0.375
118.875,61,0,0.125
119.000,61,0,0.125
119.125,70,9,0.125
119.250,68,7,0.375
119.625,58,9,0.25
119.875,58,9,0.25
120.125,63,2,0.125
120.250,63,2,0.25
120.500,64,3,0.125
120.625,61,0,0.125
120.750,64,3,0.125
120.875,61,0,0.125
121.000,61,0,0.25
121.250,61,0,0.125
121.375,63,2,0.25
121.625,63,2,0.25
121.875,65,4,1.25
123.125,61,0,0.125
123.250,58,9,0.125
123.375,61,0,0.125
123.500,58,9,0.125
123.625,61,0,0.25
123.875,58,9,0.125
124.000,56,7,1.0
