time,note,scale degree,length
31.750,65,3,0.062000000000001165
31.812,62,0,0.06299999999999883
31.875,60,10,0.06299999999999883
31.938,69,7,0.12399999999999878
32.062,62,0,0.06300000000000239
32.125,65,3,0.125
32.250,62,0,0.06199999999999761
32.312,62,0,0.06300000000000239
32.375,65,3,0.125
32.500,62,0,0.06199999999999761
32.562,62,0,0.06300000000000239
32.625,65,3,0.125
32.750,62,0,0.06199999999999761
32.812,62,0,0.06300000000000239
32.875,65,3,0.125
33.000,62,0,0.06199999999999761
33.062,62,0,0.06300000000000239
33.125,62,0,0.06300000000000239
33.188,62,0,0.06199999999999761
33.250,65,3,0.06199999999999761
33.312,65,3,0.06300000000000239
33.375,62,0,0.06300000000000239
33.438,62,0,0.06199999999999761
33.500,65,3,0.1880000000000024
33.688,62,0,0.06199999999999761
33.750,62,0,0.06199999999999761
33.812,62,0,0.06300000000000239
33.875,62,0,0.06300000000000239
33.938,65,3,0.12399999999999523
34.062,65,3,0.12600000000000477
34.188,62,0,0.06199999999999761
34.250,65,3,0.125
34.375,62,0,0.06300000000000239
34.438,62,0,0.06199999999999761
34.500,65,3,0.125
34.625,62,0,0.06300000000000239
34.688,65,3,0.12399999999999523
34.812,62,0,0.06300000000000239
34.875,62,0,0.06300000000000239
34.938,62,0,0.06199999999999761
35.000,65,3,0.06199999999999761
35.062,62,0,0.06300000000000239
35.125,62,0,0.06300000000000239
35.188,62,0,0.12399999999999523
35.312,65,3,0.06300000000000239
35.375,62,0,0.06300000000000239
35.438,62,0,0.06199999999999761
35.500,65,3,0.125
35.625,62,0,0.125
35.750,65,3,0.06199999999999761
35.812,62,0,0.06300000000000239
35.875,60,10,0.06300000000000239
35.938,69,7,0.12399999999999523
36.062,62,0,0.06300000000000239
36.125,65,3,0.125
36.250,62,0,0.06199999999999761
36.312,62,0,0.06300000000000239
36.375,65,3,0.125
36.500,62,0,0.06199999999999761
36.562,62,0,0.06300000000000239
36.625,65,3,0.125
36.750,62,0,0.06199999999999761
36.812,62,0,0.06300000000000239
36.875,65,3,0.125
37.000,62,0,0.06199999999999761
37.062,62,0,0.06300000000000239
37.125,62,0,0.06300000000000239
37.188,62,0,0.06199999999999761
37.250,65,3,0.06199999999999761
37.312,65,3,0.06300000000000239
37.375,62,0,0.06300000000000239
37.438,62,0,0.06199999999999761
37.500,65,3,0.1880000000000024
37.688,62,0,0.06199999999999761
37.750,62,0,0.06199999999999761
37.812,62,0,0.06300000000000239
37.875,62,0,0.06300000000000239
37.938,65,3,0.12399999999999523
38.062,65,3,0.12600000000000477
38.188,62,0,0.06199999999999761
38.250,65,3,0.125
38.375,62,0,0.06300000000000239
38.438,62,0,0.06199999999999761
38.500,65,3,0.125
38.625,62,0,0.06300000000000239
38.688,65,3,0.12399999999999523
38.812,62,0,0.06300000000000239
38.875,62,0,0.06300000000000239
38.938,62,0,0.06199999999999761
39.000,65,3,0.06199999999999761
39.062,62,0,0.06300000000000239
39.125,62,0,0.06300000000000239
39.188,62,0,0.12399999999999523
39.312,65,3,0.06300000000000239
39.375,62,0,0.06300000000000239
39.438,62,0,0.06199999999999761
39.500,65,3,0.125
39.625,62,0,0.125
39.750,65,3,0.06199999999999761
39.812,62,0,0.06300000000000239
39.875,60,10,15.875
55.750,65,3,0.06199999999999761
55.812,62,0,0.06300000000000239
55.875,60,10,0.06300000000000239
55.938,69,7,0.12399999999999523
56.062,62,0,0.06300000000000239
56.125,65,3,0.125
56.250,62,0,0.06199999999999761
56.312,62,0,0.06300000000000239
56.375,65,3,0.125
56.500,62,0,0.06199999999999761
56.562,62,0,0.06300000000000239
56.625,65,3,0.125
56.750,62,0,0.06199999999999761
56.812,62,0,0.06300000000000239
56.875,65,3,0.125
57.000,62,0,0.06199999999999761
57.062,62,0,0.06300000000000239
57.125,62,0,0.06300000000000239
57.188,62,0,0.06199999999999761
57.250,65,3,0.06199999999999761
57.312,65,3,0.06300000000000239
57.375,62,0,0.06300000000000239
57.438,62,0,0.06199999999999761
57.500,65,3,0.1880000000000024
57.688,62,0,0.06199999999999761
57.750,62,0,0.06199999999999761
57.812,62,0,0.06300000000000239
57.875,62,0,0.06300000000000239
57.938,65,3,0.12399999999999523
58.062,65,3,0.12600000000000477
58.188,62,0,0.06199999999999761
58.250,65,3,0.125
58.375,62,0,0.06300000000000239
58.438,62,0,0.06199999999999761
58.500,65,3,0.125
58.625,62,0,0.06300000000000239
58.688,65,3,0.12399999999999523
58.812,62,0,0.06300000000000239
58.875,62,0,0.06300000000000239
58.938,62,0,0.06199999999999761
59.000,65,3,0.06199999999999761
59.062,62,0,0.06300000000000239
59.125,62,0,0.06300000000000239
59.188,62,0,0.12399999999999523
59.312,65,3,0.06300000000000239
59.375,62,0,0.06300000000000239
59.438,62,0,0.06199999999999761
59.500,65,3,0.125
59.625,62,0,0.125
59.750,65,3,0.06199999999999761
59.812,62,0,0.06300000000000239
59.875,60,10,0.06300000000000239
59.938,69,7,0.12399999999999523
60.062,62,0,0.06300000000000239
60.125,65,3,0.125
60.250,62,0,0.06199999999999761
60.312,62,0,0.06300000000000239
60.375,65,3,0.125
60.500,62,0,0.06199999999999761
60.562,62,0,0.06300000000000239
60.625,65,3,0.125
60.750,62,0,0.06199999999999761
60.812,62,0,0.06300000000000239
60.875,65,3,0.125
61.000,62,0,0.06199999999999761
61.062,62,0,0.06300000000000239
61.125,62,0,0.06300000000000239
61.188,62,0,0.06199999999999761
61.250,65,3,0.06199999999999761
61.312,65,3,0.06300000000000239
61.375,62,0,0.06300000000000239
61.438,62,0,0.06199999999999761
61.500,65,3,0.1880000000000024
61.688,62,0,0.06199999999999761
61.750,62,0,0.06199999999999761
61.812,62,0,0.06300000000000239
61.875,62,0,0.06300000000000239
61.938,65,3,0.12399999999999523
62.062,65,3,0.12600000000000477
62.188,62,0,0.06199999999999761
62.250,65,3,0.125
62.375,62,0,0.06300000000000239
62.438,62,0,0.06199999999999761
62.500,65,3,0.125
62.625,62,0,0.06300000000000239
62.688,65,3,0.12399999999999523
62.812,62,0,0.06300000000000239
62.875,62,0,0.06300000000000239
62.938,62,0,0.06199999999999761
63.000,65,3,0.06199999999999761
63.062,62,0,0.06300000000000239
63.125,62,0,0.06300000000000239
63.188,62,0,0.12399999999999523
63.312,65,3,0.06300000000000239
63.375,62,0,0.06300000000000239
63.438,62,0,0.06199999999999761
63.500,65,3,0.125
63.625,62,0,0.125
63.750,65,3,0.06199999999999761
63.812,62,0,0.06300000000000239
63.875,60,10,23.875
87.750,65,3,0.06199999999999761
87.812,62,0,0.06300000000000239
87.875,60,10,0.06300000000000239
87.938,69,7,0.12399999999999523
88.062,62,0,0.06300000000000239
88.125,65,3,0.125
88.250,62,0,0.06199999999999761
88.312,62,0,0.06300000000000239
88.375,65,3,0.125
88.500,62,0,0.06199999999999761
88.562,62,0,0.06300000000000239
88.625,65,3,0.125
88.750,62,0,0.06199999999999761
88.812,62,0,0.06300000000000239
88.875,65,3,0.125
89.000,62,0,0.06199999999999761
89.062,62,0,0.06300000000000239
89.125,62,0,0.06300000000000239
89.188,62,0,0.06199999999999761
89.250,65,3,0.06199999999999761
89.312,65,3,0.06300000000000239
89.375,62,0,0.06300000000000239
89.438,62,0,0.06199999999999761
89.500,65,3,0.1880000000000024
89.688,62,0,0.06199999999999761
89.750,62,0,0.06199999999999761
89.812,62,0,0.06300000000000239
89.875,62,0,0.06300000000000239
89.938,65,3,0.12399999999999523
90.062,65,3,0.12600000000000477
90.188,62,0,0.06199999999999761
90.250,65,3,0.125
90.375,62,0,0.06300000000000239
90.438,62,0,0.06199999999999761
90.500,65,3,0.125
90.625,62,0,0.06300000000000239
90.688,65,3,0.12399999999999523
90.812,62,0,0.06300000000000239
90.875,62,0,0.06300000000000239
90.938,62,0,0.06199999999999761
91.000,65,3,0.06199999999999761
91.062,62,0,0.06300000000000239
91.125,62,0,0.06300000000000239
91.188,62,0,0.12399999999999523
91.312,65,3,0.06300000000000239
91.375,62,0,0.06300000000000239
91.438,62,0,0.06199999999999761
91.500,65,3,0.125
91.625,62,0,0.125
91.750,65,3,0.06199999999999761
91.812,62,0,0.06300000000000239
91.875,60,10,0.06300000000000239
91.938,69,7,0.12399999999999523
92.062,62,0,0.06300000000000239
92.125,65,3,0.125
92.250,62,0,0.06199999999999761
92.312,62,0,0.06300000000000239
92.375,65,3,0.125
92.500,62,0,0.06199999999999761
92.562,62,0,0.06300000000000239
92.625,65,3,0.125
92.750,62,0,0.06199999999999761
92.812,62,0,0.06300000000000239
92.875,65,3,0.125
93.000,62,0,0.06199999999999761
93.062,62,0,0.06300000000000239
