time,note,scale degree,length
0.000,62,6,0.167
0.167,61,5,0.166
0.333,59,3,0.16699999999999998
0.500,61,5,0.16700000000000004
0.667,56,0,0.16599999999999993
0.833,56,0,0.16700000000000004
1.000,56,0,0.17399999999999993
1.174,59,3,0.04300000000000015
1.217,59,3,0.04399999999999982
1.261,61,5,0.04300000000000015
1.304,59,3,0.04400000000000004
1.348,62,6,0.04299999999999993
1.391,59,3,0.04400000000000004
1.435,62,6,0.04299999999999993
1.478,59,3,0.04400000000000004
1.522,61,5,0.04299999999999993
1.565,59,3,0.04400000000000004
1.609,56,0,0.17399999999999993
1.783,59,3,0.04300000000000015
1.826,56,0,0.04400000000000004
1.870,56,0,0.04299999999999993
1.913,54,10,0.04400000000000004
1.957,56,0,1.043
3.000,71,3,0.17399999999999993
3.174,68,0,0.17399999999999993
3.348,63,7,0.04300000000000015
3.391,63,7,0.04400000000000004
3.435,61,5,0.04300000000000015
3.478,63,7,0.043999999999999595
3.522,66,10,0.17400000000000038
3.696,63,7,0.042999999999999705
3.739,61,5,0.04400000000000004
3.783,63,7,0.04300000000000015
3.826,61,5,0.04400000000000004
3.870,63,7,0.042999999999999705
3.913,61,5,0.04400000000000004
3.957,63,7,3.543
7.500,62,6,0.06200000000000028
7.562,61,5,0.06299999999999972
7.625,59,3,0.06299999999999972
7.688,59,3,0.06200000000000028
7.750,61,5,0.125
7.875,56,0,0.125
8.000,56,0,1.375
9.375,59,3,0.06300000000000061
9.438,59,3,0.06199999999999939
9.500,56,0,0.06199999999999939
9.562,56,0,0.1880000000000006
9.750,61,5,0.125
9.875,59,3,0.125
10.000,59,3,0.125
10.125,56,0,0.06300000000000061
10.188,54,10,0.06199999999999939
10.250,54,10,0.06199999999999939
10.312,56,0,0.06300000000000061
10.375,59,3,0.5
10.875,54,10,0.06300000000000061
10.938,56,0,0.12399999999999878
11.062,56,0,0.06300000000000061
11.125,54,10,0.125
11.250,56,0,0.625
11.875,62,6,0.06300000000000061
11.938,59,3,0.12399999999999878
12.062,61,5,0.12600000000000122
12.188,59,3,0.06199999999999939
12.250,56,0,0.06199999999999939
12.312,56,0,0.12600000000000122
12.438,56,0,0.4369999999999994
12.875,56,0,0.875
13.750,62,6,0.06199999999999939
13.812,61,5,0.06300000000000061
13.875,59,3,0.125
14.000,59,3,0.875
14.875,54,10,0.125
15.000,62,6,0.125
15.125,59,3,0.125
15.250,59,3,0.125
15.375,56,0,0.06300000000000061
15.438,54,10,0.06199999999999939
15.500,54,10,0.06199999999999939
15.562,56,0,0.06300000000000061
15.625,59,3,0.25
15.875,59,3,0.875
16.750,57,1,0.062000000000001165
16.812,59,3,0.8129999999999988
17.625,62,6,0.06299999999999883
17.688,61,5,0.12400000000000233
17.812,61,5,0.06299999999999883
17.875,59,3,0.06299999999999883
17.938,59,3,0.8740000000000023
18.812,57,1,0.09399999999999764
18.906,62,6,0.06300000000000239
18.969,59,3,0.125
19.094,61,5,0.09399999999999764
19.188,59,3,0.062000000000001165
19.250,61,5,0.0940000000000012
19.344,59,3,0.030999999999998806
19.375,56,0,0.06299999999999883
19.438,56,0,0.09299999999999997
19.531,56,0,0.125
19.656,56,0,0.15600000000000236
19.812,56,0,0.12599999999999767
19.938,56,0,0.6870000000000012
20.625,56,0,0.125
20.750,62,6,0.030999999999998806
20.781,61,5,0.0940000000000012
20.875,59,3,0.125
21.000,59,3,0.75
21.750,63,7,0.125
21.875,63,7,0.125
22.000,66,10,0.25
22.250,61,5,0.125
22.375,59,3,0.125
22.500,59,3,0.375
22.875,57,1,0.06299999999999883
22.938,59,3,0.6560000000000024
23.594,69,1,0.09399999999999764
23.688,71,3,0.9060000000000024
24.594,62,6,0.09399999999999764
24.688,61,5,0.12400000000000233
24.812,59,3,0.06299999999999883
24.875,56,0,0.5629999999999988
25.438,62,6,0.062000000000001165
25.500,61,5,0.125
25.625,59,3,0.06299999999999883
25.688,59,3,0.15600000000000236
25.844,61,5,0.09399999999999764
25.938,56,0,0.12400000000000233
26.062,56,0,0.5629999999999988
26.625,68,0,0.8129999999999988
27.438,62,6,0.062000000000001165
27.500,61,5,0.062000000000001165
27.562,59,3,0.06299999999999883
27.625,59,3,0.06299999999999883
27.688,59,3,0.18700000000000117
27.875,61,5,0.125
28.000,56,0,0.0940000000000012
28.094,56,0,0.5939999999999976
28.688,56,0,0.062000000000001165
28.750,54,10,0.062000000000001165
28.812,56,0,0.06299999999999883
28.875,59,3,7.625
36.500,59,3,0.125
36.625,59,3,0.125
36.750,59,3,0.125
36.875,56,0,0.5630000000000024
37.438,62,6,0.06199999999999761
37.500,61,5,0.125
37.625,59,3,0.06300000000000239
37.688,59,3,0.12399999999999523
37.812,61,5,0.12600000000000477
37.938,56,0,0.12399999999999523
38.062,56,0,0.5630000000000024
38.625,68,0,0.8130000000000024
39.438,62,6,0.06199999999999761
39.500,61,5,0.06199999999999761
39.562,59,3,0.06300000000000239
39.625,59,3,0.25
39.875,61,5,0.125
40.000,56,0,0.06199999999999761
40.062,56,0,0.6880000000000024
40.750,54,10,0.125
40.875,61,5,0.125
41.000,61,5,0.1880000000000024
41.188,59,3,0.06199999999999761
41.250,59,3,0.625
41.875,54,10,0.06300000000000239
41.938,56,0,0.12399999999999523
42.062,59,3,0.12600000000000477
42.188,57,1,0.06199999999999761
42.250,59,3,0.625
42.875,63,7,0.06300000000000239
42.938,59,3,0.06199999999999761
43.000,61,5,0.125
43.125,56,0,0.06300000000000239
43.188,56,0,0.12399999999999523
43.312,56,0,0.5630000000000024
43.875,56,0,0.75
44.625,54,10,0.125
44.750,61,5,0.125
44.875,59,3,0.125
45.000,59,3,0.125
45.125,59,3,0.625
45.750,63,7,0.125
45.875,63,7,0.125
46.000,66,10,0.125
46.125,66,10,0.125
46.250,61,5,0.125
46.375,59,3,0.125
46.500,59,3,0.375
46.875,59,3,0.75
47.625,71,3,0.875
48.500,56,0,0.06199999999999761
48.562,62,6,0.12600000000000477
48.688,61,5,0.12399999999999523
48.812,59,3,0.06300000000000239
48.875,59,3,0.5630000000000024
49.438,62,6,0.06199999999999761
49.500,61,5,0.125
49.625,59,3,0.06300000000000239
49.688,59,3,0.1869999999999976
49.875,61,5,0.125
50.000,56,0,0.06199999999999761
50.062,56,0,0.5630000000000024
50.625,56,0,0.125
50.750,51,7,0.125
50.875,51,7,0.5
51.375,62,6,0.125
51.500,61,5,0.06199999999999761
51.562,59,3,0.06300000000000239
51.625,59,3,0.06300000000000239
51.688,59,3,0.25
51.938,61,5,0.12399999999999523
52.062,56,0,0.06300000000000239
52.125,56,0,2.375
54.500,66,10,0.125
54.625,63,7,0.125
54.750,63,7,0.125
54.875,61,5,0.125
55.000,61,5,0.125
55.125,59,3,1.625
56.750,59,3,0.125
56.875,56,0,0.125
57.000,62,6,0.06199999999999761
57.062,61,5,0.06300000000000239
57.125,61,5,0.75
57.875,56,0,0.625
58.500,61,5,0.125
58.625,59,3,0.125
58.750,61,5,0.125
58.875,59,3,0.125
59.000,62,6,0.04200000000000159
59.042,61,5,0.08299999999999841
59.125,61,5,0.08299999999999841
59.208,59,3,0.04200000000000159
59.250,56,0,0.625
59.875,56,0,0.625
60.500,59,3,0.125
60.625,59,3,0.125
60.750,61,5,0.125
60.875,59,3,0.125
61.000,61,5,0.06199999999999761
61.062,63,7,0.1880000000000024
61.250,61,5,0.06199999999999761
61.312,63,7,0.5630000000000024
61.875,56,0,0.625
62.500,59,3,0.06199999999999761
62.562,61,5,0.06300000000000239
62.625,61,5,0.125
62.750,61,5,0.125
62.875,61,5,0.125
63.000,61,5,0.125
63.125,61,5,0.08299999999999841
63.208,59,3,0.04200000000000159
63.250,56,0,1.25
64.500,66,10,0.125
64.625,66,10,0.25
64.875,68,0,0.125
65.000,63,7,0.06199999999999761
65.062,66,10,0.06300000000000239
65.125,63,7,1.5
66.625,63,7,0.06300000000000239
66.688,59,3,0.06199999999999761
66.750,61,5,0.06199999999999761
66.812,61,5,1.3130000000000024
68.125,61,5,0.06300000000000239
68.188,61,5,0.06199999999999761
68.250,61,5,0.25
68.500,56,0,0.375
68.875,66,10,0.125
69.000,68,0,0.125
69.125,68,0,1.75
70.875,66,10,0.1869999999999976
71.062,63,7,0.12600000000000477
71.188,61,5,0.06199999999999761
71.250,63,7,0.06199999999999761
71.312,61,5,0.06300000000000239
71.375,59,3,0.5
71.875,56,0,0.375
72.250,56,0,0.25
72.500,56,0,0.5
73.000,68,0,0.25
73.250,68,0,1.75
75.000,68,0,0.25
75.250,68,0,1.5
76.750,61,5,0.125
76.875,59,3,0.125
77.000,61,5,0.125
77.125,61,5,0.75
77.875,56,0,0.625
78.500,62,6,0.06199999999999761
78.562,61,5,0.06300000000000239
78.625,59,3,0.125
78.750,61,5,0.125
78.875,59,3,0.125
79.000,61,5,0.125
79.125,61,5,0.125
79.250,59,3,1.625
80.875,73,5,0.1869999999999976
81.062,71,3,1.4380000000000024
82.500,71,3,0.125
82.625,71,3,0.125
82.750,70,2,0.125
82.875,68,0,0.125
83.000,71,3,1.0
84.000,74,6,0.06199999999999761
84.062,73,5,0.12600000000000477
84.188,73,5,0.12399999999999523
84.312,71,3,0.1880000000000024
84.500,71,3,0.125
84.625,71,3,0.125
84.750,70,2,0.125
84.875,68,0,0.125
85.000,71,3,1.0619999999999976
86.062,59,3,0.06300000000000239
86.125,59,3,0.125
86.250,61,5,0.06199999999999761
86.312,59,3,0.06300000000000239
86.375,56,0,0.125
86.500,71,3,0.125
86.625,71,3,0.125
86.750,70,2,0.125
86.875,68,0,0.125
87.000,71,3,0.5
87.500,63,7,0.125
87.625,59,3,0.125
87.750,61,5,0.125
87.875,59,3,0.125
88.000,61,5,0.125
88.125,59,3,0.125
88.250,56,0,0.25
88.500,71,3,0.125
88.625,71,3,0.125
88.750,70,2,0.125
88.875,68,0,0.125
89.000,71,3,1.5
90.500,61,5,0.125
90.625,59,3,0.125
90.750,61,5,0.125
90.875,59,3,0.125
91.000,64,8,1.5
92.500,63,7,0.06199999999999761
92.562,61,5,0.06300000000000239
92.625,59,3,0.125
92.750,61,5,0.125
92.875,56,0,0.125
93.000,56,0,1.5
94.500,54,10,0.125
94.625,56,0,0.375
95.000,62,6,0.06199999999999761
95.062,59,3,0.12600000000000477
95.188,61,5,0.12399999999999523
95.312,59,3,0.8130000000000024
96.125,56,0,0.06300000000000239
96.188,56,0,0.06199999999999761
96.250,56,0,0.06199999999999761
96.312,56,0,0.6880000000000024
97.000,62,6,0.125
97.125,59,3,0.06300000000000239
97.188,61,5,0.12399999999999523
97.312,59,3,1.1880000000000024
98.500,54,10,0.125
98.625,56,0,0.375
99.000,59,3,0.125
99.125,59,3,0.125
99.250,61,5,0.125
99.375,62,6,0.125
99.500,59,3,0.125
99.625,63,7,0.875
100.500,54,10,0.125
100.625,56,0,0.375
101.000,62,6,0.125
101.125,59,3,0.125
101.250,59,3,0.125
101.375,61,5,0.125
101.500,59,3,0.125
101.625,56,0,1.375
103.000,66,10,0.125
103.125,66,10,0.125
103.250,66,10,0.125
103.375,68,0,1.625
105.000,66,10,0.125
105.125,66,10,0.125
105.250,61,5,0.125
105.375,63,7,0.06300000000000239
105.438,61,5,0.12399999999999523
105.562,61,5,0.12600000000000477
105.688,59,3,0.1869999999999976
105.875,56,0,0.375
106.250,59,3,0.06199999999999761
106.312,59,3,0.06300000000000239
106.375,61,5,0.06300000000000239
106.438,59,3,0.06199999999999761
106.500,62,6,0.06199999999999761
106.562,59,3,0.06300000000000239
106.625,56,0,0.125
106.750,56,0,0.25
107.000,68,0,1.125
108.125,61,5,0.06300000000000239
108.188,59,3,0.06199999999999761
108.250,61,5,0.06199999999999761
108.312,59,3,0.06300000000000239
108.375,59,3,0.06300000000000239
108.438,61,5,0.5619999999999976
109.000,68,0,1.125
110.125,59,3,0.06300000000000239
110.188,59,3,0.06199999999999761
110.250,62,6,0.125
110.375,59,3,0.06300000000000239
110.438,61,5,0.12399999999999523
110.562,56,0,0.06300000000000239
110.625,56,0,0.25
110.875,73,5,0.25
111.125,75,7,1.3130000000000024
112.438,73,5,0.12399999999999523
112.562,75,7,0.06300000000000239
112.625,73,5,0.06300000000000239
112.688,71,3,0.12399999999999523
112.812,73,5,0.06300000000000239
112.875,74,6,0.06300000000000239
112.938,73,5,0.06199999999999761
113.000,71,3,0.125
113.125,68,0,0.5
113.625,59,3,0.06300000000000239
113.688,59,3,0.06199999999999761
113.750,62,6,0.125
113.875,59,3,0.06300000000000239
113.938,61,5,0.12399999999999523
114.062,56,0,0.06300000000000239
114.125,56,0,0.5
114.625,66,10,0.125
114.750,66,10,0.25
