time,note,scale degree,length
15.875,50,0,0.125
16.000,52,2,0.125
16.125,52,2,0.25
16.375,52,2,0.25
16.625,52,2,1.125
17.750,50,0,0.125
17.875,50,0,0.125
18.000,54,4,0.125
18.125,47,9,0.375
18.500,47,9,0.25
18.750,45,7,1.0
19.750,50,0,0.125
19.875,50,0,0.125
20.000,52,2,0.125
20.125,52,2,0.25
20.375,52,2,0.5
20.875,52,2,0.875
21.750,50,0,0.125
21.875,50,0,0.125
22.000,54,4,0.25
22.250,47,9,0.5
22.750,50,0,0.25
23.000,45,7,0.75
23.750,50,0,0.125
23.875,50,0,0.25
24.125,52,2,0.25
24.375,52,2,0.125
24.500,52,2,0.25
24.750,52,2,1.0
25.750,50,0,0.125
25.875,50,0,0.125
26.000,54,4,0.125
26.125,47,9,0.875
27.000,45,7,0.875
27.875,50,0,0.125
28.000,52,2,1.0
29.000,54,4,0.25
29.250,55,5,0.125
29.375,54,4,0.25
29.625,52,2,0.125
29.750,50,0,0.25
30.000,47,9,0.875
30.875,50,0,0.125
31.000,45,7,1.0
32.000,52,2,1.0
33.000,54,4,0.25
33.250,55,5,0.125
33.375,54,4,0.25
33.625,52,2,0.125
33.750,50,0,0.25
34.000,47,9,0.875
34.875,50,0,0.125
35.000,45,7,4.625
39.625,52,2,0.125
39.750,52,2,0.125
39.875,50,0,0.125
40.000,52,2,0.125
40.125,52,2,0.375
40.500,52,2,0.25
40.750,52,2,1.0
41.750,50,0,0.125
41.875,50,0,0.125
42.000,54,4,0.125
42.125,47,9,0.25
42.375,47,9,0.625
43.000,45,7,0.75
43.750,52,2,0.125
43.875,50,0,0.375
44.250,52,2,0.125
44.375,52,2,0.125
44.500,52,2,0.25
44.750,52,2,1.0
45.750,50,0,0.125
45.875,50,0,0.125
46.000,54,4,0.25
46.250,47,9,0.25
46.500,47,9,0.5
47.000,45,7,0.75
47.750,52,2,0.125
47.875,50,0,0.375
48.250,52,2,0.25
48.500,52,2,0.125
48.625,52,2,0.125
48.750,52,2,1.0
49.750,50,0,0.125
49.875,50,0,0.25
50.125,53,3,0.25
50.375,47,9,0.125
50.500,47,9,0.5
51.000,45,7,1.0
52.000,52,2,1.0
53.000,54,4,0.25
53.250,55,5,0.125
53.375,54,4,0.25
53.625,52,2,0.125
53.750,50,0,0.25
54.000,47,9,0.875
54.875,50,0,0.125
55.000,45,7,1.0
56.000,52,2,1.0
57.000,54,4,0.25
57.250,55,5,0.125
57.375,54,4,0.25
57.625,52,2,0.125
57.750,50,0,0.25
58.000,47,9,0.875
58.875,50,0,0.125
59.000,45,7,16.625
75.625,50,0,0.125
75.750,52,2,0.125
75.875,50,0,0.25
76.125,52,2,0.25
76.375,52,2,0.125
76.500,52,2,0.25
76.750,52,2,1.0
77.750,50,0,0.125
77.875,50,0,0.25
78.125,54,4,0.25
78.375,47,9,0.25
78.625,47,9,0.25
78.875,45,7,0.875
79.750,52,2,0.125
79.875,50,0,0.125
80.000,52,2,0.25
80.250,52,2,0.25
80.500,52,2,0.25
80.750,52,2,0.875
81.625,52,2,0.125
81.750,50,0,0.125
81.875,50,0,0.125
82.000,54,4,0.25
82.250,47,9,0.5
82.750,47,9,0.25
83.000,45,7,0.75
83.750,52,2,0.125
83.875,50,0,0.25
84.125,52,2,0.25
84.375,52,2,0.375
84.750,52,2,0.25
85.000,52,2,0.75
85.750,52,2,0.125
85.875,50,0,0.375
86.250,54,4,0.25
86.500,47,9,0.25
86.750,47,9,0.25
87.000,45,7,0.875
87.875,50,0,0.125
88.000,52,2,1.0
89.000,54,4,0.25
89.250,55,5,0.125
89.375,54,4,0.25
89.625,52,2,0.125
89.750,50,0,0.25
90.000,47,9,0.875
90.875,50,0,0.125
91.000,45,7,1.0
92.000,52,2,1.0
93.000,54,4,0.25
93.250,55,5,0.125
93.375,54,4,0.25
93.625,52,2,0.125
93.750,50,0,0.25
94.000,47,9,0.875
94.875,50,0,0.125
95.000,45,7,1.0
96.000,52,2,1.0
97.000,54,4,0.25
97.250,55,5,0.125
97.375,54,4,0.25
97.625,52,2,0.125
97.750,50,0,0.25
98.000,47,9,0.875
98.875,50,0,0.125
99.000,45,7,1.0
100.000,52,2,1.0
101.000,54,4,0.25
101.250,55,5,0.125
101.375,54,4,0.25
101.625,52,2,0.125
101.750,50,0,0.25
102.000,47,9,0.875
102.875,50,0,0.125
