time,note,scale degree,length
8.000,66,4,0.125
8.125,64,2,0.25
8.375,64,2,0.125
8.500,64,2,0.125
8.625,64,2,0.125
8.750,66,4,0.25
9.000,64,2,0.125
9.125,62,0,0.125
9.250,62,0,0.25
9.500,62,0,0.125
9.625,62,0,0.125
9.750,62,0,0.25
10.000,66,4,0.25
10.250,69,7,0.125
10.375,66,4,1.5
11.875,64,2,0.125
12.000,66,4,0.25
12.250,66,4,0.25
12.500,66,4,0.125
12.625,66,4,0.125
12.750,64,2,0.06199999999999939
12.812,66,4,0.1880000000000006
13.000,64,2,0.125
13.125,62,0,0.125
13.250,62,0,0.125
13.375,62,0,0.25
13.625,62,0,0.25
13.875,69,7,0.25
14.125,62,0,0.125
14.250,64,2,0.25
14.500,66,4,1.375
15.875,57,7,0.125
16.000,59,9,0.125
16.125,62,0,0.375
16.500,65,3,0.125
16.625,64,2,0.125
16.750,62,0,0.125
16.875,64,2,0.125
17.000,66,4,0.625
17.625,66,4,0.125
17.750,67,5,0.25
18.000,69,7,0.25
18.250,71,9,0.25
18.500,64,2,0.125
18.625,62,0,0.375
19.000,64,2,0.75
19.750,66,4,0.25
20.000,66,4,0.125
20.125,66,4,0.125
20.250,64,2,0.25
20.500,62,0,0.125
20.625,62,0,0.125
20.750,59,9,0.25
21.000,57,7,0.125
21.125,54,4,0.625
21.750,62,0,0.125
21.875,62,0,0.125
22.000,66,4,0.375
22.375,69,7,0.125
22.500,66,4,1.375
23.875,59,9,0.125
24.000,64,2,0.25
24.250,64,2,0.125
24.375,62,0,0.125
24.500,64,2,0.125
24.625,66,4,0.375
25.000,57,7,0.625
25.625,69,7,0.25
25.875,66,4,0.125
26.000,64,2,0.25
26.250,64,2,0.125
26.375,62,0,0.125
26.500,64,2,0.062000000000001165
26.562,64,2,0.12599999999999767
26.688,66,4,0.31200000000000117
27.000,57,7,0.875
27.875,57,7,0.125
28.000,64,2,0.25
28.250,64,2,0.125
28.375,64,2,0.375
28.750,66,4,0.125
28.875,69,7,0.375
29.250,71,9,0.25
29.500,65,3,0.125
29.625,64,2,0.125
29.750,64,2,0.125
29.875,62,0,2.0
31.875,57,7,0.125
32.000,64,2,0.25
32.250,64,2,0.25
32.500,64,2,0.25
32.750,64,2,0.125
32.875,66,4,0.125
33.000,64,2,0.25
33.250,62,0,0.25
33.500,62,0,0.25
33.750,62,0,0.125
33.875,62,0,0.125
34.000,66,4,0.25
34.250,69,7,0.125
34.375,66,4,1.375
35.750,66,4,0.25
36.000,64,2,0.25
36.250,64,2,0.25
36.500,64,2,0.125
36.625,64,2,0.125
36.750,66,4,0.125
36.875,64,2,0.25
37.125,64,2,0.125
37.250,64,2,0.125
37.375,69,7,0.25
37.625,69,7,0.25
37.875,66,4,0.125
38.000,64,2,0.125
38.125,62,0,0.25
38.375,62,0,1.5
39.875,57,7,0.125
40.000,59,9,0.25
40.250,62,0,0.25
40.500,66,4,0.125
40.625,64,2,0.125
40.750,62,0,0.125
40.875,66,4,0.75
41.625,66,4,0.25
41.875,69,7,0.25
42.125,69,7,0.125
42.250,69,7,0.125
42.375,71,9,0.125
42.500,65,3,0.06199999999999761
42.562,64,2,0.1880000000000024
42.750,62,0,0.125
42.875,64,2,0.75
43.625,66,4,0.375
44.000,66,4,0.125
44.125,66,4,0.125
44.250,64,2,0.25
44.500,62,0,0.125
44.625,62,0,0.125
44.750,59,9,0.25
45.000,57,7,0.125
45.125,54,4,0.625
45.750,62,0,0.125
45.875,62,0,0.125
46.000,66,4,0.125
46.125,62,0,0.125
46.250,64,2,1.625
47.875,59,9,0.125
48.000,64,2,0.25
48.250,64,2,0.125
48.375,62,0,0.125
48.500,64,2,0.125
48.625,66,4,0.375
49.000,57,7,0.625
49.625,69,7,0.25
49.875,66,4,0.125
50.000,64,2,0.25
50.250,64,2,0.125
50.375,62,0,0.125
50.500,64,2,0.06199999999999761
50.562,64,2,0.06300000000000239
50.625,66,4,0.375
51.000,57,7,0.875
51.875,57,7,0.125
52.000,64,2,0.25
52.250,66,4,0.25
52.500,62,0,0.125
52.625,62,0,0.125
52.750,66,4,0.125
52.875,62,0,0.125
53.000,69,7,0.25
53.250,69,7,0.125
53.375,71,9,0.125
53.500,65,3,0.125
53.625,64,2,0.125
53.750,64,2,0.125
53.875,62,0,2.125
56.000,69,7,0.25
56.250,69,7,0.25
56.500,69,7,0.125
56.625,64,2,0.125
56.750,64,2,0.125
56.875,66,4,0.125
57.000,66,4,0.375
57.375,64,2,0.125
57.500,62,0,0.375
57.875,62,0,0.125
58.000,66,4,0.25
58.250,69,7,0.125
58.375,66,4,1.375
59.750,66,4,0.125
59.875,62,0,0.125
60.000,64,2,0.125
60.125,64,2,0.125
60.250,64,2,0.125
60.375,64,2,0.125
60.500,64,2,0.125
60.625,64,2,0.125
60.750,66,4,0.25
61.000,64,2,0.125
61.125,62,0,0.125
61.250,62,0,0.125
61.375,62,0,0.125
61.500,62,0,0.125
61.625,62,0,0.125
61.750,62,0,0.125
61.875,69,7,0.25
62.125,66,4,0.06300000000000239
62.188,64,2,0.06199999999999761
62.250,62,0,0.125
62.375,62,0,1.5
63.875,57,7,0.125
64.000,59,9,0.125
64.125,62,0,0.125
64.250,62,0,0.125
64.375,62,0,0.125
64.500,66,4,0.25
64.750,62,0,0.125
64.875,66,4,0.75
65.625,62,0,0.125
65.750,65,3,0.125
65.875,62,0,0.125
66.000,69,7,0.125
66.125,69,7,0.125
66.250,69,7,0.125
66.375,69,7,0.125
66.500,65,3,0.125
66.625,64,2,0.125
66.750,62,0,0.125
66.875,64,2,0.75
67.625,66,4,0.375
68.000,66,4,0.125
68.125,66,4,0.125
68.250,64,2,0.25
68.500,62,0,0.125
68.625,62,0,0.125
68.750,59,9,0.25
69.000,57,7,0.125
69.125,54,4,0.625
69.750,62,0,0.125
69.875,62,0,0.125
70.000,66,4,0.375
70.375,62,0,0.125
70.500,64,2,1.375
71.875,62,0,0.125
72.000,64,2,0.25
72.250,64,2,0.125
72.375,62,0,0.125
72.500,64,2,0.125
72.625,66,4,0.375
73.000,57,7,0.625
73.625,69,7,0.25
73.875,66,4,0.125
74.000,64,2,0.125
74.125,62,0,0.125
74.250,64,2,0.125
74.375,62,0,0.125
74.500,64,2,0.125
74.625,66,4,0.375
75.000,57,7,0.875
