time,note,scale degree,length
2.000,62,7,0.06199999999999983
2.062,62,7,0.12600000000000033
2.188,64,9,0.18699999999999983
2.375,62,7,0.06300000000000017
2.438,59,4,0.06199999999999983
2.500,57,2,0.06199999999999983
2.562,59,4,0.5630000000000002
3.125,62,7,0.06300000000000017
3.188,64,9,0.12399999999999967
3.312,62,7,0.06300000000000017
3.375,60,5,0.06300000000000017
3.438,59,4,0.37399999999999967
3.812,55,0,0.06300000000000017
3.875,55,0,0.125
4.000,62,7,0.125
4.125,62,7,0.06299999999999972
4.188,62,7,0.25
4.438,62,7,0.06200000000000028
4.500,60,5,0.06200000000000028
4.562,59,4,0.06299999999999972
4.625,57,2,0.06299999999999972
4.688,55,0,0.18700000000000028
4.875,57,2,0.18700000000000028
5.062,57,2,0.9379999999999997
6.000,60,5,0.06200000000000028
6.062,60,5,0.12599999999999945
6.188,62,7,0.25
6.438,60,5,0.06200000000000028
6.500,59,4,0.125
6.625,57,2,0.06299999999999972
6.688,59,4,0.37400000000000055
7.062,60,5,0.06299999999999972
7.125,60,5,0.06299999999999972
7.188,62,7,0.12400000000000055
7.312,60,5,0.06299999999999972
7.375,62,7,0.06299999999999972
7.438,60,5,0.06200000000000028
7.500,59,4,0.4379999999999997
7.938,60,5,0.06200000000000028
8.000,60,5,0.06199999999999939
8.062,60,5,0.12600000000000122
8.188,62,7,0.25
8.438,60,5,0.06199999999999939
8.500,59,4,0.06199999999999939
8.562,57,2,0.12600000000000122
8.688,55,0,0.06199999999999939
8.750,57,2,0.06199999999999939
8.812,55,0,0.1880000000000006
9.000,59,4,0.875
9.875,62,7,0.125
10.000,62,7,0.25
10.250,64,9,0.06199999999999939
10.312,62,7,0.12600000000000122
10.438,60,5,0.06199999999999939
10.500,59,4,0.25
10.750,59,4,0.06199999999999939
10.812,60,5,0.1880000000000006
11.000,62,7,0.06199999999999939
11.062,62,7,0.1880000000000006
11.250,64,9,0.06199999999999939
11.312,62,7,0.12600000000000122
11.438,60,5,0.12399999999999878
11.562,59,4,0.3130000000000006
11.875,62,7,0.06300000000000061
11.938,62,7,0.06199999999999939
12.000,62,7,0.06199999999999939
12.062,62,7,0.1880000000000006
12.250,62,7,0.125
12.375,64,9,0.125
12.500,65,10,0.06199999999999939
12.562,65,10,0.1880000000000006
12.750,64,9,0.125
12.875,62,7,0.06300000000000061
12.938,64,9,0.4369999999999994
13.375,62,7,0.06300000000000061
13.438,60,5,0.5619999999999994
14.000,67,0,0.125
14.125,67,0,0.125
14.250,67,0,0.125
14.375,67,0,0.125
14.500,69,2,0.06199999999999939
14.562,67,0,0.12600000000000122
14.688,66,11,0.1869999999999994
14.875,64,9,0.25
15.125,62,7,0.06300000000000061
15.188,59,4,0.1869999999999994
15.375,62,7,0.06300000000000061
15.438,62,7,0.06199999999999939
15.500,64,9,0.06199999999999939
15.562,62,7,0.06300000000000061
15.625,60,5,0.06300000000000061
15.688,59,4,0.3119999999999994
16.000,59,4,0.062000000000001165
16.062,57,2,0.18799999999999883
16.250,59,4,0.125
16.375,57,2,0.06299999999999883
16.438,59,4,0.062000000000001165
16.500,57,2,0.125
