time,note,scale degree,length
3.688,64,4,0.18699999999999983
3.875,62,2,0.125
4.000,64,4,0.25
4.250,60,0,0.4379999999999997
4.688,62,2,0.06200000000000028
4.750,60,0,0.6879999999999997
5.438,60,0,0.06200000000000028
5.500,62,2,0.125
5.625,60,0,0.06299999999999972
5.688,62,2,0.06200000000000028
5.750,60,0,0.375
6.125,57,9,0.06299999999999972
6.188,55,7,1.6870000000000003
7.875,60,0,0.06299999999999972
7.938,62,2,0.18700000000000028
8.125,64,4,0.25
8.375,60,0,0.375
8.750,60,0,0.06199999999999939
8.812,57,9,0.06300000000000061
8.875,60,0,0.75
9.625,60,0,0.06300000000000061
9.688,62,2,0.12399999999999878
9.812,60,0,0.12600000000000122
9.938,57,9,0.06199999999999939
10.000,60,0,0.125
10.125,57,9,0.06300000000000061
10.188,55,7,1.8119999999999994
12.000,55,7,0.5
12.500,57,9,0.5
13.000,60,0,0.5
13.500,62,2,0.25
13.750,64,4,0.25
14.000,55,7,0.25
14.250,55,7,0.25
14.500,57,9,0.25
14.750,57,9,0.25
15.000,60,0,0.25
15.250,60,0,0.25
15.500,62,2,0.1880000000000006
15.688,60,0,0.06199999999999939
15.750,57,9,0.25
16.000,60,0,0.125
16.125,55,7,0.375
16.500,60,0,0.125
16.625,55,7,0.375
17.000,64,4,0.125
17.125,60,0,0.375
17.500,55,7,0.125
17.625,57,9,0.125
17.750,60,0,0.375
18.125,60,0,0.125
18.250,62,2,0.125
18.375,60,0,0.125
18.500,57,9,0.062000000000001165
18.562,60,0,0.43799999999999883
19.000,64,4,0.125
19.125,62,2,0.5
19.625,60,0,0.18700000000000117
19.812,62,2,0.18799999999999883
20.000,69,9,0.875
20.875,64,4,0.25
21.125,62,2,0.04200000000000159
21.167,64,4,0.04099999999999682
21.208,62,2,0.04200000000000159
21.250,60,0,0.125
21.375,60,0,0.25
21.625,55,7,0.06299999999999883
21.688,60,0,0.062000000000001165
21.750,62,2,0.125
21.875,60,0,0.125
22.000,57,9,0.125
22.125,55,7,1.6870000000000012
23.812,57,9,0.06299999999999883
23.875,60,0,0.06299999999999883
23.938,62,2,0.25
24.188,64,4,0.062000000000001165
24.250,62,2,0.125
24.375,62,2,0.125
24.500,60,0,0.062000000000001165
24.562,57,9,0.8129999999999988
25.375,60,0,0.06299999999999883
25.438,62,2,0.12400000000000233
25.562,60,0,0.31299999999999883
25.875,60,0,0.06299999999999883
25.938,57,9,0.18700000000000117
26.125,55,7,1.5
27.625,64,4,0.06299999999999883
27.688,62,2,0.062000000000001165
27.750,64,4,0.25
28.000,55,7,0.5
28.500,57,9,0.5
29.000,60,0,0.5
29.500,62,2,0.25
29.750,64,4,0.25
30.000,55,7,0.25
30.250,55,7,0.25
30.500,57,9,0.25
30.750,64,4,0.25
31.000,62,2,0.062000000000001165
31.062,60,0,0.06299999999999883
31.125,57,9,0.125
31.250,60,0,0.25
31.500,62,2,0.18799999999999883
31.688,60,0,0.062000000000001165
31.750,57,9,0.25
32.000,60,0,0.125
32.125,55,7,0.375
32.500,60,0,0.125
32.625,55,7,0.375
33.000,64,4,0.125
33.125,60,0,0.375
33.500,55,7,0.125
33.625,57,9,0.125
33.750,60,0,0.375
34.125,60,0,0.125
34.250,62,2,0.125
34.375,60,0,0.125
34.500,57,9,0.125
34.625,60,0,0.375
35.000,64,4,0.125
35.125,62,2,0.375
35.500,69,9,0.5
36.000,64,4,0.375
36.375,69,9,0.125
36.500,64,4,5.0
41.500,60,0,0.125
41.625,62,2,0.25
41.875,64,4,1.625
43.500,57,9,0.125
43.625,60,0,0.25
43.875,62,2,1.8130000000000024
45.688,69,9,0.3119999999999976
46.000,64,4,0.25
46.250,67,7,0.06199999999999761
46.312,64,4,0.5630000000000024
46.875,62,2,0.06300000000000239
46.938,60,0,0.06199999999999761
47.000,57,7,0.625
47.625,66,4,0.25
47.875,66,4,0.125
48.000,66,4,0.125
48.125,64,2,0.125
48.250,62,0,0.125
48.375,62,0,0.06300000000000239
48.438,64,2,0.06199999999999761
48.500,66,4,0.125
48.625,62,0,0.125
48.750,62,0,0.125
48.875,59,9,0.5
49.375,64,2,0.5
49.875,62,0,0.125
50.000,59,9,0.125
50.125,61,11,0.06300000000000239
50.188,59,9,0.06199999999999761
50.250,57,7,0.3119999999999976
50.562,55,5,0.06300000000000239
50.625,54,4,1.0
51.625,66,4,0.125
51.750,64,2,0.375
52.125,64,2,0.06300000000000239
52.188,62,0,0.3119999999999976
52.500,59,9,0.125
52.625,62,0,0.06300000000000239
52.688,59,9,0.12399999999999523
52.812,64,2,0.12600000000000477
52.938,66,4,0.6869999999999976
53.625,64,2,0.125
53.750,62,0,0.3119999999999976
54.062,59,9,0.12600000000000477
54.188,59,9,0.06199999999999761
54.250,57,7,0.3119999999999976
54.562,54,4,1.0630000000000024
55.625,66,4,0.06300000000000239
55.688,64,2,0.06199999999999761
55.750,66,4,0.25
56.000,57,7,0.5
56.500,59,9,0.5
57.000,62,0,0.5
57.500,64,2,0.1880000000000024
57.688,62,0,0.3119999999999976
58.000,57,7,0.25
58.250,57,7,0.25
58.500,59,9,0.25
58.750,66,4,0.25
59.000,64,2,0.06199999999999761
59.062,62,0,0.06300000000000239
59.125,59,9,0.125
59.250,62,0,0.25
59.500,64,2,0.1880000000000024
59.688,62,0,0.06199999999999761
59.750,59,9,0.25
60.000,62,0,0.125
60.125,57,7,0.375
60.500,62,0,0.125
60.625,57,7,0.375
61.000,66,4,0.125
61.125,62,0,0.375
61.500,57,7,0.125
61.625,59,9,0.125
61.750,62,0,0.375
62.125,62,0,0.125
62.250,64,2,0.125
62.375,62,0,0.125
62.500,59,9,0.125
62.625,62,0,0.375
63.000,66,4,0.125
63.125,64,2,1.25
64.375,64,2,0.125
64.500,66,4,0.125
64.625,66,4,0.125
64.750,64,2,0.125
64.875,62,0,0.06300000000000239
64.938,64,2,0.06199999999999761
65.000,66,4,0.25
65.250,64,2,0.125
65.375,64,2,0.06300000000000239
65.438,62,0,0.1869999999999976
65.625,62,0,0.25
65.875,64,2,0.125
66.000,62,0,0.125
66.125,59,9,0.125
66.250,62,0,0.625
66.875,59,9,0.125
67.000,66,4,0.125
67.125,64,2,0.125
67.250,64,2,0.125
67.375,62,0,0.06300000000000239
67.438,66,4,0.1869999999999976
67.625,64,2,0.125
67.750,64,2,0.1880000000000024
67.938,62,0,0.1869999999999976
68.125,59,9,0.125
68.250,57,7,0.375
68.625,55,5,0.06300000000000239
68.688,54,4,0.8119999999999976
69.500,66,4,0.125
69.625,64,2,0.06300000000000239
69.688,64,2,0.12399999999999523
69.812,62,0,0.12600000000000477
69.938,66,4,0.12399999999999523
70.062,64,2,0.06300000000000239
70.125,64,2,0.06300000000000239
70.188,62,0,0.12399999999999523
70.312,66,4,0.1880000000000024
70.500,64,2,0.06199999999999761
70.562,64,2,0.06300000000000239
70.625,62,0,0.125
70.750,64,2,0.125
70.875,62,0,0.06300000000000239
70.938,59,9,0.12399999999999523
71.062,62,0,0.4380000000000024
71.500,71,9,0.5
72.000,66,4,0.375
72.375,59,9,0.1869999999999976
72.562,57,7,1.0
73.562,57,7,0.06300000000000239
73.625,66,4,0.25
73.875,64,2,0.1869999999999976
74.062,66,4,0.12600000000000477
74.188,64,2,0.12399999999999523
74.312,62,0,0.1880000000000024
74.500,59,9,0.125
74.625,62,0,0.06300000000000239
74.688,64,2,0.12399999999999523
74.812,62,0,0.06300000000000239
74.875,59,9,0.125
