time,note,scale degree,length
6.250,60,5,0.125
6.375,60,5,0.25
6.625,62,7,0.25
6.875,63,8,0.25
7.125,67,0,0.25
7.375,69,2,0.25
7.625,70,3,0.25
7.875,70,3,0.25
8.125,69,2,0.25
8.375,67,0,0.25
8.625,65,10,0.25
8.875,64,9,3.375
12.250,60,5,0.125
12.375,60,5,0.25
12.625,62,7,0.25
12.875,63,8,0.25
13.125,67,0,0.25
13.375,69,2,0.25
13.625,70,3,0.25
13.875,70,3,0.25
14.125,69,2,0.25
14.375,67,0,0.25
14.625,65,10,0.25
14.875,64,9,0.75
15.625,62,7,1.125
16.750,62,7,0.25
17.000,64,9,1.875
18.875,65,10,0.06299999999999883
18.938,64,9,0.062000000000001165
19.000,62,7,0.75
19.750,62,7,0.25
20.000,64,9,3.25
23.250,60,5,0.125
23.375,60,5,0.25
23.625,58,3,0.25
23.875,57,2,0.375
24.250,57,2,0.125
24.375,60,5,0.25
24.625,62,7,0.25
24.875,62,7,0.25
25.125,60,5,0.25
25.375,58,3,0.25
25.625,57,2,0.25
25.875,58,3,0.06299999999999883
25.938,57,2,0.062000000000001165
26.000,55,0,3.25
29.250,60,5,0.125
29.375,60,5,0.25
29.625,62,7,0.25
29.875,63,8,0.25
30.125,62,7,0.25
30.375,60,5,0.25
30.625,63,8,0.25
30.875,62,7,0.25
31.125,60,5,0.25
31.375,58,3,0.25
31.625,57,2,0.25
31.875,58,3,0.625
32.500,57,2,0.5
33.000,55,0,0.75
33.750,62,7,0.25
34.000,64,9,1.875
35.875,65,10,0.06300000000000239
35.938,64,9,0.06199999999999761
36.000,62,7,0.75
36.750,62,7,0.25
37.000,64,9,10.75
47.750,53,5,0.25
48.000,55,7,0.125
48.125,57,9,0.125
48.250,60,0,0.06199999999999761
48.312,57,9,0.12600000000000477
48.438,56,8,0.12399999999999523
48.562,56,8,0.12600000000000477
48.688,56,8,0.06199999999999761
48.750,60,0,0.125
48.875,62,2,1.125
50.000,57,9,0.125
50.125,57,9,0.125
50.250,60,0,0.06199999999999761
50.312,57,9,0.12600000000000477
50.438,56,8,0.12399999999999523
50.562,56,8,0.06300000000000239
50.625,56,8,0.06300000000000239
50.688,56,8,0.06199999999999761
50.750,60,0,0.125
50.875,62,2,5.125
56.000,65,5,0.06199999999999761
56.062,64,4,0.06300000000000239
56.125,62,2,0.06300000000000239
56.188,64,4,0.12399999999999523
56.312,62,2,0.1880000000000024
56.500,64,4,0.06199999999999761
56.562,62,2,0.06300000000000239
56.625,62,2,0.06300000000000239
56.688,62,2,0.12399999999999523
56.812,62,2,0.1880000000000024
57.000,60,0,0.06199999999999761
57.062,60,0,0.06300000000000239
57.125,62,2,0.06300000000000239
57.188,62,2,0.06199999999999761
57.250,62,2,0.06199999999999761
57.312,62,2,0.06300000000000239
57.375,62,2,0.06300000000000239
57.438,63,3,0.12399999999999523
57.562,60,0,0.4380000000000024
58.000,62,2,0.06199999999999761
58.062,62,2,0.06300000000000239
58.125,62,2,0.06300000000000239
58.188,63,3,0.12399999999999523
58.312,63,3,0.12600000000000477
58.438,64,4,0.12399999999999523
58.562,63,3,0.12600000000000477
58.688,63,3,0.06199999999999761
58.750,63,3,0.125
58.875,63,3,0.125
59.000,63,3,0.06199999999999761
59.062,63,3,0.06300000000000239
59.125,63,3,0.06300000000000239
59.188,63,3,0.06199999999999761
59.250,63,3,0.06199999999999761
59.312,63,3,0.06300000000000239
59.375,63,3,0.06300000000000239
59.438,63,3,0.12399999999999523
59.562,63,3,0.12600000000000477
59.688,63,3,0.12399999999999523
59.812,63,3,0.12600000000000477
59.938,63,3,0.13299999999999557
60.071,60,0,1.929000000000002
62.000,72,0,19.0
81.000,63,3,0.5
81.500,62,2,0.75
82.250,62,2,0.25
82.500,61,1,0.3119999999999976
82.812,62,2,0.12600000000000477
82.938,64,4,0.06199999999999761
83.000,65,5,0.5
83.500,64,4,0.375
83.875,64,4,0.25
84.125,62,2,1.125
85.250,62,2,0.1880000000000024
85.438,64,4,0.06199999999999761
85.500,65,5,0.25
85.750,60,0,0.5
86.250,62,2,0.1880000000000024
86.438,64,4,0.06199999999999761
86.500,65,5,0.25
86.750,60,0,0.25
87.000,59,11,0.125
87.125,64,4,0.25
87.375,65,5,0.125
87.500,64,4,0.5
88.000,57,9,0.125
88.125,64,4,0.25
88.375,65,5,0.125
88.500,64,4,0.5
89.000,63,3,0.5
89.500,62,2,0.75
90.250,62,2,0.25
90.500,61,1,0.3119999999999976
90.812,62,2,0.12600000000000477
90.938,64,4,0.06199999999999761
91.000,65,5,0.5
91.500,67,7,0.25
91.750,67,7,0.125
91.875,65,5,0.1869999999999976
92.062,65,5,0.4380000000000024
92.500,64,4,0.25
92.750,62,2,0.5
93.250,62,2,0.1880000000000024
93.438,64,4,0.06199999999999761
93.500,65,5,0.25
93.750,60,0,0.5
94.250,62,2,0.1880000000000024
94.438,64,4,0.06199999999999761
