time,note,scale degree,length
7.750,64,9,0.25
8.000,62,7,0.25
8.250,60,5,0.25
8.500,59,4,0.125
8.625,60,5,0.25
8.875,62,7,0.125
9.000,62,7,0.875
9.875,64,9,0.25
10.125,64,9,0.25
10.375,64,9,0.06300000000000061
10.438,62,7,0.06199999999999939
10.500,60,5,0.125
10.625,59,4,0.25
10.875,60,5,1.25
12.125,59,4,0.125
12.250,57,2,0.125
12.375,55,0,0.1869999999999994
12.562,55,0,0.06300000000000061
12.625,60,5,0.25
12.875,59,4,0.125
13.000,59,4,1.125
14.125,55,0,0.25
14.375,55,0,0.125
14.500,55,0,0.125
14.625,55,0,0.25
14.875,57,2,0.25
15.125,57,2,0.5
15.625,60,5,0.125
15.750,64,9,0.25
16.000,62,7,0.25
16.250,60,5,0.25
16.500,59,4,0.25
16.750,60,5,0.125
16.875,62,7,0.25
17.125,62,7,1.0
18.125,64,9,0.125
18.250,64,9,0.125
18.375,64,9,0.125
18.500,62,7,0.125
18.625,60,5,0.06299999999999883
18.688,59,4,0.18700000000000117
18.875,60,5,0.25
19.125,60,5,0.5
19.625,62,7,0.25
19.875,59,4,0.25
20.125,59,4,0.125
20.250,57,2,0.25
20.500,55,0,0.25
20.750,60,5,0.125
20.875,57,2,0.125
21.000,59,4,0.375
21.375,59,4,1.0
22.375,55,0,0.25
22.625,55,0,0.25
22.875,57,2,0.25
23.125,57,2,0.875
24.000,59,4,0.25
24.250,62,7,0.25
24.500,59,4,0.25
24.750,57,2,0.125
24.875,55,0,1.5
26.375,55,0,0.25
26.625,59,4,0.25
26.875,57,2,0.25
27.125,57,2,0.125
27.250,55,0,0.625
27.875,55,0,0.125
28.000,59,4,0.25
28.250,62,7,0.25
28.500,64,9,0.125
28.625,66,11,0.125
28.750,64,9,1.625
30.375,55,0,0.125
30.500,59,4,0.375
30.875,57,2,0.25
31.125,55,0,1.25
32.375,55,0,0.125
32.500,59,4,0.375
32.875,57,2,0.25
33.125,55,0,1.5
34.625,59,4,0.125
34.750,59,4,0.125
34.875,64,9,0.125
35.000,62,7,0.1880000000000024
35.188,62,7,0.1869999999999976
35.375,62,7,0.25
35.625,60,5,0.125
