time,note,scale degree,length
3.500,70,3,0.125
3.625,70,3,0.25
3.875,70,3,0.25
4.125,70,3,0.25
4.375,70,3,0.25
4.625,69,2,0.25
4.875,69,2,0.125
5.000,67,0,0.25
5.250,67,0,0.25
5.500,67,0,0.25
5.750,67,0,0.125
5.875,67,0,0.125
6.000,69,2,0.25
6.250,64,9,1.125
7.375,64,9,0.125
7.500,71,4,0.125
7.625,74,7,0.25
7.875,76,9,0.25
8.125,74,7,0.25
8.375,76,9,0.375
8.750,74,7,0.125
8.875,70,3,0.06300000000000061
8.938,69,2,0.06199999999999939
9.000,67,0,2.5
11.500,70,3,0.125
11.625,70,3,0.25
11.875,70,3,0.25
12.125,70,3,0.25
12.375,70,3,0.25
12.625,69,2,0.25
12.875,69,2,0.125
13.000,67,0,0.125
13.125,67,0,0.25
13.375,67,0,0.25
13.625,67,0,0.25
13.875,69,2,0.25
14.125,64,9,1.25
15.375,62,7,0.125
15.500,71,4,0.125
15.625,74,7,0.25
15.875,76,9,0.25
16.125,74,7,0.375
16.500,74,7,0.25
16.750,74,7,0.25
17.000,70,3,0.062000000000001165
17.062,69,2,0.06299999999999883
17.125,67,0,1.25
18.375,64,9,0.125
18.500,71,4,0.125
18.625,74,7,0.06299999999999883
18.688,76,9,0.31200000000000117
19.000,71,4,0.25
19.250,69,2,0.25
19.500,69,2,0.375
19.875,71,4,0.5
20.375,64,9,0.125
20.500,71,4,0.125
20.625,74,7,0.06299999999999883
20.688,76,9,0.18700000000000117
20.875,71,4,0.06299999999999883
20.938,69,2,0.062000000000001165
21.000,67,0,1.375
22.375,64,9,0.125
22.500,71,4,0.125
22.625,74,7,0.06299999999999883
22.688,76,9,0.18700000000000117
22.875,71,4,0.375
23.250,69,2,0.375
23.625,69,2,0.25
23.875,62,7,0.625
24.500,74,7,0.125
24.625,74,7,0.25
24.875,70,3,0.06299999999999883
24.938,69,2,0.062000000000001165
25.000,67,0,1.375
26.375,64,9,0.125
26.500,71,4,0.125
26.625,74,7,0.25
26.875,76,9,0.75
27.625,74,7,0.875
28.500,76,9,0.125
28.625,74,7,0.25
28.875,70,3,0.06299999999999883
28.938,69,2,0.062000000000001165
29.000,67,0,1.625
30.625,67,0,0.875
31.500,67,0,0.125
31.625,69,2,0.25
31.875,65,10,0.25
32.125,65,10,0.375
32.500,69,2,0.125
32.625,69,2,0.25
32.875,69,2,2.125
35.000,74,7,0.125
35.125,74,7,0.375
35.500,74,7,0.125
35.625,74,7,0.25
35.875,74,7,0.625
