time,note,scale degree,length
0.125,58,7,0.125
0.250,60,9,0.125
0.375,61,10,0.125
0.500,61,10,0.125
0.625,61,10,0.125
0.750,61,10,0.125
0.875,60,9,0.125
1.000,60,9,0.25
1.250,58,7,0.25
1.500,58,7,0.25
1.750,55,4,0.125
1.875,58,7,0.25
2.125,60,9,0.75
2.875,61,10,0.25
3.125,61,10,0.125
3.250,60,9,0.125
3.375,56,5,0.125
3.500,58,7,0.25
3.750,55,4,0.125
3.875,58,7,0.25
4.125,51,0,0.625
4.750,61,10,0.125
4.875,58,7,0.125
5.000,61,10,0.25
5.250,60,9,0.25
5.500,58,7,0.125
5.625,55,4,0.25
5.875,58,7,0.25
6.125,60,9,0.75
6.875,61,10,0.25
7.125,61,10,0.125
7.250,60,9,0.25
7.500,58,7,0.25
7.750,55,4,0.125
7.875,58,7,0.25
8.125,51,0,0.875
9.000,61,10,0.125
9.125,61,10,0.125
9.250,60,9,0.125
9.375,58,7,0.25
9.625,55,4,0.25
9.875,58,7,0.25
10.125,60,9,0.75
10.875,58,7,0.25
11.125,58,7,0.125
11.250,56,5,0.125
11.375,56,5,0.125
11.500,55,4,0.25
11.750,53,2,0.125
11.875,51,0,1.0
12.875,58,7,0.25
13.125,58,7,0.125
13.250,56,5,0.125
13.375,56,5,0.125
13.500,55,4,0.25
13.750,53,2,0.125
13.875,51,0,0.25
14.125,58,7,0.125
14.250,58,7,0.125
14.375,58,7,0.125
14.500,58,7,0.125
14.625,56,5,0.125
14.750,56,5,0.25
15.000,55,4,0.125
15.125,53,2,0.125
15.250,53,2,0.125
15.375,53,2,0.75
16.125,53,2,0.125
16.250,53,2,0.125
16.375,56,5,0.125
16.500,56,5,0.125
16.625,56,5,0.125
16.750,56,5,0.125
16.875,56,5,0.125
17.000,56,5,0.125
17.125,55,4,0.25
17.375,55,4,0.125
17.500,53,2,0.125
17.625,51,0,0.5
18.125,55,4,0.125
18.250,56,5,0.125
18.375,56,5,0.125
18.500,58,7,0.125
18.625,58,7,0.125
18.750,58,7,0.125
18.875,58,7,0.125
19.000,58,7,0.125
19.125,56,5,0.125
19.250,56,5,0.125
19.375,56,5,0.75
20.125,56,5,0.125
20.250,56,5,0.125
20.375,58,7,0.125
20.500,60,9,0.125
20.625,60,9,0.125
20.750,60,9,0.125
20.875,60,9,0.125
