time,note,scale degree,length
11.625,66,3,0.125
11.750,66,3,0.125
11.875,66,3,0.125
12.000,66,3,0.125
12.125,66,3,0.125
12.250,66,3,0.125
12.375,66,3,0.125
12.500,66,3,0.125
12.625,63,0,0.125
12.750,63,0,0.125
12.875,63,0,0.125
13.000,66,3,0.125
13.125,63,0,0.125
13.250,63,0,0.125
13.375,61,10,0.125
13.500,63,0,0.125
13.625,63,0,0.125
13.750,63,0,0.125
13.875,67,4,1.75
15.625,66,3,0.125
15.750,66,3,0.125
15.875,66,3,0.125
16.000,66,3,0.125
16.125,66,3,0.125
16.250,66,3,0.125
16.375,66,3,0.125
16.500,66,3,0.125
16.625,63,0,0.125
16.750,63,0,0.125
16.875,66,3,0.125
17.000,65,2,0.125
17.125,63,0,0.375
17.500,65,2,0.125
17.625,63,0,0.125
17.750,63,0,0.125
17.875,60,9,1.875
19.750,66,3,0.125
19.875,66,3,0.25
20.125,66,3,0.125
20.250,65,2,0.125
20.375,63,0,0.25
20.625,60,9,0.25
20.875,58,7,0.125
21.000,60,9,0.125
21.125,60,9,0.125
21.250,63,0,0.062000000000001165
21.312,63,0,0.06299999999999883
21.375,63,0,0.125
21.500,66,3,0.25
21.750,60,9,0.125
21.875,60,9,1.75
23.625,58,7,0.125
23.750,60,9,0.125
23.875,60,9,0.125
24.000,63,0,0.125
24.125,63,0,0.125
24.250,65,2,0.125
24.375,66,3,0.25
24.625,65,2,0.125
24.750,63,0,0.125
24.875,63,0,0.125
25.000,65,2,0.25
25.250,65,2,0.25
25.500,65,2,0.125
25.625,63,0,0.125
25.750,63,0,0.125
25.875,66,3,2.0
27.875,58,7,0.125
28.000,66,3,0.25
28.250,65,2,0.125
28.375,65,2,0.125
28.500,65,2,0.125
28.625,63,0,0.125
28.750,63,0,0.125
28.875,63,0,0.125
29.000,66,3,0.25
29.250,65,2,0.125
29.375,63,0,0.125
29.500,65,2,0.125
29.625,63,0,0.125
29.750,63,0,0.125
29.875,60,9,0.125
30.000,58,7,1.75
31.750,66,3,0.125
31.875,66,3,0.25
32.125,66,3,0.125
32.250,65,2,0.125
32.375,63,0,0.25
32.625,60,9,0.125
32.750,58,7,0.25
33.000,66,3,0.25
33.250,63,0,0.125
33.375,65,2,0.25
33.625,63,0,0.125
33.750,63,0,0.125
33.875,60,9,1.75
35.625,58,7,0.125
35.750,61,10,0.125
35.875,58,7,0.125
36.000,63,0,0.125
36.125,63,0,0.125
36.250,65,2,0.125
36.375,66,3,0.25
36.625,65,2,0.25
36.875,58,7,0.125
37.000,63,0,0.125
37.125,63,0,0.125
37.250,66,3,0.125
37.375,63,0,0.125
37.500,66,3,0.125
37.625,63,0,0.125
37.750,63,0,0.125
37.875,67,4,1.75
39.625,60,9,0.125
39.750,63,0,0.125
39.875,60,9,0.125
40.000,63,0,0.125
40.125,63,0,0.125
40.250,63,0,0.125
40.375,60,9,0.125
40.500,63,0,0.125
40.625,63,0,0.125
40.750,63,0,0.125
40.875,60,9,0.125
41.000,63,0,0.25
41.250,63,0,0.125
41.375,60,9,0.125
41.500,66,3,0.125
41.625,60,9,0.125
41.750,60,9,0.125
41.875,60,9,0.25
42.125,58,7,1.625
43.750,66,3,0.125
43.875,66,3,0.25
44.125,66,3,0.125
44.250,65,2,0.125
44.375,63,0,0.25
44.625,60,9,0.125
44.750,58,7,0.125
44.875,58,7,0.125
45.000,60,9,0.125
45.125,60,9,0.125
45.250,63,0,0.25
45.500,66,3,0.125
45.625,66,3,0.25
45.875,63,0,1.75
47.625,58,7,0.125
47.750,60,9,0.125
47.875,63,0,0.125
48.000,63,0,0.25
48.250,60,9,0.25
48.500,63,0,0.25
48.750,60,9,0.375
49.125,63,0,0.125
49.250,60,9,0.125
49.375,63,0,0.125
49.500,63,0,0.125
49.625,63,0,0.125
49.750,60,9,0.25
50.000,63,0,0.25
50.250,60,9,0.25
50.500,63,0,0.25
50.750,60,9,0.375
51.125,63,0,0.25
51.375,63,0,0.125
51.500,60,9,0.125
51.625,63,0,0.125
51.750,60,9,0.25
52.000,63,0,0.25
52.250,63,0,0.25
52.500,63,0,0.25
52.750,60,9,0.125
52.875,58,7,0.25
53.125,63,0,0.25
53.375,63,0,0.125
53.500,63,0,0.125
53.625,63,0,0.125
53.750,60,9,0.25
54.000,63,0,0.25
54.250,60,9,0.25
54.500,63,0,0.25
54.750,58,7,0.375
55.125,63,0,0.25
55.375,63,0,0.125
55.500,63,0,0.125
55.625,63,0,0.125
55.750,66,3,0.125
55.875,66,3,0.25
56.125,66,3,0.125
56.250,65,2,0.125
56.375,63,0,0.25
56.625,60,9,0.125
56.750,58,7,0.25
57.000,66,3,0.25
57.250,65,2,0.25
57.500,65,2,0.125
57.625,63,0,0.125
57.750,63,0,0.125
57.875,66,3,0.25
58.125,63,0,13.5
71.625,66,3,0.25
71.875,66,3,0.25
72.125,65,2,0.125
72.250,65,2,0.125
72.375,65,2,0.125
72.500,65,2,0.125
72.625,63,0,0.125
72.750,63,0,0.125
72.875,63,0,0.125
73.000,66,3,0.125
73.125,65,2,0.125
73.250,65,2,0.125
73.375,65,2,0.125
73.500,65,2,0.125
73.625,63,0,0.125
73.750,63,0,0.125
73.875,63,0,0.125
74.000,66,3,0.125
74.125,67,4,0.25
74.375,60,9,0.125
74.500,63,0,0.25
74.750,63,0,0.25
75.000,66,3,0.875
75.875,66,3,0.375
76.250,63,0,0.125
76.375,60,9,0.125
76.500,63,0,0.125
76.625,63,0,0.125
76.750,63,0,0.125
76.875,60,9,0.125
77.000,63,0,0.25
77.250,63,0,0.25
77.500,63,0,0.125
77.625,63,0,0.5
78.125,63,0,0.25
78.375,63,0,0.25
78.625,63,0,0.125
78.750,63,0,0.125
78.875,63,0,0.125
79.000,58,7,0.625
79.625,66,3,0.25
79.875,66,3,0.25
80.125,63,0,0.125
80.250,63,0,0.125
80.375,63,0,0.25
80.625,58,7,0.375
81.000,66,3,0.25
81.250,63,0,0.125
81.375,65,2,0.25
81.625,63,0,0.125
81.750,63,0,0.125
81.875,60,9,1.75
83.625,63,0,0.125
83.750,63,0,0.125
83.875,61,10,0.125
84.000,63,0,0.125
84.125,63,0,0.125
84.250,63,0,0.125
84.375,63,0,0.125
84.500,65,2,0.125
84.625,66,3,0.5
85.125,66,3,0.25
85.375,63,0,0.125
85.500,60,9,0.25
85.750,63,0,0.125
85.875,63,0,0.25
86.125,60,9,1.5
87.625,60,9,0.125
87.750,63,0,0.125
87.875,63,0,0.125
88.000,66,3,0.25
88.250,65,2,0.125
88.375,65,2,0.25
88.625,60,9,0.25
88.875,60,9,0.125
89.000,63,0,0.125
89.125,63,0,0.125
89.250,63,0,0.125
89.375,63,0,0.25
89.625,63,0,0.25
89.875,58,7,0.125
90.000,60,9,1.625
91.625,66,3,0.25
91.875,66,3,0.125
92.000,66,3,0.125
92.125,66,3,0.125
92.250,65,2,0.125
92.375,63,0,0.5
92.875,58,7,0.125
93.000,60,9,0.125
93.125,60,9,0.125
93.250,63,0,0.25
93.500,66,3,0.25
93.750,63,0,0.125
93.875,60,9,1.375
95.250,66,3,0.125
95.375,66,3,0.25
95.625,63,0,0.125
95.750,63,0,0.25
96.000,63,0,0.25
96.250,58,7,1.0
97.250,66,3,0.125
97.375,66,3,0.25
97.625,63,0,0.125
97.750,63,0,0.25
98.000,63,0,0.25
98.250,58,7,1.0
99.250,70,7,0.125
99.375,66,3,0.25
99.625,63,0,0.125
99.750,63,0,0.25
100.000,63,0,0.25
100.250,63,0,1.0
101.250,70,7,0.125
101.375,66,3,0.25
101.625,63,0,0.125
101.750,63,0,0.25
102.000,63,0,0.25
102.250,58,7,1.0
103.250,66,3,0.125
103.375,66,3,0.25
103.625,66,3,0.125
103.750,65,2,0.25
104.000,65,2,0.25
104.250,58,7,0.25
104.500,60,9,0.25
104.750,63,0,0.25
105.000,65,2,0.125
105.125,65,2,0.125
105.250,63,0,0.125
105.375,66,3,0.25
