time,note,scale degree,length
7.125,52,2,0.125
7.250,50,0,0.125
7.375,50,0,0.125
7.500,55,5,0.125
7.625,50,0,0.125
7.750,50,0,0.125
7.875,48,10,0.125
8.000,50,0,1.25
9.250,50,0,0.125
9.375,50,0,0.125
9.500,53,3,0.125
9.625,50,0,0.125
9.750,53,3,0.125
9.875,53,3,0.125
10.000,50,0,0.125
10.125,48,10,1.0
11.125,57,7,0.25
11.375,57,7,0.125
11.500,60,10,0.125
11.625,57,7,0.125
11.750,57,7,0.125
11.875,57,7,0.125
12.000,57,7,0.125
12.125,55,5,1.0
13.125,50,0,0.125
13.250,50,0,0.125
13.375,50,0,0.125
13.500,53,3,0.125
13.625,50,0,0.125
13.750,53,3,0.125
13.875,53,3,0.125
14.000,50,0,1.125
15.125,57,7,0.25
15.375,57,7,0.125
15.500,60,10,0.125
15.625,57,7,0.125
15.750,59,9,0.125
15.875,60,10,0.125
16.000,57,7,0.125
16.125,55,5,0.375
16.500,57,7,0.75
17.250,50,0,0.125
17.375,50,0,0.125
17.500,54,4,0.125
17.625,50,0,0.125
17.750,53,3,0.125
17.875,53,3,0.125
18.000,50,0,1.125
19.125,53,3,0.125
19.250,52,2,0.125
19.375,50,0,0.125
19.500,57,7,0.25
19.750,57,7,0.25
20.000,57,7,0.125
20.125,50,0,1.0
21.125,52,2,0.125
21.250,50,0,0.125
21.375,50,0,0.125
21.500,53,3,0.125
21.625,50,0,0.125
21.750,53,3,0.125
21.875,53,3,0.125
22.000,50,0,0.125
22.125,48,10,1.0
23.125,57,7,0.125
23.250,57,7,0.125
23.375,57,7,0.125
23.500,57,7,0.125
23.625,57,7,0.125
23.750,57,7,0.125
23.875,57,7,0.125
24.000,55,5,1.125
25.125,50,0,0.125
25.250,50,0,0.125
25.375,50,0,0.125
25.500,53,3,0.125
25.625,50,0,0.125
25.750,53,3,0.125
25.875,53,3,0.125
26.000,50,0,1.125
27.125,55,5,0.125
27.250,57,7,0.125
27.375,60,10,0.25
27.625,57,7,0.125
27.750,60,10,0.125
27.875,60,10,0.125
28.000,57,7,0.125
28.125,55,5,1.125
29.250,50,0,0.125
29.375,50,0,0.125
29.500,54,4,0.125
29.625,50,0,0.125
29.750,54,4,0.125
29.875,54,4,0.125
30.000,50,0,1.25
31.250,50,0,0.125
31.375,50,0,0.125
31.500,55,5,0.125
31.625,55,5,0.125
31.750,55,5,0.125
31.875,53,3,0.125
32.000,57,7,0.125
32.125,50,0,1.125
33.250,50,0,0.125
33.375,50,0,0.125
33.500,54,4,0.125
33.625,54,4,0.125
33.750,56,6,0.125
33.875,54,4,0.125
34.000,57,7,0.125
34.125,50,0,1.125
35.250,50,0,0.125
35.375,50,0,0.125
35.500,54,4,0.125
35.625,54,4,0.125
35.750,56,6,0.125
35.875,54,4,0.125
36.000,57,7,0.125
36.125,57,7,0.25
36.375,55,5,0.75
37.125,50,0,0.125
37.250,50,0,0.125
37.375,50,0,0.125
37.500,53,3,0.125
37.625,53,3,0.125
37.750,55,5,0.125
37.875,53,3,0.125
38.000,57,7,0.125
38.125,50,0,1.125
39.250,57,7,0.125
39.375,57,7,0.125
39.500,60,10,0.125
39.625,57,7,0.125
39.750,60,10,0.125
39.875,60,10,0.125
40.000,57,7,0.125
40.125,55,5,0.5
40.625,57,7,1.5
42.125,48,10,0.125
42.250,50,0,0.125
42.375,50,0,0.125
42.500,54,4,0.125
42.625,50,0,0.125
42.750,50,0,0.125
42.875,48,10,0.125
43.000,50,0,1.125
44.125,48,10,0.125
44.250,50,0,0.125
44.375,50,0,0.125
44.500,54,4,0.125
44.625,50,0,0.125
44.750,50,0,0.125
44.875,48,10,0.125
45.000,50,0,1.125
46.125,57,7,0.125
46.250,57,7,0.125
46.375,57,7,0.125
46.500,60,10,0.125
46.625,57,7,0.125
46.750,57,7,0.125
46.875,57,7,0.125
47.000,57,7,0.125
47.125,55,5,1.0
48.125,50,0,0.125
48.250,50,0,0.125
48.375,50,0,0.125
48.500,54,4,0.125
48.625,50,0,0.125
48.750,52,2,0.125
48.875,48,10,0.125
49.000,57,7,0.125
49.125,50,0,1.25
50.375,57,7,0.125
50.500,60,10,0.125
50.625,57,7,0.125
50.750,60,10,0.125
50.875,60,10,0.125
51.000,57,7,0.125
51.125,55,5,1.0
52.125,50,0,0.125
52.250,50,0,0.125
52.375,50,0,0.125
52.500,53,3,0.125
52.625,50,0,0.125
52.750,53,3,0.125
52.875,53,3,0.125
53.000,50,0,0.125
53.125,48,10,13.125
66.250,50,0,0.125
66.375,50,0,0.125
66.500,55,5,0.125
66.625,55,5,0.125
66.750,55,5,0.125
66.875,53,3,0.125
67.000,57,7,0.125
67.125,50,0,1.125
68.250,50,0,0.125
68.375,50,0,0.125
68.500,53,3,0.125
68.625,53,3,0.125
68.750,55,5,0.125
68.875,53,3,0.125
69.000,57,7,0.125
69.125,50,0,1.125
70.250,50,0,0.125
70.375,50,0,0.125
70.500,54,4,0.125
70.625,54,4,0.125
70.750,56,6,0.125
70.875,54,4,0.125
71.000,57,7,0.125
71.125,57,7,0.25
71.375,55,5,0.75
72.125,50,0,0.125
72.250,50,0,0.125
72.375,50,0,0.125
72.500,53,3,0.125
72.625,53,3,0.125
72.750,55,5,0.125
72.875,53,3,0.125
73.000,57,7,0.125
73.125,50,0,1.125
74.250,57,7,0.125
74.375,57,7,0.125
74.500,60,10,0.125
74.625,57,7,0.125
74.750,57,7,0.125
74.875,55,5,0.125
75.000,57,7,0.125
75.125,55,5,1.0
76.125,53,3,0.125
76.250,50,0,0.125
76.375,50,0,0.125
76.500,55,5,0.125
76.625,50,0,0.125
76.750,54,4,0.125
76.875,54,4,0.125
77.000,50,0,0.125
77.125,48,10,1.125
78.250,50,0,0.125
78.375,50,0,0.125
78.500,54,4,0.125
78.625,54,4,0.125
78.750,56,6,0.125
78.875,54,4,0.125
79.000,57,7,0.125
79.125,50,0,1.125
80.250,50,0,0.125
80.375,50,0,0.125
80.500,54,4,0.125
80.625,54,4,0.125
80.750,56,6,0.125
80.875,54,4,0.125
81.000,57,7,0.125
81.125,57,7,0.25
81.375,55,5,0.75
82.125,50,0,0.125
82.250,50,0,0.125
82.375,50,0,0.125
82.500,53,3,0.125
82.625,53,3,0.125
82.750,55,5,0.125
82.875,53,3,0.125
83.000,57,7,0.125
83.125,50,0,1.125
84.250,57,7,0.125
84.375,57,7,0.125
84.500,60,10,0.125
84.625,57,7,0.125
84.750,57,7,0.125
84.875,55,5,0.125
85.000,57,7,0.125
85.125,55,5,0.875
86.000,57,7,0.25
86.250,50,0,0.125
86.375,50,0,0.125
86.500,54,4,0.125
86.625,50,0,0.125
86.750,53,3,0.125
86.875,53,3,0.125
