time,note,scale degree,length
8.000,52,2,0.375
8.375,54,4,0.125
8.500,54,4,0.625
9.125,52,2,0.125
9.250,54,4,0.125
9.375,54,4,0.06300000000000061
9.438,54,4,0.1869999999999994
9.625,50,0,0.125
9.750,50,0,0.125
9.875,45,7,0.06300000000000061
9.938,45,7,0.3119999999999994
10.250,54,4,0.06199999999999939
10.312,54,4,0.06300000000000061
10.375,54,4,0.06300000000000061
10.438,54,4,0.12399999999999878
10.562,50,0,0.1880000000000006
10.750,50,0,0.125
10.875,47,9,0.125
11.000,54,4,0.125
11.125,54,4,0.125
11.250,54,4,0.06199999999999939
11.312,54,4,0.06300000000000061
11.375,54,4,0.06300000000000061
11.438,50,0,0.3119999999999994
11.750,50,0,0.125
11.875,47,9,0.125
12.000,52,2,0.375
12.375,54,4,0.75
13.125,52,2,0.125
13.250,52,2,0.125
13.375,54,4,0.125
13.500,50,0,0.06199999999999939
13.562,50,0,0.25
13.812,45,7,0.3130000000000006
14.125,54,4,0.125
14.250,54,4,0.125
14.375,54,4,0.125
14.500,50,0,0.25
14.750,50,0,0.125
14.875,45,7,0.125
15.000,54,4,0.125
15.125,54,4,0.125
15.250,54,4,0.125
15.375,52,2,0.06300000000000061
15.438,50,0,8.437
23.875,45,7,0.125
24.000,52,2,0.375
24.375,54,4,0.75
25.125,52,2,0.06299999999999883
25.188,52,2,0.12400000000000233
25.312,49,11,0.18799999999999883
25.500,54,4,0.125
25.625,50,0,0.125
25.750,50,0,0.125
25.875,45,7,0.125
26.000,54,4,0.125
26.125,54,4,0.06299999999999883
26.188,54,4,0.062000000000001165
26.250,54,4,0.125
26.375,54,4,0.125
26.500,54,4,0.125
26.625,50,0,0.125
26.750,50,0,0.31200000000000117
27.062,54,4,0.06299999999999883
27.125,54,4,0.06299999999999883
27.188,54,4,0.062000000000001165
27.250,54,4,0.125
27.375,54,4,0.125
27.500,54,4,0.125
27.625,50,0,0.125
27.750,50,0,0.125
27.875,45,7,0.125
28.000,52,2,0.375
28.375,54,4,0.75
29.125,52,2,0.125
29.250,52,2,0.125
29.375,53,3,0.125
29.500,53,3,0.062000000000001165
29.562,53,3,0.12599999999999767
29.688,53,3,0.12400000000000233
29.812,50,0,0.06299999999999883
29.875,47,9,0.125
30.000,54,4,0.125
30.125,50,0,0.125
30.250,54,4,0.125
30.375,50,0,0.125
30.500,54,4,0.125
30.625,50,0,0.125
30.750,54,4,0.125
30.875,50,0,0.125
31.000,54,4,0.125
31.125,50,0,0.125
31.250,54,4,0.125
31.375,50,0,0.125
31.500,54,4,0.125
31.625,50,0,0.125
31.750,54,4,0.125
31.875,50,0,0.375
32.250,62,0,16.125
48.375,54,4,0.06300000000000239
48.438,54,4,0.06199999999999761
48.500,54,4,0.75
49.250,54,4,0.125
49.375,50,0,0.125
49.500,54,4,0.125
49.625,50,0,0.125
49.750,50,0,0.125
49.875,47,9,0.5
50.375,54,4,0.25
50.625,54,4,0.5
51.125,50,0,0.125
51.250,54,4,0.25
51.500,52,2,0.125
51.625,52,2,0.125
51.750,50,0,0.625
52.375,52,2,0.125
52.500,52,2,0.06199999999999761
52.562,50,0,0.06300000000000239
52.625,52,2,0.06300000000000239
52.688,50,0,0.1869999999999976
52.875,52,2,0.375
53.250,47,9,0.125
53.375,54,4,0.25
53.625,52,2,0.125
53.750,52,2,0.125
53.875,50,0,0.375
54.250,62,0,0.125
54.375,67,5,0.125
54.500,66,4,0.875
55.375,67,5,0.25
55.625,66,4,3.875
59.500,64,2,0.375
