time,note,scale degree,length
24.000,68,7,0.125
24.125,68,7,0.125
24.250,68,7,0.125
24.375,68,7,0.375
24.750,66,5,0.125
24.875,65,4,0.125
25.000,66,5,0.25
25.250,68,7,0.125
25.375,64,3,0.25
25.625,63,2,0.125
25.750,61,0,0.125
25.875,66,5,0.25
26.125,65,4,0.125
26.250,61,0,0.125
26.375,66,5,0.375
26.750,66,5,0.375
27.125,66,5,0.125
27.250,65,4,0.125
27.375,63,2,0.25
27.625,61,0,0.125
27.750,61,0,0.125
27.875,66,5,0.25
28.125,65,4,0.125
28.250,61,0,0.125
28.375,66,5,0.25
28.625,65,4,0.125
28.750,61,0,0.125
28.875,66,5,0.25
29.125,65,4,0.125
29.250,61,0,0.125
29.375,66,5,0.25
29.625,66,5,0.25
29.875,66,5,0.25
30.125,65,4,1.875
32.000,68,7,0.125
32.125,68,7,0.25
32.375,68,7,0.375
32.750,66,5,0.125
32.875,65,4,0.125
33.000,66,5,0.125
33.125,68,7,0.25
33.375,65,4,0.375
33.750,68,7,0.25
34.000,66,5,0.125
34.125,65,4,0.125
34.250,61,0,0.125
34.375,66,5,0.25
34.625,65,4,0.125
34.750,61,0,0.25
35.000,66,5,0.125
35.125,66,5,0.125
35.250,68,7,0.125
35.375,66,5,0.25
35.625,65,4,0.125
35.750,66,5,0.125
35.875,65,4,0.125
36.000,66,5,0.125
36.125,65,4,0.125
36.250,66,5,0.125
36.375,65,4,0.125
36.500,66,5,0.375
36.875,61,0,0.125
37.000,66,5,0.125
37.125,66,5,0.125
37.250,66,5,0.25
37.500,66,5,0.125
37.625,68,7,0.25
37.875,66,5,0.25
38.125,65,4,1.875
40.000,68,7,0.75
40.750,70,9,0.125
40.875,68,7,0.125
41.000,68,7,0.125
41.125,66,5,0.125
41.250,66,5,0.25
41.500,66,5,0.25
41.750,66,5,0.125
41.875,66,5,0.25
42.125,65,4,1.875
44.000,68,7,0.375
44.375,66,5,0.25
44.625,65,4,0.25
44.875,66,5,0.25
45.125,65,4,0.125
45.250,61,0,0.25
45.500,63,2,0.25
45.750,65,4,0.125
45.875,61,0,10.125
56.000,68,7,0.125
56.125,68,7,0.25
56.375,68,7,0.375
56.750,66,5,0.125
56.875,65,4,0.125
57.000,66,5,0.125
57.125,68,7,0.25
57.375,63,2,0.375
57.750,61,0,0.25
58.000,66,5,0.25
58.250,66,5,0.375
58.625,66,5,0.125
58.750,65,4,0.125
58.875,66,5,0.125
59.000,66,5,0.125
59.125,65,4,0.75
59.875,68,7,0.125
60.000,66,5,0.25
60.250,66,5,0.125
60.375,65,4,0.125
60.500,66,5,0.125
60.625,66,5,0.375
61.000,66,5,0.125
61.125,65,4,0.25
61.375,66,5,0.375
61.750,66,5,0.25
62.000,66,5,0.125
62.125,65,4,0.125
62.250,61,0,0.125
62.375,66,5,0.25
62.625,65,4,0.125
62.750,61,0,0.125
62.875,61,0,1.0
63.875,66,5,0.125
64.000,68,7,0.25
64.250,68,7,0.125
64.375,68,7,0.25
64.625,68,7,0.125
64.750,66,5,0.125
64.875,65,4,0.125
65.000,66,5,0.25
65.250,68,7,0.25
65.500,64,3,0.125
65.625,63,2,0.125
65.750,61,0,0.25
66.000,66,5,0.125
66.125,65,4,0.125
66.250,61,0,0.125
66.375,66,5,0.375
66.750,68,7,0.125
66.875,66,5,0.125
67.000,65,4,0.125
67.125,61,0,0.75
67.875,68,7,0.125
68.000,66,5,0.25
68.250,66,5,0.125
68.375,65,4,0.125
68.500,66,5,0.25
68.750,66,5,0.375
69.125,66,5,0.125
69.250,65,4,0.125
69.375,66,5,0.375
69.750,66,5,0.125
69.875,66,5,0.25
70.125,65,4,0.125
70.250,61,0,0.125
70.375,66,5,0.375
70.750,68,7,0.125
70.875,66,5,0.125
71.000,65,4,0.125
71.125,61,0,0.875
72.000,68,7,0.75
72.750,70,9,0.125
72.875,68,7,0.125
73.000,68,7,0.125
73.125,66,5,0.125
73.250,66,5,0.25
73.500,66,5,0.25
73.750,66,5,0.125
73.875,66,5,0.25
74.125,65,4,1.25
75.375,73,0,0.25
75.625,73,0,0.375
76.000,73,0,0.375
76.375,70,9,0.25
76.625,68,7,0.25
76.875,70,9,0.25
77.125,68,7,0.125
77.250,66,5,0.125
77.375,65,4,0.125
77.500,66,5,0.25
77.750,68,7,0.125
77.875,66,5,0.125
78.000,65,4,0.125
78.125,61,0,16.5
94.625,73,0,0.375
95.000,73,0,0.25
95.250,73,0,0.25
95.500,70,9,0.25
95.750,68,7,0.25
96.000,70,9,0.375
96.375,68,7,0.25
96.625,68,7,0.25
96.875,68,7,0.25
97.125,66,5,0.125
97.250,66,5,0.25
97.500,66,5,0.25
97.750,68,7,0.125
97.875,66,5,0.25
98.125,65,4,1.625
99.750,68,7,0.5
100.250,66,5,0.125
100.375,65,4,0.125
100.500,66,5,0.125
100.625,65,4,0.125
100.750,61,0,0.125
100.875,66,5,0.25
101.125,65,4,0.125
101.250,61,0,0.25
101.500,63,2,0.25
101.750,65,4,0.125
101.875,61,0,2.125
104.000,68,7,0.375
104.375,70,9,0.25
104.625,73,0,0.25
104.875,75,2,0.25
105.125,73,0,0.125
105.250,73,0,0.125
105.375,70,9,0.125
105.500,73,0,0.125
105.625,70,9,0.125
105.750,68,7,0.125
105.875,70,9,0.25
106.125,73,0,0.125
106.250,70,9,0.125
106.375,68,7,0.625
107.000,70,9,0.125
107.125,68,7,0.125
107.250,65,4,0.125
107.375,70,9,0.25
107.625,70,9,0.375
108.000,70,9,0.375
108.375,68,7,0.25
108.625,66,5,0.25
108.875,66,5,0.25
109.125,65,4,0.125
109.250,61,0,0.25
109.500,63,2,0.25
109.750,65,4,0.125
109.875,65,4,0.125
110.000,63,2,0.125
110.125,61,0,34.875
145.000,51,0,0.125
145.125,49,10,0.125
145.250,46,7,0.125
145.375,44,5,0.625
146.000,51,0,0.125
146.125,49,10,0.125
146.250,46,7,0.125
146.375,44,5,0.25
146.625,42,3,0.375
147.000,51,0,0.125
147.125,49,10,0.125
147.250,46,7,0.125
147.375,44,5,0.875
148.250,58,7,0.25
148.500,58,7,0.25
148.750,56,5,0.125
148.875,54,3,0.125
149.000,58,7,0.125
149.125,56,5,0.125
149.250,54,3,0.125
149.375,58,7,0.125
149.500,56,5,0.125
149.625,58,7,1.0
150.625,56,5,0.125
150.750,58,7,0.25
151.000,58,7,0.125
151.125,58,7,0.125
151.250,58,7,0.125
151.375,56,5,0.125
151.500,54,3,0.125
151.625,51,0,1.375
153.000,58,7,0.125
153.125,58,7,0.125
153.250,61,10,0.125
153.375,56,5,0.125
153.500,58,7,0.75
154.250,63,0,0.375
154.625,61,10,0.375
155.000,63,0,0.125
155.125,61,10,0.125
155.250,58,7,0.125
155.375,56,5,0.25
155.625,54,3,1.375
157.000,58,7,0.25
157.250,56,5,0.125
157.375,58,7,0.125
157.500,56,5,0.125
157.625,58,7,0.125
157.750,56,5,0.125
157.875,58,7,0.125
158.000,56,5,0.125
158.125,58,7,0.125
158.250,56,5,0.125
158.375,58,7,0.125
158.500,70,7,0.25
158.750,70,7,0.25
159.000,70,7,0.125
159.125,70,7,0.125
159.250,70,7,0.125
159.375,68,5,0.25
159.625,66,3,0.25
159.875,66,3,0.125
160.000,70,7,0.125
160.125,73,10,0.125
160.250,70,7,0.125
160.375,70,7,0.125
160.500,68,5,0.125
160.625,66,3,0.125
160.750,68,5,0.125
160.875,66,3,0.125
161.000,70,7,0.125
161.125,68,5,0.125
161.250,66,3,0.125
161.375,70,7,0.75
162.125,75,0,0.5
162.625,73,10,0.25
162.875,70,7,0.125
163.000,75,0,0.125
163.125,73,10,0.125
163.250,70,7,0.125
163.375,68,5,0.25
163.625,66,3,1.0
164.625,68,5,0.25
164.875,66,3,0.125
165.000,70,7,0.125
165.125,70,7,0.125
165.250,73,10,0.125
165.375,68,5,0.125
165.500,70,7,0.125
165.625,73,10,0.125
165.750,70,7,0.125
165.875,73,10,0.125
166.000,70,7,0.125
166.125,70,7,0.125
166.250,70,7,0.125
166.375,70,7,0.125
166.500,68,5,0.125
166.625,66,3,0.125
166.750,68,5,0.125
166.875,66,3,0.125
167.000,70,7,0.125
167.125,70,7,0.125
