time,note,scale degree,length
10.000,59,7,0.1880000000000006
10.188,59,7,0.06199999999999939
10.250,59,7,0.25
10.500,59,7,0.1880000000000006
10.688,59,7,0.06199999999999939
10.750,59,7,0.125
10.875,59,7,0.125
11.000,59,7,0.1880000000000006
11.188,57,5,0.25
11.438,57,5,0.3739999999999988
11.812,57,5,0.12600000000000122
11.938,57,5,0.06199999999999939
12.000,57,5,0.375
12.375,57,5,0.06300000000000061
12.438,57,5,0.06199999999999939
12.500,56,4,0.375
12.875,57,5,0.125
13.000,59,7,1.125
14.125,54,2,0.125
14.250,59,7,0.06199999999999939
14.312,59,7,0.06300000000000061
14.375,59,7,0.25
14.625,59,7,0.06300000000000061
14.688,59,7,0.12399999999999878
14.812,59,7,0.06300000000000061
14.875,61,9,0.25
15.125,59,7,0.06300000000000061
15.188,57,5,0.1869999999999994
15.375,57,5,0.5
15.875,57,5,0.125
16.000,57,5,0.062000000000001165
16.062,57,5,0.06299999999999883
16.125,55,3,0.06299999999999883
16.188,57,5,0.5620000000000012
16.750,57,5,0.125
16.875,55,3,0.125
17.000,59,7,1.25
18.250,59,7,0.125
18.375,59,7,0.125
18.500,59,7,0.25
18.750,59,7,0.18799999999999883
18.938,61,9,0.25
19.188,59,7,0.062000000000001165
19.250,57,5,0.18799999999999883
19.438,57,5,0.31200000000000117
19.750,57,5,0.125
19.875,57,5,0.125
20.000,57,5,0.125
20.125,57,5,0.43700000000000117
20.562,54,2,0.06299999999999883
20.625,57,5,0.06299999999999883
20.688,56,4,0.18700000000000117
20.875,54,2,0.125
21.000,59,7,1.25
22.250,59,7,0.125
22.375,59,7,0.25
22.625,59,7,0.25
22.875,59,7,0.125
23.000,59,7,0.18799999999999883
23.188,57,5,0.5620000000000012
23.750,57,5,0.125
23.875,57,5,0.125
24.000,57,5,0.5620000000000012
24.562,52,0,0.12599999999999767
24.688,59,7,0.062000000000001165
24.750,57,5,0.125
24.875,55,3,0.125
25.000,59,7,2.25
27.250,63,11,0.125
27.375,63,11,0.06299999999999883
27.438,63,11,0.18700000000000117
27.625,63,11,0.625
28.250,64,0,0.125
28.375,61,9,0.06299999999999883
28.438,64,0,0.18700000000000117
28.625,64,0,0.375
29.000,64,0,1.625
30.625,66,2,0.18700000000000117
30.812,62,10,0.18799999999999883
31.000,63,11,0.062000000000001165
31.062,63,11,0.06299999999999883
31.125,57,5,0.25
31.375,59,7,0.375
31.750,59,7,0.125
31.875,57,5,0.25
32.125,64,0,0.25
32.375,59,7,0.06300000000000239
32.438,57,5,0.1869999999999976
32.625,57,5,0.125
32.750,57,5,0.25
33.000,56,4,0.125
33.125,59,7,2.125
35.250,59,7,0.125
35.375,59,7,0.06300000000000239
35.438,59,7,0.3119999999999976
35.750,59,7,0.25
36.000,59,7,0.06199999999999761
36.062,57,5,0.12600000000000477
36.188,57,5,0.5619999999999976
36.750,57,5,0.06199999999999761
36.812,57,5,0.1880000000000024
37.000,57,5,0.125
37.125,57,5,0.125
37.250,57,5,0.125
37.375,55,3,0.06300000000000239
37.438,57,5,0.12399999999999523
37.562,56,4,0.1880000000000024
37.750,57,5,0.125
37.875,56,4,0.06300000000000239
37.938,57,5,0.06199999999999761
38.000,59,7,1.25
39.250,59,7,0.125
39.375,59,7,0.06300000000000239
39.438,59,7,0.3119999999999976
39.750,59,7,0.125
39.875,59,7,0.125
40.000,59,7,0.06199999999999761
40.062,57,5,0.12600000000000477
40.188,57,5,0.5619999999999976
40.750,57,5,0.125
40.875,56,4,0.06300000000000239
40.938,57,5,0.3119999999999976
41.250,52,0,0.5
41.750,57,5,0.125
41.875,56,4,0.06300000000000239
41.938,59,7,1.1869999999999976
43.125,59,7,0.125
43.250,64,0,0.125
43.375,64,0,0.06300000000000239
43.438,64,0,0.3119999999999976
43.750,64,0,0.125
43.875,64,0,0.06300000000000239
43.938,64,0,0.1869999999999976
44.125,62,10,0.125
44.250,62,10,0.5
44.750,64,0,0.125
44.875,64,0,0.06300000000000239
44.938,64,0,0.1869999999999976
45.125,64,0,0.1869999999999976
45.312,64,0,0.4380000000000024
45.750,64,0,0.125
45.875,62,10,0.06300000000000239
45.938,64,0,0.1869999999999976
46.125,64,0,0.25
46.375,62,10,1.875
48.250,66,2,0.125
48.375,63,11,0.06300000000000239
48.438,66,2,0.12399999999999523
48.562,59,7,0.5630000000000024
49.125,68,4,0.25
49.375,64,0,0.125
49.500,68,4,0.125
49.625,64,0,0.375
50.000,64,0,0.8119999999999976
50.812,64,0,0.1880000000000024
51.000,62,10,0.06199999999999761
51.062,59,7,0.5
51.562,68,4,0.3130000000000024
51.875,64,0,0.125
52.000,66,2,0.125
52.125,59,7,0.25
52.375,59,7,0.375
52.750,59,7,0.125
52.875,57,5,0.25
53.125,67,3,0.1869999999999976
53.312,64,0,0.1880000000000024
53.500,68,4,0.1880000000000024
53.688,64,0,0.3119999999999976
54.000,64,0,0.625
54.625,64,0,0.25
54.875,62,10,1.25
56.125,57,5,0.125
56.250,64,0,0.125
56.375,64,0,0.06300000000000239
56.438,64,0,0.3119999999999976
56.750,64,0,0.125
56.875,64,0,0.06300000000000239
56.938,64,0,0.1869999999999976
57.125,62,10,0.25
57.375,62,10,0.375
57.750,64,0,0.125
57.875,62,10,0.06300000000000239
57.938,64,0,0.1869999999999976
58.125,64,0,0.06300000000000239
58.188,64,0,0.5619999999999976
58.750,64,0,0.125
58.875,62,10,0.06300000000000239
58.938,64,0,0.1869999999999976
59.125,64,0,0.25
59.375,62,10,0.06300000000000239
59.438,59,7,0.4369999999999976
59.875,64,0,0.125
60.000,67,3,0.06199999999999761
60.062,64,0,0.12600000000000477
60.188,64,0,0.3119999999999976
60.500,67,3,0.125
60.625,64,0,0.25
60.875,64,0,0.125
61.000,64,0,0.06199999999999761
61.062,62,10,0.12600000000000477
61.188,62,10,0.5619999999999976
61.750,66,2,0.06199999999999761
61.812,62,10,0.12600000000000477
61.938,66,2,0.1869999999999976
62.125,64,0,0.06300000000000239
62.188,64,0,0.5619999999999976
62.750,64,0,0.125
62.875,62,10,0.125
63.000,64,0,0.125
63.125,64,0,0.25
63.375,62,10,0.875
64.250,67,3,0.125
64.375,64,0,0.125
64.500,64,0,0.25
64.750,64,0,0.125
64.875,64,0,0.06300000000000239
64.938,66,2,0.1869999999999976
65.125,64,0,0.06300000000000239
65.188,62,10,0.12399999999999523
65.312,62,10,0.4380000000000024
65.750,67,3,0.125
65.875,64,0,0.06300000000000239
65.938,64,0,0.3119999999999976
66.250,64,0,0.1880000000000024
66.438,67,3,0.3119999999999976
66.750,62,10,0.1880000000000024
66.938,62,10,0.06199999999999761
67.000,64,0,1.125
68.125,62,10,0.06300000000000239
68.188,67,3,0.1869999999999976
68.375,64,0,0.125
68.500,64,0,0.25
68.750,64,0,0.25
69.000,64,0,0.125
69.125,62,10,0.06300000000000239
69.188,62,10,0.5619999999999976
69.750,66,2,0.06199999999999761
69.812,62,10,0.1880000000000024
70.000,64,0,0.125
70.125,62,10,0.06300000000000239
70.188,64,0,0.1869999999999976
70.375,62,10,0.06300000000000239
70.438,64,0,0.3119999999999976
70.750,64,0,0.1880000000000024
70.938,62,10,2.3119999999999976
73.250,66,2,0.125
73.375,64,0,0.06300000000000239
73.438,66,2,0.1869999999999976
73.625,66,2,0.5
74.125,68,4,0.1869999999999976
74.312,64,0,0.12600000000000477
74.438,68,4,0.1869999999999976
74.625,64,0,0.375
75.000,64,0,0.5619999999999976
75.562,64,0,0.4380000000000024
76.000,64,0,0.625
76.625,67,3,0.1869999999999976
76.812,64,0,0.1880000000000024
77.000,66,2,0.125
77.125,58,6,0.25
77.375,59,7,0.375
77.750,59,7,0.125
77.875,58,6,0.25
78.125,67,3,0.1869999999999976
78.312,64,0,0.1880000000000024
78.500,68,4,0.1880000000000024
78.688,64,0,0.3119999999999976
79.000,64,0,0.5619999999999976
79.562,67,3,0.3130000000000024
79.875,62,10,0.5630000000000024
80.438,59,7,0.06199999999999761
80.500,67,3,0.06199999999999761
80.562,67,3,0.1880000000000024
80.750,62,10,0.06199999999999761
80.812,62,10,17.438000000000002
98.250,67,3,0.125
98.375,64,0,0.06300000000000239
98.438,67,3,0.12399999999999523
98.562,67,3,0.5630000000000024
99.125,67,3,0.1869999999999976
99.312,64,0,0.12600000000000477
99.438,67,3,0.1869999999999976
99.625,64,0,0.3130000000000024
99.938,67,3,0.6869999999999976
100.625,67,3,0.3130000000000024
100.938,67,3,0.5619999999999976
101.500,67,3,0.125
101.625,67,3,0.25
101.875,66,2,0.125
102.000,66,2,0.125
102.125,66,2,0.25
102.375,66,2,0.25
102.625,63,11,0.125
102.750,63,11,0.125
102.875,63,11,0.25
103.125,67,3,0.125
103.250,64,0,0.125
103.375,67,3,0.25
103.625,64,0,0.375
104.000,67,3,0.5
104.500,67,3,0.4380000000000024
104.938,64,0,0.6869999999999976
105.625,66,2,0.125
105.750,64,0,0.25
106.000,64,0,0.125
106.125,64,0,0.25
106.375,64,0,0.25
106.625,64,0,0.125
106.750,64,0,0.25
107.000,64,0,0.125
107.125,62,10,0.06300000000000239
107.188,62,10,0.6239999999999952
107.812,62,10,0.06300000000000239
107.875,67,3,0.5
108.375,62,10,0.125
108.500,64,0,0.06199999999999761
108.562,64,0,0.3760000000000048
108.938,67,3,0.9369999999999976
109.875,64,0,0.125
110.000,67,3,0.125
110.125,64,0,0.25
110.375,64,0,0.25
110.625,64,0,0.125
110.750,64,0,0.125
110.875,64,0,0.375
111.250,66,2,0.125
111.375,62,10,0.06300000000000239
111.438,62,10,0.25
111.688,62,10,0.06199999999999761
111.750,64,0,0.125
111.875,62,10,0.125
112.000,64,0,0.25
112.250,64,0,0.125
112.375,64,0,0.375
112.750,64,0,0.1880000000000024
112.938,67,3,0.75
113.688,62,10,0.06199999999999761
113.750,64,0,0.125
113.875,62,10,0.125
114.000,64,0,0.125
114.125,64,0,0.375
114.500,64,0,0.1880000000000024
114.688,64,0,0.25
114.938,66,2,0.1869999999999976
115.125,62,10,0.125
115.250,62,10,0.5
115.750,64,0,0.125
115.875,62,10,0.125
116.000,67,3,0.125
116.125,64,0,0.06300000000000239
116.188,64,0,0.4369999999999976
116.625,64,0,0.25
116.875,62,10,0.125
117.000,64,0,0.875
117.875,64,0,0.125
118.000,67,3,0.3119999999999976
118.312,62,10,0.12600000000000477
118.438,64,0,0.1869999999999976
118.625,64,0,0.375
119.000,64,0,0.125
