time,note,scale degree,length
14.125,67,3,0.125
14.250,67,3,0.125
14.375,67,3,0.125
14.500,67,3,0.375
14.875,59,7,0.125
15.000,62,10,0.06199999999999939
15.062,62,10,0.06300000000000061
15.125,62,10,0.125
15.250,62,10,0.125
15.375,64,0,0.75
16.125,62,10,0.06299999999999883
16.188,62,10,0.18700000000000117
16.375,62,10,0.125
16.500,62,10,0.125
16.625,64,0,0.25
16.875,64,0,0.125
17.000,62,10,0.125
17.125,58,6,0.125
17.250,57,5,0.125
17.375,57,5,0.125
17.500,55,3,0.625
18.125,62,10,0.125
18.250,62,10,0.125
18.375,62,10,0.125
18.500,62,10,0.125
18.625,64,0,0.25
18.875,64,0,0.125
19.000,62,10,0.125
19.125,59,7,0.06299999999999883
19.188,57,5,0.062000000000001165
19.250,57,5,0.125
19.375,57,5,0.125
19.500,55,3,0.625
20.125,62,10,0.06299999999999883
20.188,62,10,0.062000000000001165
20.250,62,10,0.125
20.375,62,10,0.125
20.500,64,0,0.25
20.750,64,0,0.125
20.875,59,7,0.125
21.000,62,10,0.125
21.125,61,9,0.125
21.250,57,5,0.125
21.375,57,5,0.125
21.500,55,3,0.125
21.625,62,10,0.125
21.750,64,0,0.062000000000001165
21.812,62,10,0.06299999999999883
21.875,64,0,0.75
22.625,60,8,0.125
22.750,62,10,0.125
22.875,64,0,0.25
23.125,62,10,0.125
23.250,57,5,0.125
23.375,55,3,0.5
23.875,65,1,0.18700000000000117
24.062,64,0,0.03200000000000003
24.094,65,1,0.030999999999998806
24.125,64,0,0.125
24.250,62,10,0.125
24.375,64,0,0.375
24.750,62,10,0.125
24.875,64,0,0.5
25.375,58,6,0.125
25.500,57,5,0.125
25.625,57,5,0.125
25.750,55,3,0.375
26.125,62,10,0.125
26.250,64,0,0.375
26.625,67,3,0.375
27.000,67,3,0.25
27.250,66,2,0.25
27.500,66,2,0.25
27.750,64,0,0.25
28.000,64,0,0.125
28.125,62,10,1.375
29.500,62,10,0.125
29.625,62,10,0.125
29.750,62,10,0.125
29.875,64,0,1.25
31.125,62,10,0.125
31.250,62,10,0.125
31.375,62,10,0.125
31.500,61,9,0.125
31.625,59,7,0.125
31.750,62,10,0.125
31.875,64,0,0.25
32.125,62,10,0.06300000000000239
32.188,59,7,0.06199999999999761
32.250,61,9,0.875
33.125,62,10,0.125
33.250,62,10,0.125
33.375,62,10,0.25
33.625,62,10,0.125
33.750,62,10,0.125
33.875,64,0,2.25
36.125,67,3,0.125
36.250,67,3,0.125
36.375,67,3,0.125
36.500,67,3,0.375
36.875,59,7,0.125
37.000,62,10,0.06199999999999761
37.062,62,10,0.06300000000000239
37.125,62,10,0.125
37.250,62,10,0.125
37.375,64,0,0.75
38.125,62,10,0.06300000000000239
38.188,62,10,0.1869999999999976
38.375,62,10,0.125
38.500,64,0,0.375
38.875,64,0,0.125
39.000,62,10,0.125
39.125,58,6,0.125
39.250,57,5,0.125
39.375,57,5,0.125
39.500,55,3,0.625
40.125,62,10,0.125
40.250,62,10,0.125
40.375,62,10,0.125
40.500,62,10,0.125
40.625,64,0,0.25
40.875,64,0,0.125
41.000,62,10,0.125
41.125,59,7,0.06300000000000239
41.188,57,5,0.06199999999999761
41.250,57,5,0.125
41.375,57,5,0.125
41.500,55,3,0.625
42.125,62,10,0.125
42.250,62,10,0.125
42.375,62,10,0.125
42.500,64,0,0.25
42.750,64,0,0.125
42.875,64,0,0.125
43.000,62,10,0.125
43.125,61,9,0.125
43.250,57,5,0.125
43.375,57,5,0.125
43.500,55,3,0.125
43.625,62,10,0.125
43.750,64,0,0.06199999999999761
43.812,62,10,0.06300000000000239
43.875,64,0,0.75
44.625,60,8,0.125
44.750,62,10,0.125
44.875,64,0,0.25
45.125,62,10,0.125
45.250,57,5,0.125
45.375,55,3,0.5
45.875,65,1,0.125
46.000,64,0,0.06199999999999761
46.062,65,1,0.06300000000000239
46.125,64,0,0.125
46.250,62,10,0.125
46.375,64,0,0.375
46.750,62,10,0.125
46.875,69,5,0.25
47.125,70,6,0.06300000000000239
47.188,69,5,0.1869999999999976
47.375,67,3,0.1869999999999976
47.562,64,0,0.3130000000000024
47.875,67,3,0.875
48.750,76,0,1.25
50.000,74,10,8.375
58.375,66,2,0.25
58.625,64,0,0.75
59.375,64,0,0.25
59.625,64,0,0.75
60.375,67,3,0.125
60.500,66,2,0.125
60.625,64,0,0.75
61.375,64,0,0.25
61.625,64,0,0.75
62.375,67,3,0.125
62.500,67,3,0.125
62.625,66,2,0.25
62.875,64,0,0.125
63.000,66,2,0.625
63.625,66,2,0.125
63.750,67,3,0.125
63.875,69,5,0.75
64.625,67,3,0.375
65.000,71,7,0.125
65.125,67,3,0.25
