time,note,scale degree,length
2.000,54,7,0.06199999999999983
2.062,54,7,0.18800000000000017
2.250,54,7,0.125
2.375,56,9,0.06300000000000017
2.438,54,7,0.18699999999999983
2.625,51,4,0.125
2.750,51,4,0.06199999999999983
2.812,52,5,0.18800000000000017
3.000,54,7,0.06199999999999983
3.062,54,7,0.18800000000000017
3.250,59,0,0.125
3.375,58,11,0.125
3.500,56,9,0.25
3.750,56,9,0.125
3.875,58,11,0.125
4.000,56,9,0.125
4.125,54,7,0.125
4.250,54,7,0.125
4.375,56,9,0.06299999999999972
4.438,54,7,0.12400000000000055
4.562,49,2,0.3129999999999997
4.875,49,2,0.06299999999999972
4.938,51,4,0.06200000000000028
5.000,52,5,0.06200000000000028
5.062,52,5,0.18799999999999972
5.250,52,5,0.125
5.375,52,5,0.06299999999999972
5.438,52,5,0.12400000000000055
5.562,51,4,0.18799999999999972
5.750,47,0,0.125
5.875,49,2,0.125
6.000,52,5,0.06200000000000028
6.062,51,4,0.12599999999999945
6.188,47,0,0.9370000000000003
7.125,59,0,0.125
7.250,59,0,0.125
7.375,58,11,0.125
7.500,59,0,0.25
7.750,59,0,0.125
7.875,59,0,0.06299999999999972
7.938,59,0,0.18700000000000028
8.125,58,11,0.25
8.375,58,11,0.06300000000000061
8.438,58,11,0.06199999999999939
8.500,58,11,0.125
8.625,56,9,0.06300000000000061
8.688,56,9,0.1869999999999994
8.875,56,9,0.125
9.000,56,9,0.125
9.125,58,11,0.06300000000000061
9.188,56,9,0.1869999999999994
9.375,54,7,0.06300000000000061
9.438,54,7,0.3119999999999994
9.750,52,5,0.125
9.875,51,4,0.06300000000000061
9.938,54,7,1.0619999999999994
11.000,52,5,0.5
11.500,51,4,0.25
11.750,49,2,0.25
12.000,51,4,0.5
12.500,54,7,1.3119999999999994
13.812,51,4,0.06300000000000061
13.875,52,5,0.06300000000000061
13.938,54,7,0.12399999999999878
14.062,54,7,0.12600000000000122
14.188,54,7,0.12399999999999878
14.312,54,7,0.06300000000000061
14.375,54,7,0.125
14.500,54,7,0.125
14.625,52,5,0.06300000000000061
14.688,51,4,0.1869999999999994
14.875,51,4,0.06300000000000061
14.938,51,4,0.06199999999999939
15.000,54,7,0.125
15.125,59,0,0.125
15.250,59,0,0.125
15.375,58,11,0.06300000000000061
15.438,56,9,0.3119999999999994
15.750,56,9,0.125
15.875,58,11,0.125
16.000,56,9,0.125
16.125,54,7,0.06299999999999883
16.188,54,7,0.18700000000000117
16.375,54,7,0.125
16.500,54,7,0.125
16.625,49,2,0.25
16.875,49,2,0.06299999999999883
16.938,51,4,0.062000000000001165
17.000,52,5,0.062000000000001165
17.062,52,5,0.18799999999999883
17.250,52,5,0.125
17.375,52,5,0.06299999999999883
17.438,52,5,0.12400000000000233
17.562,51,4,0.18799999999999883
17.750,47,0,0.125
17.875,49,2,0.125
18.000,52,5,0.062000000000001165
18.062,51,4,0.18799999999999883
18.250,47,0,1.0
19.250,59,0,0.125
19.375,58,11,0.125
19.500,59,0,0.25
19.750,59,0,0.125
19.875,59,0,0.06299999999999883
19.938,59,0,0.18700000000000117
20.125,58,11,0.06299999999999883
20.188,58,11,0.18700000000000117
20.375,58,11,0.06299999999999883
20.438,58,11,0.12400000000000233
20.562,56,9,0.18799999999999883
20.750,56,9,0.125
20.875,56,9,0.06299999999999883
20.938,56,9,0.18700000000000117
21.125,58,11,0.06299999999999883
21.188,56,9,0.12400000000000233
21.312,54,7,0.12599999999999767
21.438,54,7,0.31200000000000117
21.750,51,4,0.062000000000001165
21.812,52,5,0.12599999999999767
21.938,54,7,0.18700000000000117
22.125,49,2,0.06299999999999883
22.188,49,2,0.18700000000000117
22.375,49,2,0.06299999999999883
22.438,52,5,0.18700000000000117
22.625,52,5,0.125
22.750,51,4,0.125
22.875,49,2,0.125
23.000,47,0,0.75
23.750,59,0,0.125
23.875,58,11,0.06299999999999883
23.938,59,0,0.8120000000000012
24.750,59,0,0.125
24.875,59,0,0.06299999999999883
24.938,59,0,0.12400000000000233
25.062,58,11,0.18799999999999883
25.250,58,11,0.125
25.375,56,9,0.06299999999999883
25.438,54,7,0.31200000000000117
25.750,59,0,0.125
25.875,58,11,0.06299999999999883
25.938,59,0,0.8120000000000012
26.750,61,2,0.125
26.875,63,4,0.06299999999999883
26.938,64,5,0.18700000000000117
27.125,63,4,0.125
27.250,61,2,0.125
27.375,59,0,0.06299999999999883
27.438,61,2,0.18700000000000117
27.625,59,0,0.06299999999999883
27.688,59,0,0.062000000000001165
27.750,59,0,0.062000000000001165
27.812,58,11,0.18799999999999883
28.000,59,0,1.75
29.750,51,4,0.125
29.875,52,5,0.06299999999999883
29.938,54,7,0.18700000000000117
30.125,54,7,0.125
30.250,54,7,0.125
30.375,54,7,0.125
30.500,54,7,0.125
30.625,51,4,0.125
30.750,51,4,0.125
30.875,51,4,0.125
31.000,54,7,0.062000000000001165
31.062,51,4,0.18799999999999883
31.250,49,2,0.125
31.375,47,0,0.06299999999999883
31.438,51,4,0.18700000000000117
31.625,51,4,0.06299999999999883
31.688,51,4,0.062000000000001165
31.750,51,4,0.062000000000001165
31.812,51,4,0.12599999999999767
31.938,51,4,0.12399999999999878
32.062,49,2,0.8130000000000024
32.875,49,2,0.06300000000000239
32.938,49,2,0.06199999999999761
33.000,52,5,0.06199999999999761
33.062,52,5,0.1880000000000024
33.250,52,5,0.125
33.375,52,5,0.06300000000000239
33.438,52,5,0.1869999999999976
33.625,51,4,0.125
33.750,47,0,0.06199999999999761
33.812,49,2,0.12600000000000477
33.938,52,5,0.1869999999999976
34.125,51,4,0.06300000000000239
34.188,51,4,0.9369999999999976
35.125,59,0,0.125
35.250,59,0,0.125
35.375,58,11,0.06300000000000239
35.438,59,0,0.3119999999999976
35.750,59,0,0.125
35.875,59,0,0.06300000000000239
35.938,59,0,0.1869999999999976
36.125,58,11,0.06300000000000239
36.188,58,11,0.1869999999999976
36.375,58,11,0.06300000000000239
36.438,58,11,0.1869999999999976
36.625,56,9,0.125
