time,note,scale degree,length
1.250,51,0,0.062000000000000055
1.312,51,0,0.18799999999999994
1.500,55,4,0.125
1.625,55,4,0.125
1.750,58,7,0.062000000000000055
1.812,58,7,0.18799999999999994
2.000,56,5,1.125
3.125,49,10,0.125
3.250,49,10,0.125
3.375,49,10,0.06300000000000017
3.438,53,2,0.18699999999999983
3.625,53,2,0.125
3.750,56,5,0.125
3.875,56,5,0.125
4.000,54,3,1.125
5.125,54,0,0.125
5.250,54,0,0.125
5.375,54,0,0.125
5.500,58,4,0.125
5.625,58,4,0.125
5.750,61,7,0.125
5.875,61,7,0.125
6.000,63,9,0.25
6.250,63,9,0.125
6.375,61,7,0.875
7.250,54,0,0.125
7.375,54,0,0.125
7.500,58,4,0.125
7.625,58,4,0.125
7.750,61,7,0.125
7.875,61,7,0.125
8.000,63,9,0.5
8.500,63,9,0.25
8.750,61,7,1.0
9.750,54,0,0.125
9.875,54,0,0.125
10.000,63,9,0.125
10.125,63,9,0.625
10.750,63,9,0.125
10.875,65,11,0.125
11.000,66,0,0.125
11.125,66,0,0.375
11.500,65,11,0.125
11.625,63,9,0.25
11.875,61,7,0.875
12.750,63,9,0.125
12.875,61,7,0.125
13.000,58,4,1.25
14.250,54,0,0.25
14.500,54,0,0.25
14.750,54,0,0.25
15.000,61,7,0.875
15.875,53,11,0.125
16.000,54,3,0.125
16.125,51,0,1.0
17.125,51,0,0.125
17.250,51,0,0.125
17.375,51,0,0.125
17.500,54,3,0.125
17.625,54,3,0.125
17.750,58,7,0.125
17.875,54,3,0.125
18.000,56,5,1.125
19.125,53,2,0.125
19.250,53,2,0.125
19.375,53,2,0.125
19.500,53,2,0.125
19.625,53,2,0.125
19.750,56,5,0.125
19.875,56,5,0.125
20.000,54,3,1.125
21.125,54,0,0.125
21.250,54,0,0.125
21.375,54,0,0.125
21.500,58,4,0.125
21.625,58,4,0.125
21.750,61,7,0.125
21.875,61,7,0.125
22.000,63,9,0.25
22.250,63,9,0.125
22.375,61,7,0.75
23.125,54,0,0.125
23.250,54,0,0.125
23.375,54,0,0.125
23.500,58,4,0.125
23.625,58,4,0.125
23.750,61,7,0.125
23.875,61,7,0.125
24.000,63,9,0.5
24.500,63,9,0.25
24.750,61,7,1.0
25.750,54,0,0.125
25.875,54,0,0.125
26.000,63,9,0.25
26.250,63,9,0.125
26.375,63,9,0.375
26.750,63,9,0.125
26.875,65,11,0.125
27.000,66,0,0.25
27.250,66,0,0.125
27.375,66,0,0.125
27.500,65,11,0.125
27.625,63,9,0.25
27.875,61,7,0.75
28.625,54,0,0.125
28.750,63,9,0.125
28.875,61,7,0.125
29.000,58,4,1.25
30.250,54,0,0.25
30.500,54,0,0.25
30.750,54,0,0.25
31.000,61,7,0.875
31.875,53,11,0.125
32.000,54,3,0.125
32.125,51,0,1.0
33.125,51,0,0.125
33.250,51,0,0.125
33.375,51,0,0.125
33.500,54,3,0.125
33.625,54,3,0.125
33.750,58,7,0.125
33.875,54,3,0.125
34.000,56,5,1.125
35.125,53,2,0.125
35.250,53,2,0.125
35.375,53,2,0.125
35.500,53,2,0.125
35.625,53,2,0.125
35.750,56,5,0.125
35.875,53,2,0.125
36.000,54,3,1.25
37.250,54,0,0.125
37.375,54,0,0.125
37.500,58,4,0.125
37.625,58,4,0.125
37.750,61,7,0.125
37.875,61,7,0.125
38.000,63,9,0.25
38.250,63,9,0.125
38.375,61,7,0.875
39.250,54,0,0.125
39.375,54,0,0.125
39.500,58,4,0.125
39.625,58,4,0.125
39.750,61,7,0.125
39.875,61,7,0.125
40.000,63,9,0.25
40.250,63,9,0.125
40.375,61,7,0.875
41.250,54,0,0.125
41.375,54,0,0.125
41.500,58,4,0.125
41.625,61,7,0.375
42.000,63,9,0.75
42.750,65,11,0.25
43.000,66,0,0.125
43.125,66,0,0.375
43.500,65,11,0.125
43.625,63,9,0.25
43.875,61,7,0.875
44.750,63,9,0.125
44.875,61,7,0.125
45.000,58,4,1.25
46.250,54,0,0.25
46.500,54,0,0.25
46.750,54,0,0.25
47.000,61,7,0.875
47.875,53,11,0.125
48.000,54,3,0.125
48.125,51,0,1.125
49.250,51,0,0.1880000000000024
49.438,51,0,0.06199999999999761
49.500,54,3,0.125
49.625,54,3,0.125
49.750,58,7,0.125
49.875,54,3,0.125
