time,note,scale degree,length
7.875,53,0,0.125
8.000,60,7,0.125
8.125,60,7,0.375
8.500,60,7,0.875
9.375,58,5,0.25
9.625,58,5,0.25
9.875,58,5,0.25
10.125,57,4,0.06300000000000061
10.188,55,2,0.06199999999999939
10.250,53,0,1.5
11.750,57,4,0.125
11.875,60,7,0.125
12.000,60,7,0.125
12.125,60,7,0.125
12.250,60,7,0.125
12.375,60,7,0.25
12.625,60,7,0.25
12.875,60,7,0.125
13.000,60,7,0.25
13.250,60,7,0.125
13.375,60,7,0.25
13.625,58,5,0.25
13.875,58,5,0.125
14.000,58,5,0.125
14.125,58,5,0.25
14.375,57,4,0.125
14.500,55,2,0.125
14.625,53,0,1.0
15.625,58,5,0.375
16.000,58,5,0.125
16.125,58,5,0.125
16.250,58,5,0.125
16.375,58,5,0.125
16.500,57,4,0.125
16.625,57,4,0.125
16.750,57,4,0.125
16.875,57,4,0.125
17.000,57,4,0.125
17.125,55,2,0.125
17.250,55,2,0.375
17.625,57,4,0.25
17.875,57,4,0.125
18.000,57,4,0.125
18.125,57,4,0.125
18.250,57,4,0.125
18.375,57,4,0.25
18.625,60,7,0.25
18.875,60,7,0.125
19.000,58,5,0.125
19.125,58,5,0.5
19.625,60,7,0.125
19.750,60,7,0.125
19.875,60,7,0.125
20.000,60,7,0.125
20.125,58,5,0.125
20.250,58,5,0.125
20.375,58,5,0.25
20.625,58,5,0.25
20.875,58,5,0.25
21.125,57,4,0.25
21.375,57,4,0.25
21.625,57,4,0.25
21.875,57,4,0.25
22.125,57,4,0.125
22.250,57,4,0.125
22.375,55,2,0.25
22.625,55,2,0.125
22.750,55,2,0.875
23.625,60,7,0.375
24.000,60,7,0.125
24.125,60,7,0.125
24.250,60,7,0.125
24.375,60,7,0.375
24.750,60,7,0.125
24.875,58,5,0.125
25.000,58,5,0.125
25.125,58,5,0.375
25.500,58,5,0.125
25.625,57,4,0.125
25.750,57,4,0.125
25.875,57,4,0.25
26.125,57,4,0.06299999999999883
26.188,55,2,0.062000000000001165
26.250,53,0,1.375
27.625,57,4,0.125
27.750,60,7,0.125
27.875,60,7,0.375
28.250,60,7,0.125
28.375,60,7,0.125
28.500,60,7,0.125
28.625,60,7,0.125
28.750,60,7,0.25
29.000,60,7,0.125
29.125,60,7,0.125
29.250,60,7,0.125
29.375,60,7,0.25
29.625,60,7,0.25
29.875,62,9,0.625
30.500,60,7,0.25
30.750,60,7,0.125
30.875,58,5,0.625
31.500,65,0,0.125
31.625,65,0,0.125
31.750,65,0,0.125
31.875,65,0,0.125
32.000,65,0,0.25
32.250,58,5,0.125
32.375,58,5,0.25
32.625,58,5,0.125
32.750,58,5,0.125
32.875,57,4,0.125
33.000,57,4,0.125
33.125,55,2,0.5
33.625,57,4,0.125
33.750,57,4,0.125
33.875,57,4,0.125
34.000,57,4,0.125
34.125,57,4,0.125
34.250,57,4,0.125
34.375,58,5,0.25
34.625,58,5,0.125
34.750,60,7,0.25
35.000,60,7,0.25
35.250,58,5,1.125
36.375,62,9,0.5
36.875,60,7,0.125
37.000,60,7,0.125
37.125,60,7,0.375
37.500,58,5,0.125
37.625,57,4,0.25
37.875,53,0,0.125
38.000,52,11,1.625
39.625,53,0,0.125
39.750,53,0,0.125
39.875,53,0,0.375
40.250,53,0,0.125
40.375,53,0,0.125
40.500,57,4,0.125
40.625,57,4,0.125
40.750,60,7,0.25
41.000,62,9,0.125
41.125,60,7,0.125
41.250,57,4,0.125
41.375,60,7,0.5
41.875,53,0,0.125
42.000,53,0,0.125
42.125,53,0,0.125
42.250,53,0,0.125
42.375,53,0,0.125
42.500,57,4,0.125
42.625,57,4,0.25
42.875,60,7,0.25
43.125,60,7,0.25
43.375,58,5,0.125
43.500,58,5,0.125
43.625,57,4,0.125
43.750,55,2,0.625
44.375,57,4,0.25
44.625,60,7,0.125
44.750,60,7,0.125
44.875,60,7,0.125
45.000,57,4,0.125
