time,note,scale degree,length
0.000,65,0,0.25
0.250,65,0,0.16699999999999998
0.417,62,9,0.08300000000000002
0.500,65,0,0.16700000000000004
0.667,65,0,0.25
0.917,62,9,0.08299999999999996
1.000,65,0,0.25
1.250,65,0,0.25
1.500,65,0,0.25
1.750,68,3,0.16700000000000004
1.917,69,4,0.08299999999999996
2.000,69,4,0.16699999999999982
2.167,69,4,0.5
2.667,67,2,0.25
2.917,65,0,0.25
3.167,65,0,0.5830000000000002
3.750,67,2,0.16699999999999982
3.917,68,3,0.08300000000000018
4.000,68,3,0.25
4.250,68,3,0.4169999999999998
4.667,67,2,0.25
4.917,65,0,0.25
5.167,65,0,0.5830000000000002
5.750,67,2,0.16699999999999982
5.917,67,2,0.08300000000000018
6.000,68,3,0.25
6.250,68,3,0.4169999999999998
6.667,67,2,0.08300000000000018
6.750,65,0,0.16699999999999982
6.917,65,0,0.25
7.167,74,9,0.5
7.667,68,3,0.08300000000000018
7.750,68,3,0.16699999999999982
7.917,72,7,0.16600000000000037
8.083,69,4,0.08399999999999963
8.167,67,2,0.08300000000000018
8.250,65,0,0.125
8.375,62,9,0.125
8.500,65,0,0.4169999999999998
8.917,65,0,0.25
9.167,63,10,0.5830000000000002
9.750,67,2,0.16699999999999982
9.917,68,3,0.08300000000000018
10.000,69,4,0.25
10.250,67,2,0.4169999999999998
10.667,67,2,0.08300000000000018
10.750,65,0,0.16699999999999982
10.917,65,0,0.25
11.167,62,9,0.75
11.917,62,9,0.08300000000000018
12.000,65,0,0.25
12.250,65,0,0.16699999999999982
12.417,62,9,0.08300000000000018
12.500,65,0,0.16699999999999982
12.667,65,0,0.25
12.917,62,9,0.08300000000000018
13.000,65,0,0.25
13.250,65,0,0.25
13.500,65,0,0.16699999999999982
13.667,65,0,0.08300000000000018
13.750,65,0,0.16699999999999982
13.917,65,0,0.08300000000000018
14.000,68,3,0.16699999999999982
14.167,69,4,0.5
14.667,65,0,0.25
14.917,65,0,1.0
15.917,65,0,0.08300000000000018
16.000,69,4,0.25
16.250,69,4,0.25
16.500,67,2,0.25
16.750,62,9,0.1670000000000016
16.917,65,0,0.7079999999999984
17.625,69,4,0.125
17.750,69,4,0.125
17.875,69,4,0.125
18.000,72,7,0.08299999999999841
18.083,69,4,0.08400000000000318
18.167,67,2,0.08299999999999841
18.250,65,0,0.4170000000000016
18.667,65,0,0.25
18.917,65,0,1.0
19.917,65,0,0.08299999999999841
20.000,69,4,0.25
20.250,69,4,0.25
20.500,67,2,0.25
20.750,62,9,0.1670000000000016
20.917,65,0,1.0
21.917,60,7,0.08299999999999841
22.000,65,0,0.25
22.250,65,0,0.1670000000000016
22.417,65,0,0.08299999999999841
22.500,65,0,0.4170000000000016
22.917,60,7,0.08299999999999841
23.000,65,0,0.25
23.250,65,0,0.1670000000000016
23.417,65,0,0.08299999999999841
23.500,65,0,0.4170000000000016
23.917,63,10,0.08299999999999841
24.000,68,3,0.25
24.250,67,2,0.1670000000000016
24.417,65,0,0.25
24.667,67,2,0.25
24.917,69,4,0.25
25.167,67,2,0.25
25.417,65,0,0.08299999999999841
25.500,67,2,0.25
25.750,68,3,0.1670000000000016
25.917,68,3,0.08299999999999841
26.000,67,2,0.25
26.250,68,3,0.4170000000000016
26.667,67,2,0.08299999999999841
26.750,65,0,0.1670000000000016
26.917,65,0,0.25
27.167,65,0,0.5829999999999984
27.750,68,3,0.1670000000000016
27.917,68,3,0.08299999999999841
28.000,68,3,0.25
28.250,68,3,0.4170000000000016
28.667,67,2,0.08299999999999841
28.750,65,0,0.1670000000000016
28.917,65,0,0.25
29.167,65,0,0.25
29.417,77,0,0.3329999999999984
29.750,68,3,0.1670000000000016
29.917,68,3,0.08299999999999841
30.000,70,5,0.125
30.125,68,3,0.125
30.250,65,0,0.125
30.375,63,10,0.125
30.500,62,9,0.1670000000000016
30.667,65,0,0.25
30.917,65,0,0.25
31.167,65,0,0.5829999999999984
31.750,67,2,0.1670000000000016
31.917,68,3,0.08299999999999841
32.000,69,4,0.25
32.250,69,4,0.4170000000000016
32.667,67,2,0.08299999999999841
32.750,65,0,0.1670000000000016
32.917,65,0,0.25
33.167,63,10,0.5829999999999984
33.750,67,2,0.1670000000000016
33.917,67,2,0.08299999999999841
34.000,69,4,0.25
34.250,67,2,0.4170000000000016
34.667,67,2,0.08299999999999841
34.750,65,0,0.1670000000000016
34.917,65,0,0.25
35.167,62,9,0.75
35.917,62,9,0.08299999999999841
36.000,65,0,0.25
36.250,65,0,0.1670000000000016
36.417,62,9,0.08299999999999841
36.500,65,0,0.1670000000000016
36.667,65,0,0.25
36.917,62,9,0.08299999999999841
37.000,65,0,0.25
37.250,65,0,0.25
37.500,65,0,0.1670000000000016
37.667,65,0,0.08299999999999841
37.750,65,0,0.1670000000000016
37.917,65,0,0.08299999999999841
38.000,68,3,0.1670000000000016
38.167,69,4,0.5
38.667,65,0,0.25
38.917,65,0,0.25
39.167,60,7,0.75
39.917,65,0,0.08299999999999841
40.000,68,3,0.25
40.250,68,3,0.25
40.500,68,3,0.25
40.750,68,3,0.1670000000000016
40.917,65,0,0.25
41.167,65,0,0.5829999999999984
41.750,69,4,0.08299999999999841
41.833,69,4,0.1670000000000016
42.000,72,7,0.08299999999999841
42.083,69,4,0.08400000000000318
42.167,67,2,0.08299999999999841
42.250,65,0,0.4170000000000016
42.667,65,0,0.25
42.917,65,0,0.25
43.167,62,9,0.75
43.917,65,0,0.08299999999999841
44.000,68,3,0.25
44.250,69,4,0.25
44.500,65,0,0.25
44.750,62,9,0.1670000000000016
44.917,65,0,0.25
45.167,62,9,0.75
45.917,60,7,0.08299999999999841
46.000,69,4,0.25
46.250,68,3,0.1670000000000016
46.417,65,0,0.08299999999999841
46.500,65,0,0.25
46.750,62,9,0.25
47.000,65,0,0.25
47.250,65,0,0.1670000000000016
47.417,67,2,0.08299999999999841
47.500,68,3,0.5
48.000,68,3,0.1670000000000016
48.167,65,0,0.08299999999999841
48.250,67,2,0.25
48.500,65,0,0.25
48.750,67,2,0.1670000000000016
48.917,65,0,0.08299999999999841
49.000,68,3,0.25
49.250,67,2,0.1670000000000016
49.417,65,0,0.08299999999999841
49.500,67,2,0.1670000000000016
49.667,67,2,0.08299999999999841
49.750,68,3,0.1670000000000016
49.917,67,2,0.08299999999999841
50.000,68,3,0.1670000000000016
50.167,69,4,0.5
50.667,65,0,0.25
50.917,65,0,0.25
51.167,60,7,0.5829999999999984
51.750,68,3,0.1670000000000016
51.917,68,3,0.08299999999999841
52.000,68,3,0.25
52.250,68,3,0.4170000000000016
52.667,65,0,0.25
52.917,65,0,0.25
53.167,65,0,0.25
53.417,77,0,0.3329999999999984
53.750,68,3,0.1670000000000016
53.917,68,3,0.08299999999999841
54.000,70,5,0.1670000000000016
54.167,65,0,0.5
54.667,65,0,0.25
54.917,65,0,0.25
55.167,65,0,0.5829999999999984
55.750,67,2,0.1670000000000016
55.917,68,3,0.08299999999999841
56.000,69,4,0.1670000000000016
56.167,69,4,0.5829999999999984
56.750,65,0,0.25
57.000,65,0,0.1670000000000016
57.167,65,0,0.5829999999999984
57.750,65,0,0.1670000000000016
57.917,65,0,0.08299999999999841
58.000,69,4,0.25
58.250,67,2,0.4170000000000016
58.667,65,0,0.25
58.917,65,0,0.25
59.167,62,9,0.8329999999999984
60.000,65,0,0.25
60.250,65,0,0.1670000000000016
60.417,63,10,0.08299999999999841
60.500,65,0,0.1670000000000016
60.667,65,0,12.5
73.167,72,7,0.5829999999999984
73.750,72,7,0.1670000000000016
73.917,72,7,0.08299999999999841
74.000,70,5,0.25
74.250,68,3,0.4170000000000016
74.667,65,0,0.25
74.917,65,0,0.25
