time,note,scale degree,length
23.750,56,5,0.125
23.875,58,7,0.125
24.000,61,10,0.125
24.125,63,0,0.125
24.250,66,3,0.125
24.375,63,0,0.06299999999999883
24.438,58,7,0.062000000000001165
24.500,61,10,0.125
24.625,63,0,0.5629999999999988
25.188,58,7,0.062000000000001165
25.250,61,10,0.062000000000001165
25.312,58,7,0.06299999999999883
25.375,61,10,0.06299999999999883
25.438,58,7,0.18700000000000117
25.625,61,10,0.06299999999999883
25.688,58,7,0.062000000000001165
25.750,61,10,0.062000000000001165
25.812,58,7,0.06299999999999883
25.875,58,7,0.06299999999999883
25.938,56,5,0.062000000000001165
26.000,54,3,0.062000000000001165
26.062,51,0,3.687999999999999
29.750,61,10,0.125
29.875,63,0,0.125
30.000,70,7,0.125
30.125,63,0,0.125
30.250,68,5,0.125
30.375,68,5,0.06299999999999883
30.438,66,3,0.062000000000001165
30.500,68,5,0.125
30.625,68,5,0.06299999999999883
30.688,66,3,0.062000000000001165
30.750,63,0,0.5
31.250,61,10,0.125
31.375,58,7,0.06299999999999883
31.438,63,0,0.18700000000000117
31.625,58,7,0.06299999999999883
31.688,58,7,0.062000000000001165
31.750,61,10,0.062000000000001165
31.812,56,5,0.06299999999999883
31.875,58,7,0.125
32.000,56,5,0.06199999999999761
32.062,54,3,0.06300000000000239
32.125,51,0,1.625
33.750,58,7,0.06199999999999761
33.812,56,5,0.1880000000000024
34.000,61,10,0.06199999999999761
34.062,58,7,0.06300000000000239
34.125,61,10,0.125
34.250,58,7,0.06199999999999761
34.312,61,10,0.06300000000000239
34.375,58,7,0.06300000000000239
34.438,58,7,0.06199999999999761
34.500,58,7,0.06199999999999761
34.562,56,5,0.06300000000000239
34.625,61,10,0.06300000000000239
34.688,58,7,0.5619999999999976
35.250,61,10,0.06199999999999761
35.312,61,10,0.06300000000000239
35.375,58,7,0.1869999999999976
35.562,68,5,0.12600000000000477
35.688,66,3,0.12399999999999523
35.812,63,0,0.06300000000000239
35.875,63,0,0.06300000000000239
35.938,61,10,1.8119999999999976
37.750,61,10,0.06199999999999761
37.812,63,0,0.12600000000000477
37.938,63,0,0.06199999999999761
38.000,63,0,0.06199999999999761
38.062,63,0,0.12600000000000477
38.188,63,0,0.1869999999999976
38.375,66,3,1.125
39.500,70,7,0.125
39.625,70,7,0.125
39.750,68,5,0.06199999999999761
39.812,66,3,0.12600000000000477
39.938,70,7,0.06199999999999761
40.000,66,3,0.125
40.125,66,3,0.125
40.250,63,0,0.125
40.375,63,0,0.06300000000000239
40.438,58,7,21.25
61.688,56,5,0.06199999999999761
61.750,58,7,0.06199999999999761
61.812,58,7,0.12600000000000477
61.938,68,5,0.12399999999999523
62.062,66,3,0.12600000000000477
62.188,63,0,0.06199999999999761
62.250,61,10,0.06199999999999761
62.312,63,0,0.12600000000000477
62.438,61,10,0.12399999999999523
62.562,58,7,0.06300000000000239
62.625,54,3,0.5
63.125,58,7,0.06300000000000239
63.188,61,10,0.030999999999998806
63.219,61,10,0.030999999999998806
63.250,61,10,0.06199999999999761
63.312,61,10,0.06300000000000239
63.375,61,10,0.06300000000000239
63.438,58,7,0.3119999999999976
63.750,61,10,0.030999999999998806
63.781,58,7,0.030999999999998806
63.812,58,7,0.12600000000000477
63.938,56,5,0.06199999999999761
64.000,54,3,3.5619999999999976
67.562,58,7,0.06300000000000239
67.625,61,10,0.06300000000000239
67.688,58,7,0.1869999999999976
67.875,61,10,0.06300000000000239
67.938,61,10,0.06199999999999761
68.000,61,10,0.06199999999999761
68.062,58,7,0.06300000000000239
68.125,61,10,0.06300000000000239
68.188,58,7,0.06199999999999761
68.250,61,10,0.125
68.375,58,7,0.125
68.500,61,10,0.125
68.625,58,7,0.6869999999999976
69.312,58,7,0.06300000000000239
69.375,61,10,0.06300000000000239
69.438,58,7,0.06199999999999761
69.500,68,5,0.06199999999999761
69.562,66,3,0.1880000000000024
69.750,63,0,0.06199999999999761
69.812,61,10,0.06300000000000239
69.875,63,0,0.125
70.000,63,0,1.8119999999999976
71.812,58,7,0.06300000000000239
71.875,58,7,0.125
72.000,61,10,0.06199999999999761
72.062,61,10,0.06300000000000239
72.125,61,10,0.125
72.250,61,10,0.06199999999999761
72.312,58,7,0.06300000000000239
72.375,61,10,0.125
72.500,56,5,0.06199999999999761
72.562,58,7,0.6260000000000048
73.188,61,10,0.06199999999999761
73.250,61,10,0.06199999999999761
73.312,61,10,0.06300000000000239
73.375,58,7,0.06300000000000239
73.438,61,10,0.06199999999999761
73.500,61,10,0.06199999999999761
73.562,56,5,0.12600000000000477
73.688,56,5,0.06199999999999761
73.750,61,10,0.125
73.875,58,7,0.125
74.000,56,5,0.06199999999999761
74.062,54,3,0.5630000000000024
74.625,69,6,0.125
74.750,66,3,0.125
74.875,63,0,0.875
75.750,61,10,0.06199999999999761
75.812,63,0,0.12600000000000477
75.938,63,0,0.06199999999999761
76.000,66,3,0.06199999999999761
76.062,66,3,0.12600000000000477
76.188,66,3,0.12399999999999523
76.312,61,10,0.06300000000000239
76.375,61,10,0.06300000000000239
76.438,63,0,1.0
77.438,69,6,0.12399999999999523
77.562,68,5,0.1880000000000024
77.750,66,3,0.06199999999999761
77.812,65,2,0.3130000000000024
78.125,69,6,0.06300000000000239
78.188,69,6,0.12399999999999523
