time,note,scale degree,length
3.833,70,9,0.08399999999999963
3.917,70,9,0.08300000000000018
4.000,70,9,0.16699999999999982
4.167,68,7,0.16600000000000037
4.333,68,7,0.08399999999999963
4.417,65,4,0.08300000000000018
4.500,68,7,0.16699999999999982
4.667,68,7,0.08300000000000018
4.750,70,9,0.5
5.250,65,4,0.08300000000000018
5.333,63,2,0.041999999999999815
5.375,61,0,0.08300000000000018
5.458,61,0,0.08399999999999963
5.542,58,9,0.04100000000000037
5.583,61,0,0.041999999999999815
5.625,58,9,0.08300000000000018
5.708,61,0,0.08399999999999963
5.792,56,7,0.04100000000000037
5.833,58,9,0.08399999999999963
5.917,56,7,0.04100000000000037
5.958,53,4,0.2919999999999998
6.250,65,4,0.08300000000000018
6.333,63,2,0.08399999999999963
6.417,61,0,0.08300000000000018
6.500,63,2,0.25
6.750,56,7,0.041999999999999815
6.792,56,7,0.04100000000000037
6.833,58,9,0.08399999999999963
6.917,61,0,0.20800000000000018
7.125,58,9,0.08300000000000018
7.208,61,0,0.08399999999999963
7.292,56,7,0.04100000000000037
7.333,58,9,0.4169999999999998
7.750,70,9,0.08300000000000018
7.833,70,9,0.08399999999999963
7.917,68,7,0.08300000000000018
8.000,70,9,0.125
8.125,68,7,0.20800000000000018
8.333,68,7,0.08399999999999963
8.417,65,4,0.08300000000000018
8.500,68,7,0.20800000000000018
8.708,70,9,0.5419999999999998
9.250,65,4,0.041999999999999815
9.292,63,2,0.08300000000000018
9.375,63,2,0.08300000000000018
9.458,61,0,0.08399999999999963
9.542,58,9,0.08300000000000018
9.625,61,0,0.08300000000000018
9.708,56,7,0.041999999999999815
9.750,58,9,0.08300000000000018
9.833,56,7,0.041999999999999815
9.875,53,4,0.041999999999999815
9.917,53,4,0.3330000000000002
10.250,65,4,0.041999999999999815
10.292,63,2,0.08300000000000018
10.375,63,2,0.08300000000000018
10.458,61,0,0.041999999999999815
10.500,61,0,0.08300000000000018
10.583,61,0,0.08399999999999963
10.667,61,0,0.04100000000000037
10.708,63,2,0.16699999999999982
10.875,56,7,0.041999999999999815
10.917,56,7,0.08300000000000018
11.000,58,9,0.041999999999999815
11.042,61,0,0.08300000000000018
11.125,61,0,0.625
11.750,70,9,0.08300000000000018
11.833,70,9,0.16699999999999982
12.000,70,9,0.125
12.125,68,7,0.20800000000000018
12.333,68,7,0.08399999999999963
12.417,65,4,0.08300000000000018
12.500,68,7,0.16699999999999982
12.667,68,7,0.08300000000000018
12.750,70,9,0.5
13.250,65,4,0.08300000000000018
13.333,63,2,0.041999999999999815
13.375,63,2,0.08300000000000018
13.458,61,0,0.08399999999999963
13.542,61,0,0.08300000000000018
13.625,58,9,0.041999999999999815
13.667,61,0,0.08300000000000018
13.750,58,9,0.125
13.875,56,7,0.041999999999999815
13.917,53,4,0.3330000000000002
14.250,65,4,0.08300000000000018
14.333,63,2,0.08399999999999963
14.417,63,2,0.08300000000000018
14.500,61,0,0.08300000000000018
14.583,63,2,0.25
