time,note,scale degree,length
24.750,57,0,0.125
24.875,57,0,0.125
25.000,61,4,0.25
25.250,64,7,0.25
25.500,64,7,0.25
25.750,64,7,0.125
25.875,64,7,0.125
26.000,66,9,0.75
26.750,57,0,0.125
26.875,57,0,0.125
27.000,61,4,0.25
27.250,64,7,0.25
27.500,64,7,0.125
27.625,64,7,0.25
27.875,64,7,0.125
28.000,66,9,0.75
28.750,57,0,0.125
28.875,57,0,0.125
29.000,61,4,0.25
29.250,64,7,0.25
29.500,64,7,0.125
29.625,64,7,0.25
29.875,66,9,0.25
30.125,66,9,0.375
30.500,64,7,0.125
30.625,64,7,0.125
30.750,62,5,0.125
30.875,59,2,1.875
32.750,57,0,0.125
32.875,57,0,0.125
33.000,61,4,0.25
33.250,64,7,0.25
33.500,64,7,0.25
33.750,64,7,0.125
33.875,64,7,0.125
34.000,66,9,0.75
34.750,57,0,0.125
34.875,57,0,0.125
35.000,61,4,0.25
35.250,64,7,0.25
35.500,64,7,0.125
35.625,64,7,0.25
35.875,64,7,0.125
36.000,66,9,0.75
36.750,57,0,0.125
36.875,57,0,0.125
37.000,64,7,0.5
37.500,64,7,0.25
37.750,64,7,0.125
37.875,66,9,0.25
38.125,66,9,0.375
38.500,64,7,0.25
38.750,64,7,0.125
38.875,62,5,0.125
39.000,59,2,1.875
40.875,57,0,0.125
41.000,54,9,0.25
41.250,57,0,0.25
41.500,61,4,0.25
41.750,59,2,0.125
41.875,57,0,0.125
42.000,57,0,0.25
42.250,59,2,0.125
42.375,57,0,0.125
42.500,61,4,0.25
42.750,57,0,0.25
43.000,54,9,0.125
43.125,57,0,0.25
43.375,59,2,0.125
43.500,61,4,0.25
43.750,59,2,0.125
43.875,57,0,0.125
44.000,59,2,0.125
44.125,57,0,0.125
44.250,57,0,0.125
44.375,59,2,0.125
44.500,61,4,0.25
44.750,57,0,0.25
45.000,54,9,0.125
45.125,57,0,0.25
45.375,61,4,0.375
45.750,59,2,0.125
45.875,57,0,0.125
46.000,57,0,0.25
46.250,57,0,0.125
46.375,59,2,0.125
46.500,61,4,0.5
47.000,62,5,0.125
47.125,61,4,0.125
47.250,62,5,0.125
47.375,61,4,0.125
47.500,62,5,0.25
47.750,62,5,0.125
47.875,61,4,0.125
48.000,59,2,1.0
49.000,62,5,0.25
49.250,62,5,0.25
49.500,62,5,0.25
49.750,64,7,0.125
49.875,61,4,0.125
50.000,59,2,0.75
50.750,59,2,0.125
50.875,61,4,0.125
51.000,62,5,0.125
51.125,62,5,0.25
51.375,62,5,0.125
51.500,64,7,0.25
51.750,54,9,0.25
52.000,57,0,2.875
54.875,61,4,0.125
55.000,62,5,0.25
55.250,62,5,0.125
55.375,62,5,0.25
55.625,61,4,0.125
55.750,64,7,0.25
56.000,57,0,7.875
63.875,57,0,0.125
64.000,61,4,0.25
64.250,64,7,0.125
64.375,64,7,0.25
64.625,64,7,0.125
64.750,66,9,1.125
65.875,57,0,0.125
66.000,61,4,0.25
66.250,64,7,0.125
66.375,64,7,0.25
66.625,61,4,0.125
66.750,66,9,1.0
67.750,57,0,0.125
67.875,57,0,0.125
68.000,61,4,0.25
68.250,64,7,0.25
68.500,64,7,0.25
68.750,64,7,0.125
68.875,66,9,0.25
69.125,66,9,0.125
69.250,64,7,0.375
69.625,64,7,0.25
69.875,64,7,0.125
70.000,59,2,1.75
71.750,57,0,0.125
71.875,57,0,0.125
72.000,61,4,0.25
72.250,64,7,0.25
72.500,64,7,0.25
72.750,64,7,0.125
72.875,66,9,0.875
73.750,64,7,0.25
74.000,61,4,0.25
74.250,64,7,0.125
74.375,64,7,0.25
74.625,64,7,0.25
74.875,64,7,0.125
75.000,66,9,0.75
75.750,57,0,0.125
75.875,57,0,0.125
76.000,61,4,0.25
76.250,64,7,0.25
76.500,64,7,0.125
76.625,64,7,0.25
76.875,66,9,0.5
77.375,64,7,0.25
77.625,61,4,0.125
