time,note,scale degree,length
4.000,56,0,0.625
4.625,56,0,0.125
4.750,60,4,0.125
4.875,61,5,0.125
5.000,60,4,0.125
5.125,56,0,0.125
5.250,54,10,0.125
5.375,56,0,0.25
5.625,56,0,0.125
5.750,60,4,0.125
5.875,61,5,0.125
6.000,62,6,0.125
6.125,61,5,0.125
6.250,59,3,0.125
6.375,56,0,0.125
6.500,60,4,0.125
6.625,56,0,0.125
6.750,54,10,0.125
6.875,56,0,0.18700000000000028
7.062,56,0,0.9379999999999997
8.000,56,0,0.06199999999999939
8.062,54,10,0.06300000000000061
8.125,56,0,0.5
8.625,56,0,0.125
8.750,59,3,0.125
8.875,56,0,0.125
9.000,59,3,0.125
9.125,56,0,0.125
9.250,54,10,0.375
9.625,56,0,0.125
9.750,60,4,0.125
9.875,61,5,0.125
10.000,63,7,0.125
10.125,61,5,0.125
10.250,59,3,0.125
10.375,56,0,0.125
10.500,59,3,0.125
10.625,56,0,0.06300000000000061
10.688,54,10,0.06199999999999939
10.750,56,0,1.25
12.000,58,2,0.625
12.625,58,2,0.125
12.750,62,6,0.125
12.875,63,7,0.125
13.000,62,6,0.125
13.125,58,2,0.125
13.250,56,0,0.375
13.625,58,2,0.125
13.750,62,6,0.125
13.875,63,7,0.125
14.000,64,8,0.125
14.125,63,7,0.125
14.250,61,5,0.125
14.375,58,2,0.125
14.500,62,6,0.125
14.625,58,2,0.125
14.750,56,0,0.125
14.875,58,2,0.25
15.125,58,2,0.4369999999999994
15.562,58,2,0.4380000000000006
16.000,63,7,0.625
16.625,63,7,0.125
16.750,66,10,0.125
16.875,63,7,0.125
17.000,66,10,0.125
17.125,63,7,0.125
17.250,61,5,0.375
17.625,63,7,0.125
17.750,66,10,0.125
17.875,63,7,0.125
18.000,66,10,0.125
18.125,63,7,0.125
18.250,66,10,0.125
18.375,63,7,0.125
18.500,66,10,0.125
18.625,63,7,0.25
18.875,61,5,0.125
19.000,63,7,0.125
19.125,63,7,0.125
19.250,61,5,0.125
19.375,63,7,0.5
19.875,61,5,0.125
20.000,63,7,0.125
20.125,63,7,0.125
20.250,61,5,0.125
20.375,63,7,0.5
20.875,61,5,0.125
21.000,63,7,0.125
21.125,63,7,0.125
21.250,61,5,0.125
21.375,63,7,2.625
24.000,56,0,0.625
24.625,56,0,0.125
24.750,59,3,0.125
24.875,56,0,0.125
25.000,59,3,0.125
25.125,56,0,0.125
25.250,54,10,0.375
25.625,56,0,0.125
25.750,59,3,0.125
25.875,61,5,0.125
26.000,63,7,0.125
26.125,61,5,0.125
26.250,59,3,0.125
26.375,56,0,0.125
26.500,60,4,0.125
26.625,56,0,0.06299999999999883
26.688,54,10,0.062000000000001165
26.750,56,0,1.25
28.000,56,0,0.625
28.625,56,0,0.125
28.750,59,3,0.125
28.875,56,0,0.125
29.000,59,3,0.125
29.125,56,0,0.125
29.250,54,10,0.375
29.625,56,0,0.125
29.750,59,3,0.125
29.875,61,5,0.125
30.000,63,7,0.125
30.125,61,5,0.125
30.250,59,3,0.125
30.375,56,0,0.125
30.500,59,3,0.125
30.625,56,0,0.06299999999999883
30.688,54,10,0.062000000000001165
30.750,56,0,1.25
32.000,58,2,0.625
32.625,58,2,0.125
32.750,62,6,0.125
32.875,63,7,0.125
33.000,61,5,0.125
33.125,58,2,0.125
33.250,56,0,0.375
33.625,58,2,0.125
33.750,62,6,0.125
33.875,63,7,0.125
34.000,64,8,0.125
34.125,63,7,0.125
34.250,61,5,0.125
34.375,58,2,0.125
34.500,62,6,0.125
34.625,58,2,0.125
34.750,56,0,0.125
34.875,58,2,0.25
35.125,58,2,0.4369999999999976
35.562,58,2,0.4380000000000024
36.000,63,7,0.625
36.625,63,7,0.125
36.750,66,10,0.125
36.875,63,7,0.125
