,note,length,diatonic root
0,50.0,0.125,5.0
1,50.0,0.125,5.0
2,48.0,0.125,5.0
3,52.0,0.5,5.0
4,55.0,0.375,1.0
5,55.0,0.75,4.0
6,55.0,0.125,1.0
7,55.0,0.125,1.0
8,53.0,0.125,1.0
9,55.0,0.125,1.0
10,55.0,0.5,7.0
11,52.0,0.125,7.0
12,50.0,0.125,7.0
13,52.0,0.125,7.0
14,50.0,0.125,7.0
15,52.0,0.5,1.0
16,53.0,0.125,1.0
17,53.0,0.125,1.0
18,52.0,0.125,1.0
19,55.0,0.5,1.0
20,55.0,0.375,1.0
21,55.0,0.75,4.0
22,55.0,0.125,1.0
23,55.0,0.125,1.0
24,53.0,0.125,1.0
25,55.0,0.125,1.0
26,55.0,0.5,7.0
27,52.0,0.125,7.0
28,50.0,0.125,7.0
29,52.0,0.125,7.0
30,50.0,0.125,7.0
31,52.0,0.5,1.0
32,53.0,0.125,1.0
33,55.0,0.125,1.0
34,55.0,0.125,1.0
35,57.0,0.125,1.0
36,55.0,0.125,4.0
37,55.0,0.125,4.0
38,53.0,0.25,4.0
39,55.0,0.125,4.0
40,57.0,0.125,4.0
41,57.0,0.125,4.0
42,59.0,0.125,4.0
43,57.0,0.125,5.0
44,57.0,0.125,5.0
45,55.0,0.25,5.0
46,52.0,0.125,5.0
47,53.0,0.125,5.0
48,52.0,0.125,5.0
49,55.0,0.125,5.0
50,48.0,0.375,1.0
51,50.0,0.125,1.0
52,53.0,0.25,4.0
53,50.0,0.75,4.0
54,53.0,0.125,1.0
55,53.0,0.125,1.0
56,52.0,0.125,1.0
57,55.0,0.5,1.0
58,55.0,0.375,1.0
59,55.0,0.75,4.0
60,53.0,0.125,1.0
61,55.0,0.125,1.0
62,53.0,0.125,1.0
63,55.0,0.125,1.0
64,55.0,0.5,7.0
65,50.0,0.125,7.0
66,52.0,0.125,7.0
67,50.0,0.125,7.0
68,52.0,0.125,7.0
69,53.0,0.125,1.0
70,52.0,0.625,1.0
71,53.0,0.125,1.0
72,52.0,0.125,1.0
73,55.0,0.125,1.0
74,55.0,0.125,1.0
75,55.0,0.125,1.0
