,note,length,diatonic root
0,60.0,0.375,1.0
1,60.0,0.25,1.0
2,60.0,0.375,1.0
3,60.0,0.25,1.0
4,60.0,0.125,1.0
5,65.0,0.25,1.0
6,60.0,0.25,4.0
7,60.0,0.5,3.0
8,60.0,0.25,1.0
9,60.0,0.375,1.0
10,60.0,0.125,1.0
11,60.0,0.25,1.0
12,65.0,0.5,1.0
13,60.0,0.125,3.0
14,60.0,0.125,3.0
15,60.0,0.125,1.0
16,60.0,0.125,1.0
17,60.0,0.25,1.0
18,60.0,0.25,1.0
19,60.0,0.125,1.0
20,60.0,0.125,1.0
21,60.0,0.125,1.0
22,60.0,0.125,1.0
23,64.0,0.25,1.0
24,65.0,0.25,4.0
25,60.0,0.125,3.0
26,60.0,0.125,3.0
27,60.0,0.125,1.0
28,62.0,0.25,1.0
29,64.0,0.5,1.0
30,62.0,0.25,1.0
31,64.0,0.25,1.0
32,62.0,0.25,1.0
33,64.0,0.125,4.0
34,62.0,0.125,3.0
35,62.0,1.5,3.0
36,62.0,0.25,5.0
37,62.0,0.25,5.0
38,60.0,0.75,5.0
39,57.0,0.25,4.0
40,64.0,0.375,4.0
41,60.0,0.375,3.0
42,60.0,0.25,2.0
43,60.0,2.0,2.0
44,60.0,0.25,1.0
45,60.0,0.25,1.0
46,55.0,0.125,1.0
47,64.0,0.125,1.0
48,62.0,1.125,1.0
49,60.0,0.25,5.0
50,60.0,0.125,1.0
51,60.0,0.25,1.0
52,60.0,0.25,1.0
53,60.0,0.125,1.0
54,60.0,0.375,1.0
55,65.0,0.25,1.0
56,60.0,0.25,4.0
57,60.0,0.125,3.0
58,60.0,0.125,3.0
59,60.0,0.125,1.0
60,60.0,0.25,1.0
61,60.0,0.375,1.0
62,60.0,0.125,1.0
63,60.0,0.375,1.0
64,65.0,0.25,1.0
65,60.0,0.25,4.0
66,60.0,0.125,3.0
67,60.0,0.125,3.0
68,60.0,0.125,1.0
69,60.0,0.25,1.0
70,60.0,0.25,1.0
71,60.0,0.125,1.0
72,60.0,0.125,1.0
73,60.0,0.125,1.0
74,60.0,0.25,1.0
75,65.0,0.25,1.0
76,60.0,0.25,4.0
77,60.0,0.125,3.0
78,60.0,0.25,3.0
79,60.0,0.125,1.0
80,60.0,0.25,1.0
81,60.0,0.25,1.0
82,60.0,0.125,1.0
83,64.0,0.25,1.0
84,64.0,0.25,1.0
85,64.0,0.25,1.0
86,64.0,0.25,4.0
87,64.0,0.125,3.0
88,62.0,0.125,5.0
89,64.0,1.125,5.0
90,62.0,0.125,5.0
91,62.0,0.25,5.0
92,62.0,0.25,5.0
93,65.0,1.0,5.0
94,64.0,0.375,4.0
95,60.0,0.375,3.0
96,60.0,0.25,2.0
97,60.0,2.5,2.0
98,62.0,0.125,1.0
99,62.0,0.25,1.0
100,65.0,0.125,1.0
101,62.0,0.125,1.0
102,64.0,4.0,1.0
103,59.0,0.125,5.0
104,60.0,0.125,5.0
105,60.0,0.25,1.0
106,60.0,0.25,1.0
107,60.0,0.375,1.0
108,60.0,0.125,1.0
109,60.0,0.125,1.0
110,60.0,0.25,1.0
111,65.0,0.375,1.0
112,60.0,0.125,3.0
113,60.0,0.125,3.0
114,60.0,0.125,1.0
115,62.0,0.25,1.0
116,62.0,0.375,1.0
117,64.0,0.25,1.0
118,65.0,0.125,1.0
119,65.0,0.125,1.0
120,60.0,0.25,1.0
121,60.0,0.25,4.0
122,60.0,0.5,3.0
123,60.0,0.25,1.0
124,60.0,0.375,1.0
125,60.0,0.125,1.0
126,60.0,0.25,1.0
127,65.0,0.25,1.0
128,60.0,0.25,4.0
129,60.0,0.5,3.0
130,64.0,0.625,1.0
131,64.0,0.125,1.0
132,62.0,0.125,1.0
133,65.0,0.125,1.0
134,64.0,0.125,1.0
135,65.0,0.125,1.0
136,62.0,0.125,4.0
137,62.0,0.125,4.0
138,62.0,0.125,3.0
139,62.0,1.5,3.0
140,62.0,0.25,5.0
141,62.0,0.25,5.0
142,60.0,0.75,5.0
143,57.0,0.25,4.0
144,64.0,0.375,4.0
145,60.0,0.375,3.0
146,60.0,0.25,2.0
147,60.0,2.75,2.0
148,64.0,0.125,1.0
149,65.0,0.125,1.0
150,65.0,0.125,1.0
151,65.0,0.125,1.0
152,65.0,0.125,1.0
153,67.0,4.0,1.0
154,57.0,0.25,1.0
155,60.0,0.125,1.0
156,60.0,0.25,1.0
157,60.0,0.125,1.0
158,60.0,0.25,1.0
159,60.0,0.125,1.0
160,60.0,0.25,1.0
161,65.0,0.25,1.0
162,60.0,0.25,4.0
163,60.0,0.125,3.0
164,60.0,0.375,3.0
165,60.0,0.25,1.0
166,60.0,0.375,1.0
167,60.0,0.125,1.0
168,60.0,0.25,1.0
169,62.0,0.25,1.0
170,60.0,0.25,4.0
171,60.0,0.125,3.0
172,60.0,0.375,3.0
173,60.0,0.25,1.0
174,60.0,0.375,1.0
175,60.0,0.125,1.0
176,60.0,0.25,1.0
177,65.0,0.25,1.0
178,60.0,0.25,4.0
179,60.0,0.5,3.0
180,60.0,0.25,1.0
181,60.0,0.125,1.0
182,60.0,0.125,1.0
183,60.0,0.125,1.0
184,60.0,0.375,1.0
185,62.0,0.375,1.0
186,62.0,0.25,4.0
187,62.0,1.5,3.0
188,62.0,0.5,5.0
189,60.0,0.125,5.0
190,60.0,0.75,4.0
191,57.0,0.625,4.0
192,60.0,0.5,3.0
193,60.0,2.0,2.0
194,60.0,0.25,1.0
195,60.0,0.125,1.0
196,60.0,0.125,1.0
197,60.0,0.125,1.0
198,60.0,0.125,1.0
199,62.0,0.125,1.0
200,60.0,0.25,1.0
201,60.0,0.625,1.0
202,62.0,1.5,1.0
203,62.0,0.25,5.0
204,62.0,0.25,5.0
205,60.0,0.75,5.0
206,57.0,0.25,4.0
207,64.0,0.375,4.0
208,60.0,0.375,3.0
209,60.0,0.25,2.0
210,60.0,3.5,2.0
211,60.0,0.25,1.0
212,62.0,1.5,1.0
213,62.0,0.25,5.0
214,62.0,0.25,5.0
215,60.0,0.75,5.0
216,57.0,0.25,4.0
217,64.0,0.375,4.0
218,60.0,0.375,3.0
219,60.0,0.25,2.0
220,60.0,2.5,2.0
221,62.0,0.125,1.0
222,57.0,0.125,1.0
223,55.0,0.125,1.0
224,60.0,0.125,1.0
225,60.0,0.75,1.0
226,62.0,0.125,1.0
227,62.0,0.125,1.0
228,62.0,1.5,1.0
229,62.0,0.25,5.0
230,62.0,0.25,5.0
231,60.0,0.75,5.0
232,57.0,0.25,4.0
233,64.0,0.375,4.0
234,60.0,0.375,3.0
235,60.0,0.25,2.0
236,60.0,1.5,2.0
237,60.0,0.125,1.0
238,60.0,0.5,1.0
239,60.0,0.75,3.0
240,60.0,0.25,1.0
