,note,length,diatonic root
0,52.0,0.125,1.0
1,52.0,0.125,1.0
2,52.0,0.125,1.0
3,50.0,0.125,1.0
4,48.0,0.125,1.0
5,50.0,0.125,1.0
6,48.0,0.125,1.0
7,52.0,0.25,1.0
8,50.0,0.125,1.0
9,48.0,0.125,1.0
10,50.0,0.125,1.0
11,48.0,0.125,1.0
12,52.0,0.5,1.0
13,52.0,0.125,1.0
14,52.0,0.125,1.0
15,52.0,0.125,1.0
16,50.0,0.125,1.0
17,48.0,0.125,1.0
18,50.0,0.125,1.0
19,48.0,0.125,1.0
20,52.0,0.25,1.0
21,50.0,0.25,1.0
22,48.0,0.125,1.0
23,47.0,0.125,1.0
24,45.0,0.875,1.0
25,45.0,0.125,4.0
26,48.0,0.125,4.0
27,47.0,0.125,4.0
28,45.0,0.25,4.0
29,45.0,0.125,4.0
30,48.0,0.125,4.0
31,47.0,0.125,4.0
32,45.0,0.25,4.0
33,45.0,0.125,4.0
34,47.0,0.125,4.0
35,45.0,1.125,4.0
36,45.0,0.125,1.0
37,48.0,0.125,1.0
38,50.0,0.25,1.0
39,48.0,0.125,1.0
40,47.0,0.125,1.0
41,45.0,0.875,1.0
42,45.0,0.125,4.0
43,48.0,0.125,4.0
44,47.0,0.125,4.0
45,45.0,0.25,4.0
46,45.0,0.125,4.0
47,48.0,0.125,4.0
48,47.0,0.125,4.0
49,45.0,0.25,4.0
50,45.0,0.125,4.0
51,47.0,0.125,4.0
52,45.0,2.25,4.0
53,52.0,0.125,1.0
54,52.0,0.125,1.0
55,52.0,0.125,1.0
56,52.0,0.125,1.0
57,50.0,0.125,1.0
58,48.0,0.125,1.0
59,50.0,0.125,1.0
60,48.0,0.125,1.0
61,52.0,0.25,1.0
62,50.0,0.125,1.0
63,48.0,0.125,1.0
64,50.0,0.125,1.0
65,48.0,0.125,1.0
66,52.0,0.375,1.0
67,52.0,0.125,1.0
68,52.0,0.125,1.0
69,52.0,0.125,1.0
70,52.0,0.125,1.0
71,50.0,0.125,1.0
72,48.0,0.125,1.0
73,50.0,0.125,1.0
74,48.0,0.125,1.0
75,52.0,0.25,1.0
76,50.0,0.25,1.0
77,48.0,0.125,1.0
78,47.0,0.125,1.0
79,45.0,0.875,1.0
80,45.0,0.125,4.0
81,48.0,0.125,4.0
82,47.0,0.125,4.0
83,45.0,0.25,4.0
84,45.0,0.125,4.0
85,48.0,0.125,4.0
86,47.0,0.125,4.0
87,45.0,0.25,4.0
88,45.0,0.125,4.0
89,48.0,0.125,4.0
90,47.0,0.125,4.0
91,45.0,2.0,4.0
92,57.0,0.125,1.0
93,55.0,0.125,6.0
94,57.0,0.125,6.0
95,55.0,0.125,6.0
96,57.0,0.125,6.0
97,60.0,0.375,6.0
98,57.0,0.125,6.0
99,60.0,0.125,6.0
100,57.0,0.125,1.0
101,57.0,0.125,1.0
102,55.0,0.125,1.0
103,57.0,0.125,1.0
104,55.0,0.125,1.0
105,52.0,0.375,1.0
106,57.0,0.125,1.0
107,55.0,0.125,1.0
108,57.0,0.125,6.0
109,57.0,0.125,6.0
110,57.0,0.125,6.0
111,55.0,0.125,6.0
112,57.0,0.125,6.0
113,59.0,0.125,6.0
114,59.0,0.125,6.0
115,57.0,0.125,6.0
116,52.0,0.875,6.0
117,55.0,0.125,1.0
118,57.0,0.125,1.0
119,55.0,0.125,6.0
120,57.0,0.125,6.0
121,55.0,0.125,6.0
122,57.0,0.125,6.0
123,55.0,0.375,6.0
124,57.0,0.125,6.0
125,60.0,0.125,6.0
126,57.0,0.125,1.0
127,57.0,0.125,1.0
128,55.0,0.125,1.0
129,57.0,0.125,1.0
130,55.0,0.125,1.0
131,52.0,0.375,1.0
132,57.0,0.125,1.0
133,53.0,0.125,1.0
134,53.0,0.125,6.0
135,53.0,0.125,6.0
136,55.0,0.125,6.0
137,57.0,0.5,6.0
138,57.0,0.125,6.0
139,57.0,0.125,6.0
140,55.0,0.125,6.0
141,59.0,0.125,5.0
142,59.0,0.125,5.0
143,60.0,0.125,5.0
144,62.0,0.25,5.0
145,60.0,0.125,5.0
146,62.0,0.5,5.0
147,57.0,0.125,1.0
148,57.0,0.125,1.0
149,55.0,0.25,1.0
150,52.0,0.25,1.0
151,57.0,0.125,1.0
152,57.0,0.25,1.0
153,55.0,0.25,1.0
154,52.0,0.5,1.0
155,57.0,0.125,1.0
156,57.0,0.125,1.0
157,57.0,0.125,1.0
158,55.0,0.25,1.0
159,52.0,0.25,1.0
160,57.0,0.125,1.0
161,60.0,0.25,1.0
162,62.0,0.25,1.0
163,60.0,0.125,1.0
164,59.0,0.125,1.0
165,57.0,0.75,1.0
166,57.0,0.25,4.0
167,57.0,0.125,4.0
168,64.0,0.25,4.0
169,62.0,0.25,4.0
170,57.0,0.125,4.0
171,53.0,0.25,4.0
172,52.0,1.125,4.0
173,57.0,0.125,1.0
174,60.0,0.125,1.0
175,62.0,0.25,1.0
176,60.0,0.125,1.0
177,59.0,0.125,1.0
178,57.0,0.75,1.0
179,57.0,0.25,4.0
180,57.0,0.125,4.0
181,64.0,0.25,4.0
182,62.0,0.25,4.0
183,57.0,0.125,4.0
184,53.0,0.25,4.0
185,52.0,2.25,4.0
186,52.0,0.125,1.0
187,52.0,0.125,1.0
188,52.0,0.125,1.0
189,50.0,0.125,1.0
190,48.0,0.125,1.0
191,50.0,0.125,1.0
192,48.0,0.125,1.0
193,52.0,0.25,1.0
194,50.0,0.125,1.0
195,48.0,0.125,1.0
196,50.0,0.125,1.0
197,48.0,0.125,1.0
198,52.0,0.5,1.0
199,52.0,0.125,1.0
200,52.0,0.125,1.0
201,52.0,0.125,1.0
202,50.0,0.125,1.0
203,48.0,0.125,1.0
204,50.0,0.125,1.0
205,48.0,0.125,1.0
206,52.0,0.25,1.0
207,50.0,0.25,1.0
208,48.0,0.125,1.0
209,47.0,0.25,1.0
210,47.0,0.125,1.0
211,45.0,0.625,4.0
212,45.0,0.125,4.0
213,48.0,0.125,4.0
214,47.0,0.125,4.0
215,45.0,0.25,4.0
216,45.0,0.125,4.0
217,48.0,0.125,4.0
218,47.0,0.125,4.0
219,45.0,0.25,4.0
220,45.0,0.125,4.0
221,48.0,0.125,4.0
222,47.0,0.125,4.0
223,45.0,1.125,4.0
224,45.0,0.125,1.0
225,48.0,0.125,1.0
226,50.0,0.25,1.0
227,48.0,0.125,1.0
228,47.0,0.25,1.0
229,45.0,0.625,1.0
230,45.0,0.25,4.0
231,45.0,0.125,4.0
232,53.0,0.25,4.0
233,52.0,0.125,4.0
234,48.0,0.125,4.0
235,47.0,0.25,4.0
236,45.0,0.125,4.0
237,41.0,0.125,4.0
238,40.0,1.125,4.0
239,62.0,0.125,1.0
240,60.0,0.25,1.0
241,57.0,0.125,1.0
242,60.0,0.625,1.0
243,52.0,0.125,1.0
244,52.0,0.125,1.0
245,52.0,0.125,1.0
246,52.0,0.125,1.0
247,50.0,0.125,1.0
248,48.0,0.125,1.0
249,50.0,0.125,1.0
250,48.0,0.125,1.0
251,52.0,0.25,1.0
252,50.0,0.125,1.0
253,48.0,0.125,1.0
254,50.0,0.125,1.0
255,48.0,0.125,1.0
256,52.0,0.375,1.0
257,52.0,0.125,1.0
258,52.0,0.125,1.0
259,52.0,0.125,1.0
260,52.0,0.125,1.0
261,50.0,0.125,1.0
262,48.0,0.125,1.0
263,50.0,0.125,1.0
264,48.0,0.125,1.0
265,52.0,0.25,1.0
266,50.0,0.25,1.0
267,48.0,0.125,1.0
268,47.0,0.25,1.0
269,47.0,0.125,1.0
270,45.0,0.625,4.0
271,52.0,0.125,4.0
272,52.0,0.125,4.0
273,50.0,0.125,4.0
274,48.0,0.25,4.0
275,52.0,0.125,4.0
276,52.0,0.125,4.0
277,50.0,0.125,4.0
278,48.0,0.25,4.0
279,50.0,0.125,4.0
280,52.0,0.125,4.0
281,50.0,0.125,4.0
282,48.0,0.125,1.0
283,45.0,0.125,1.0
284,45.0,0.25,1.0
285,45.0,1.5,1.0
286,57.0,0.125,1.0
287,55.0,0.125,6.0
288,57.0,0.125,6.0
289,55.0,0.125,6.0
290,57.0,0.125,6.0
291,60.0,0.375,6.0
292,57.0,0.125,6.0
293,60.0,0.125,6.0
294,57.0,0.125,1.0
295,57.0,0.125,1.0
296,55.0,0.125,1.0
297,57.0,0.125,1.0
298,55.0,0.125,1.0
299,52.0,0.375,1.0
300,57.0,0.125,1.0
301,55.0,0.125,1.0
302,57.0,0.125,6.0
303,57.0,0.125,6.0
304,57.0,0.125,6.0
305,55.0,0.125,6.0
306,57.0,0.125,6.0
307,59.0,0.125,6.0
308,59.0,0.125,6.0
309,57.0,0.125,6.0
310,52.0,0.875,6.0
311,57.0,0.125,1.0
312,55.0,0.125,1.0
313,57.0,0.125,1.0
314,55.0,0.125,6.0
315,57.0,0.125,6.0
316,55.0,0.125,6.0
317,57.0,0.125,6.0
318,55.0,0.375,6.0
319,57.0,0.125,6.0
320,57.0,0.125,6.0
321,60.0,0.125,6.0
322,57.0,0.125,1.0
323,57.0,0.125,1.0
324,55.0,0.125,1.0
325,57.0,0.125,1.0
326,55.0,0.125,1.0
327,52.0,0.375,1.0
328,57.0,0.125,1.0
329,53.0,0.125,1.0
330,53.0,0.125,6.0
331,53.0,0.125,6.0
332,55.0,0.125,6.0
333,57.0,0.5,6.0
334,57.0,0.125,6.0
335,55.0,0.125,6.0
336,59.0,0.125,5.0
337,59.0,0.125,5.0
338,59.0,0.125,5.0
339,60.0,0.25,5.0
340,60.0,0.125,5.0
341,62.0,0.5,5.0
342,57.0,0.125,1.0
343,57.0,0.125,1.0
344,55.0,0.25,1.0
345,52.0,0.25,1.0
346,57.0,0.125,1.0
347,57.0,0.25,1.0
348,55.0,0.25,1.0
349,52.0,0.5,1.0
350,57.0,0.125,1.0
351,57.0,0.125,1.0
352,57.0,0.125,1.0
353,55.0,0.25,1.0
354,52.0,0.25,1.0
355,57.0,0.125,1.0
356,60.0,0.25,1.0
357,62.0,0.25,1.0
358,60.0,0.125,1.0
359,59.0,0.125,1.0
360,57.0,0.75,1.0
361,57.0,0.25,4.0
362,57.0,0.125,4.0
363,64.0,0.25,4.0
364,62.0,0.25,4.0
365,57.0,0.125,4.0
366,53.0,0.25,4.0
367,52.0,2.25,4.0
368,57.0,0.125,1.0
369,57.0,0.125,1.0
370,55.0,0.25,1.0
371,52.0,0.25,1.0
372,57.0,0.125,1.0
373,57.0,0.25,1.0
374,55.0,0.25,1.0
375,52.0,0.5,1.0
376,57.0,0.125,1.0
377,57.0,0.125,1.0
378,57.0,0.125,1.0
379,55.0,0.25,1.0
380,52.0,0.25,1.0
381,57.0,0.125,1.0
382,60.0,0.25,1.0
