,note,length,diatonic root
0,52.0,0.125,4.0
1,52.0,0.25,4.0
2,52.0,0.25,4.0
3,52.0,0.375,4.0
4,50.0,0.125,5.0
5,48.0,0.125,5.0
6,47.0,0.125,5.0
7,47.0,0.125,5.0
8,47.0,0.125,5.0
9,48.0,0.125,5.0
10,48.0,0.25,5.0
11,50.0,0.25,1.0
12,50.0,0.25,1.0
13,50.0,0.125,1.0
14,52.0,0.125,1.0
15,48.0,0.125,1.0
16,47.0,0.25,4.0
17,45.0,0.375,4.0
18,48.0,0.125,4.0
19,45.0,0.125,4.0
20,48.0,0.125,4.0
21,48.0,0.125,4.0
22,48.0,0.125,4.0
23,48.0,0.25,4.0
24,48.0,0.125,4.0
25,45.0,0.125,4.0
26,48.0,0.125,4.0
27,48.0,0.125,4.0
28,50.0,0.125,5.0
29,48.0,0.125,5.0
30,52.0,0.625,5.0
31,47.0,0.125,5.0
32,47.0,0.125,1.0
33,47.0,0.125,1.0
34,47.0,0.25,1.0
35,47.0,0.125,1.0
36,45.0,0.125,1.0
37,47.0,0.25,1.0
38,48.0,0.125,4.0
39,47.0,0.125,4.0
40,45.0,0.875,4.0
41,52.0,0.125,4.0
42,52.0,0.25,4.0
43,52.0,0.25,4.0
44,52.0,0.375,4.0
45,55.0,0.125,5.0
46,53.0,0.25,5.0
47,52.0,0.125,5.0
48,50.0,0.375,5.0
49,47.0,0.125,5.0
50,50.0,0.125,5.0
51,48.0,0.125,1.0
52,50.0,0.125,1.0
53,48.0,0.125,1.0
54,50.0,0.25,1.0
55,52.0,0.25,1.0
56,48.0,0.125,1.0
57,47.0,0.25,4.0
58,45.0,0.25,4.0
59,45.0,0.125,4.0
60,48.0,0.125,4.0
61,45.0,0.125,4.0
62,48.0,0.125,4.0
63,48.0,0.125,4.0
64,45.0,0.125,4.0
65,48.0,0.25,4.0
66,48.0,0.125,4.0
67,45.0,0.125,4.0
68,48.0,0.125,4.0
69,48.0,0.125,4.0
70,50.0,0.125,5.0
71,50.0,0.125,5.0
72,52.0,0.5,5.0
73,47.0,0.125,5.0
74,47.0,0.125,5.0
75,47.0,0.25,1.0
76,47.0,0.25,1.0
77,45.0,0.25,1.0
78,47.0,0.25,1.0
79,48.0,0.125,4.0
80,47.0,0.125,4.0
81,45.0,4.0,4.0
82,45.0,0.25,4.0
83,47.0,0.25,4.0
84,48.0,0.125,4.0
85,50.0,0.25,4.0
86,52.0,0.25,4.0
87,50.0,0.25,5.0
88,48.0,0.25,5.0
89,50.0,0.25,5.0
90,43.0,0.125,5.0
91,55.0,0.25,5.0
92,53.0,0.25,1.0
93,52.0,0.125,1.0
94,50.0,0.25,1.0
95,48.0,0.25,1.0
96,50.0,0.25,4.0
97,45.0,0.5,4.0
98,43.0,0.125,4.0
99,45.0,0.25,4.0
100,47.0,0.25,4.0
101,48.0,0.125,4.0
102,50.0,0.25,4.0
103,52.0,0.25,4.0
104,50.0,0.25,5.0
105,48.0,0.25,5.0
106,47.0,0.25,5.0
107,43.0,0.375,5.0
108,55.0,0.125,1.0
109,53.0,0.125,1.0
110,52.0,0.125,1.0
111,50.0,0.25,1.0
112,48.0,0.25,1.0
113,50.0,0.25,4.0
114,45.0,4.0,4.0
115,52.0,0.125,4.0
116,52.0,0.25,4.0
117,52.0,0.25,4.0
118,52.0,0.25,4.0
119,55.0,0.25,5.0
120,53.0,0.125,5.0
121,52.0,0.125,5.0
122,50.0,0.5,5.0
123,45.0,0.125,1.0
124,50.0,0.125,1.0
125,48.0,0.125,1.0
126,50.0,0.25,1.0
127,52.0,0.25,1.0
128,48.0,0.125,1.0
129,47.0,0.25,4.0
130,45.0,0.25,4.0
131,45.0,0.125,4.0
132,48.0,0.125,4.0
133,45.0,0.125,4.0
134,48.0,0.125,4.0
135,48.0,0.125,4.0
136,45.0,0.125,4.0
137,48.0,0.25,4.0
138,48.0,0.125,4.0
139,45.0,0.125,4.0
140,48.0,0.125,4.0
141,48.0,0.125,4.0
142,50.0,0.125,5.0
143,48.0,0.125,5.0
144,52.0,0.25,5.0
145,52.0,0.125,5.0
146,52.0,0.125,5.0
147,50.0,0.125,5.0
148,47.0,0.125,5.0
149,47.0,0.25,1.0
150,47.0,0.25,1.0
151,47.0,0.125,1.0
152,45.0,0.125,1.0
153,47.0,0.25,1.0
154,48.0,0.25,4.0
155,47.0,0.125,4.0
156,45.0,0.75,4.0
157,52.0,0.125,4.0
158,52.0,0.25,4.0
159,52.0,0.25,4.0
160,52.0,0.125,4.0
161,55.0,0.25,4.0
162,53.0,0.125,5.0
163,52.0,0.125,5.0
164,50.0,0.625,5.0
165,45.0,0.125,1.0
166,50.0,0.25,1.0
167,50.0,0.25,1.0
168,52.0,0.25,1.0
169,48.0,0.125,1.0
170,47.0,0.25,4.0
171,45.0,0.25,4.0
172,45.0,0.125,4.0
173,48.0,0.125,4.0
174,45.0,0.125,4.0
175,48.0,0.125,4.0
176,48.0,0.125,4.0
177,48.0,0.125,4.0
178,48.0,0.25,4.0
179,48.0,0.125,4.0
180,45.0,0.125,4.0
181,48.0,0.125,4.0
182,48.0,0.125,4.0
183,50.0,0.125,5.0
184,48.0,0.125,5.0
185,52.0,0.25,5.0
186,52.0,0.125,5.0
187,48.0,0.125,5.0
188,48.0,0.125,5.0
189,47.0,0.125,5.0
190,47.0,0.25,1.0
191,47.0,0.25,1.0
192,47.0,0.125,1.0
193,45.0,0.125,1.0
194,47.0,0.25,1.0
195,48.0,0.25,4.0
196,47.0,0.125,4.0
197,45.0,4.0,4.0
198,45.0,0.25,4.0
