,note,length,diatonic root
0,55.0,0.25,1.0
1,55.0,0.125,1.0
2,55.0,0.125,1.0
3,57.0,0.25,1.0
4,57.0,0.125,4.0
5,55.0,0.125,4.0
6,55.0,0.25,4.0
7,52.0,0.125,5.0
8,50.0,0.125,5.0
9,48.0,0.375,5.0
10,53.0,0.125,1.0
11,55.0,0.375,1.0
12,55.0,0.125,1.0
13,57.0,0.25,1.0
14,55.0,0.125,4.0
15,53.0,0.125,4.0
16,55.0,1.0,4.0
17,55.0,0.25,1.0
18,55.0,0.125,1.0
19,55.0,0.125,1.0
20,57.0,0.25,1.0
21,57.0,0.125,4.0
22,55.0,0.125,4.0
23,55.0,0.25,4.0
24,52.0,0.125,5.0
25,50.0,0.125,5.0
26,48.0,0.375,5.0
27,48.0,0.125,1.0
28,55.0,0.375,1.0
29,53.0,0.125,1.0
30,53.0,0.25,1.0
31,52.0,0.125,4.0
32,52.0,0.125,4.0
33,50.0,0.875,4.0
34,55.0,0.125,5.0
35,55.0,0.125,5.0
36,55.0,0.25,5.0
37,55.0,0.125,1.0
38,55.0,0.125,1.0
39,57.0,0.25,1.0
40,57.0,0.125,4.0
41,55.0,0.125,4.0
42,55.0,0.125,4.0
43,55.0,0.25,4.0
44,52.0,0.125,5.0
45,50.0,0.125,5.0
46,48.0,0.5,5.0
47,52.0,0.125,1.0
48,55.0,0.25,1.0
49,55.0,0.25,1.0
50,57.0,0.25,1.0
51,53.0,0.125,4.0
52,53.0,0.125,4.0
53,55.0,0.875,4.0
54,52.0,0.125,1.0
55,53.0,0.25,1.0
56,52.0,0.125,4.0
57,52.0,0.125,4.0
58,50.0,0.375,4.0
59,53.0,0.125,5.0
60,52.0,0.125,5.0
61,52.0,0.25,1.0
62,52.0,0.125,1.0
63,50.0,0.125,1.0
64,48.0,0.375,1.0
65,48.0,0.125,4.0
66,53.0,0.25,4.0
67,52.0,0.125,4.0
68,52.0,0.25,4.0
69,50.0,0.125,4.0
70,50.0,0.25,5.0
71,48.0,0.125,5.0
72,47.0,0.125,5.0
73,48.0,4.0,5.0
74,55.0,0.125,1.0
75,55.0,0.125,1.0
76,55.0,0.25,1.0
77,55.0,0.125,1.0
78,55.0,0.125,1.0
79,57.0,0.25,1.0
80,55.0,0.125,4.0
81,55.0,0.125,4.0
82,55.0,0.25,4.0
83,52.0,0.125,5.0
84,48.0,0.125,5.0
85,48.0,0.625,5.0
86,55.0,0.125,1.0
87,55.0,0.25,1.0
88,55.0,0.125,1.0
89,55.0,0.125,1.0
90,57.0,0.25,1.0
91,53.0,0.125,4.0
92,53.0,0.125,4.0
93,55.0,0.75,4.0
94,55.0,0.125,1.0
95,55.0,0.125,1.0
96,55.0,0.25,1.0
97,55.0,0.125,1.0
98,55.0,0.125,1.0
99,57.0,0.25,1.0
100,55.0,0.125,4.0
101,55.0,0.125,4.0
102,55.0,0.25,4.0
103,52.0,0.125,5.0
104,48.0,0.125,5.0
105,48.0,0.5,5.0
106,48.0,0.125,1.0
107,55.0,0.25,1.0
108,55.0,0.125,1.0
109,53.0,0.125,1.0
110,53.0,0.25,1.0
111,50.0,0.125,4.0
112,50.0,0.125,4.0
113,50.0,0.75,4.0
114,53.0,0.125,5.0
115,55.0,0.125,5.0
116,55.0,0.25,5.0
117,55.0,0.125,1.0
118,55.0,0.125,1.0
119,57.0,0.25,1.0
120,53.0,0.125,4.0
121,53.0,0.125,4.0
122,55.0,0.375,4.0
123,52.0,0.125,5.0
124,48.0,0.125,5.0
125,48.0,0.375,5.0
126,48.0,0.125,1.0
127,53.0,0.125,1.0
128,55.0,0.25,1.0
129,55.0,0.125,1.0
130,55.0,0.125,1.0
131,57.0,0.25,1.0
132,53.0,0.125,4.0
133,53.0,0.125,4.0
134,55.0,0.875,4.0
135,52.0,0.125,1.0
136,53.0,0.25,1.0
137,52.0,0.125,4.0
138,52.0,0.125,4.0
139,50.0,0.375,4.0
140,53.0,0.125,5.0
141,52.0,0.125,5.0
142,52.0,0.125,1.0
143,52.0,0.125,1.0
144,50.0,0.125,1.0
145,48.0,0.375,1.0
146,48.0,0.125,4.0
147,53.0,0.25,4.0
148,52.0,0.125,4.0
149,52.0,0.25,4.0
150,50.0,0.125,4.0
151,50.0,0.25,5.0
152,48.0,0.125,5.0
153,47.0,0.125,5.0
154,48.0,4.0,5.0
155,48.0,0.125,1.0
156,55.0,0.125,1.0
157,55.0,0.25,1.0
158,55.0,0.125,1.0
159,55.0,0.375,1.0
160,57.0,0.375,4.0
161,57.0,0.125,4.0
