,note,length,diatonic root
0,52.0,0.25,5.0
1,53.0,0.125,5.0
2,53.0,0.25,5.0
3,52.0,0.25,1.0
4,50.0,0.125,1.0
5,48.0,0.25,1.0
6,53.0,0.25,1.0
7,52.0,0.25,1.0
8,52.0,0.125,1.0
9,50.0,0.25,1.0
10,48.0,0.125,1.0
11,48.0,0.125,1.0
12,48.0,0.125,1.0
13,48.0,0.125,4.0
14,48.0,0.125,4.0
15,48.0,0.125,4.0
16,48.0,0.125,4.0
17,48.0,0.125,4.0
18,48.0,0.125,4.0
19,48.0,0.75,4.0
20,53.0,0.25,5.0
21,53.0,0.25,5.0
22,52.0,0.25,1.0
23,50.0,0.25,1.0
24,48.0,0.25,1.0
25,53.0,0.25,1.0
26,52.0,0.125,1.0
27,52.0,0.125,1.0
28,50.0,0.25,1.0
29,48.0,0.125,1.0
30,48.0,0.25,1.0
31,57.0,0.125,1.0
32,57.0,0.25,4.0
33,57.0,0.25,4.0
34,55.0,0.25,4.0
35,55.0,1.125,4.0
36,59.0,0.25,5.0
37,60.0,0.125,4.0
38,60.0,0.25,4.0
39,60.0,0.125,4.0
40,60.0,0.25,4.0
41,59.0,0.25,4.0
42,60.0,0.25,6.0
43,60.0,0.25,6.0
44,60.0,0.25,6.0
45,59.0,0.25,6.0
46,60.0,0.125,2.0
47,60.0,0.125,2.0
48,60.0,0.125,2.0
49,60.0,0.125,2.0
50,60.0,0.25,2.0
51,60.0,0.125,2.0
52,60.0,0.125,6.0
53,60.0,0.25,6.0
54,57.0,0.125,6.0
55,57.0,0.125,6.0
56,57.0,0.125,6.0
57,57.0,0.125,6.0
58,55.0,1.125,6.0
59,62.0,0.125,1.0
60,62.0,0.5,1.0
61,62.0,0.125,1.0
62,60.0,0.125,1.0
63,60.0,0.25,4.0
64,60.0,0.25,4.0
65,60.0,0.25,4.0
66,60.0,0.125,4.0
67,59.0,0.25,4.0
68,60.0,0.125,6.0
69,60.0,0.125,6.0
70,60.0,0.25,6.0
71,60.0,0.125,6.0
72,60.0,0.125,6.0
73,62.0,0.25,6.0
74,57.0,0.375,2.0
75,57.0,0.125,2.0
76,57.0,0.125,2.0
77,60.0,0.125,2.0
78,60.0,0.125,2.0
79,59.0,0.25,6.0
80,57.0,0.25,6.0
81,57.0,0.125,6.0
82,57.0,0.125,6.0
83,57.0,0.125,6.0
84,57.0,0.125,6.0
