,note,length,diatonic root
0,53.0,0.25,4.0
1,53.0,0.25,4.0
2,52.0,0.125,1.0
3,50.0,0.125,1.0
4,48.0,1.125,1.0
5,53.0,0.125,4.0
6,55.0,0.375,4.0
7,50.0,0.125,1.0
8,52.0,0.875,1.0
9,57.0,0.25,4.0
10,57.0,0.25,4.0
11,53.0,0.25,7.0
12,55.0,0.75,4.0
13,60.0,0.125,1.0
14,57.0,0.875,1.0
15,57.0,0.125,2.0
16,57.0,0.125,2.0
17,55.0,0.125,2.0
18,52.0,0.125,1.0
19,50.0,0.125,1.0
20,48.0,0.75,1.0
21,60.0,1.125,4.0
22,52.0,0.25,1.0
23,50.0,0.25,1.0
24,48.0,0.25,1.0
25,50.0,0.875,1.0
26,55.0,0.5,5.0
27,55.0,0.25,5.0
28,52.0,0.125,5.0
29,50.0,0.125,5.0
30,48.0,0.125,5.0
31,48.0,0.25,5.0
32,50.0,0.125,1.0
33,52.0,1.0,1.0
34,55.0,0.25,1.0
35,62.0,0.125,1.0
36,64.0,0.125,1.0
37,62.0,0.25,1.0
38,60.0,0.5,1.0
39,62.0,0.375,4.0
40,62.0,0.625,2.0
41,62.0,0.125,5.0
42,64.0,0.125,1.0
43,62.0,0.25,1.0
44,60.0,0.5,5.0
45,59.0,0.25,4.0
46,57.0,0.25,4.0
47,57.0,0.25,4.0
48,55.0,0.25,1.0
49,52.0,0.25,1.0
50,55.0,0.5,6.0
51,57.0,0.125,4.0
52,60.0,0.125,4.0
53,62.0,0.25,4.0
54,64.0,0.25,6.0
55,60.0,0.5,6.0
56,64.0,0.25,6.0
57,62.0,0.125,1.0
58,64.0,0.125,5.0
59,62.0,0.125,5.0
60,60.0,0.125,5.0
61,60.0,0.375,4.0
62,59.0,0.25,4.0
63,57.0,0.25,4.0
64,57.0,0.25,4.0
65,55.0,0.25,1.0
66,52.0,0.25,1.0
67,55.0,0.5,6.0
68,57.0,0.125,4.0
69,60.0,0.125,4.0
70,62.0,0.25,4.0
71,64.0,0.25,7.0
72,60.0,4.0,7.0
73,53.0,0.125,4.0
74,53.0,0.125,4.0
75,52.0,0.375,1.0
76,50.0,0.125,1.0
77,48.0,1.125,1.0
78,53.0,0.125,4.0
79,53.0,0.125,4.0
80,53.0,0.125,4.0
81,55.0,0.125,4.0
82,52.0,1.125,4.0
83,57.0,0.25,4.0
84,57.0,0.25,4.0
85,53.0,0.25,7.0
86,55.0,0.75,4.0
87,60.0,0.25,1.0
88,55.0,0.125,1.0
89,57.0,0.75,1.0
90,53.0,0.125,2.0
91,55.0,0.125,2.0
92,55.0,0.125,2.0
93,57.0,0.125,2.0
94,55.0,0.125,1.0
95,52.0,0.125,1.0
96,50.0,0.125,1.0
97,48.0,0.5,1.0
98,57.0,0.125,4.0
99,60.0,1.125,4.0
100,52.0,0.25,1.0
101,50.0,0.25,1.0
102,48.0,0.25,1.0
103,50.0,0.875,1.0
104,55.0,0.5,5.0
105,55.0,0.125,5.0
