,note,length,diatonic root
0,55.0,0.125,1.0
1,53.0,0.125,1.0
2,52.0,0.125,1.0
3,53.0,0.125,1.0
4,55.0,1.5,1.0
5,52.0,0.25,1.0
6,50.0,0.125,1.0
7,48.0,0.125,1.0
8,50.0,0.25,1.0
9,52.0,1.125,5.0
10,55.0,0.25,1.0
11,55.0,0.125,1.0
12,55.0,0.125,1.0
13,55.0,0.125,1.0
14,53.0,0.125,1.0
15,55.0,1.5,4.0
16,52.0,0.125,1.0
17,52.0,0.125,1.0
18,48.0,0.125,1.0
19,50.0,0.25,1.0
20,52.0,1.5,5.0
21,52.0,0.125,1.0
22,55.0,0.125,1.0
23,55.0,0.125,1.0
24,55.0,0.125,1.0
25,55.0,0.125,1.0
26,53.0,0.25,4.0
27,55.0,0.25,4.0
28,53.0,0.125,4.0
29,55.0,0.75,4.0
30,52.0,0.125,1.0
31,52.0,0.125,1.0
32,50.0,0.125,1.0
33,48.0,0.125,1.0
34,50.0,0.125,1.0
35,50.0,1.125,5.0
36,55.0,0.125,1.0
37,55.0,0.125,1.0
38,55.0,0.25,1.0
39,55.0,0.125,1.0
40,55.0,0.25,1.0
41,53.0,0.25,4.0
42,55.0,0.25,4.0
43,53.0,0.875,4.0
44,52.0,0.375,1.0
45,43.0,0.125,1.0
46,50.0,0.25,1.0
47,50.0,0.125,5.0
48,52.0,0.25,5.0
49,52.0,0.125,5.0
50,50.0,0.125,5.0
51,50.0,0.125,5.0
52,48.0,1.125,5.0
53,43.0,0.125,5.0
54,52.0,0.125,5.0
55,52.0,0.375,5.0
56,50.0,0.125,5.0
57,48.0,2.25,5.0
58,60.0,0.375,4.0
59,57.0,0.25,4.0
60,55.0,0.5,4.0
61,52.0,0.25,5.0
62,52.0,0.25,5.0
63,50.0,0.125,5.0
64,48.0,2.5,5.0
65,48.0,0.125,1.0
66,55.0,0.125,1.0
67,53.0,0.125,1.0
68,52.0,0.125,1.0
69,53.0,0.125,1.0
70,55.0,1.125,1.0
71,43.0,0.125,1.0
72,52.0,0.25,1.0
73,50.0,0.125,1.0
74,48.0,0.125,1.0
75,50.0,0.25,1.0
76,52.0,1.125,5.0
77,55.0,0.125,1.0
78,55.0,0.125,1.0
79,55.0,0.25,1.0
80,55.0,0.125,1.0
81,55.0,0.25,1.0
82,53.0,0.125,4.0
83,55.0,0.25,4.0
84,53.0,0.125,4.0
85,53.0,0.75,4.0
86,52.0,0.25,1.0
87,52.0,0.25,1.0
88,48.0,0.125,1.0
89,50.0,0.25,1.0
90,50.0,0.125,5.0
91,52.0,1.5,5.0
92,52.0,0.125,1.0
93,55.0,0.125,1.0
94,55.0,0.125,1.0
95,55.0,0.125,1.0
96,55.0,0.125,1.0
97,53.0,0.25,4.0
98,55.0,0.25,4.0
99,53.0,0.75,4.0
100,52.0,0.125,1.0
101,52.0,0.125,1.0
102,52.0,0.25,1.0
103,48.0,0.125,1.0
104,50.0,0.125,1.0
105,50.0,0.25,5.0
106,52.0,1.0,5.0
107,55.0,0.125,1.0
108,55.0,0.125,1.0
109,55.0,0.125,1.0
110,55.0,0.125,1.0
111,55.0,0.25,1.0
112,53.0,1.125,4.0
113,52.0,0.125,1.0
114,52.0,0.125,1.0
115,52.0,0.375,1.0
116,43.0,0.125,1.0
117,50.0,0.125,1.0
118,50.0,0.25,5.0
119,52.0,0.25,5.0
120,52.0,0.125,5.0
121,50.0,0.125,5.0
122,48.0,1.5,5.0
123,43.0,0.125,5.0
124,52.0,0.125,5.0
125,52.0,0.375,5.0
126,50.0,0.125,5.0
127,48.0,2.25,5.0
128,60.0,0.375,4.0
129,57.0,0.25,4.0
130,55.0,0.5,4.0
131,52.0,0.25,5.0
132,52.0,0.25,5.0
133,50.0,0.125,5.0
134,48.0,1.125,5.0
135,50.0,0.25,5.0
136,50.0,0.25,5.0
137,52.0,0.125,5.0
138,53.0,0.125,5.0
139,52.0,0.125,5.0
140,55.0,1.5,5.0
141,53.0,0.125,5.0
142,52.0,0.125,5.0
143,50.0,0.125,5.0
144,48.0,0.375,5.0
145,55.0,0.125,1.0
146,55.0,0.25,1.0
147,55.0,0.25,1.0
148,57.0,0.25,1.0
149,53.0,0.25,4.0
150,55.0,0.25,4.0
151,53.0,0.25,4.0
152,53.0,0.25,4.0
153,52.0,0.25,1.0
154,50.0,0.125,1.0
155,52.0,0.25,1.0
156,48.0,0.125,1.0
157,50.0,1.5,1.0
158,55.0,0.125,1.0
159,55.0,0.25,1.0
160,55.0,0.25,1.0
161,57.0,0.25,1.0
162,53.0,0.25,4.0
163,55.0,0.25,4.0
164,53.0,0.25,4.0
165,53.0,0.25,4.0
166,52.0,0.25,1.0
167,50.0,0.125,1.0
168,52.0,0.25,1.0
169,48.0,0.125,1.0
170,50.0,0.625,1.0
171,52.0,0.125,5.0
172,52.0,0.25,5.0
173,50.0,0.125,5.0
174,48.0,4.0,5.0
175,57.0,0.125,1.0
176,57.0,0.25,1.0
177,55.0,0.125,1.0
178,57.0,0.25,1.0
179,57.0,0.125,4.0
180,57.0,1.125,4.0
181,57.0,0.25,1.0
182,55.0,0.125,1.0
183,55.0,0.125,1.0
184,55.0,0.125,1.0
185,55.0,0.125,1.0
186,55.0,0.25,5.0
187,55.0,1.125,5.0
188,52.0,0.125,1.0
189,55.0,0.125,1.0
190,55.0,0.125,1.0
191,55.0,0.125,1.0
192,53.0,0.125,1.0
193,55.0,0.125,4.0
194,55.0,0.125,4.0
195,57.0,1.0,4.0
196,52.0,0.5,1.0
197,48.0,0.125,1.0
198,50.0,0.125,1.0
199,50.0,0.25,5.0
200,52.0,1.0,5.0
201,52.0,0.125,1.0
202,55.0,0.125,1.0
203,55.0,0.125,1.0
204,55.0,0.125,1.0
205,55.0,0.25,1.0
206,53.0,0.25,4.0
207,55.0,1.0,4.0
208,52.0,0.25,1.0
209,52.0,0.125,1.0
210,48.0,0.125,1.0
211,50.0,0.125,1.0
212,50.0,0.125,1.0
213,50.0,0.25,5.0
214,52.0,0.125,5.0
215,50.0,0.125,5.0
216,50.0,0.125,5.0
217,48.0,0.625,5.0
218,55.0,0.125,1.0
219,55.0,0.125,1.0
220,55.0,0.125,1.0
221,55.0,0.125,1.0
222,55.0,0.125,1.0
223,55.0,0.125,1.0
224,53.0,0.125,4.0
225,55.0,1.0,4.0
226,52.0,0.125,1.0
227,52.0,0.5,1.0
228,48.0,0.125,1.0
229,50.0,0.25,1.0
230,50.0,0.125,5.0
231,52.0,0.25,5.0
232,52.0,0.25,5.0
233,50.0,0.125,5.0
234,48.0,1.125,5.0
235,47.0,0.125,5.0
236,52.0,0.125,5.0
237,52.0,0.375,5.0
238,52.0,2.25,5.0
239,60.0,0.375,4.0
240,57.0,0.25,4.0
241,55.0,0.5,4.0
242,52.0,0.25,5.0
243,52.0,0.25,5.0
244,50.0,0.125,5.0
245,48.0,1.125,5.0
246,50.0,0.25,5.0
247,50.0,0.25,5.0
248,52.0,0.125,5.0
249,53.0,0.125,5.0
250,52.0,0.125,5.0
251,55.0,1.5,5.0
252,53.0,0.125,5.0
253,52.0,0.125,5.0
254,50.0,0.125,5.0
255,48.0,0.375,5.0
256,55.0,0.125,1.0
257,55.0,0.25,1.0
258,55.0,0.25,1.0
259,57.0,0.25,1.0
260,53.0,0.25,4.0
261,55.0,0.25,4.0
262,53.0,0.25,4.0
263,53.0,0.25,4.0
264,52.0,0.25,1.0
265,50.0,0.125,1.0
266,52.0,0.25,1.0
267,48.0,0.125,1.0
268,50.0,1.5,1.0
269,55.0,0.125,1.0
270,55.0,0.25,1.0
271,55.0,0.25,1.0
272,57.0,0.25,1.0
273,53.0,0.25,4.0
274,55.0,0.25,4.0
275,53.0,0.25,4.0
276,53.0,0.25,4.0
277,52.0,0.25,1.0
278,50.0,0.125,1.0
279,52.0,0.25,1.0
280,48.0,0.125,1.0
281,50.0,1.5,1.0
282,55.0,0.125,1.0
283,55.0,0.25,1.0
284,55.0,0.25,1.0
285,57.0,0.25,1.0
286,53.0,0.25,4.0
287,55.0,0.25,4.0
288,53.0,0.25,4.0
289,53.0,0.25,4.0
290,52.0,0.25,1.0
291,50.0,0.125,1.0
292,52.0,0.25,1.0
293,48.0,0.125,1.0
