,note,length,diatonic root
0,55.0,0.25,1.0
1,55.0,0.25,1.0
2,60.0,0.25,1.0
3,57.0,0.25,1.0
4,57.0,0.25,1.0
5,55.0,0.125,1.0
6,57.0,0.125,5.0
7,55.0,0.25,5.0
8,52.0,0.5,5.0
9,52.0,0.375,1.0
10,55.0,0.125,5.0
11,52.0,1.125,5.0
12,55.0,0.25,1.0
13,55.0,0.25,1.0
14,60.0,0.25,5.0
15,57.0,0.25,5.0
16,57.0,0.25,1.0
17,55.0,0.125,1.0
18,57.0,0.125,5.0
19,55.0,0.25,5.0
20,52.0,0.25,5.0
21,52.0,0.25,1.0
22,52.0,0.375,1.0
23,55.0,0.25,5.0
24,50.0,0.125,1.0
25,52.0,1.0,1.0
26,52.0,0.25,1.0
27,52.0,0.25,1.0
28,55.0,0.25,5.0
29,50.0,0.25,5.0
30,52.0,1.0,6.0
31,48.0,0.25,6.0
32,52.0,0.375,6.0
33,50.0,0.25,6.0
34,48.0,1.5,4.0
35,55.0,0.25,5.0
36,60.0,0.25,5.0
37,57.0,0.25,5.0
38,57.0,0.25,1.0
39,55.0,0.125,1.0
40,57.0,0.125,5.0
41,55.0,0.25,5.0
42,52.0,0.25,5.0
43,52.0,0.25,1.0
44,52.0,0.375,1.0
45,55.0,0.125,5.0
46,50.0,0.25,5.0
47,52.0,1.0,1.0
48,48.0,0.25,1.0
49,52.0,0.125,1.0
50,55.0,0.125,1.0
51,52.0,0.125,1.0
52,50.0,0.125,1.0
53,48.0,0.125,1.0
54,48.0,1.125,1.0
55,48.0,0.125,1.0
56,48.0,0.125,1.0
57,48.0,0.125,1.0
58,50.0,0.125,1.0
59,50.0,0.125,4.0
60,50.0,0.25,4.0
61,48.0,1.125,4.0
62,48.0,0.125,1.0
63,48.0,0.125,1.0
64,48.0,0.125,1.0
65,50.0,0.125,1.0
66,52.0,0.125,4.0
67,50.0,0.125,4.0
68,48.0,0.125,4.0
69,48.0,0.25,4.0
70,48.0,0.125,4.0
71,48.0,0.125,4.0
72,50.0,0.125,4.0
73,52.0,0.125,6.0
74,50.0,0.125,6.0
75,48.0,0.125,6.0
76,48.0,0.125,6.0
77,45.0,0.25,6.0
78,48.0,0.125,6.0
79,50.0,0.125,6.0
80,50.0,0.125,5.0
81,50.0,0.125,5.0
82,48.0,0.125,5.0
83,48.0,1.125,5.0
84,55.0,0.25,1.0
85,55.0,0.25,1.0
86,60.0,0.25,1.0
87,57.0,0.25,1.0
88,57.0,0.25,1.0
89,55.0,0.125,1.0
90,57.0,0.125,5.0
91,55.0,0.25,5.0
92,52.0,0.5,5.0
93,52.0,0.375,1.0
94,55.0,0.125,5.0
95,52.0,1.125,5.0
96,55.0,0.25,1.0
97,55.0,0.25,1.0
98,60.0,0.25,5.0
99,57.0,0.25,5.0
100,57.0,0.25,1.0
101,55.0,0.125,1.0
102,57.0,0.125,5.0
103,55.0,0.25,5.0
104,52.0,0.25,5.0
105,52.0,0.25,1.0
106,52.0,0.375,1.0
107,55.0,0.25,5.0
108,50.0,0.125,1.0
109,52.0,1.0,1.0
110,52.0,0.25,1.0
111,52.0,0.25,1.0
112,55.0,0.25,5.0
113,50.0,0.25,5.0
114,52.0,1.0,6.0
115,48.0,0.25,6.0
116,52.0,0.375,6.0
117,50.0,0.25,6.0
118,48.0,1.5,4.0
119,55.0,0.25,5.0
120,60.0,0.25,5.0
121,57.0,0.25,5.0
122,57.0,0.25,1.0
123,55.0,0.125,1.0
124,57.0,0.125,5.0
125,55.0,0.25,5.0
126,52.0,0.25,5.0
127,52.0,0.25,1.0
128,52.0,0.375,1.0
129,55.0,0.125,5.0
130,50.0,0.25,5.0
131,52.0,1.0,1.0
132,48.0,0.125,1.0
