,note,length,diatonic root
0,52.0,0.125,1.0
1,52.0,0.125,1.0
2,55.0,0.25,1.0
3,57.0,0.75,1.0
4,52.0,0.125,1.0
5,55.0,0.125,1.0
6,57.0,0.75,1.0
7,52.0,0.125,1.0
8,55.0,0.125,1.0
9,57.0,0.5,1.0
10,59.0,0.375,1.0
11,55.0,0.125,1.0
12,52.0,0.75,1.0
13,59.0,0.125,1.0
14,60.0,0.125,1.0
15,62.0,0.125,1.0
16,60.0,0.125,1.0
17,60.0,0.125,1.0
18,60.0,0.25,1.0
19,60.0,0.125,1.0
20,59.0,0.125,1.0
21,60.0,0.125,1.0
22,62.0,0.25,1.0
23,60.0,0.125,1.0
24,60.0,0.375,1.0
25,59.0,0.125,1.0
26,60.0,0.125,1.0
27,62.0,0.375,1.0
28,60.0,0.125,4.0
29,57.0,0.25,4.0
30,53.0,0.25,4.0
31,50.0,0.75,4.0
32,57.0,0.125,2.0
33,57.0,0.125,2.0
34,57.0,0.125,2.0
35,55.0,0.25,1.0
36,55.0,0.5,1.0
37,55.0,0.25,1.0
38,57.0,0.125,5.0
39,59.0,0.125,5.0
40,57.0,0.125,5.0
41,55.0,0.75,5.0
42,55.0,0.25,5.0
43,57.0,0.25,5.0
44,59.0,0.25,5.0
45,60.0,0.125,5.0
46,55.0,0.125,1.0
47,57.0,0.125,1.0
48,52.0,0.125,1.0
49,55.0,0.5,1.0
50,55.0,0.125,1.0
51,64.0,0.25,3.0
52,59.0,0.625,3.0
53,60.0,0.125,3.0
54,55.0,0.125,1.0
55,57.0,0.125,1.0
56,52.0,0.125,1.0
57,55.0,0.5,1.0
58,55.0,0.125,1.0
59,64.0,0.25,3.0
60,59.0,0.5,3.0
61,55.0,0.125,3.0
62,53.0,0.75,3.0
63,53.0,0.125,4.0
64,53.0,0.125,4.0
65,52.0,0.75,4.0
66,48.0,0.125,5.0
67,50.0,0.125,5.0
68,50.0,0.125,5.0
69,48.0,0.75,4.0
70,47.0,0.125,4.0
71,48.0,0.125,4.0
72,47.0,0.625,4.0
73,47.0,0.125,5.0
74,48.0,0.125,5.0
75,50.0,0.125,5.0
76,50.0,0.25,5.0
77,48.0,0.75,1.0
78,50.0,0.125,1.0
79,48.0,0.875,1.0
80,50.0,0.125,1.0
81,48.0,0.875,4.0
82,52.0,0.375,4.0
83,53.0,0.125,2.0
84,52.0,0.125,2.0
85,50.0,0.125,2.0
86,48.0,0.125,2.0
87,48.0,0.125,2.0
88,48.0,0.125,2.0
89,55.0,0.875,2.0
90,48.0,0.125,1.0
91,48.0,0.75,1.0
92,48.0,0.125,1.0
93,48.0,0.125,1.0
94,55.0,0.75,1.0
95,48.0,0.125,5.0
96,48.0,0.125,5.0
97,47.0,0.625,5.0
98,47.0,0.125,5.0
99,48.0,0.125,5.0
100,50.0,0.125,5.0
101,50.0,0.25,5.0
102,48.0,1.5,1.0
103,52.0,0.125,1.0
104,52.0,0.125,1.0
105,55.0,0.125,1.0
106,57.0,0.625,1.0
107,48.0,0.125,1.0
108,52.0,0.125,1.0
109,55.0,0.125,1.0
110,57.0,0.75,1.0
111,52.0,0.125,1.0
112,55.0,0.125,1.0
113,57.0,0.5,1.0
114,59.0,0.375,1.0
115,55.0,0.125,1.0
116,55.0,0.125,1.0
117,52.0,0.75,1.0
118,59.0,0.125,1.0
119,59.0,0.125,1.0
120,60.0,0.125,1.0
121,62.0,0.125,1.0
122,60.0,0.25,1.0
123,60.0,0.375,1.0
124,59.0,0.125,1.0
125,60.0,0.125,1.0
126,62.0,0.25,1.0
127,60.0,0.125,1.0
128,60.0,0.5,1.0
129,60.0,0.125,1.0
130,62.0,0.125,1.0
131,60.0,0.25,4.0
132,60.0,0.125,4.0
133,60.0,0.125,4.0
134,57.0,0.25,4.0
135,60.0,0.125,4.0
136,64.0,0.375,4.0
137,65.0,0.125,2.0
138,64.0,0.125,2.0
139,62.0,0.25,2.0
140,60.0,0.125,2.0
141,60.0,0.125,2.0
142,67.0,0.75,2.0
143,60.0,0.125,1.0
144,60.0,0.875,1.0
145,60.0,0.125,1.0
146,60.0,0.125,1.0
147,67.0,0.75,1.0
148,59.0,0.25,5.0
149,59.0,1.0,5.0
150,72.0,0.125,5.0
151,67.0,0.125,1.0
152,69.0,0.125,1.0
153,64.0,0.125,1.0
154,67.0,0.125,1.0
155,64.0,0.125,1.0
156,60.0,0.25,1.0
157,59.0,0.125,1.0
158,64.0,0.25,3.0
159,59.0,0.625,3.0
160,72.0,0.125,3.0
161,67.0,0.125,1.0
162,69.0,0.125,1.0
163,64.0,0.125,1.0
164,67.0,0.125,1.0
165,64.0,0.125,1.0
166,60.0,0.25,1.0
167,59.0,0.125,1.0
168,64.0,0.25,3.0
169,59.0,0.625,3.0
170,60.0,0.75,3.0
171,60.0,0.125,4.0
172,64.0,0.25,4.0
173,59.0,0.75,5.0
174,57.0,0.25,5.0
175,60.0,0.5,4.0
176,60.0,0.25,4.0
177,59.0,0.125,4.0
178,60.0,0.125,4.0
179,59.0,0.75,4.0
180,60.0,0.125,5.0
181,62.0,0.125,5.0
182,62.0,0.125,5.0
183,60.0,0.875,1.0
184,62.0,0.125,1.0
185,60.0,0.875,1.0
186,62.0,0.125,1.0
187,60.0,0.875,4.0
188,64.0,0.375,4.0
189,65.0,0.125,2.0
190,64.0,0.125,2.0
191,62.0,0.25,2.0
192,60.0,0.125,2.0
193,60.0,0.125,2.0
194,64.0,1.0,2.0
195,60.0,1.0,1.0
196,67.0,1.0,1.0
197,60.0,1.0,1.0
198,65.0,0.75,6.0
199,64.0,0.125,4.0
200,65.0,0.125,4.0
201,67.0,0.75,4.0
202,65.0,0.25,5.0
