,note,length,diatonic root
0,60.0,0.25,1.0
1,62.0,0.25,1.0
2,60.0,0.125,1.0
3,55.0,0.125,1.0
4,55.0,0.125,1.0
5,57.0,0.125,1.0
6,57.0,0.125,1.0
7,59.0,0.125,1.0
8,59.0,0.125,1.0
9,60.0,0.125,1.0
10,60.0,0.25,1.0
11,57.0,0.125,4.0
12,65.0,0.375,4.0
13,65.0,0.25,4.0
14,64.0,0.25,4.0
15,64.0,0.125,5.0
16,65.0,0.125,5.0
17,64.0,0.125,5.0
18,62.0,1.0,5.0
19,60.0,0.25,1.0
20,62.0,0.25,1.0
21,60.0,0.125,1.0
22,55.0,0.25,1.0
23,57.0,0.125,1.0
24,57.0,0.125,1.0
25,59.0,0.25,1.0
26,60.0,0.125,1.0
27,60.0,0.125,1.0
28,57.0,0.125,1.0
29,65.0,0.25,4.0
30,65.0,0.5,4.0
31,64.0,0.25,4.0
32,64.0,0.125,5.0
33,65.0,0.125,5.0
34,64.0,0.125,5.0
35,62.0,0.875,5.0
36,57.0,0.25,2.0
37,67.0,0.25,2.0
38,65.0,0.25,2.0
39,64.0,0.25,2.0
40,62.0,0.125,5.0
41,62.0,0.875,5.0
42,57.0,0.25,2.0
43,67.0,0.25,2.0
44,65.0,0.25,2.0
45,64.0,0.25,2.0
46,62.0,0.125,5.0
47,62.0,0.25,5.0
48,62.0,0.125,5.0
49,64.0,0.375,5.0
50,62.0,0.125,1.0
51,60.0,1.125,1.0
52,64.0,0.25,1.0
53,62.0,0.125,1.0
54,60.0,0.125,1.0
55,59.0,0.25,1.0
56,60.0,1.0,2.0
57,59.0,0.125,5.0
58,60.0,0.125,5.0
59,62.0,0.25,5.0
60,59.0,0.125,5.0
61,57.0,0.125,5.0
62,59.0,0.25,5.0
63,57.0,0.125,1.0
64,59.0,0.125,1.0
65,57.0,0.25,1.0
66,55.0,0.875,1.0
67,64.0,0.25,1.0
68,62.0,0.125,1.0
69,60.0,0.125,1.0
70,59.0,0.25,1.0
71,60.0,3.0,2.0
72,60.0,0.25,1.0
73,62.0,0.25,1.0
74,60.0,0.125,1.0
75,55.0,0.125,1.0
76,55.0,0.125,1.0
77,57.0,0.125,1.0
78,57.0,0.125,1.0
79,59.0,0.125,1.0
80,59.0,0.125,1.0
81,60.0,0.125,1.0
82,60.0,0.25,1.0
83,57.0,0.25,4.0
84,65.0,0.25,4.0
85,65.0,0.25,4.0
86,64.0,0.125,4.0
87,64.0,0.125,4.0
88,62.0,0.25,5.0
89,62.0,1.0,5.0
90,60.0,0.25,1.0
91,62.0,0.25,1.0
92,60.0,0.125,1.0
93,55.0,0.25,1.0
94,57.0,0.25,1.0
95,59.0,0.125,1.0
96,59.0,0.125,1.0
97,60.0,0.125,1.0
98,60.0,0.25,1.0
99,57.0,0.25,4.0
100,65.0,0.25,4.0
101,65.0,0.25,4.0
102,64.0,0.125,4.0
103,64.0,0.25,4.0
104,62.0,0.125,5.0
105,62.0,0.875,5.0
106,57.0,0.25,2.0
107,67.0,0.25,2.0
108,65.0,0.25,2.0
109,64.0,0.25,2.0
110,62.0,0.125,5.0
111,62.0,0.875,5.0
112,57.0,0.25,2.0
113,67.0,0.25,2.0
114,65.0,0.25,2.0
115,64.0,0.25,2.0
116,62.0,0.125,5.0
117,62.0,0.25,5.0
118,60.0,0.125,5.0
119,64.0,0.375,5.0
120,62.0,0.125,1.0
121,60.0,1.125,1.0
122,64.0,0.25,1.0
123,62.0,0.125,1.0
