,note,length,diatonic root
0,50.0,0.25,5.0
1,52.0,0.125,5.0
2,52.0,0.125,5.0
3,48.0,0.125,1.0
4,48.0,0.25,1.0
5,55.0,0.125,1.0
6,55.0,0.125,1.0
7,52.0,0.125,6.0
8,52.0,0.625,6.0
9,53.0,0.125,4.0
10,53.0,0.125,4.0
11,52.0,0.125,4.0
12,52.0,0.125,5.0
13,50.0,0.5,5.0
14,48.0,0.125,1.0
15,50.0,0.125,1.0
16,52.0,0.125,1.0
17,52.0,0.125,1.0
18,50.0,0.125,6.0
19,48.0,0.375,6.0
20,53.0,0.125,6.0
21,53.0,0.125,4.0
22,53.0,0.125,4.0
23,52.0,0.125,4.0
24,52.0,0.125,4.0
25,50.0,0.5,5.0
26,48.0,0.125,1.0
27,50.0,0.125,1.0
28,52.0,0.125,1.0
29,52.0,0.125,1.0
30,50.0,0.125,6.0
31,48.0,0.5,6.0
32,53.0,0.125,4.0
33,53.0,0.125,4.0
34,52.0,0.125,4.0
35,50.0,0.375,4.0
36,52.0,0.125,5.0
37,52.0,0.25,5.0
38,50.0,0.125,1.0
39,48.0,1.5,1.0
40,55.0,0.125,5.0
41,57.0,0.125,5.0
42,59.0,0.125,5.0
43,59.0,0.125,5.0
44,55.0,0.125,1.0
45,55.0,0.25,1.0
46,52.0,0.125,1.0
47,55.0,0.125,1.0
48,52.0,0.125,1.0
49,50.0,0.125,6.0
50,48.0,0.5,6.0
51,48.0,0.125,4.0
52,53.0,0.125,4.0
53,53.0,0.125,4.0
54,52.0,0.125,4.0
55,52.0,0.125,4.0
56,50.0,0.625,5.0
57,48.0,0.125,1.0
58,50.0,0.125,1.0
59,52.0,0.125,1.0
60,52.0,0.125,1.0
61,50.0,0.125,6.0
62,48.0,0.25,6.0
63,48.0,0.125,6.0
64,53.0,0.375,6.0
65,52.0,0.125,4.0
66,52.0,0.125,4.0
67,50.0,0.625,5.0
68,48.0,0.125,1.0
69,50.0,0.125,1.0
70,52.0,0.125,1.0
71,52.0,0.125,1.0
72,50.0,0.125,6.0
73,48.0,0.5,6.0
74,53.0,0.125,4.0
75,53.0,0.125,4.0
76,52.0,0.125,4.0
77,50.0,0.375,4.0
78,52.0,0.125,5.0
79,52.0,0.25,5.0
80,50.0,0.125,1.0
81,48.0,1.625,1.0
82,48.0,0.125,1.0
83,53.0,0.375,1.0
84,55.0,0.125,4.0
85,55.0,0.125,4.0
86,53.0,0.5,4.0
87,52.0,0.25,1.0
88,50.0,0.125,1.0
89,52.0,0.125,1.0
90,50.0,0.125,1.0
91,48.0,0.25,1.0
92,48.0,0.125,1.0
93,50.0,0.125,1.0
94,50.0,0.125,4.0
95,50.0,0.125,4.0
96,50.0,0.125,4.0
97,50.0,0.125,4.0
98,48.0,0.125,4.0
99,57.0,0.125,4.0
100,55.0,0.125,4.0
101,57.0,0.125,4.0
102,55.0,0.125,1.0
103,52.0,0.75,1.0
104,48.0,0.125,1.0
105,57.0,0.125,1.0
106,53.0,0.25,4.0
107,57.0,0.125,4.0
108,57.0,0.125,4.0
109,59.0,0.125,4.0
110,57.0,0.625,4.0
111,55.0,0.25,1.0
112,55.0,0.125,1.0
113,55.0,0.125,1.0
114,52.0,0.125,1.0
115,45.0,0.125,1.0
116,45.0,0.125,1.0
117,48.0,0.125,1.0
118,52.0,0.125,1.0
119,52.0,0.125,2.0
120,52.0,0.125,2.0
121,52.0,0.125,2.0
122,52.0,0.125,2.0
123,50.0,0.125,2.0
124,48.0,0.125,2.0
125,52.0,0.125,2.0
126,50.0,0.25,2.0
127,55.0,0.125,5.0
128,57.0,0.125,5.0
129,55.0,0.125,5.0
130,52.0,0.125,5.0
131,57.0,0.25,5.0
132,55.0,0.125,5.0
133,55.0,0.125,5.0
134,52.0,0.125,1.0
135,52.0,0.25,1.0
136,50.0,0.125,1.0
137,52.0,0.125,1.0
138,52.0,0.125,1.0
139,50.0,0.125,6.0
140,48.0,0.5,6.0
141,53.0,0.25,4.0
142,52.0,0.25,4.0
143,52.0,0.125,5.0
144,50.0,0.375,5.0
145,48.0,0.125,1.0
146,50.0,0.125,1.0
147,52.0,0.125,1.0
148,52.0,0.125,1.0
149,50.0,0.125,6.0
150,48.0,0.375,6.0
151,53.0,0.125,6.0
152,53.0,0.125,4.0
153,53.0,0.125,4.0
154,52.0,0.125,4.0
155,52.0,0.125,4.0
156,50.0,0.625,5.0
157,48.0,0.125,1.0
158,50.0,0.125,1.0
159,52.0,0.125,1.0
160,52.0,0.125,1.0
161,50.0,0.125,6.0
162,48.0,0.5,6.0
