,note,length,diatonic root
0,57.0,0.625,6.0
1,59.0,0.125,6.0
2,60.0,0.125,6.0
3,62.0,0.25,6.0
4,60.0,0.25,6.0
5,59.0,0.25,6.0
6,57.0,0.25,6.0
7,52.0,0.125,6.0
8,50.0,0.125,6.0
9,48.0,1.875,1.0
10,57.0,0.625,1.0
11,59.0,0.125,6.0
12,60.0,0.125,6.0
13,62.0,0.25,6.0
14,60.0,0.25,6.0
15,59.0,0.25,6.0
16,57.0,0.25,6.0
17,52.0,0.125,6.0
18,50.0,0.125,6.0
19,48.0,1.875,1.0
20,50.0,0.125,1.0
21,50.0,0.125,1.0
22,52.0,0.125,1.0
23,48.0,0.25,1.0
24,45.0,0.375,1.0
25,48.0,0.125,1.0
26,50.0,0.125,1.0
27,52.0,0.125,1.0
28,55.0,0.25,1.0
29,53.0,0.125,1.0
30,52.0,0.125,1.0
31,53.0,0.25,1.0
32,52.0,0.125,1.0
33,50.0,0.125,1.0
34,52.0,0.25,1.0
35,50.0,0.125,1.0
36,48.0,0.125,1.0
37,50.0,1.125,1.0
38,48.0,0.125,6.0
39,50.0,0.125,6.0
40,52.0,0.125,6.0
41,53.0,0.25,6.0
42,52.0,0.375,1.0
43,50.0,0.125,1.0
44,50.0,0.125,1.0
45,52.0,0.125,1.0
46,48.0,0.25,1.0
47,45.0,0.375,1.0
48,48.0,0.125,1.0
49,50.0,0.125,1.0
50,52.0,0.125,1.0
51,55.0,0.25,1.0
52,53.0,0.125,1.0
53,52.0,0.125,1.0
54,53.0,0.25,1.0
55,52.0,0.125,1.0
56,50.0,0.125,1.0
57,52.0,0.25,1.0
58,50.0,0.125,1.0
59,48.0,0.125,1.0
60,50.0,1.125,1.0
61,48.0,0.125,6.0
62,50.0,0.125,6.0
63,52.0,0.125,6.0
64,53.0,0.25,6.0
65,52.0,0.375,1.0
66,50.0,0.25,1.0
67,48.0,0.125,1.0
68,50.0,0.375,1.0
69,52.0,0.125,1.0
70,48.0,0.25,1.0
71,48.0,0.625,4.0
72,48.0,0.125,4.0
73,60.0,0.375,4.0
74,52.0,0.125,6.0
75,50.0,0.25,6.0
76,48.0,0.25,6.0
77,45.0,1.125,6.0
78,50.0,0.25,1.0
79,48.0,0.125,1.0
80,50.0,0.375,1.0
81,52.0,0.125,1.0
82,48.0,0.25,1.0
83,48.0,0.625,4.0
84,48.0,0.125,4.0
85,62.0,0.375,4.0
86,57.0,0.125,6.0
87,52.0,0.25,6.0
88,50.0,0.25,6.0
89,48.0,1.125,6.0
90,48.0,0.125,1.0
91,50.0,0.125,1.0
92,52.0,0.125,1.0
93,48.0,0.25,1.0
94,45.0,0.375,1.0
95,48.0,0.125,1.0
96,50.0,0.125,1.0
97,52.0,0.125,1.0
98,55.0,0.25,1.0
99,53.0,0.125,1.0
100,52.0,0.125,1.0
101,53.0,0.25,1.0
102,52.0,0.125,1.0
103,50.0,0.125,1.0
104,52.0,0.25,1.0
105,50.0,0.125,1.0
106,48.0,0.125,1.0
107,50.0,1.0,1.0
108,48.0,0.25,6.0
109,50.0,0.125,6.0
110,52.0,0.25,6.0
111,53.0,0.125,6.0
112,52.0,0.375,1.0
113,50.0,0.125,1.0
114,50.0,0.125,1.0
115,52.0,0.125,1.0
116,48.0,0.25,1.0
117,45.0,0.375,1.0
118,48.0,0.125,1.0
119,50.0,0.125,1.0
120,52.0,0.125,1.0
121,55.0,0.25,1.0
122,53.0,0.125,1.0
123,52.0,0.125,1.0
124,53.0,0.25,1.0
125,52.0,0.125,1.0
126,50.0,0.125,1.0
127,52.0,0.25,1.0
128,50.0,0.125,1.0
129,48.0,0.125,1.0
130,50.0,1.125,1.0
131,48.0,0.125,6.0
132,50.0,0.125,6.0
133,52.0,0.125,6.0
134,53.0,0.25,6.0
135,52.0,0.375,1.0
136,50.0,0.25,1.0
137,48.0,0.125,1.0
138,50.0,0.375,1.0
139,52.0,0.125,1.0
140,48.0,0.25,1.0
141,48.0,0.625,4.0
142,48.0,0.125,4.0
143,60.0,0.375,4.0
144,52.0,0.125,6.0
145,50.0,0.25,6.0
146,48.0,0.25,6.0
147,45.0,1.125,6.0
148,50.0,0.25,1.0
149,48.0,0.125,1.0
150,50.0,0.375,1.0
151,52.0,0.125,1.0
152,48.0,0.25,1.0
153,48.0,0.625,4.0
154,48.0,0.125,4.0
155,62.0,0.375,4.0
156,57.0,0.125,6.0
157,52.0,0.25,6.0
158,50.0,0.25,6.0
159,48.0,1.125,6.0
160,57.0,0.625,1.0
161,59.0,0.125,6.0
162,60.0,0.125,6.0
163,62.0,0.25,6.0
164,60.0,0.25,6.0
165,59.0,0.25,6.0
166,57.0,0.25,6.0
167,52.0,0.125,6.0
168,50.0,0.125,6.0
169,48.0,1.875,1.0
170,57.0,0.625,1.0
171,59.0,0.125,6.0
172,60.0,0.125,6.0
173,62.0,0.25,6.0
174,60.0,0.25,6.0
175,59.0,0.25,6.0
176,57.0,0.25,6.0
177,52.0,0.125,6.0
178,50.0,0.125,6.0
179,48.0,1.875,1.0
180,48.0,0.125,1.0
181,50.0,0.125,1.0
182,52.0,0.125,1.0
183,48.0,0.25,1.0
184,45.0,0.375,1.0
185,48.0,0.125,1.0
186,50.0,0.125,1.0
187,52.0,0.125,1.0
188,55.0,0.25,1.0
189,53.0,0.125,1.0
190,52.0,0.125,1.0
191,53.0,0.25,1.0
192,52.0,0.125,1.0
193,50.0,0.125,1.0
194,52.0,0.25,1.0
195,50.0,0.125,1.0
196,48.0,0.125,1.0
197,50.0,1.125,1.0
198,48.0,0.125,6.0
199,50.0,0.125,6.0
200,52.0,0.125,6.0
201,53.0,0.25,6.0
202,52.0,0.375,1.0
203,50.0,0.125,1.0
204,50.0,0.125,1.0
205,52.0,0.125,1.0
206,48.0,0.25,1.0
207,45.0,0.375,1.0
208,48.0,0.125,1.0
209,50.0,0.125,1.0
210,52.0,0.125,1.0
211,55.0,0.25,1.0
212,53.0,0.125,1.0
213,52.0,0.125,1.0
214,53.0,0.25,1.0
215,52.0,0.125,1.0
216,50.0,0.125,1.0
217,52.0,0.25,1.0
218,50.0,0.125,1.0
219,48.0,0.125,1.0
220,50.0,1.125,1.0
221,48.0,0.125,6.0
222,50.0,0.125,6.0
223,52.0,0.125,6.0
224,53.0,0.25,6.0
225,52.0,0.375,1.0
226,50.0,0.25,1.0
227,48.0,0.125,1.0
228,50.0,0.375,1.0
229,52.0,0.125,1.0
230,48.0,0.25,1.0
231,48.0,0.625,4.0
232,48.0,0.125,4.0
233,60.0,0.375,4.0
234,52.0,0.125,6.0
235,50.0,0.25,6.0
236,48.0,0.25,6.0
237,45.0,1.125,6.0
238,50.0,0.25,1.0
239,48.0,0.125,1.0
240,50.0,0.375,1.0
241,52.0,0.125,1.0
242,48.0,0.25,1.0
243,48.0,0.625,4.0
244,48.0,0.125,4.0
245,62.0,0.375,4.0
246,57.0,0.125,6.0
247,52.0,0.25,6.0
248,50.0,0.25,6.0
