,note,length,diatonic root
0,60.0,0.125,1.0
1,60.0,0.125,1.0
2,60.0,0.25,1.0
3,57.0,0.125,1.0
4,57.0,0.125,1.0
5,57.0,0.25,1.0
6,57.0,0.125,1.0
7,57.0,0.125,1.0
8,57.0,0.125,1.0
9,55.0,0.25,1.0
10,57.0,0.375,1.0
11,57.0,0.125,1.0
12,57.0,0.125,1.0
13,57.0,0.125,1.0
14,52.0,0.125,1.0
15,55.0,0.125,1.0
16,57.0,0.125,1.0
17,55.0,0.125,1.0
18,57.0,1.0,1.0
19,52.0,0.125,1.0
20,60.0,0.125,1.0
21,60.0,0.125,1.0
22,60.0,0.25,1.0
23,55.0,0.125,1.0
24,57.0,0.125,1.0
25,57.0,0.25,1.0
26,57.0,0.125,1.0
27,57.0,0.125,1.0
28,57.0,0.125,1.0
29,55.0,0.25,1.0
30,57.0,0.375,1.0
31,57.0,0.125,1.0
32,57.0,0.125,1.0
33,57.0,0.125,1.0
34,52.0,0.125,1.0
35,55.0,0.125,1.0
36,57.0,0.125,1.0
37,55.0,0.125,1.0
38,57.0,1.5,1.0
39,62.0,0.125,2.0
40,62.0,0.25,2.0
41,62.0,0.25,2.0
42,62.0,0.25,2.0
43,65.0,0.125,2.0
44,64.0,0.125,2.0
45,62.0,0.875,2.0
46,65.0,0.125,2.0
47,64.0,0.125,2.0
48,62.0,0.125,2.0
49,65.0,0.25,2.0
50,62.0,0.25,2.0
51,62.0,0.25,2.0
52,57.0,0.375,2.0
53,62.0,0.5,2.0
54,60.0,0.375,2.0
55,62.0,1.125,2.0
56,62.0,0.375,2.0
57,60.0,0.125,2.0
58,60.0,0.375,2.0
59,64.0,0.125,2.0
60,60.0,1.0,2.0
61,59.0,0.375,1.0
62,60.0,0.25,2.0
63,60.0,0.25,2.0
64,60.0,1.0,2.0
65,52.0,0.125,1.0
66,55.0,0.125,1.0
67,57.0,0.125,1.0
68,57.0,0.125,1.0
69,52.0,0.125,1.0
70,55.0,0.125,1.0
71,57.0,0.125,1.0
72,57.0,4.0,1.0
73,60.0,0.125,1.0
74,60.0,0.125,1.0
75,60.0,0.25,1.0
76,55.0,0.125,1.0
77,57.0,0.125,1.0
78,57.0,0.25,1.0
79,60.0,0.125,1.0
80,60.0,0.125,1.0
81,60.0,0.125,1.0
82,60.0,0.25,1.0
83,60.0,0.125,1.0
84,59.0,0.125,1.0
85,57.0,0.25,1.0
86,57.0,0.125,1.0
87,57.0,0.125,1.0
88,57.0,0.125,1.0
89,52.0,0.125,1.0
90,55.0,0.125,1.0
91,57.0,0.125,1.0
92,55.0,0.125,1.0
93,57.0,1.125,1.0
94,60.0,0.125,1.0
95,60.0,0.125,1.0
96,60.0,0.25,1.0
97,60.0,0.125,1.0
98,60.0,0.125,1.0
99,60.0,0.25,1.0
100,60.0,0.125,1.0
101,60.0,0.125,1.0
102,60.0,0.125,1.0
103,57.0,0.25,1.0
104,57.0,0.375,1.0
105,60.0,0.125,1.0
106,60.0,0.125,1.0
107,60.0,0.125,1.0
108,60.0,0.125,1.0
109,60.0,0.125,1.0
110,59.0,0.125,1.0
111,57.0,0.75,1.0
112,60.0,0.875,1.0
113,62.0,0.125,2.0
114,62.0,0.25,2.0
115,62.0,0.25,2.0
116,62.0,0.25,2.0
117,65.0,0.125,2.0
118,64.0,0.125,2.0
119,62.0,0.875,2.0
120,65.0,0.125,2.0
121,64.0,0.125,2.0
122,62.0,0.125,2.0
123,65.0,0.25,2.0
124,62.0,0.25,2.0
125,62.0,0.25,2.0
126,57.0,0.375,2.0
127,62.0,0.5,2.0
128,60.0,0.375,2.0
129,62.0,1.125,2.0
130,62.0,0.375,2.0
131,60.0,0.125,2.0
132,60.0,0.375,2.0
133,64.0,0.125,2.0
134,64.0,0.125,2.0
135,57.0,0.875,1.0
136,59.0,0.375,1.0
137,60.0,0.25,2.0
138,60.0,0.25,2.0
139,60.0,1.0,2.0
140,52.0,0.125,1.0
141,57.0,0.125,1.0
142,57.0,0.125,1.0
143,57.0,0.125,1.0
144,52.0,0.125,1.0
145,55.0,0.125,1.0
146,57.0,0.125,1.0
147,57.0,4.0,1.0
148,47.0,0.25,1.0
149,50.0,0.125,2.0
150,50.0,0.125,2.0
151,50.0,0.125,2.0
152,50.0,0.25,2.0
153,48.0,0.25,2.0
154,50.0,0.125,2.0
155,50.0,0.125,2.0
156,50.0,0.75,2.0
157,50.0,0.125,2.0
158,50.0,0.125,2.0
159,50.0,0.125,2.0
160,50.0,0.125,2.0
161,50.0,0.25,2.0
162,48.0,0.125,2.0
163,50.0,0.125,2.0
164,50.0,1.0,2.0
165,62.0,0.125,2.0
166,62.0,0.125,2.0
167,62.0,0.125,2.0
168,62.0,0.25,2.0
169,62.0,0.125,2.0
170,60.0,0.25,2.0
171,62.0,0.25,2.0
172,62.0,0.875,2.0
173,62.0,0.125,2.0
174,62.0,0.125,2.0
175,62.0,0.125,2.0
176,62.0,0.25,2.0
177,62.0,0.25,2.0
178,64.0,0.25,2.0
179,65.0,0.625,2.0
180,62.0,0.5,2.0
181,60.0,0.375,2.0
182,62.0,1.125,2.0
183,62.0,0.375,2.0
184,60.0,0.125,2.0
185,60.0,0.375,2.0
186,64.0,0.125,2.0
187,60.0,1.0,2.0
188,59.0,0.375,1.0
189,60.0,0.25,2.0
190,60.0,0.25,2.0
191,60.0,1.125,2.0
192,59.0,0.5,1.0
193,60.0,0.375,2.0
194,62.0,1.125,2.0
195,62.0,0.375,2.0
196,60.0,0.125,2.0
197,60.0,0.375,2.0
198,64.0,0.125,2.0
199,64.0,0.125,2.0
200,57.0,0.875,1.0
201,59.0,0.625,1.0
202,64.0,0.25,2.0
203,60.0,1.0,2.0
204,52.0,0.125,1.0
205,57.0,0.125,1.0
206,57.0,0.125,1.0
207,57.0,0.125,1.0
208,52.0,0.125,1.0
209,55.0,0.125,1.0
210,57.0,0.125,1.0
211,57.0,3.0,1.0
212,57.0,1.75,1.0
213,60.0,0.125,1.0
214,57.0,0.125,1.0
215,60.0,0.125,1.0
216,59.0,0.125,1.0
217,60.0,0.375,1.0
218,55.0,2.5,1.0
219,59.0,0.125,1.0
220,57.0,0.125,1.0
221,55.0,0.375,1.0
222,57.0,4.0,1.0
223,59.0,0.375,1.0
224,57.0,0.25,1.0
225,57.0,0.25,1.0
226,55.0,0.125,1.0
227,57.0,3.0,1.0
228,59.0,0.375,1.0
229,57.0,0.25,1.0
230,57.0,0.25,1.0
231,55.0,0.125,1.0
232,57.0,0.875,1.0
