,note,length,diatonic root
0,40.0,0.125,1.0
1,43.0,0.125,1.0
2,40.0,0.125,1.0
3,43.0,0.5,1.0
4,45.0,0.125,1.0
5,45.0,0.125,1.0
6,48.0,0.125,4.0
7,45.0,0.125,4.0
8,48.0,0.625,1.0
9,50.0,0.125,1.0
10,52.0,0.25,1.0
11,50.0,0.125,1.0
12,52.0,0.125,1.0
13,50.0,0.125,1.0
14,48.0,0.25,1.0
15,45.0,0.125,1.0
16,48.0,0.25,4.0
17,36.0,0.5,1.0
18,36.0,0.125,1.0
19,40.0,0.125,1.0
20,43.0,0.25,1.0
21,36.0,0.125,1.0
22,40.0,0.125,1.0
23,43.0,0.25,1.0
24,43.0,0.125,1.0
25,45.0,0.125,1.0
26,48.0,0.125,4.0
27,45.0,0.125,4.0
28,48.0,0.625,1.0
29,52.0,0.25,1.0
30,52.0,0.25,1.0
31,52.0,0.125,1.0
32,50.0,0.125,1.0
33,48.0,0.25,1.0
34,45.0,0.125,1.0
35,48.0,0.25,4.0
36,48.0,0.625,1.0
37,62.0,0.5,1.0
38,60.0,0.375,1.0
39,57.0,0.125,1.0
40,55.0,0.125,1.0
41,57.0,0.125,1.0
42,55.0,0.125,4.0
43,57.0,0.25,4.0
44,57.0,0.125,1.0
45,60.0,0.125,1.0
46,57.0,0.125,1.0
47,57.0,0.125,1.0
48,52.0,0.125,1.0
49,50.0,0.125,1.0
50,48.0,0.5,1.0
51,50.0,0.25,1.0
52,50.0,0.125,1.0
53,48.0,1.0,4.0
54,55.0,0.25,1.0
55,52.0,0.125,1.0
56,57.0,0.125,1.0
57,55.0,0.25,1.0
58,52.0,0.125,1.0
59,53.0,0.125,1.0
60,55.0,0.125,1.0
61,55.0,0.125,4.0
62,52.0,0.125,4.0
63,57.0,0.125,1.0
64,55.0,0.25,1.0
65,52.0,0.125,1.0
66,53.0,0.125,1.0
67,55.0,0.125,1.0
68,55.0,0.125,1.0
69,52.0,0.125,1.0
70,57.0,0.125,1.0
71,55.0,0.25,1.0
72,52.0,0.25,1.0
