,note,length,diatonic root
0,55.0,0.125,1.0
1,57.0,0.125,1.0
2,60.0,0.125,1.0
3,57.0,0.125,1.0
4,60.0,0.125,1.0
5,62.0,0.5,1.0
6,60.0,0.875,1.0
7,64.0,0.125,6.0
8,62.0,0.125,6.0
9,60.0,0.125,6.0
10,57.0,0.125,3.0
11,60.0,0.125,3.0
12,57.0,0.5,3.0
13,55.0,0.875,4.0
14,55.0,0.125,1.0
15,57.0,0.125,1.0
16,60.0,0.125,1.0
17,57.0,0.125,1.0
18,60.0,0.125,1.0
19,62.0,0.5,1.0
20,60.0,0.875,1.0
21,64.0,0.125,6.0
22,62.0,0.125,6.0
23,60.0,0.125,6.0
24,57.0,0.125,3.0
25,60.0,0.125,3.0
26,57.0,0.5,3.0
27,55.0,1.125,4.0
28,52.0,0.25,2.0
29,48.0,0.5,2.0
30,45.0,0.25,5.0
31,45.0,0.125,5.0
32,43.0,0.125,5.0
33,45.0,0.875,5.0
34,45.0,0.125,2.0
35,45.0,0.125,2.0
36,45.0,0.125,2.0
37,45.0,0.125,2.0
38,45.0,0.125,2.0
39,45.0,0.125,5.0
40,40.0,0.125,5.0
41,43.0,0.375,5.0
42,45.0,0.125,5.0
43,48.0,0.25,5.0
44,50.0,0.5,5.0
45,48.0,0.125,2.0
46,52.0,0.125,2.0
47,55.0,0.25,2.0
48,50.0,0.125,2.0
49,50.0,0.125,5.0
50,50.0,0.125,5.0
51,48.0,0.125,5.0
52,50.0,0.25,5.0
53,45.0,0.125,5.0
54,45.0,0.125,5.0
55,43.0,0.125,5.0
56,45.0,0.625,5.0
57,45.0,0.125,2.0
58,45.0,0.125,2.0
59,45.0,0.125,2.0
60,45.0,0.125,2.0
61,45.0,0.125,2.0
62,45.0,0.25,2.0
63,40.0,0.125,5.0
64,43.0,1.5,5.0
65,50.0,0.25,2.0
66,50.0,0.375,2.0
67,48.0,0.5,5.0
68,45.0,0.125,5.0
69,48.0,0.25,5.0
70,45.0,0.125,5.0
71,50.0,0.75,5.0
72,45.0,0.125,2.0
73,45.0,0.125,2.0
74,45.0,0.125,2.0
75,45.0,0.125,2.0
76,43.0,0.125,2.0
77,45.0,1.5,2.0
78,52.0,0.25,2.0
79,50.0,0.25,2.0
80,48.0,0.5,2.0
81,43.0,0.125,5.0
82,45.0,0.25,5.0
83,40.0,0.125,5.0
84,43.0,0.25,5.0
85,43.0,0.5,5.0
86,45.0,0.25,2.0
87,45.0,0.125,2.0
88,43.0,0.125,2.0
89,45.0,0.125,2.0
90,43.0,0.125,2.0
91,45.0,0.375,2.0
92,45.0,0.125,5.0
93,43.0,0.125,5.0
94,45.0,0.125,5.0
95,48.0,0.125,5.0
96,48.0,0.125,5.0
97,38.0,0.375,5.0
98,57.0,0.125,2.0
99,57.0,0.125,2.0
100,60.0,0.125,2.0
101,57.0,0.125,2.0
102,60.0,0.125,2.0
103,64.0,0.5,2.0
104,62.0,0.875,5.0
105,64.0,0.125,2.0
106,62.0,0.125,2.0
107,60.0,0.125,2.0
108,57.0,0.125,2.0
109,60.0,0.125,2.0
110,64.0,0.375,2.0
111,62.0,0.125,1.0
112,60.0,0.125,1.0
113,57.0,4.0,1.0
114,50.0,0.125,2.0
115,50.0,0.125,2.0
116,50.0,0.125,2.0
117,50.0,0.125,2.0
118,52.0,0.125,2.0
119,48.0,0.125,2.0
120,50.0,0.125,2.0
121,48.0,0.375,5.0
122,45.0,0.125,5.0
123,48.0,0.125,5.0
124,48.0,0.125,5.0
125,50.0,0.75,5.0
126,38.0,0.125,2.0
127,41.0,0.125,2.0
128,41.0,0.125,2.0
129,45.0,0.25,2.0
130,45.0,0.125,2.0
131,43.0,0.125,5.0
132,45.0,0.125,5.0
133,45.0,0.125,5.0
134,43.0,0.125,5.0
135,45.0,0.25,5.0
136,40.0,0.125,5.0
137,38.0,0.125,5.0
138,36.0,0.125,5.0
139,33.0,0.625,5.0
140,50.0,0.125,2.0
141,50.0,0.125,2.0
142,48.0,0.25,2.0
143,50.0,0.25,5.0
144,45.0,0.375,5.0
145,40.0,0.125,5.0
146,43.0,0.75,5.0
147,45.0,0.125,2.0
148,45.0,0.125,2.0
149,43.0,0.125,2.0
150,45.0,0.125,2.0
151,43.0,0.125,2.0
152,45.0,0.125,2.0
153,45.0,0.125,5.0
154,45.0,0.75,5.0
155,45.0,0.125,5.0
156,50.0,0.125,5.0
157,50.0,0.25,2.0
158,50.0,0.125,2.0
159,48.0,0.125,2.0
160,45.0,0.375,2.0
161,45.0,0.125,2.0
162,50.0,0.25,2.0
163,50.0,0.125,2.0
164,50.0,0.125,2.0
165,48.0,0.25,5.0
166,45.0,0.125,5.0
167,43.0,0.125,5.0
168,45.0,0.125,5.0
169,40.0,0.125,5.0
170,43.0,0.625,5.0
171,45.0,0.125,2.0
172,50.0,0.25,2.0
173,48.0,0.25,2.0
174,45.0,0.125,2.0
175,52.0,0.25,2.0
176,50.0,0.25,2.0
177,48.0,0.125,5.0
178,45.0,0.125,5.0
179,43.0,0.125,5.0
180,45.0,0.25,5.0
181,40.0,0.125,5.0
182,43.0,0.125,5.0
183,45.0,0.5,5.0
184,45.0,0.125,2.0
185,50.0,0.25,2.0
186,50.0,0.25,2.0
187,50.0,0.125,2.0
188,50.0,0.125,5.0
189,48.0,0.375,5.0
