,note,length,diatonic root
0,45.0,0.125,5.0
1,45.0,0.125,4.0
2,45.0,0.125,4.0
3,45.0,0.125,4.0
4,43.0,0.125,4.0
5,43.0,0.5,4.0
6,48.0,0.125,1.0
7,50.0,0.125,6.0
8,50.0,0.125,6.0
9,50.0,0.125,6.0
10,50.0,0.125,6.0
11,48.0,0.125,6.0
12,47.0,0.125,6.0
13,47.0,0.125,5.0
14,48.0,0.375,5.0
15,45.0,0.125,5.0
16,45.0,0.125,4.0
17,45.0,0.125,4.0
18,45.0,0.125,4.0
19,43.0,0.125,4.0
20,43.0,0.625,4.0
21,48.0,0.125,1.0
22,50.0,0.125,6.0
23,50.0,0.125,6.0
24,50.0,0.125,6.0
25,50.0,0.125,6.0
26,50.0,0.125,6.0
27,52.0,0.125,6.0
28,47.0,0.125,6.0
29,48.0,0.125,5.0
30,48.0,0.125,5.0
31,50.0,0.125,5.0
32,52.0,0.125,5.0
33,52.0,0.125,4.0
34,53.0,0.125,4.0
35,52.0,0.125,4.0
36,50.0,0.125,4.0
37,48.0,0.5,4.0
38,48.0,0.125,1.0
39,48.0,0.125,6.0
40,50.0,0.125,6.0
41,50.0,0.125,6.0
42,50.0,0.125,6.0
43,48.0,0.125,6.0
44,47.0,0.125,6.0
45,47.0,0.125,5.0
46,48.0,0.125,5.0
47,48.0,0.25,5.0
48,52.0,0.125,5.0
49,52.0,0.125,4.0
50,55.0,0.125,4.0
51,52.0,0.125,4.0
52,50.0,0.125,4.0
53,48.0,0.5,4.0
54,52.0,0.125,1.0
55,55.0,0.125,6.0
56,55.0,0.125,6.0
57,52.0,0.125,6.0
58,52.0,0.125,6.0
59,55.0,0.125,6.0
60,52.0,0.125,5.0
61,50.0,0.125,5.0
62,48.0,4.0,5.0
63,45.0,0.125,5.0
64,45.0,0.125,4.0
65,45.0,0.125,4.0
66,45.0,0.125,4.0
67,43.0,0.125,4.0
68,43.0,0.5,4.0
69,48.0,0.125,1.0
70,50.0,0.125,6.0
71,50.0,0.125,6.0
72,50.0,0.25,6.0
73,48.0,0.125,6.0
74,47.0,0.125,6.0
75,47.0,0.125,5.0
76,48.0,0.125,5.0
77,48.0,0.125,5.0
78,48.0,0.125,5.0
79,48.0,0.125,5.0
80,48.0,0.125,5.0
81,45.0,0.125,5.0
82,45.0,0.125,4.0
83,48.0,0.125,4.0
84,48.0,0.125,4.0
85,45.0,0.125,4.0
86,45.0,0.125,4.0
87,43.0,0.125,4.0
88,43.0,0.375,1.0
89,48.0,0.125,1.0
90,50.0,0.125,6.0
91,50.0,0.125,6.0
92,50.0,0.125,6.0
93,50.0,0.125,6.0
94,48.0,0.125,6.0
95,47.0,0.125,6.0
96,47.0,0.125,5.0
97,48.0,0.125,5.0
98,48.0,0.125,5.0
99,48.0,0.125,5.0
100,48.0,0.25,5.0
101,52.0,0.125,5.0
102,52.0,0.125,4.0
103,52.0,0.125,4.0
104,50.0,0.125,4.0
105,48.0,0.125,4.0
106,48.0,0.375,4.0
107,43.0,0.125,1.0
108,48.0,0.125,1.0
109,50.0,0.125,6.0
110,50.0,0.125,6.0
111,50.0,0.125,6.0
112,50.0,0.125,6.0
113,48.0,0.125,6.0
114,47.0,0.125,6.0
115,48.0,0.125,5.0
116,48.0,0.125,5.0
117,48.0,0.125,5.0
118,48.0,0.25,5.0
119,52.0,0.125,5.0
120,52.0,0.125,4.0
121,52.0,0.125,4.0
122,50.0,0.125,4.0
123,50.0,0.125,4.0
124,50.0,0.125,4.0
125,48.0,0.125,1.0
126,48.0,0.25,1.0
127,52.0,0.125,1.0
128,52.0,0.125,6.0
129,55.0,0.125,6.0
130,52.0,0.125,6.0
131,52.0,0.125,6.0
132,52.0,0.125,6.0
133,55.0,0.125,6.0
134,52.0,0.125,5.0
135,52.0,0.125,5.0
136,52.0,0.125,5.0
137,50.0,0.125,5.0
138,48.0,4.0,5.0
139,43.0,0.125,5.0
140,45.0,0.125,5.0
141,45.0,0.125,4.0
142,45.0,0.125,4.0
143,45.0,0.125,4.0
144,45.0,0.125,4.0
145,45.0,0.125,4.0
146,43.0,0.375,1.0
147,43.0,0.125,1.0
148,48.0,0.125,1.0
149,50.0,0.125,6.0
150,50.0,0.125,6.0
151,50.0,0.125,6.0
152,50.0,0.125,6.0
153,50.0,0.125,6.0
154,48.0,0.125,6.0
155,47.0,0.125,6.0
156,48.0,0.125,5.0
157,48.0,0.125,5.0
158,45.0,0.125,5.0
159,48.0,0.125,5.0
160,45.0,0.125,5.0
161,45.0,0.125,4.0
162,45.0,0.125,4.0
163,45.0,0.125,4.0
164,48.0,0.25,4.0
