,note,length,diatonic root
0,48.0,0.125,5.0
1,50.0,0.125,5.0
2,52.0,0.375,5.0
3,48.0,0.625,1.0
4,48.0,0.25,4.0
5,48.0,0.125,4.0
6,50.0,0.125,1.0
7,52.0,0.375,5.0
8,52.0,0.125,5.0
9,52.0,0.375,5.0
10,48.0,0.5,1.0
11,48.0,0.125,4.0
12,48.0,0.125,4.0
13,48.0,0.125,4.0
14,48.0,0.125,4.0
15,48.0,0.125,4.0
16,50.0,0.5,1.0
17,48.0,0.125,5.0
18,50.0,0.125,5.0
19,52.0,0.375,5.0
20,48.0,0.625,1.0
21,36.0,0.125,4.0
22,48.0,0.125,4.0
23,48.0,0.125,4.0
24,48.0,0.125,4.0
25,50.0,0.125,1.0
26,52.0,0.375,5.0
27,52.0,0.125,5.0
28,52.0,0.375,5.0
29,48.0,0.5,1.0
30,48.0,0.125,4.0
31,48.0,0.125,4.0
32,48.0,0.125,4.0
33,48.0,0.25,4.0
34,50.0,2.5,1.0
35,48.0,0.125,5.0
36,50.0,0.125,5.0
37,52.0,0.375,5.0
38,48.0,0.625,1.0
39,48.0,0.125,4.0
40,48.0,0.125,4.0
41,48.0,0.125,4.0
42,48.0,0.125,4.0
43,50.0,0.125,1.0
44,52.0,0.375,5.0
45,52.0,0.125,5.0
46,52.0,0.125,5.0
47,52.0,0.375,5.0
48,48.0,0.625,1.0
49,48.0,0.125,4.0
50,48.0,0.125,4.0
51,48.0,0.125,4.0
52,48.0,0.125,4.0
53,50.0,0.5,1.0
54,48.0,0.125,5.0
55,50.0,0.125,5.0
56,52.0,0.375,5.0
57,48.0,0.5,1.0
58,36.0,0.125,4.0
59,36.0,0.125,4.0
60,48.0,0.125,4.0
61,48.0,0.125,4.0
62,48.0,0.125,4.0
63,50.0,0.125,1.0
64,52.0,0.375,5.0
65,52.0,0.125,5.0
66,52.0,0.125,5.0
67,52.0,0.375,5.0
68,48.0,0.5,1.0
69,36.0,0.125,4.0
70,48.0,0.125,4.0
71,48.0,0.125,4.0
