,note,length,diatonic root
0,62.0,0.125,1.0
1,62.0,0.25,1.0
2,62.0,0.125,1.0
3,62.0,0.25,1.0
4,60.0,0.25,1.0
5,57.0,1.125,1.0
6,62.0,0.25,1.0
7,62.0,0.25,1.0
8,60.0,0.125,1.0
9,60.0,0.875,1.0
10,72.0,0.375,1.0
11,62.0,0.125,1.0
12,62.0,0.125,1.0
13,62.0,0.125,1.0
14,62.0,0.125,1.0
15,62.0,0.125,1.0
16,60.0,0.125,1.0
17,60.0,1.125,4.0
18,62.0,0.25,4.0
19,62.0,0.25,4.0
20,57.0,0.125,4.0
21,60.0,0.25,4.0
22,57.0,1.0,1.0
23,62.0,0.125,1.0
24,62.0,0.125,1.0
25,62.0,0.125,1.0
26,62.0,0.125,1.0
27,62.0,0.125,1.0
28,60.0,0.125,1.0
29,62.0,0.25,1.0
30,62.0,0.125,5.0
31,60.0,0.75,5.0
32,57.0,0.25,4.0
33,60.0,0.125,4.0
34,62.0,0.125,4.0
35,62.0,0.25,4.0
36,60.0,0.125,4.0
37,60.0,0.125,4.0
38,57.0,0.125,1.0
39,55.0,1.625,1.0
40,62.0,0.125,1.0
41,60.0,0.125,1.0
42,62.0,0.125,1.0
43,62.0,0.125,1.0
44,60.0,0.125,1.0
45,57.0,0.125,1.0
46,60.0,0.125,1.0
47,60.0,0.125,1.0
48,57.0,0.125,1.0
49,55.0,0.125,1.0
50,60.0,0.125,1.0
51,60.0,0.125,1.0
52,60.0,0.125,1.0
53,57.0,0.125,1.0
54,62.0,0.25,1.0
55,62.0,0.125,1.0
56,62.0,0.125,1.0
57,62.0,0.125,1.0
58,62.0,0.125,1.0
59,62.0,0.125,1.0
60,62.0,0.125,1.0
61,62.0,0.125,1.0
62,62.0,0.125,1.0
63,62.0,0.125,1.0
64,62.0,0.125,1.0
65,62.0,0.125,1.0
66,62.0,0.125,1.0
67,62.0,0.125,1.0
68,62.0,0.375,1.0
69,62.0,0.125,1.0
70,62.0,0.375,1.0
71,62.0,0.25,1.0
72,62.0,0.5,1.0
73,60.0,0.25,1.0
74,72.0,1.125,4.0
75,62.0,0.25,4.0
76,62.0,0.25,4.0
77,60.0,0.125,4.0
78,60.0,0.25,4.0
79,57.0,1.0,1.0
80,62.0,0.125,1.0
81,62.0,0.125,1.0
82,62.0,0.125,1.0
83,60.0,0.125,1.0
84,62.0,0.125,1.0
85,60.0,0.125,1.0
86,62.0,0.25,1.0
87,69.0,0.875,5.0
88,57.0,0.25,4.0
89,60.0,0.125,4.0
90,62.0,0.125,4.0
91,62.0,0.25,4.0
92,60.0,0.125,4.0
93,60.0,0.125,4.0
94,57.0,0.125,1.0
95,55.0,1.875,1.0
96,64.0,0.125,1.0
97,64.0,0.125,1.0
98,62.0,0.125,1.0
99,60.0,0.125,1.0
100,60.0,0.125,1.0
101,60.0,0.125,1.0
102,60.0,0.125,1.0
103,57.0,0.125,1.0
104,60.0,0.125,1.0
105,57.0,0.125,1.0
106,60.0,0.125,1.0
107,60.0,0.125,1.0
108,62.0,0.25,1.0
109,62.0,0.125,1.0
110,62.0,0.125,1.0
111,62.0,0.25,1.0
112,62.0,0.125,1.0
113,62.0,0.125,1.0
114,62.0,0.125,1.0
115,62.0,0.125,1.0
116,62.0,0.125,1.0
117,62.0,0.125,1.0
118,62.0,0.125,1.0
119,62.0,0.125,1.0
120,62.0,0.125,1.0
121,62.0,0.125,1.0
122,62.0,0.25,1.0
123,62.0,0.125,1.0
124,62.0,0.375,1.0
125,62.0,0.25,1.0
126,62.0,0.5,1.0
127,60.0,0.25,1.0
128,72.0,1.125,4.0
129,62.0,0.25,4.0
130,62.0,0.25,4.0
131,60.0,0.125,4.0
132,60.0,0.25,4.0
133,57.0,1.0,1.0
134,62.0,0.125,1.0
135,60.0,0.125,1.0
136,62.0,0.125,1.0
137,60.0,0.125,1.0
138,62.0,0.125,1.0
139,60.0,0.125,1.0
140,62.0,0.25,1.0
141,71.0,0.875,5.0
142,60.0,0.25,4.0
143,62.0,0.125,4.0
