,note,length,diatonic root
0,52.0,0.125,6.0
1,52.0,0.125,6.0
2,55.0,0.125,1.0
3,55.0,0.125,1.0
4,55.0,0.5,1.0
5,55.0,0.125,1.0
6,57.0,0.125,1.0
7,57.0,0.125,6.0
8,57.0,0.75,6.0
9,52.0,0.125,1.0
10,55.0,0.125,1.0
11,55.0,0.125,1.0
12,55.0,0.375,1.0
13,55.0,0.125,1.0
14,55.0,0.125,1.0
15,57.0,0.375,1.0
16,57.0,0.125,6.0
17,57.0,0.375,6.0
18,55.0,0.125,6.0
19,57.0,0.375,6.0
20,57.0,0.375,4.0
21,57.0,0.125,4.0
22,57.0,0.125,4.0
23,57.0,0.375,4.0
24,55.0,0.125,4.0
25,55.0,0.375,4.0
26,53.0,0.375,5.0
27,55.0,0.125,1.0
28,55.0,1.5,1.0
29,52.0,0.125,5.0
30,53.0,0.125,5.0
31,55.0,0.375,5.0
32,55.0,0.125,1.0
33,55.0,0.375,1.0
34,55.0,0.125,1.0
35,57.0,0.375,1.0
36,57.0,0.125,4.0
37,59.0,0.375,4.0
38,57.0,0.125,5.0
39,60.0,0.375,5.0
40,60.0,0.125,6.0
41,60.0,0.375,6.0
42,60.0,0.125,6.0
43,60.0,0.125,6.0
44,60.0,0.375,6.0
45,60.0,0.125,4.0
46,62.0,0.375,4.0
47,60.0,0.125,4.0
48,62.0,0.125,4.0
49,62.0,0.375,5.0
50,62.0,0.375,5.0
51,62.0,0.125,5.0
52,64.0,0.375,5.0
53,64.0,0.125,3.0
54,64.0,0.375,3.0
55,62.0,0.125,3.0
56,62.0,0.125,3.0
57,60.0,0.125,6.0
58,60.0,1.125,6.0
59,52.0,0.125,6.0
60,55.0,0.375,6.0
61,57.0,0.5,6.0
62,57.0,1.0,4.0
63,57.0,0.375,4.0
64,55.0,0.125,4.0
65,52.0,0.5,4.0
66,52.0,1.0,6.0
67,52.0,0.375,6.0
68,55.0,0.125,6.0
69,57.0,0.5,6.0
70,57.0,1.0,4.0
71,57.0,0.375,4.0
72,55.0,0.125,4.0
73,52.0,0.625,4.0
74,53.0,0.125,1.0
75,52.0,0.125,1.0
76,50.0,1.0,1.0
77,48.0,4.0,5.0
78,52.0,0.125,6.0
79,53.0,0.125,6.0
80,55.0,0.375,6.0
81,55.0,0.125,1.0
82,55.0,0.375,1.0
83,55.0,0.125,1.0
84,55.0,0.125,1.0
85,57.0,0.125,1.0
86,57.0,0.125,6.0
87,57.0,0.625,6.0
88,52.0,0.125,6.0
89,55.0,0.375,6.0
90,55.0,0.125,1.0
91,55.0,0.375,1.0
92,55.0,0.125,1.0
93,57.0,0.25,1.0
94,57.0,0.125,6.0
95,57.0,0.5,6.0
96,55.0,0.125,6.0
97,57.0,0.125,6.0
98,57.0,0.375,4.0
