,note,length,diatonic root
0,57.0,0.125,1.0
1,55.0,0.125,1.0
2,57.0,0.125,1.0
3,55.0,0.125,1.0
4,57.0,0.125,1.0
5,57.0,0.125,1.0
6,55.0,0.125,1.0
7,59.0,0.25,1.0
8,52.0,0.25,1.0
9,55.0,0.25,1.0
10,57.0,0.375,1.0
11,55.0,0.125,1.0
12,52.0,0.125,7.0
13,55.0,0.125,7.0
14,52.0,0.125,7.0
15,60.0,0.125,7.0
16,59.0,0.125,7.0
17,57.0,0.125,7.0
18,57.0,1.125,7.0
19,57.0,0.125,1.0
20,55.0,0.125,1.0
21,57.0,0.125,1.0
22,55.0,0.125,1.0
23,57.0,0.25,1.0
24,55.0,0.125,1.0
25,59.0,0.25,1.0
26,52.0,0.25,1.0
27,55.0,0.25,1.0
28,57.0,0.375,1.0
29,55.0,0.125,1.0
30,52.0,0.125,7.0
31,55.0,0.125,7.0
32,52.0,0.125,7.0
33,55.0,0.125,7.0
34,52.0,0.125,7.0
35,60.0,0.125,7.0
36,57.0,0.625,7.0
37,57.0,0.125,1.0
38,57.0,0.125,1.0
39,60.0,0.125,1.0
40,57.0,0.125,1.0
41,62.0,0.25,1.0
42,62.0,0.25,4.0
43,60.0,0.125,4.0
44,62.0,0.125,5.0
45,60.0,0.125,5.0
46,60.0,0.25,5.0
47,57.0,0.125,1.0
48,55.0,0.125,1.0
49,52.0,0.375,1.0
50,57.0,0.125,1.0
51,60.0,0.125,1.0
52,57.0,0.125,1.0
53,62.0,0.25,1.0
54,62.0,0.25,4.0
55,60.0,0.125,4.0
56,62.0,0.125,5.0
57,60.0,0.125,5.0
58,60.0,0.125,5.0
59,55.0,0.125,1.0
60,52.0,0.5,1.0
61,57.0,0.125,1.0
62,60.0,0.125,1.0
63,57.0,0.125,1.0
64,62.0,0.25,1.0
65,62.0,0.25,4.0
66,62.0,0.125,4.0
67,65.0,0.125,5.0
68,62.0,0.125,5.0
69,67.0,0.25,5.0
70,62.0,0.125,1.0
71,60.0,0.125,1.0
72,57.0,0.625,1.0
73,62.0,0.25,1.0
74,60.0,0.125,4.0
75,62.0,0.125,4.0
76,60.0,0.125,4.0
77,62.0,0.125,4.0
78,60.0,0.25,4.0
79,62.0,0.125,4.0
80,64.0,0.125,4.0
81,62.0,0.125,5.0
82,65.0,0.125,5.0
83,62.0,0.125,5.0
84,65.0,0.25,5.0
85,62.0,0.125,5.0
86,65.0,0.125,5.0
87,60.0,0.125,1.0
88,57.0,1.5,1.0
89,60.0,0.125,5.0
90,62.0,0.25,5.0
91,65.0,0.25,5.0
92,60.0,1.5,1.0
93,60.0,0.125,5.0
94,62.0,0.125,5.0
95,60.0,0.125,5.0
96,65.0,0.25,5.0
97,60.0,1.5,1.0
98,60.0,0.125,5.0
99,62.0,0.25,5.0
100,65.0,0.25,5.0
101,60.0,4.0,1.0
102,57.0,0.125,1.0
103,55.0,0.125,1.0
104,57.0,0.125,1.0
105,55.0,0.125,1.0
106,57.0,0.125,1.0
107,55.0,0.125,1.0
108,55.0,0.125,1.0
109,59.0,0.25,1.0
110,52.0,0.25,1.0
111,55.0,0.25,1.0
112,57.0,0.25,1.0
113,57.0,0.125,1.0
114,55.0,0.125,1.0
115,52.0,0.125,7.0
116,55.0,0.125,7.0
117,52.0,0.125,7.0
118,55.0,0.125,7.0
119,52.0,0.125,7.0
120,60.0,0.125,7.0
121,57.0,1.125,7.0
122,57.0,0.125,1.0
123,55.0,0.125,1.0
124,57.0,0.125,1.0
125,55.0,0.125,1.0
126,57.0,0.125,1.0
127,55.0,0.125,1.0
128,55.0,0.125,1.0
129,59.0,0.25,1.0
130,52.0,0.25,1.0
131,55.0,0.25,1.0
132,57.0,0.375,1.0
133,55.0,0.125,1.0
134,52.0,0.125,7.0
135,55.0,0.125,7.0
136,52.0,0.125,7.0
137,60.0,0.125,7.0
138,59.0,0.125,7.0
139,57.0,0.125,7.0
140,57.0,0.5,7.0
141,57.0,0.125,1.0
142,57.0,0.125,1.0
143,60.0,0.125,1.0
144,57.0,0.125,1.0
145,62.0,0.25,1.0
146,62.0,0.25,4.0
147,60.0,0.125,4.0
148,62.0,0.125,5.0
149,60.0,0.125,5.0
150,60.0,0.25,5.0
151,57.0,0.125,1.0
152,55.0,0.125,1.0
153,52.0,0.375,1.0
154,57.0,0.125,1.0
155,60.0,0.125,1.0
156,57.0,0.125,1.0
157,62.0,0.25,1.0
158,62.0,0.25,4.0
159,60.0,0.125,4.0
160,62.0,0.125,5.0
161,60.0,0.125,5.0
162,60.0,0.125,5.0
163,55.0,0.125,1.0
164,52.0,0.5,1.0
165,57.0,0.125,1.0
166,60.0,0.125,1.0
167,57.0,0.125,1.0
168,62.0,0.25,1.0
169,62.0,0.25,4.0
170,62.0,0.125,4.0
171,65.0,0.125,5.0
172,62.0,0.125,5.0
173,67.0,0.25,5.0
174,62.0,0.125,1.0
175,60.0,0.125,1.0
176,57.0,0.75,1.0
177,62.0,0.125,1.0
178,60.0,0.125,4.0
179,62.0,0.125,4.0
180,60.0,0.125,4.0
181,62.0,0.125,4.0
182,60.0,0.25,4.0
183,67.0,0.25,4.0
184,65.0,0.125,5.0
185,65.0,0.125,5.0
186,62.0,0.125,5.0
187,65.0,0.125,5.0
188,62.0,0.125,5.0
189,62.0,0.125,5.0
190,65.0,0.125,5.0
191,60.0,0.125,1.0
192,57.0,1.5,1.0
193,62.0,0.25,4.0
194,65.0,0.125,5.0
195,62.0,0.125,5.0
196,67.0,0.25,5.0
197,62.0,0.125,1.0
198,60.0,1.625,1.0
199,65.0,0.25,5.0
200,62.0,0.125,1.0
201,60.0,1.125,1.0
202,67.0,0.125,4.0
203,65.0,0.125,5.0
204,65.0,0.125,5.0
205,62.0,0.25,5.0
206,67.0,0.25,5.0
207,62.0,0.125,1.0
208,60.0,4.0,1.0
209,64.0,0.25,1.0
210,64.0,0.25,1.0
211,64.0,0.25,1.0
212,64.0,0.5,1.0
213,62.0,0.375,1.0
214,64.0,0.375,1.0
215,62.0,0.25,7.0
216,62.0,0.25,7.0
217,62.0,1.5,7.0
218,64.0,0.25,1.0
219,64.0,0.25,1.0
220,64.0,0.25,1.0
221,64.0,0.5,1.0
222,62.0,0.375,1.0
223,64.0,0.375,1.0
224,62.0,0.25,7.0
225,62.0,0.25,7.0
226,62.0,0.875,7.0
227,57.0,0.125,1.0
228,57.0,0.125,1.0
229,60.0,0.125,1.0
230,57.0,0.125,1.0
231,62.0,0.25,1.0
232,62.0,0.25,4.0
233,60.0,0.125,4.0
234,62.0,0.125,5.0
235,60.0,0.125,5.0
236,60.0,0.25,5.0
237,57.0,0.125,1.0
238,55.0,0.125,1.0
239,52.0,0.375,1.0
240,57.0,0.125,1.0
241,60.0,0.125,1.0
242,57.0,0.125,1.0
243,62.0,0.25,1.0
244,62.0,0.25,4.0
245,62.0,0.125,4.0
246,65.0,0.125,5.0
247,62.0,0.125,5.0
248,65.0,0.125,5.0
249,60.0,0.125,1.0
250,57.0,0.375,1.0
251,57.0,0.125,1.0
252,57.0,0.125,1.0
253,60.0,0.125,1.0
254,57.0,0.125,1.0
255,62.0,0.25,1.0
256,62.0,0.25,4.0
