,note,length,diatonic root
0,36.0,0.125,5.0
1,36.0,0.875,5.0
2,35.0,0.125,1.0
3,36.0,0.875,1.0
4,40.0,0.125,3.0
5,38.0,0.125,3.0
6,36.0,0.125,4.0
7,36.0,1.5,4.0
8,45.0,0.125,6.0
9,45.0,0.875,6.0
10,45.0,0.125,1.0
11,43.0,0.875,1.0
12,40.0,0.125,3.0
13,40.0,1.75,3.0
14,60.0,0.125,5.0
15,60.0,0.125,5.0
16,60.0,0.875,5.0
17,47.0,0.125,1.0
18,48.0,0.125,1.0
19,48.0,0.75,3.0
20,48.0,0.125,3.0
21,50.0,0.125,3.0
22,48.0,0.125,4.0
23,48.0,0.5,4.0
24,48.0,0.125,4.0
25,48.0,1.0,4.0
26,43.0,0.125,6.0
27,45.0,0.875,6.0
28,45.0,0.125,1.0
29,43.0,0.875,1.0
30,47.0,0.125,5.0
31,48.0,4.0,5.0
32,60.0,0.125,5.0
33,60.0,0.875,5.0
34,57.0,0.125,1.0
35,55.0,0.875,1.0
36,52.0,0.125,3.0
37,50.0,0.125,3.0
38,48.0,1.875,4.0
39,57.0,0.875,6.0
40,57.0,0.125,1.0
41,55.0,0.875,1.0
42,52.0,0.125,3.0
43,52.0,1.875,3.0
44,60.0,0.125,5.0
45,60.0,0.875,5.0
46,57.0,0.125,1.0
47,55.0,0.875,1.0
48,48.0,0.125,3.0
49,50.0,0.125,3.0
50,48.0,0.625,4.0
51,48.0,0.125,4.0
52,50.0,1.0,4.0
53,45.0,0.875,6.0
54,45.0,0.125,1.0
55,43.0,0.125,1.0
56,43.0,0.625,5.0
57,48.0,0.125,5.0
58,48.0,4.0,5.0
59,60.0,0.125,5.0
60,60.0,0.125,5.0
61,60.0,0.875,5.0
62,57.0,0.125,1.0
63,55.0,0.875,1.0
64,48.0,0.125,3.0
65,50.0,0.375,3.0
66,48.0,0.5,4.0
67,48.0,0.125,4.0
68,48.0,0.875,4.0
69,57.0,0.125,6.0
70,57.0,0.125,6.0
71,57.0,0.625,6.0
72,57.0,0.375,1.0
73,55.0,0.625,1.0
74,52.0,0.125,3.0
75,52.0,2.0,3.0
76,60.0,0.125,5.0
77,60.0,0.125,5.0
78,60.0,0.875,5.0
79,57.0,0.125,1.0
80,55.0,0.375,1.0
81,48.0,0.5,3.0
82,50.0,0.625,3.0
83,48.0,0.125,4.0
84,48.0,0.125,4.0
85,50.0,1.125,4.0
86,45.0,0.125,6.0
87,45.0,0.875,6.0
88,45.0,0.125,1.0
89,43.0,0.125,1.0
90,43.0,0.5,5.0
91,43.0,0.125,5.0
92,50.0,0.125,5.0
93,48.0,4.0,5.0
94,45.0,0.125,5.0
95,48.0,0.125,5.0
96,45.0,1.5,1.0
97,48.0,0.125,3.0
98,50.0,0.125,3.0
99,50.0,0.125,3.0
100,45.0,1.75,3.0
101,57.0,0.125,6.0
102,57.0,0.125,6.0
103,57.0,0.875,6.0
104,57.0,0.125,1.0
105,55.0,0.875,1.0
106,52.0,0.125,3.0
107,52.0,2.0,3.0
108,60.0,0.625,5.0
109,57.0,0.375,1.0
110,55.0,0.875,1.0
111,48.0,0.125,3.0
112,50.0,0.125,3.0
113,48.0,0.5,4.0
114,50.0,0.125,4.0
115,50.0,0.125,4.0
116,48.0,1.0,4.0
117,45.0,0.125,6.0
118,45.0,0.125,6.0
119,45.0,0.875,6.0
120,45.0,0.125,1.0
121,45.0,0.125,1.0
122,43.0,0.125,1.0
123,43.0,0.5,5.0
124,50.0,0.125,5.0
125,48.0,4.0,5.0
126,60.0,0.5,5.0
127,60.0,0.125,5.0
128,60.0,0.125,5.0
129,60.0,0.875,5.0
130,57.0,0.125,1.0
131,55.0,0.875,1.0
132,48.0,0.125,3.0
133,50.0,0.125,3.0
134,48.0,1.625,4.0
135,57.0,0.125,6.0
136,57.0,0.625,6.0
137,57.0,0.125,1.0
138,57.0,0.125,1.0
139,55.0,0.625,1.0
140,50.0,0.125,3.0
141,52.0,2.0,3.0
142,60.0,0.125,5.0
143,60.0,0.875,5.0
144,57.0,0.125,1.0
145,55.0,0.125,1.0
146,48.0,0.625,3.0
147,50.0,0.125,3.0
148,50.0,0.125,3.0
149,48.0,0.625,4.0
150,48.0,1.0,4.0
151,45.0,0.125,6.0
152,45.0,0.875,6.0
153,45.0,0.125,1.0
154,43.0,0.125,1.0
155,43.0,0.5,5.0
156,50.0,0.125,5.0
157,48.0,4.0,5.0
158,57.0,0.875,1.0
159,60.0,0.125,5.0
160,60.0,0.875,5.0
161,57.0,0.125,1.0
162,55.0,0.875,1.0
163,48.0,0.125,3.0
164,50.0,0.125,3.0
165,48.0,0.5,4.0
166,48.0,1.125,4.0
167,57.0,0.125,6.0
168,57.0,0.875,6.0
169,57.0,0.125,1.0
170,55.0,0.875,1.0
171,52.0,0.125,3.0
172,52.0,1.75,3.0
173,60.0,0.125,5.0
174,60.0,0.125,5.0
175,60.0,0.875,5.0
176,57.0,0.125,1.0
177,55.0,0.125,1.0
178,48.0,0.625,3.0
179,50.0,0.125,3.0
180,50.0,0.125,3.0
181,48.0,0.125,4.0
182,48.0,0.625,4.0
183,48.0,0.25,4.0
184,48.0,0.875,4.0
185,43.0,0.125,6.0
186,45.0,0.875,6.0
187,48.0,0.125,1.0
188,47.0,0.875,1.0
189,50.0,0.125,5.0
