,note,length,diatonic root
0,55.0,0.125,2.0
1,55.0,0.125,2.0
2,60.0,0.125,1.0
3,60.0,0.125,1.0
4,62.0,0.125,1.0
5,62.0,0.125,1.0
6,64.0,0.125,1.0
7,64.0,0.25,1.0
8,60.0,0.125,1.0
9,62.0,0.125,1.0
10,57.0,0.125,2.0
11,59.0,0.875,2.0
12,52.0,0.125,2.0
13,52.0,0.125,2.0
14,60.0,0.125,1.0
15,60.0,0.125,1.0
16,62.0,0.125,1.0
17,62.0,0.125,1.0
18,64.0,0.125,1.0
19,64.0,0.25,1.0
20,60.0,0.125,1.0
21,62.0,0.125,1.0
22,57.0,0.125,2.0
23,59.0,0.875,2.0
24,52.0,0.125,2.0
25,52.0,0.125,2.0
26,60.0,0.125,1.0
27,60.0,0.125,1.0
28,62.0,0.125,1.0
29,62.0,0.125,1.0
30,64.0,0.125,1.0
31,64.0,0.25,1.0
32,60.0,0.125,1.0
33,62.0,0.125,1.0
34,60.0,0.125,2.0
35,59.0,0.125,2.0
36,57.0,0.125,2.0
37,59.0,0.375,2.0
38,57.0,0.125,2.0
39,53.0,0.375,2.0
40,52.0,0.125,2.0
41,52.0,0.125,2.0
42,60.0,0.125,1.0
43,60.0,0.125,1.0
44,62.0,0.125,1.0
45,62.0,0.125,1.0
46,64.0,0.125,1.0
47,64.0,0.25,1.0
48,60.0,0.125,1.0
49,62.0,0.125,1.0
50,60.0,0.125,2.0
51,59.0,0.125,2.0
52,57.0,0.125,2.0
53,60.0,0.125,2.0
54,60.0,0.125,2.0
55,57.0,0.125,2.0
56,59.0,0.125,2.0
57,60.0,0.25,2.0
58,57.0,0.125,2.0
59,60.0,0.125,3.0
60,59.0,0.125,3.0
61,57.0,0.125,3.0
62,60.0,0.75,6.0
63,57.0,0.125,6.0
64,60.0,0.125,6.0
65,62.0,0.125,6.0
66,64.0,0.25,6.0
67,62.0,0.5,2.0
68,60.0,0.125,2.0
69,60.0,0.125,2.0
70,59.0,0.125,2.0
