,note,length,diatonic root
0,76.0,0.25,1.0
1,76.0,0.25,1.0
2,74.0,0.25,1.0
3,72.0,0.375,1.0
4,69.0,0.125,4.0
5,69.0,0.875,4.0
6,53.0,0.125,4.0
7,53.0,0.125,4.0
8,55.0,0.125,4.0
9,57.0,0.125,4.0
10,55.0,1.5,4.0
11,48.0,0.125,1.0
12,52.0,0.125,1.0
13,57.0,0.125,1.0
14,55.0,0.375,1.0
15,53.0,0.125,5.0
16,50.0,0.125,5.0
17,47.0,0.125,5.0
18,45.0,0.125,5.0
19,43.0,0.875,5.0
20,50.0,0.125,5.0
21,52.0,0.125,5.0
22,48.0,0.25,5.0
23,50.0,0.125,5.0
24,52.0,0.125,5.0
25,50.0,0.125,5.0
26,52.0,1.125,1.0
27,76.0,0.25,1.0
28,76.0,0.25,1.0
29,74.0,0.25,1.0
30,72.0,0.375,1.0
31,69.0,0.125,4.0
32,69.0,0.875,4.0
33,53.0,0.125,4.0
34,53.0,0.125,4.0
35,55.0,0.125,4.0
36,57.0,0.125,4.0
37,55.0,0.5,4.0
38,57.0,1.0,1.0
39,48.0,0.125,1.0
40,52.0,0.25,1.0
41,57.0,0.25,1.0
42,55.0,0.25,1.0
43,53.0,0.125,5.0
44,50.0,0.125,5.0
45,47.0,0.125,5.0
46,45.0,0.125,5.0
47,43.0,0.625,5.0
48,43.0,0.125,5.0
49,47.0,0.125,5.0
50,53.0,0.125,5.0
51,55.0,0.125,5.0
52,52.0,0.125,5.0
53,50.0,0.125,5.0
54,50.0,0.125,5.0
55,48.0,1.5,1.0
56,53.0,0.125,1.0
57,55.0,0.25,1.0
58,52.0,0.125,1.0
59,50.0,0.125,1.0
60,48.0,0.125,1.0
61,52.0,1.5,1.0
62,60.0,0.25,1.0
63,57.0,0.125,1.0
64,55.0,0.125,1.0
65,53.0,0.125,1.0
66,53.0,0.125,1.0
67,57.0,1.5,4.0
68,60.0,0.125,4.0
69,57.0,0.125,4.0
70,60.0,0.125,4.0
71,57.0,0.125,4.0
72,60.0,0.125,4.0
73,57.0,0.125,4.0
74,55.0,0.375,1.0
75,57.0,0.875,1.0
76,52.0,0.125,1.0
77,57.0,0.125,1.0
78,55.0,0.125,1.0
79,52.0,0.125,1.0
80,52.0,0.125,1.0
81,50.0,1.5,1.0
82,55.0,0.25,5.0
83,52.0,0.125,5.0
84,50.0,0.125,5.0
85,48.0,0.125,5.0
86,48.0,0.125,5.0
87,52.0,0.125,5.0
88,50.0,0.125,5.0
89,52.0,1.125,1.0
90,60.0,0.125,1.0
91,62.0,0.125,1.0
92,60.0,0.125,1.0
93,53.0,0.125,1.0
94,55.0,0.125,1.0
95,57.0,1.5,1.0
96,60.0,0.125,4.0
97,60.0,0.125,4.0
98,62.0,0.125,4.0
99,60.0,0.125,4.0
100,62.0,0.125,4.0
101,64.0,0.125,4.0
102,62.0,0.125,1.0
103,60.0,0.125,1.0
104,57.0,0.125,1.0
105,55.0,1.0,1.0
106,55.0,0.25,5.0
107,55.0,0.125,5.0
108,59.0,0.125,5.0
109,62.0,0.125,5.0
110,60.0,0.875,5.0
111,62.0,0.125,5.0
112,64.0,0.375,5.0
113,76.0,0.25,1.0
114,76.0,0.25,1.0
115,74.0,0.25,1.0
116,72.0,0.375,1.0
117,69.0,0.125,4.0
118,69.0,0.875,4.0
119,53.0,0.125,4.0
120,53.0,0.125,4.0
121,55.0,0.125,4.0
122,57.0,0.125,4.0
123,55.0,0.5,4.0
124,57.0,1.0,1.0
125,48.0,0.125,1.0
126,52.0,0.125,1.0
127,57.0,0.125,1.0
128,55.0,0.375,1.0
129,53.0,0.125,5.0
130,50.0,0.125,5.0
131,47.0,0.125,5.0
132,45.0,0.125,5.0
133,43.0,0.875,5.0
