,note,length,diatonic root
0,55.0,0.125,1.0
1,55.0,0.125,1.0
2,55.0,0.125,1.0
3,55.0,0.125,1.0
4,55.0,0.125,1.0
5,55.0,0.125,1.0
6,55.0,0.125,1.0
7,55.0,0.25,1.0
8,55.0,0.125,1.0
9,55.0,0.125,1.0
10,57.0,0.125,1.0
11,55.0,0.25,1.0
12,53.0,0.125,1.0
13,52.0,0.375,1.0
14,53.0,0.125,4.0
15,52.0,0.125,4.0
16,52.0,0.125,4.0
17,50.0,0.25,4.0
18,48.0,0.125,4.0
19,50.0,0.25,4.0
20,52.0,0.875,1.0
21,52.0,0.125,1.0
22,52.0,0.125,1.0
23,52.0,0.125,1.0
24,52.0,0.25,1.0
25,52.0,0.25,1.0
26,52.0,0.25,1.0
27,50.0,0.125,1.0
28,52.0,0.125,1.0
29,53.0,0.125,1.0
30,52.0,0.125,1.0
31,50.0,0.5,1.0
32,53.0,0.125,4.0
33,52.0,0.125,4.0
34,52.0,0.125,4.0
35,50.0,0.25,4.0
36,48.0,0.125,4.0
37,50.0,0.25,4.0
38,52.0,0.5,1.0
39,55.0,0.375,1.0
40,55.0,0.125,1.0
41,55.0,0.125,5.0
42,55.0,0.125,5.0
43,55.0,0.125,5.0
44,55.0,0.125,5.0
45,55.0,0.375,5.0
46,55.0,0.125,5.0
47,55.0,0.125,1.0
48,55.0,0.125,1.0
49,57.0,0.125,1.0
50,55.0,0.5,1.0
51,55.0,0.125,1.0
52,55.0,0.125,5.0
53,55.0,0.125,5.0
54,55.0,0.125,5.0
55,55.0,0.125,5.0
56,55.0,0.25,5.0
57,52.0,0.125,5.0
58,55.0,0.125,5.0
59,53.0,0.125,1.0
60,55.0,0.125,1.0
61,57.0,0.125,1.0
62,53.0,0.375,1.0
63,53.0,0.125,1.0
64,55.0,0.125,1.0
65,55.0,0.125,5.0
66,55.0,0.125,5.0
67,55.0,0.125,5.0
68,55.0,0.125,5.0
69,55.0,0.25,5.0
70,53.0,0.125,5.0
71,55.0,0.125,5.0
72,55.0,0.125,1.0
73,55.0,0.125,1.0
74,57.0,0.125,1.0
75,55.0,0.25,1.0
76,48.0,0.25,1.0
77,53.0,0.25,1.0
78,52.0,0.25,4.0
79,48.0,0.25,4.0
80,55.0,0.125,4.0
81,57.0,0.125,4.0
82,55.0,2.75,4.0
83,55.0,0.125,1.0
84,55.0,0.125,1.0
85,55.0,0.125,1.0
86,55.0,0.125,1.0
87,55.0,0.125,1.0
88,55.0,0.125,1.0
89,55.0,0.125,1.0
90,55.0,0.25,1.0
91,55.0,0.125,1.0
