,note,length,diatonic root
0,64.0,0.125,1.0
1,64.0,0.125,1.0
2,64.0,0.125,1.0
3,65.0,0.125,1.0
4,64.0,0.125,1.0
5,62.0,0.125,1.0
6,64.0,0.125,1.0
7,60.0,0.125,1.0
8,60.0,0.125,1.0
9,60.0,0.125,1.0
10,62.0,0.5,1.0
11,57.0,0.25,1.0
12,57.0,0.125,1.0
13,60.0,0.125,1.0
14,57.0,0.125,1.0
15,62.0,0.125,1.0
16,60.0,0.75,1.0
17,64.0,0.125,1.0
18,64.0,0.125,1.0
19,64.0,0.125,1.0
20,65.0,0.125,1.0
21,64.0,0.125,1.0
22,62.0,0.125,1.0
23,64.0,0.125,1.0
24,60.0,0.125,1.0
25,60.0,0.125,1.0
26,60.0,0.125,1.0
27,62.0,0.25,1.0
28,55.0,0.125,1.0
29,57.0,0.125,1.0
30,60.0,0.125,1.0
31,60.0,0.125,1.0
32,57.0,0.125,1.0
33,62.0,0.125,1.0
34,60.0,0.875,1.0
35,64.0,0.125,1.0
36,64.0,0.125,1.0
37,64.0,0.125,1.0
38,65.0,0.125,1.0
39,64.0,0.125,1.0
40,62.0,0.125,1.0
41,64.0,0.125,1.0
42,60.0,0.125,1.0
43,60.0,0.125,1.0
44,60.0,0.125,1.0
45,62.0,0.375,1.0
46,57.0,0.125,1.0
47,59.0,0.125,1.0
48,59.0,0.125,1.0
49,57.0,0.25,1.0
50,62.0,0.125,1.0
51,60.0,1.0,1.0
52,64.0,0.125,1.0
53,64.0,0.125,1.0
54,65.0,0.25,1.0
55,64.0,0.125,1.0
56,62.0,0.125,1.0
57,64.0,0.25,1.0
58,60.0,0.125,1.0
59,60.0,0.125,1.0
60,60.0,0.125,1.0
61,62.0,0.375,1.0
62,57.0,0.25,1.0
63,60.0,0.125,1.0
64,60.0,0.125,1.0
65,57.0,0.125,1.0
66,62.0,4.0,1.0
67,60.0,0.125,1.0
68,60.0,0.125,1.0
69,62.0,0.125,1.0
70,60.0,0.125,1.0
71,59.0,0.25,1.0
72,60.0,0.125,1.0
73,57.0,0.125,1.0
74,57.0,0.125,1.0
75,57.0,0.125,1.0
76,59.0,0.5,1.0
77,53.0,0.25,1.0
78,57.0,0.125,1.0
79,57.0,0.125,1.0
80,53.0,0.125,1.0
81,59.0,0.125,1.0
82,57.0,0.875,1.0
83,60.0,0.125,1.0
84,60.0,0.125,1.0
85,60.0,0.125,1.0
86,62.0,0.125,1.0
87,60.0,0.125,1.0
88,59.0,0.125,1.0
89,60.0,0.125,1.0
90,57.0,0.125,1.0
91,57.0,0.125,1.0
92,57.0,0.125,1.0
93,59.0,0.375,1.0
94,53.0,0.125,1.0
95,57.0,0.125,1.0
96,57.0,0.125,1.0
97,53.0,0.25,1.0
98,59.0,0.125,1.0
99,57.0,1.0,1.0
100,60.0,0.125,1.0
101,59.0,0.5,1.0
102,57.0,2.25,1.0
103,60.0,0.125,1.0
104,59.0,0.375,1.0
105,60.0,0.25,1.0
106,57.0,4.0,1.0
107,69.0,0.5,5.0
108,69.0,0.5,5.0
109,67.0,1.125,5.0
110,57.0,0.125,5.0
111,57.0,0.25,5.0
112,57.0,0.125,5.0
113,62.0,0.25,5.0
114,57.0,0.125,5.0
115,55.0,2.0,5.0
116,69.0,0.125,5.0
117,69.0,0.125,5.0
118,67.0,0.125,5.0
119,67.0,1.0,5.0
120,57.0,0.125,5.0
121,57.0,0.125,5.0
122,57.0,0.375,5.0
123,57.0,0.125,5.0
124,57.0,0.125,5.0
125,62.0,0.125,5.0
126,57.0,0.125,5.0
127,57.0,0.125,5.0
128,55.0,3.5,5.0
129,69.0,0.125,5.0
130,69.0,0.5,5.0
131,69.0,0.125,5.0
132,69.0,0.125,5.0
133,67.0,0.25,5.0
134,67.0,0.5,5.0
135,57.0,0.375,5.0
136,57.0,0.125,5.0
137,55.0,1.875,5.0
138,69.0,0.125,5.0
139,67.0,0.125,5.0
140,67.0,0.125,5.0
141,67.0,1.125,5.0
142,57.0,0.125,5.0
143,59.0,0.125,5.0
144,62.0,0.125,5.0
145,57.0,0.125,5.0
146,57.0,0.125,5.0
147,55.0,0.375,5.0
148,59.0,0.125,5.0
149,62.0,0.125,5.0
150,57.0,0.125,5.0
151,57.0,0.125,5.0
152,55.0,4.0,5.0
153,62.0,0.625,1.0
154,53.0,0.25,4.0
155,52.0,0.125,4.0
156,50.0,0.875,4.0
157,45.0,0.25,4.0
158,53.0,0.125,4.0
159,55.0,0.125,5.0
160,55.0,0.125,5.0
161,55.0,2.5,5.0
162,53.0,0.25,4.0
163,52.0,0.125,4.0
164,50.0,0.75,4.0
165,53.0,0.125,4.0
166,53.0,0.125,4.0
167,55.0,0.125,5.0
168,55.0,2.25,5.0
169,53.0,0.25,4.0
170,52.0,0.125,4.0
171,50.0,1.125,4.0
172,52.0,0.125,4.0
173,53.0,0.25,4.0
174,55.0,0.125,5.0
175,55.0,2.25,5.0
176,53.0,0.125,4.0
177,52.0,0.375,4.0
178,50.0,0.625,4.0
179,45.0,0.125,4.0
180,53.0,0.25,4.0
181,55.0,0.125,5.0
182,55.0,0.125,5.0
183,55.0,0.125,5.0
184,55.0,0.125,5.0
185,55.0,1.75,5.0
186,65.0,0.125,4.0
187,64.0,0.125,4.0
188,65.0,0.125,4.0
189,64.0,0.125,4.0
190,62.0,0.75,4.0
191,65.0,0.125,4.0
192,64.0,0.125,4.0
193,65.0,0.125,4.0
194,64.0,0.125,4.0
195,62.0,0.25,4.0
196,62.0,0.125,4.0
197,62.0,0.125,4.0
198,62.0,0.125,4.0
199,64.0,1.625,4.0
200,65.0,0.25,5.0
201,67.0,1.125,5.0
202,65.0,0.125,1.0
203,67.0,0.125,1.0
204,65.0,0.75,1.0
205,62.0,0.125,1.0
206,65.0,0.125,1.0
207,62.0,4.0,1.0
208,64.0,0.125,1.0
209,64.0,0.125,1.0
210,64.0,0.125,1.0
211,65.0,0.125,1.0
212,64.0,0.125,1.0
213,62.0,0.25,1.0
214,64.0,0.125,1.0
215,60.0,0.125,1.0
216,60.0,0.125,1.0
217,60.0,0.125,1.0
218,62.0,0.375,1.0
219,57.0,0.125,1.0
220,57.0,0.125,1.0
221,60.0,0.125,1.0
222,60.0,0.125,1.0
223,57.0,0.125,1.0
224,62.0,0.125,1.0
225,60.0,1.0,1.0
226,64.0,0.125,1.0
227,64.0,0.125,1.0
228,65.0,0.125,1.0
229,64.0,0.125,1.0
230,62.0,0.125,1.0
231,64.0,0.25,1.0
232,60.0,0.125,1.0
233,60.0,0.125,1.0
234,60.0,0.125,1.0
235,62.0,0.375,1.0
236,57.0,0.125,1.0
237,60.0,0.125,1.0
238,60.0,0.125,1.0
239,57.0,0.125,1.0
240,62.0,0.125,1.0
241,60.0,0.875,1.0
242,64.0,0.125,1.0
243,64.0,0.125,1.0
244,64.0,0.125,1.0
245,65.0,0.125,1.0
246,64.0,0.125,1.0
247,62.0,0.125,1.0
248,64.0,0.125,1.0
249,60.0,0.125,1.0
250,60.0,0.125,1.0
251,60.0,0.125,1.0
252,62.0,0.375,1.0
253,52.0,0.125,1.0
254,57.0,0.125,1.0
255,60.0,0.125,1.0
256,60.0,0.125,1.0
257,57.0,0.125,1.0
258,62.0,0.125,1.0
259,60.0,1.125,1.0
260,64.0,0.125,1.0
261,64.0,0.125,1.0
262,64.0,0.125,1.0
263,65.0,0.125,1.0
264,64.0,0.125,1.0
265,62.0,0.125,1.0
266,64.0,0.125,1.0
267,60.0,0.125,1.0
268,60.0,0.125,1.0
269,60.0,0.125,1.0
270,62.0,0.25,1.0
271,52.0,0.125,1.0
272,57.0,0.25,1.0
273,60.0,0.125,1.0
274,60.0,0.125,1.0
275,57.0,0.25,1.0
276,62.0,0.125,1.0
277,60.0,4.0,1.0
278,60.0,0.125,1.0
279,60.0,0.125,1.0
280,60.0,0.125,1.0
281,62.0,0.125,1.0
282,60.0,0.125,1.0
283,59.0,0.125,1.0
284,60.0,0.25,1.0
285,57.0,0.125,1.0
286,57.0,0.125,1.0
287,57.0,0.125,1.0
288,59.0,0.375,1.0
289,53.0,0.125,1.0
290,57.0,0.125,1.0
291,57.0,0.125,1.0
292,53.0,0.125,1.0
293,59.0,0.125,1.0
294,57.0,1.0,1.0
295,60.0,0.125,1.0
296,60.0,0.125,1.0
297,60.0,0.125,1.0
298,62.0,0.125,1.0
299,60.0,0.25,1.0
300,59.0,0.125,1.0
301,60.0,0.125,1.0
302,59.0,0.125,1.0
303,57.0,0.125,1.0
304,57.0,0.125,1.0
305,59.0,0.375,1.0
306,53.0,0.125,1.0
307,57.0,0.125,1.0
308,57.0,0.125,1.0
309,53.0,0.125,1.0
310,59.0,0.125,1.0
311,57.0,1.0,1.0
312,60.0,0.125,1.0
313,59.0,0.375,1.0
314,60.0,0.25,1.0
315,57.0,2.25,1.0
316,60.0,0.125,1.0
317,59.0,0.375,1.0
318,60.0,0.125,1.0
319,57.0,1.5,1.0
320,57.0,4.0,1.0
321,57.0,4.0,1.0
322,62.0,0.375,4.0
323,65.0,0.125,4.0
324,64.0,0.125,4.0
325,65.0,0.125,4.0
326,64.0,0.125,4.0
327,62.0,0.5,4.0
328,65.0,0.125,4.0
329,64.0,0.125,4.0
330,65.0,0.125,4.0
331,62.0,0.125,4.0
332,64.0,0.125,4.0
333,67.0,2.25,5.0
334,65.0,0.125,4.0
335,65.0,0.125,4.0
336,64.0,0.125,4.0
337,62.0,0.75,4.0
338,65.0,0.125,4.0
339,64.0,0.125,4.0
340,65.0,0.125,4.0
341,64.0,0.125,4.0
342,62.0,0.25,4.0
343,62.0,0.125,4.0
344,62.0,0.25,4.0
345,67.0,1.125,5.0
